Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;;;;;;;;;;;
УРОВЕНЬ И ДИНАМИКА ЦЕН НА РЫНКЕ ЖИЛЬЯ;;;;;;;;;;;;;;;;;;;
21.7. ИНДЕКСЫ ЦЕН НА ВТОРИЧНОМ РЫНКЕ ЖИЛЬЯ1);;;;;;;;;;;;;;;;;;;
"(на конец года; в процентах к концу предыдущего года)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;116,3;132,0;125,3;118,8;124,1;118,0;154,4;120,6;115,3;89,0;102,7;105,8;112,1;103,6;105,1;96,82);97,0;98,4;104,1
Центральный     федеральный округ;106,2;122,3;132,5;123,9;122,9;115,0;170,6;112,2;119,1;90,7;105,0;103,3;110,4;100,4;105,4;98,2;97,5;98,0;102,4
Белгородская область;162,0;124,7;123,9;114,5;121,4;113,7;157,3;126,0;117,7;91,5;99,9;108,1;117,6;102,7;102,2;97,8;97,1;97,2;102,0
Брянская область;96,9;130,6;182,1;119,6;128,0;115,5;130,8;157,9;117,3;85,2;104,2;108,1;104,3;102,9;105,9;97,8;97,5;90,1;97,2
Владимирская область;112,1;139,3;132,7;116,1;132,0;113,4;161,2;137,6;117,1;84,6;101,5;105,7;107,0;108,0;105,0;96,7;92,6;100,8;107,0
Воронежская область;110,8;128,5;123,6;119,5;125,3;108,7;154,8;107,2;118,3;96,3;98,6;109,9;118,4;101,9;103,6;94,9;98,2;99,2;99,7
Ивановская область;117,1;170,5;143,3;110,9;117,6;121,7;188,3;142,3;106,4;91,3;103,5;104,0;109,8;117,2;102,0;102,2;91,4;99,1;98,9
Калужская область;101,7;136,0;146,7;128,9;119,5;126,6;140,3;132,2;147,2;81,6;97,9;103,7;110,3;108,4;102,3;93,1;97,5;97,0;102,8
Костромская область;103,5;138,0;131,4;117,9;140,6;116,5;188,3;138,2;96,5;85,2;97,5;111,1;109,5;102,6;101,1;101,4;92,9;98,0;106,4
Курская область;100,0;109,4;153,0;133,3;…;109,8;…;146,1;120,2;84,7;97,1;107,4;112,7;109,4;109,9;96,3;94,4;97,7;104,1
Липецкая область;110,0;163,6;118,3;123,7;124,0;118,7;157,2;153,0;114,1;68,5;113,3;105,2;110,9;102,9;103,0;92,6;97,6;94,8;101,5
Московская область;105,3;112,9;137,1;126,2;121,4;127,1;177,9;117,5;121,7;82,5;101,8;103,5;111,2;102,4;104,2;98,1;94,4;98,7;104,6
Орловская область;100,7;142,4;134,9;110,4;123,7;111,0;123,3;149,2;127,1;83,7;104,1;107,5;110,5;109,0;103,1;98,0;86,3;103,9;103,7
Рязанская область;111,3;162,0;119,1;109,6;137,8;119,9;162,8;120,7;114,0;82,5;106,5;102,0;114,7;100,1;103,5;93,3;94,1;100,2;99,6
Смоленская область;100,1;114,8;122,9;128,1;119,4;130,8;149,8;128,0;114,6;79,4;99,5;116,5;108,2;101,0;102,2;93,7;95,7;104,1;101,0
Тамбовская область;102,6;122,5;157,3;112,3;108,5;122,9;153,7;126,1;117,7;85,2;98,2;106,4;112,2;115,8;111,6;97,1;95,8;95,9;99,3
Тверская область;112,6;137,8;118,8;131,4;143,0;112,3;159,7;125,4;118,7;77,5;107,4;106,7;104,8;97,6;101,1;97,2;94,4;94,4;102,7
Тульская область;103,9;112,0;132,4;123,6;127,9;109,7;135,6;131,1;119,4;94,1;100,0;101,5;108,3;105,0;105,4;95,3;100,9;99,9;105,8
Ярославская область;128,8;144,5;138,3;100,0;133,2;110,3;186,2;109,5;122,9;79,3;100,8;110,9;116,7;101,4;98,1;94,4;86,4;99,5;101,2
г. Москва;97,7;118,2;130,0;126,5;120,8;111,8;174,5;106,2;118,4;94,7;106,2;101,6;109,5;98,1;106,9;100,5;101,1;97,4;102,7
Северо-Западный      федеральный округ;114,4;120,1;120,4;130,8;127,2;108,0;156,3;121,1;119,2;90,8;98,0;104,5;117,6;101,3;106,5;96,2;99,2;97,3;103,3
Республика Карелия;106,7;121,8;115,0;117,9;116,9;112,1;153,4;107,6;110,2;92,7;102,6;106,5;105,8;102,6;100,2;102,1;99,0;100,6;101,9
Республика Коми;127,6;146,6;126,3;120,0;130,4;123,1;166,4;129,2;96,3;95,1;99,9;103,0;129,0;105,1;101,4;96,0;97,4;97,7;101,5
Архангельская область;118,0;151,6;121,6;119,2;135,4;112,1;194,7;116,3;107,1;91,7;106,4;109,5;126,5;95,8;107,1;98,5;98,3;100,2;101,9
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;…;137,6;…;…;108,3;117,1;130,4;145,7;113,8;104,4;102,0;100,0;107,6;102,8;102,8;107,2;95,6;94,7;97,0
Архангельская область    без автономного округа;;;;;;;;;;;;;;95,1;107,5;98,0;98,3;100,3;102,0
Вологодская область;131,0;148,1;114,3;142,2;126,9;115,8;169,5;122,6;102,6;85,1;99,6;110,5;118,5;98,1;99,5;96,3;95,8;98,8;101,8
Калининградская область;106,4;108,4;117,2;106,2;95,9;105,4;125,0;137,8;109,2;86,7;105,7;114,8;110,5;104,6;107,8;102,7;105,4;94,9;101,8
Ленинградская область;111,8;112,8;124,7;119,4;134,9;101,5;140,2;118,1;114,7;97,3;98,5;103,4;107,4;101,7;108,1;96,4;100,3;99,4;101,5
Мурманская область;…;115,4;137,7;138,2;123,0;122,8;238,3;106,7;116,4;92,1;100,7;113,0;116,4;108,1;118,8;92,3;100,5;93,3;108,4
Новгородская область;103,4;131,0;123,5;115,7;127,4;114,5;172,2;124,0;121,7;94,6;96,1;106,7;120,1;102,5;100,6;99,9;94,9;97,5;104,2
Псковская область;107,1;145,8;130,8;141,1;125,8;106,5;135,4;137,1;114,2;98,1;103,9;120,4;105,7;104,6;100,2;85,8;96,7;97,1;99,2
г. Санкт-Петербург;109,3;112,9;118,6;137,8;129,0;104,8;148,4;121,4;127,9;89,8;95,0;96,1;107,3;101,0;102,3;104,6;99,4;100,1;106,5
Южный          федеральный округ3);111,0;125,7;124,6;119,6;117,8;121,8;124,7;134,2;121,9;85,9;101,0;107,4;107,4;104,1;102,9;103,0;98,5;98,7;100,9
Республика Адыгея;132,4;131,3;146,5;126,9;117,1;110,1;116,7;171,0;128,0;86,4;99,6;104,1;114,8;99,0;111,9;97,6;97,5;95,5;115,5
Республика Калмыкия;125,4;110,0;113,1;184,4;114,3;117,9;107,5;118,3;137,4;110,1;114,7;101,9;109,3;105,6;102,6;103,3;97,5;104,6;100,2
Республика Крым;;;;;;;;;;;;;;;;…;109,3;99,2;99,8
Краснодарский край;104,3;116,9;126,3;112,3;113,9;115,6;121,8;165,1;107,8;82,3;103,4;104,7;103,5;104,9;102,7;106,1;98,3;99,7;101,1
Астраханская область;114,7;109,0;121,0;112,0;110,5;124,3;125,4;143,5;131,8;88,6;93,7;97,5;104,1;105,2;109,3;99,3;97,5;97,9;102,4
Волгоградская область;102,7;129,1;126,9;109,0;119,0;130,3;126,4;141,9;136,5;74,4;101,9;103,3;103,1;102,6;104,0;100,4;97,4;97,7;100,7
Ростовская область;114,1;142,9;116,9;121,8;122,3;122,5;139,9;118,9;116,5;88,8;99,5;109,8;110,8;104,0;101,7;98,2;99,3;96,8;98,8
г. Севастополь;;;;;;;;;;;;;;;;…;99,4;99,1;104,2
Северо-Кавказский федеральный округ;115,3;119,8;130,3;130,8;120,8;111,0;111,4;119,9;134,2;95,0;96,8;104,0;104,6;104,3;108,6;101,8;101,3;99,4;99,9
Республика Дагестан;128,5;128,0;146,7;172,0;114,3;101,8;115,8;110,9;154,3;97,3;93,7;98,3;100,2;105,5;115,0;108,8;101,0;100,3;100,5
Республика Ингушетия;134,9;112,5;148,7;110,1;117,5;105,0;113,4;105,5;100,0;107,5;114,7;115,8;104,1;102,5;109,5;101,5;100,7;98,0;98,1
Кабардино-Балкарская Республика;119,0;118,0;112,4;116,0;133,9;121,7;111,0;144,8;135,6;97,9;98,4;103,4;99,9;100,0;107,5;104,1;98,6;97,4;93,5
Карачаево-Черкесская Республика;97,5;106,8;115,0;118,5;218,2;111,6;101,9;120,7;142,0;94,6;96,3;101,4;116,9;112,2;112,6;99,6;96,3;97,5;102,5
Республика Северная      Осетия – Алания;…;97,3;144,1;113,9;112,7;121,0;104,9;107,8;112,2;98,7;100,3;103,1;111,3;107,1;104,8;100,1;99,4;103,6;…
Чеченская Республика;…;…;…;…;…;…;…;99,1;…;96,8;98,9;102,5;102,4;108,4;106,2;108,4;102,3;100,7;100,4
Ставропольский край;106,3;123,4;119,1;114,2;112,4;112,2;111,1;129,8;129,0;89,0;95,8;99,1;106,6;106,7;104,4;98,4;102,8;99,0;100,1
Приволжский       федеральный округ;127,3;128,4;121,7;113,4;124,2;120,0;157,8;124,7;107,1;87,8;102,0;106,0;115,6;107,4;105,4;98,1;96,4;98,7;102,5
Республика Башкортостан;156,2;120,4;119,5;106,2;141,3;135,0;181,1;100,7;101,7;84,5;105,8;110,7;118,0;106,9;106,5;93,9;93,0;98,2;104,6
Республика Марий Эл;119,6;157,0;143,5;127,5;111,9;133,2;168,0;130,3;110,1;84,9;107,2;109,4;114,9;102,3;101,8;96,0;96,1;94,8;100,8
Республика Мордовия;103,0;138,2;126,3;120,9;152,4;121,5;109,1;168,3;116,1;71,5;99,7;109,5;109,3;104,3;108,4;97,7;94,6;101,7;101,3
Республика Татарстан;120,1;135,0;117,2;112,8;126,6;121,5;175,2;117,9;103,5;88,4;101,7;108,8;119,4;103,5;104,0;97,9;101,4;101,7;105,5
Удмуртская Республика;181,2;115,3;117,9;122,2;119,0;114,2;191,3;115,5;97,7;89,1;100,5;105,4;114,3;106,8;102,2;100,6;94,6;102,7;101,5
Чувашская Республика;130,0;156,4;123,4;116,6;131,9;114,7;163,1;125,1;97,5;86,1;101,8;109,0;115,9;106,5;102,1;97,5;94,9;94,7;98,5
Пермский край;181,6;131,1;108,2;102,0;121,6;126,7;130,4;138,2;106,2;76,7;108,3;105,7;114,9;103,9;105,6;96,7;95,2;101,7;103,5
Кировская область;127,4;158,3;113,3;117,3;117,7;122,1;131,2;118,7;103,8;90,7;98,2;106,8;117,9;108,4;100,7;91,8;91,7;97,6;99,9
Нижегородская область;111,1;120,5;121,3;124,5;133,0;107,6;204,1;117,8;116,5;85,9;103,0;106,0;119,0;110,4;108,7;100,6;96,5;96,3;102,2
Оренбургская область;124,1;129,8;120,5;107,5;117,4;132,9;135,0;128,7;112,3;92,6;101,7;103,7;115,9;105,9;99,9;95,6;94,4;97,1;103,6
Пензенская область;105,8;121,4;154,3;118,1;117,1;105,2;122,3;159,8;108,0;91,7;101,7;104,2;110,0;106,9;103,3;95,3;97,3;97,1;103,2
Самарская область;98,6;120,0;132,7;108,6;103,5;113,5;140,8;135,0;106,7;93,2;95,7;105,2;107,5;101,9;105,8;100,8;93,0;99,2;102,5
Саратовская область;113,8;133,7;120,8;121,0;128,2;114,9;117,2;138,2;113,4;95,8;104,1;106,9;105,1;109,9;108,2;99,3;97,8;103,0;99,2
Ульяновская область;113,4;145,6;137,1;116,4;118,3;121,0;140,7;155,4;108,3;90,5;106,1;106,3;108,7;107,7;105,5;101,6;98,9;96,9;101,5
Уральский      федеральный округ;123,8;170,0;116,0;105,3;122,3;130,6;146,3;120,9;106,2;88,0;100,0;108,1;110,1;104,6;104,9;93,7;95,2;97,6;106,7
Курганская область;134,7;132,3;126,9;105,7;138,0;126,2;107,2;153,7;106,7;75,5;98,1;104,0;112,5;106,0;101,4;93,4;95,2;99,6;99,5
Свердловская область;123,3;186,8;111,5;99,0;123,6;120,9;136,6;122,7;100,9;87,9;97,9;112,1;110,3;103,8;104,2;92,4;95,1;99,5;103,1
Тюменская область;120,4;184,1;116,7;101,8;109,8;133,1;167,7;115,5;104,7;92,6;99,8;105,1;109,6;105,6;107,2;94,8;95,3;96,0;109,8
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский     автономный округ – Югра;174,2;166,0;112,7;98,4;100,4;128,2;184,1;110,2;104,6;89,6;100,3;106,6;111,1;109,2;103,9;97,8;97,1;98,7;104,7
Ямало-Ненецкий       автономный округ;…;…;…;…;…;…;…;115,3;104,4;97,6;102,2;99,8;103,1;108,4;113,3;102,0;94,1;94,4;103,9
Тюменская область     без автономных округов;;;;;;;;;;;;;;101,4;110,0;93,2;95,1;95,7;110,9
Челябинская область;105,7;140,9;138,8;124,0;133,3;146,0;143,1;120,9;120,2;84,6;104,0;104,7;99,8;107,1;101,9;99,6;95,2;96,2;101,9
Сибирский      федеральный округ4);121,1;157,4;121,7;111,4;133,2;123,9;134,0;141,4;107,0;83,4;102,0;107,0;110,8;105,1;105,5;93,9;95,9;99,8;105,9
Республика Алтай;114,0;118,3;141,8;176,4;103,0;100,0;159,2;168,9;119,2;85,1;93,5;100,6;100,9;103,3;108,5;101,8;91,3;99,2;103,6
Республика Тыва;…;…;142,8;148,9;132,9;125,7;123,4;191,0;121,0;89,3;104,6;121,6;111,5;102,7;102,9;98,2;93,7;104,5;103,9
Республика Хакасия;128,9;146,8;130,1;122,7;125,5;135,6;106,5;145,7;139,7;72,2;108,3;109,4;109,5;103,0;111,3;94,4;94,4;100,0;101,1
Алтайский край;129,2;140,9;129,2;108,5;127,6;121,1;153,8;154,7;89,7;80,9;108,5;112,1;119,0;104,4;103,3;94,7;94,2;102,0;104,5
Красноярский край;147,9;176,7;101,2;107,1;149,1;114,9;131,3;156,9;100,7;81,2;108,9;106,3;115,2;103,8;102,7;90,8;97,3;98,6;106,1
Иркутская область;119,7;156,2;121,9;111,0;120,0;118,2;153,0;151,7;100,4;79,8;105,4;117,3;104,1;102,3;108,0;96,5;98,1;100,5;103,8
Кемеровская область;107,0;127,7;134,2;108,8;168,9;134,7;114,4;120,5;119,4;85,0;98,6;94,0;108,6;104,5;99,9;90,6;94,5;99,5;104,5
Новосибирская область;115,2;157,0;133,5;112,9;118,7;124,5;118,9;129,0;105,8;86,4;96,5;116,3;103,9;106,0;108,0;93,6;94,0;99,9;107,9
Омская область;102,5;222,5;116,0;106,5;122,7;131,7;164,3;138,2;101,0;82,7;102,1;106,1;116,9;109,2;102,6;94,0;94,5;97,7;104,3
Томская область;125,8;163,7;125,4;105,4;149,0;123,8;138,2;157,5;113,0;80,8;100,8;110,5;105,8;105,2;104,0;100,9;100,3;102,7;100,3
Дальневосточный     федеральный округ4);118,2;138,2;129,1;121,6;119,2;121,6;124,4;130,4;121,9;90,4;103,4;108,8;118,3;100,7;103,0;99,7;98,9;97,0;107,6
Республика Бурятия;106,4;112,5;125,0;141,5;113,9;102,5;144,4;141,9;110,4;84,0;117,4;121,3;116,0;102,4;101,4;87,0;99,2;107,4;109,0
Республика Саха (Якутия);142,9;152,4;128,9;118,4;122,2;120,0;129,0;123,6;116,1;91,9;102,3;104,8;115,9;107,7;111,2;99,7;96,0;94,9;102,3
Забайкальский край;134,3;145,6;126,0;122,0;125,4;135,9;142,3;136,0;142,6;96,0;95,7;103,5;115,5;108,7;104,3;96,7;102,3;100,2;100,6
Камчатский край;138,7;130,9;108,3;135,6;136,7;151,1;134,2;119,2;145,6;95,4;100,8;92,8;110,8;107,7;103,4;97,8;94,9;100,9;98,0
Приморский край;104,0;112,6;132,5;119,1;113,2;128,4;116,7;127,4;128,7;85,1;102,4;109,9;110,0;101,3;104,7;105,7;96,6;99,0;107,0
Хабаровский край;114,1;139,3;139,3;127,1;125,9;112,2;124,9;142,1;112,8;90,4;106,3;111,1;128,4;96,8;97,1;92,5;101,5;95,9;109,4
Амурская область;133,3;150,7;117,3;122,9;121,4;133,8;110,8;119,9;118,7;107,4;108,7;122,2;105,5;109,6;110,1;102,4;99,9;100,2;112,0
Магаданская область;106,7;104,5;122,9;121,4;95,2;107,9;121,8;137,1;135,0;100,2;100,5;108,8;144,2;120,5;104,1;90,1;99,7;87,3;101,5
Сахалинская область;120,7;211,5;112,0;114,7;110,4;112,7;162,1;135,4;119,7;90,5;100,5;101,9;108,1;103,3;110,4;99,2;103,1;99,3;110,7
Еврейская автономная область;…;…;…;127,0;136,6;116,3;122,8;145,1;130,3;90,1;111,9;117,6;119,3;105,6;107,7;95,5;96,3;97,4;103,3
Чукотский автономный округ;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…
?????;;;;;;;;;;;;;;;;;;;
1) В отдельных субъектах Российской Федерации организации, осуществляющие операции с недвижимостью, отсутствуют или оказывают юридические услуги.;;;;;;;;;;;;;;;;;;;
2) В целях обеспечения статистической сопоставимости данных показатель рассчитан без учета сведений по Республике Крым и г. Севастополю. ;;;;;;;;;;;;;;;;;;;
3) Данные за 2014-2016 гг. приведены без учета сведений по Республике Крым и г. Севастополю.;;;;;;;;;;;;;;;;;;;
4) Данные за 2000-2018 гг. по Сибирскому и Дальневосточному федеральным округам приведены в составе субъектов Российской Федерации до вступления в силу Указа Президента Российской Федерации от 3 ноября 2018 г. № 632.;;;;;;;;;;;;;;;;;;;
