Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;;;;;;;;;;;
УРОВЕНЬ И ДИНАМИКА ЦЕН НА РЫНКЕ ЖИЛЬЯ;;;;;;;;;;;;;;;;;;;
21.8. СРЕДНИЕ ЦЕНЫ НА ПЕРВИЧНОМ РЫНКЕ ЖИЛЬЯ1);;;;;;;;;;;;;;;;;;;
"(на конец года; рублей за квадратный метр общей площади)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;8678;10567;12939;16320;20810;25394;36221;47482;52504;47715;48144;43686;48163;50208;51714;51530;53287;56882;61832
Центральный     федеральный округ;11108;13151;15914;21412;28433;34773;47821;62189;70075;62288;63592;53088;56333;59697;58361;58615;63903;71510;80873
Белгородская область;5172;6346;9033;11532;13733;15793;25843;32837;43430;41572;39340;40383;48877;52931;54621;50275;51663;52808;53988
Брянская область;4742;5386;8354;11532;13978;14996;19021;25714;31930;29328;29373;29219;31772;31849;32575;32058;33139;32294;33001
Владимирская область;5455;7218;9440;13250;16148;18054;29514;35768;41260;36559;36778;38648;39182;39200;40797;38671;35432;35420;34379
Воронежская область;4586;6403;7678;10761;13300;15131;21439;29103;35431;33836;35219;35134;40241;41773;44741;44263;43560;42518;45352
Ивановская область;4948;6369;8428;10261;11921;13403;21173;30224;30675;30155;33100;33088;33059;35424;38251;36169;37630;36747;35452
Калужская область;7136;9351;11775;13568;15671;19962;29057;40032;59922;46563;45207;49924;49178;50698;50671;48115;48558;47841;51996
Костромская область;4434;6010;9229;10278;13530;15481;28927;37394;35372;30506;30649;31840;33465;32474;33635;35861;35451;33961;36866
Курская область;3850;6217;6733;9371;11741;14068;18827;26578;30199;27636;26917;27909;30654;34212;39026;34948;33767;34888;38784
Липецкая область;4794;6476;8681;10894;15722;18505;23701;38407;37843;31116;33595;37429;39770;41650;38836;37429;34331;36207;40767
Московская область;9664;11953;14749;17442;20846;25815;35264;51747;62433;60673;60233;69119;77595;76016;80400;80783;78789;78746;86166
Орловская область;6974;8433;10296;11651;13997;15282;18919;25674;32349;29412;29683;28770;35254;36987;37575;37251;34231;35461;37414
Рязанская область;6458;8005;10194;10964;13410;16565;25495;35955;40551;33849;39561;35221;36005;37278;39477;37751;35892;39139;41464
Смоленская область;5828;5821;6793;9994;12983;14608;21729;26859;33746;28658;31597;35690;39455;41723;41259;40247;38568;39606;39355
Тамбовская область;5098;6370;8896;10567;11822;14060;19599;27983;32253;28083;28580;27961;34153;38989;38177;35214;34849;31727;35367
Тверская область;7986;9630;11202;15260;18418;19121;28894;39446;52343;44954;50688;43422;48074;49788;51166;51130;47753;46296;45141
Тульская область;5645;6486;9687;11184;15813;19507;25885;32107;42720;44161;41216;42152;41795;44597;48995;47032;45140;48618;53971
Ярославская область;6880;9754;12407;14067;18149;19682;39406;43716;45110;37499;37551;41873;50994;55396;52775;48727;46583;46424;47211
г. Москва;16281;21906;24331;35364;47058;58398;88590;113501;127246;131218;144342;129524;129966;151517;174538;182292;155033;153523;172460
Северо-Западный    федеральный округ;8671;10124;12791;17371;21179;24442;37457;58360;64642;66496;55199;52096;59947;65600;68647;67061;74441;77122;81797
Республика Карелия;4928;6566;8660;13040;16337;15787;21654;31647;47168;43094;45787;45889;47602;48139;49672;48923;49752;49012;48733
Республика Коми;5078;7508;9585;12004;15383;20793;39912;42917;41603;40087;39542;43859;52460;57396;60946;54180;50086;47482;44827
Архангельская область;5000;10125;10761;13835;16774;23265;35617;39845;39833;40592;39238;49148;54227;55860;59205;54875;56821;58026;60093
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;…;…;…;…;…;33312;36103;40949;57587;61388;65500;56619;54418;54418;…;…;…;…;67602
Архангельская область    без автономного округа;;;;;;;;;;;;;;56791;59205;54875;56821;58026;58387
Вологодская область;4922;7939;9300;14620;16899;18533;32345;39155;39641;34022;34213;39450;43190;42808;43235;40203;38171;37974;40248
Калининградская область;…;…;…;…;15190;15677;20680;38996;44833;45801;40278;40087;42810;45764;45099;50098;51634;51932;51835
Ленинградская область;5471;6403;8398;11759;15931;18248;22902;30675;47527;52578;48473;50331;49593;52876;53617;57349;54305;53039;53634
