Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;;;;;;;;;;;
УРОВЕНЬ И ДИНАМИКА ЦЕН НА РЫНКЕ ЖИЛЬЯ;;;;;;;;;;;;;;;;;;;
21.9. СРЕДНИЕ ЦЕНЫ НА ВТОРИЧНОМ РЫНКЕ ЖИЛЬЯ1);;;;;;;;;;;;;;;;;;;
"(на конец года; рублей за квадратный метр общей площади)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;6590;9072;11557;13967;17931;22166;36615;47206;56495;52895;59998;48243;56370;56478;58085;56283;53983;52350;54924
Центральный      федеральный округ;8375;11086;14834;18730;23611;28672;55267;69312;86014;83255;98606;71014;86774;84174;87041;79213;73380;70172;71810
Белгородская область;4746;5968;6719;9599;12566;14605;23259;30153;38477;36821;35071;32899;41004;49433;52664;50295;44715;48164;48862
Брянская область;3796;4871;8916;10867;14041;16285;20664;31101;35588;30913;32308;29611;32947;34944;41058;31645;41303;36063;34156
Владимирская область;4665;7020;9337;10935;14747;16522;27383;33064;40026;33986;34974;35800;40588;44475;45392;43602;41766;42035;43366
Воронежская область;5209;6660;7902;9295;12242;14285;24207;26091;32784;34007;34595;37335;44849;47411;48137;46767;45435;44664;43816
Ивановская область;2997;5291;7444;8111;9728;11900;21435;29973;32773;29729;31190;33524;35127;41689;44360;44944;40140;39643;39626
Калужская область;4823;6424;9020;12398;15328;19369;27822;39557;61191;52298;49618;51203;54003;58976;58621;53709;50793;50496;52878
Костромская область;3734;5097;6633;8614;12762;14797;29631;40285;39454;33230;32911;35136;40128;40455;41032;42308;40544;39739;40306
Курская область;3489;4300;7135;10400;…;13757;…;27921;33716;28418;28713;30007;34921;38138;42705;41532;38800;37943;40051
Липецкая область;4807;7872;9382;11897;14989;18103;27123;43207;49143;31436;38599;40152;43212;45507;48960;44051;40874;39013;41091
Московская область;7460;9226;12670;15864;19284;25361;41202;52819;72826;62344;66364;65895;73761;70246;71975;74506;70402;58453;73917
Орловская область;4865;7089;9950;10496;12588;14139;17633;25161;32335;27045;28907;29444;31422;35794;37747;35207;32357;33184;36919
Рязанская область;5611;8964;10644;11889;16316;19382;32015;38005;41612;34963;39677;40136;45384;45077;47228;44455;41152;42015;41990
Смоленская область;5028;5923;7804;10307;12272;16160;24239;28864;35609;28911;28981;34340;36809;33887;35923;36228;34420;36187;33361
Тамбовская область;4453;5823;9212;10444;11343;13826;22509;28372;34247;29265;29232;31371;34907;38759;44099;41358;39975;36082;35316
Тверская область;5482;7365;9097;11567;16542;18632;30345;37512;48546;42652;48031;49748;52602;52413;53614;50334;47449;44795;45624
Тульская область;4963;5575;7712;10047;15020;17647;22294;30261;38574;37269;40116;38380;40455;43747;45615;47949;48578;48629;51429
Ярославская область;6503;9577;13719;13526;18418;19766;33302;36918;45518;37236;39904;43671;49749;52439;52744;48356;43692;43955;44537
г. Москва;15414;20329;26810;34681;42132;52444;101334;127874;155271;158915;170131;163203;176320;177899;191268;187743;180937;173615;171178
Северо-Западный     федеральный округ;6732;8324;10142;13973;19556;22833;36652;44189;55737;56787;61606;49572;51605;54337;56118;52520;53043;51827;52511
Республика Карелия;5162;6679;7925;10373;14146;16021;25045;36668;43669;40698;41700;43576;49388;51300;48489;49293;49580;47094;46866
Республика Коми;4820;7303;9242;11093;15266;21232;36067;45223;44759;39583;39929;42286;52847;58108;59244;57934;57259;55797;54542
Архангельская область;3337;6048;7875;10051;15783;17387;32439;38405;42072;36495;38489;51332;60472;58888;63509;61570;58105;58662;59198
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;…;6418;…;…;19459;23061;32825;48860;58157;58664;60216;64322;69207;71428;74554;83133;79890;68251;63403
Архангельская область    без автономного округа;;;;;;;;;;;;;;57864;62725;60661;57658;58524;59150
Вологодская область;4695;7363;8572;12479;16045;19107;33153;41257;41960;36460;35830;39458;46038;48547;44899;40585;37788;37153;37435
Калининградская область;7286;8285;9973;11690;11903;13716;18240;26520;40116;37331;37929;35078;42907;45681;47513;50687;52405;50110;50960
Ленинградская область;4572;5658;7599;10204;15557;17611;25437;31000;40186;46751;44718;46941;51751;55433;61195;59579;55175;53132;52653
Мурманская область;3435;3785;5441;8095;10180;12888;32475;23519;27613;28489;23638;34209;38090;42370;50718;49077;48776;45235;48985
Новгородская область;4641;6554;8703;10689;13737;15608;26668;31646;38961;34881;34578;34177;40495;42470;43466;46585;40911;40018;39384
Псковская область;3993;5727;7686;10567;14465;14946;20870;29067;33985;31013;33530;38269;37839;42017;43947;37059;38606;37077;36435
г. Санкт-Петербург;10046;11436;13388;19267;27728;32224;48679;58995;79186;84195;80134;87384;83521;86073;90630;82397;89733;88711;94188
Южный            федеральный округ2);5250;6660;8724;11022;13992;18218;22094;32033;43952;40192;47326;46206;49097;49714;51832;52575;53131;53193;53560
Республика Адыгея;3266;4288;6281;7968;9330;10275;13445;22723;29381;26681;27144;27809;28327;33252;38426;37381;36358;34633;40438
Республика Калмыкия;4070;4326;4745;8736;9988;12181;12898;15294;20965;23013;26675;30712;34505;36267;38460;40184;36540;37038;37487
Республика Крым;;;;;;;;;;;;;;;…;47853;52385;54465;57240
Краснодарский край;7043;8223;10711;12234;15690;18662;25972;49398;60141;53715;55192;51784;49142;51141;53175;56729;56698;56238;57032
Астраханская область;4763;5330;7128;9531;11030;13781;17371;25651;33175;30915;29407;27940;33611;36315;41256;44365;42798;36858;35978
Волгоградская область;5124;6526;8940;10539;13235;17564;23285;34140;52100;38949;38896;34777;34203;40567;41558;40551;39064;37919;37357
Ростовская область;5415;7978;9867;12518;16581;20204;28474;34839;43844;45827;43111;46490;51508;53651;54874;52985;53797;53108;52012
г. Севастополь;;;;;;;;;;;;;;;…;75729;75296;65419;66663
Северо-Кавказский    федеральный округ;4138;5103;6961;10127;1244;13894;15959;20628;32605;31584;31469;27508;29812;31394;32178;37515;39274;39193;39689
Республика Дагестан;5134;6394;9086;16333;18627;18041;19476;24576;42021;36755;36993;35040;35854;37281;42205;45967;46391;46536;46795
Республика Ингушетия;2267;4632;6827;7560;8885;9326;10578;17113;17113;18084;20738;24029;25221;30139;30008;34270;34496;33882;33284
Кабардино-Балкарская Республика;3730;4451;4790;5595;7656;11238;13517;20028;32891;38165;38936;33964;34730;35634;37790;39483;40135;37778;31053
Карачаево-Черкесская Республика;2656;2843;3418;4253;11251;12309;12698;15155;23314;27202;25938;25095;28872;34037;40470;44155;41035;40609;41005
Республика Северная Осетия – Алания;4139;4510;7094;7658;8765;10592;12033;16318;21995;23645;27921;29518;33212;36505;38520;40435;41159;39903;…
Чеченская Республика;…;…;…;…;…;…;…;11342;…;18808;19668;26639;24629;34448;38663;42549;44069;44198;44929
Ставропольский край;3970;4866;6489;8763;11108;13469;16438;22935;31919;33984;30496;27859;29679;31264;34153;33426;36219;35859;36574
Приволжский   федеральный округ;6206;8133;10089;11613;14676;17914;30059;37640;40908;35656;36988;38285;44555;48652;50789;50201;48613;44930;47508
Республика Башкортостан;8612;10727;12859;13531;19152;26617;47814;42797;43733;36813;39064;43011;49524;53174;57087;53558;49859;48768;53283
Республика Марий Эл;3082;5307;7625;9865;10854;15218;25655;30028;33759;28887;30820;34427;38737;41487;41940;40677;39136;36749;36969
Республика Мордовия;2832;5237;6192;10048;15435;19159;20188;34933;42103;30103;31092;33834;35478;37876;44522;41660;34931;34002;39137
Республика Татарстан;6221;8389;10196;11930;14754;17855;31667;35134;38076;33169;38203;38387;46437;55829;56457;56868;59748;55641;62031
Удмуртская Республика;5840;7597;10795;13323;16052;18989;34641;36585;36532;32490;32515;32920;39488;42515;44733;45828;43655;44570;44959
Чувашская Республика;4622;7070;8343;9167;12723;15658;27773;34200;33216;28870;29279;31474;35714;40483;42322;41173;39051;37007;36493
Пермский край;8315;10796;11601;10825;13152;16699;26287;46631;48896;30691;34902;37703;47290;43960;41737;40212;41860;42470;53366
Кировская область;4707;7614;8919;11064;13658;16810;24919;33925;34585;33098;31502;34974;40618;44934;44241;42976;40247;40372;38129
Нижегородская область ;6299;7601;9158;12147;16385;17645;36405;42354;47416;40731;43510;46497;55263;60919;65511;65856;64594;61155;61729
Оренбургская область;4979;6462;8416;9707;11220;14554;22136;30440;34873;34401;36302;38832;41578;45761;46805;43705;39574;37594;39875
Пензенская область;3673;4914;9059;10889;12664;13954;18290;32053;37313;35028;32089;34105;36407;39861;41359;40086;38523;38405;40608
Самарская область;7497;9288;12360;13353;15408;18408;33591;46973;51388;49195;46933;41940;47705;49886;51330;52957;49065;44423;44224
Саратовская область;5494;7155;8330;10430;13387;15180;17514;24104;29636;30881;32009;31265;33322;38391;41384;40449;39049;38107;37063
Ульяновская область;3787;5467;7612;9115;10589;12887;18191;29464;33005;29558;30999;33290;35722;38791;43118;44061;42987;41697;42626
Уральский    федеральный округ;5912;10562;12324;13198;15942;22656;31856;42206;44401;39036;41225;44883;56513;54748;58935;57571;54328;53022;57439
Курганская область;4872;5474;7253;7498;10591;14314;17681;30168;35974;31820;30974;34631;38761;41240;42325;39110;36643;36088;36182
Свердловская область ;6559;12914;14262;14419;17706;23816;32435;47009;50536;43337;45150;47745;60221;57592;61949;59446;57055;58949;62819
Тюменская область;5311;9374;11193;15279;16871;23798;41515;50898;49652;45957;47151;47168;52972;54288;58239;58226;53896;49868;54813
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский     автономный округ – Югра;9364;16617;18434;18561;18102;22780;44261;52808;53005;46778;50642;47964;55009;57835;58970;57918;48622;49096;56844
Ямало-Ненецкий   автономный округ;…;…;…;…;…;…;…;49569;50598;49485;54944;43108;46714;47451;58269;60453;56940;48564;56166
Тюменская область   без автономных округов;;;;;;;;;;;;;;52243;57200;58075;54717;50016;54480
Челябинская область;3951;6130;9008;10903;13839;21779;25221;30485;33323;28321;30516;29880;29644;32748;35056;38668;36846;38153;37950
Сибирский      федеральный округ3);5327;8626;10756;11581;15961;20024;26806;38137;40576;34719;39116;42588;46743;47751;51174;48224;45308;44912;49153
Республика Алтай;3913;4893;7162;12623;14361;14448;22825;38509;46688;39780;37157;37028;37603;38436;41785;42897;39757;40600;41158
Республика Тыва;…;…;4821;7044;9390;11967;15014;28905;34921;32036;32911;40759;45709;49312;50982;50173;47508;49462;54845
Республика Хакасия;3701;5757;7746;9909;12956;17601;19655;24499;35567;27222;33718;38858;42930;43839;48810;46129;41768;41711;39676
Алтайский край;5220;7620;10534;12092;14946;18454;23847;35649;33103;27828;31642;36468;43967;46124;47890;43618;41120;41293;44219
Красноярский край;6907;12307;12097;10071;16319;19977;28382;40056;36101;30947;36165;45145;51047;49578;50512;45563;43544;42171;46868
Иркутская область;6907;11163;14309;14687;18001;18870;29085;44402;44090;35594;37144;42547;42753;43320;43593;42630;39848;41171;44434
Кемеровская область;4677;6167;8542;9289;16265;23407;24932;30099;36529;31887;36411;34609;39601;40954;41987;39462;35700;35881;39030
