Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
25. ВНЕШНЯЯ ТОРГОВЛЯ;;;;;;;;;;;;;;;;;;;
22.2. ВНЕШНЯЯ ТОРГОВЛЯ СО СТРАНАМИ СНГ;;;;;;;;;;;;;;;;;;;
22.2.2. Импорт;;;;;;;;;;;;;;;;;;;
"(в фактически действовавших ценах; миллионов долларов США)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;11604;11202;10233;13139;17733;18996;22374;29855;36607;21806;31728;44841;41642;38988;33287;21210;19790;24856;26468
Центральный     федеральный округ;3698,1;3180,1;2635,8;3689,1;4734,4;5823,1;6430,5;9448,8;11795,4;6301,8;9870,3;13720,4;25341,6;22938,6;19599,6;11302,4;11485,8;14883,6;16026,9
Белгородская область;444,3;587,2;430,6;705,7;1088,7;1563,5;1888,1;3236,8;4105,6;1548,3;3499,4;5384,7;4368,3;3383,7;2164,3;1047,1;891,1;1007,6;811,9
Брянская область;82,4;117,6;116,2;316,9;426,2;514,8;489,4;582,5;723,2;266,5;406,0;593,8;936,6;769,5;628,9;328,1;385,9;527,4;504,9
Владимирская область;70,4;92,2;43,2;37,8;30,1;45,5;93,1;110,4;94,1;62,5;76,1;103,1;133,1;189,4;146,2;98,4;99,5;97,1;93,4
Воронежская область;119,5;102,6;74,3;145,8;130,8;129,2;132,6;376,2;519,7;237,4;474,7;542,7;609,7;530,2;430,6;254,1;215,6;264,1;247,7
Ивановская область;170,9;145,6;110,4;108,1;137,7;174,5;176,9;183,3;207,0;181,2;202,6;289,2;257,6;285,4;309,3;236,5;249,6;250,1;258,9
Калужская область;39,1;34,4;48,5;67,2;87,1;134,6;125,5;140,7;225,0;191,0;145,1;213,1;154,7;216,2;202,0;121,4;120,1;119,4;141,1
Костромская область;2,7;1,5;2,3;2,8;14,5;25,5;28,4;34,3;40,0;19,2;19,0;36,1;46,3;64,7;65,8;36,3;37,7;44,7;39,0
Курская область;139,2;114,6;83,4;109,7;120,5;209,7;232,3;259,0;332,2;236,5;348,1;525,6;452,8;461,9;308,7;179,5;149,4;198,8;229,7
Липецкая область;40,1;44,8;40,7;38,9;92,7;142,6;104,6;275,3;296,1;199,0;224,6;243,3;355,2;334,0;240,3;127,5;128,1;195,6;112,3
Московская область;612,5;484,6;340,7;338,8;445,8;543,0;528,0;720,1;814,8;613,8;958,7;1223,9;1898,0;2495,9;2323,3;1496,5;1598,5;2434,9;2841,3
Орловская область;17,8;28,0;39,5;107,5;94,6;96,8;34,7;51,3;78,5;44,0;51,5;65,2;125,1;117,2;174,5;68,7;48,1;57,2;78,9
Рязанская область;14,9;17,6;27,9;51,2;49,6;33,2;41,0;62,1;66,5;27,2;37,0;52,0;60,4;90,6;69,6;38,3;37,2;41,0;62,4
Смоленская область;23,8;21,3;18,0;16,9;34,0;25,1;25,0;46,9;38,4;41,3;66,5;77,0;991,1;1232,9;1264,7;965,2;1017,9;1334,4;1436,7
Тамбовская область;26,4;18,1;14,9;31,8;18,4;14,1;68,4;20,7;26,5;8,2;12,0;24,3;33,9;39,7;37,1;38,6;35,4;47,6;54,9
Тверская область;116,5;58,4;12,1;13,5;23,4;27,9;39,7;30,9;39,5;39,8;91,0;34,7;72,8;86,8;80,5;56,3;50,5;59,1;80,0
Тульская область;40,9;43,4;40,8;57,9;92,2;70,7;76,2;112,7;208,1;114,6;163,9;196,7;498,3;483,7;261,2;83,2;59,9;78,6;136,3
Ярославская область;41,0;37,4;31,3;23,0;34,9;47,4;30,6;29,5;49,9;85,6;57,6;69,2;133,8;148,4;85,1;44,0;38,1;51,3;70,4
г. Москва;1695,7;1230,8;1161,0;1515,6;1813,2;2025,0;2316,0;3176,1;3930,3;2385,7;3036,5;4045,8;14213,9;12008,4;10807,5;6082,7;6323,2;8074,7;8827,0
Северо-Западный    федеральный округ ;378,9;325,6;291,4;383,6;477,8;510,5;512,7;676,9;741,6;539,2;733,6;850,9;1749,8;2727,7;2592,0;1812,8;1698,8;1981,7;2007,2
Республика Карелия;12,5;1,4;1,7;10,6;5,1;2,8;3,3;10,7;4,0;3,3;7,4;28,2;28,9;50,3;41,1;10,4;22,4;13,0;30,1
Республика Коми;8,8;5,0;1,3;1,9;15,0;15,4;6,8;6,2;10,2;7,7;12,7;20,1;30,5;30,6;20,2;13,4;9,6;9,5;19,0
Архангельская область;10,1;5,5;5,0;3,6;9,8;14,6;20,2;23,4;17,6;8,2;9,6;14,8;34,2;39,1;64,5;25,2;21,8;25,4;19,3
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;…;…;…;0,0;-;-;0,0;0,0;0,2;-;-;-;0,0;-;0,0;0,0;-;-;- 
Архангельская область без     автономного округа;…;…;…;3,6;9,8;14,6;20,2;23,4;17,4;8,2;9,6;14,8;34,2;39,1;64,5;25,2;21,8;25,4;19,3
Вологодская область;30,2;25,1;22,4;17,1;41,0;42,6;45,0;44,4;57,0;20,2;31,8;60,9;130,7;146,8;234,1;120,4;104,2;170,0;157,6
Калининградская область;44,7;23,8;33,1;47,1;67,7;92,1;100,6;130,2;146,4;97,6;179,4;110,2;167,9;435,1;292,0;108,8;130,1;133,5;307,4
Ленинградская область;21,6;13,7;13,7;19,1;24,4;22,3;24,6;47,3;51,1;55,5;57,7;30,0;114,3;172,3;175,6;128,6;127,3;189,5;186,6
Мурманская область;4,9;7,4;1,5;11,5;5,8;6,8;3,9;6,0;6,9;9,4;4,7;3,9;24,1;33,3;21,6;12,3;4,7;6,5;4,9
Новгородская область;7,7;6,9;6,1;7,4;7,8;17,4;14,5;11,8;14,4;12,8;9,9;17,7;57,9;126,8;87,4;95,3;26,3;37,8;39,1
Псковская область;6,2;3,4;3,4;4,7;6,4;3,8;5,9;9,3;11,3;4,8;4,3;7,7;56,4;87,6;94,5;56,4;59,3;61,7;49,5
г. Санкт-Петербург;232,2;233,4;203,2;260,6;294,8;292,7;287,9;387,6;422,7;319,7;416,1;557,4;1104,9;1605,8;1561,0;1242,0;1193,1;1334,9;1193,7
Южный            федеральный округ;474,3;566,5;485,4;859,9;1202,1;1681,3;1980,4;2862,5;3581,0;2044,1;2946,9;3750,2;3213,3;3175,3;2429,0;1462,2;1635,0;1799,4;2063,5
Республика Адыгея;0,9;0,7;0,7;0,4;0,3;0,4;0,3;0,6;0,6;2,4;3,9;1,9;3,2;4,0;6,1;6,0;5,1;4,3;4,1
Республика Калмыкия;22,1;23,3;12,0;8,4;15,5;13,5;15,2;21,6;41,5;29,9;29,3;26,8;34,7;19,2;7,1;0,2;0,0;0,0;0,2
Республика Крым;;;;;;;;;;;;;;;4,5;50,7;24,0;28,4;37,7
Краснодарский край;70,3;69,2;82,1;92,1;97,0;154,3;184,8;217,2;504,3;349,9;536,7;440,5;584,8;721,6;585,0;407,7;499,4;684,5;645,1
Астраханская область;16,4;15,9;12,3;17,3;20,1;35,6;40,3;92,6;59,6;103,2;78,1;69,6;44,0;176,9;217,0;16,4;230,0;32,1;23,8
Волгоградская область;84,1;72,3;73,0;184,2;182,1;316,9;232,2;245,1;273,5;230,7;360,4;444,4;542,8;430,0;320,3;250,0;231,1;206,5;267,0
Ростовская область;280,5;385,1;305,3;557,5;887,1;1160,6;1507,6;2285,4;2701,5;1328,0;1938,5;2767,0;2003,8;1823,6;1288,4;723,1;642,2;839,5;1083,1
г. Севастополь;;;;;;;;;;;;;;;0,6;8,1;3,2;4,1;2,4
Северо-Кавказский     федеральный округ;61,4;58,9;74,1;87,5;98,6;221,1;180,9;254,0;360,3;231,9;322,4;516,4;596,5;527,5;479,1;305,4;235,4;225,3;216,5
Республика Дагестан;19,8;13,3;15,3;47,2;46,7;154,4;104,1;148,3;222,8;162,1;212,6;310,1;262,8;246,6;226,0;160,9;104,8;51,5;27,1
Республика Ингушетия;3,0;0,5;0,1;0,0;3,4;1,8;1,3;0,3;0,6;0,7;4,5;9,3;1,8;0,9;0,5;0,9;0,2;0,2;0,7
Кабардино-Балкарская Республика;8,7;2,1;2,1;3,2;4,5;3,3;4,8;9,7;17,2;9,1;8,4;15,8;9,2;13,7;11,0;11,7;8,9;9,5;9,5
Карачаево-Черкесская Республика;2,5;2,0;1,3;1,6;2,0;1,8;2,0;4,9;3,9;2,1;10,0;21,7;20,3;20,4;16,5;13,2;9,6;8,8;8,2
Республика Северная Осетия – Алания;8,5;20,2;27,3;15,9;15,4;28,2;23,7;20,9;20,1;6,4;7,3;12,9;19,8;18,7;11,5;5,5;2,9;5,4;4,4
Чеченская Республика;0,0;-;0,0;-;0,0;-;-;0,0;0,0;0,0;-;1,2;3,3;8,0;1,8;1,5;0,1;1,1;3,4
Ставропольский край;18,9;20,8;28,0;19,6;26,6;31,6;45,0;69,9;95,7;51,5;79,6;145,4;279,3;219,2;211,8;111,7;108,9;148,8;163,2
Приволжский федеральный округ;1202,7;998,3;884,2;1000,0;1313,8;1682,5;1921,4;2591,9;3133,0;2013,8;1991,9;1894,4;3414,8;3826,3;3131,5;2010,7;1477,6;1956,3;1760,3
Республика Башкортостан;71,9;40,1;19,1;45,9;128,2;171,8;161,3;207,6;173,5;196,1;167,7;150,4;371,8;217,2;254,6;130,7;147,0;145,6;134,1
Республика Марий Эл;2,7;3,3;1,7;1,7;0,3;0,3;0,2;0,8;6,3;4,7;8,9;7,7;20,0;15,9;10,1;5,5;4,8;9,2;6,9
Республика Мордовия;3,2;3,9;2,0;3,7;6,9;3,3;4,1;8,9;49,0;5,8;83,8;32,2;98,5;28,1;30,1;17,6;8,9;14,1;24,7
Республика Татарстан;115,1;77,8;57,6;85,4;84,5;90,4;96,2;147,9;168,2;175,1;161,8;314,3;648,7;847,7;607,3;333,7;244,3;378,8;339,4
Удмуртская Республика;40,7;43,4;44,3;50,7;43,7;50,9;23,8;64,4;22,7;11,3;68,0;188,6;173,0;405,2;453,1;258,7;16,1;26,3;32,1
Чувашская Республика;9,5;9,0;7,8;6,7;8,5;15,5;16,6;23,6;27,2;9,4;7,2;15,4;34,9;79,0;56,1;56,7;55,8;55,6;62,1
Пермский край;9,6;7,2;3,6;5,7;5,3;73,1;70,2;70,7;127,5;65,0;54,8;36,1;150,9;153,9;161,6;118,8;111,6;136,4;163,6
Кировская область;87,0;86,8;58,9;99,1;124,5;13,9;12,0;21,0;23,1;8,3;13,1;16,8;33,3;35,0;19,9;11,0;15,1;23,0;24,0
Нижегородская область;486,2;418,7;379,6;413,9;501,2;160,9;83,0;512,8;562,4;447,9;209,5;300,8;474,6;466,9;371,8;226,4;231,4;406,7;259,1
