Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
3.1. РЕАЛЬНЫЕ ДЕНЕЖНЫЕ ДОХОДЫ;;;;;;;;;;;;;;;;;;;
3.1.2. Реальная начисленная заработная плата работников организаций1);;;;;;;;;;;;;;;;;;;
(в процентах к предыдущему году);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;120,9;120,0;116,2;110,9;110,6;112,6;113,3;117,2;111,5;96,5;105,2;102,8;108,4;104,8;101,2;91,0;100,8;102,9;108,5
Центральный федеральный округ;…;123,3;116,7;116,4;111,8;117,2;115,1;120;114,2;96,6;105,8;103,4;108,3;104,3;101,8;90,3;101,7;101,6;108,8
Белгородская область;117,0;118,2;119,2;114,6;106,1;111,5;112,5;114,8;112,3;93,3;105,7;102,4;109,1;103,6;100,1;93,2;100,8;104,5;106,8
Брянская область;116,2;125,0;123,9;110,6;112,2;110,9;112,1;113,4;106,8;95,1;103,2;103,4;113,0;106,6;100,9;89,0;98,5;103,2;107,0
Владимирская область;121,6;119,9;119,8;109,7;104,2;112,3;111,1;119,0;108,5;96,6;103,6;103,2;107,1;106,3;98,4;91,0;99,2;103,6;109,9
Воронежская область;116,7;115,8;117,0;121,8;109,5;109,6;114,2;118,8;113,7;97,0;105,6;103,6;117,1;104,2;101,0;89,1;99,1;102,8;108,7
Ивановская область;117,5;124,3;126,2;109,0;110,4;113,2;112,6;115,1;107,9;99,4;106,0;99,3;111,9;104,0;99,6;87,9;97,6;102,1;106,0
Калужская область;125,9;123,7;117,2;112,2;111,5;110,1;110,1;115,7;111,1;96,0;107,8;104,1;111,6;100,9;100,4;90,3;98,3;103,4;107,8
Костромская область;110,9;120,0;118,6;110,8;107,1;113,5;112,4;113,4;110,4;96,7;100,9;100,8;108,0;105,5;101,0;90,1;98,5;103,1;109,6
Курская область;111,3;111,2;120,2;119,8;111,4;100,4;114,3;115,5;108,0;94,6;104,8;107,1;108,9;107,6;100,5;89,8;98,4;103,8;106,0
Липецкая область;122,1;117,4;113,0;113,3;111,0;112,3;112,6;115,9;105,0;91,7;104,7;102,7;109,1;102,3;100,1;92,1;100,4;105,1;107,8
Московская область;119,5;121,8;117,8;110,5;109,7;113,2;117,9;121,8;115,8;96,5;101,8;104,4;108,3;103,4;99,3;91,1;96,3;105,7;106,5
Орловская область;122,4;120,8;117,7;103,1;110,6;110,7;115,5;117,6;113,3;94,8;104,0;101,3;110,9;106,6;99,8;89,3;98,6;103,5;108,2
Рязанская область;118,0;125,4;123,4;113,7;110,4;109,9;113,5;115,4;110,0;94,0;106,7;100,0;108,7;106,0;101,4;90,0;100,7;101,2;106,5
Смоленская область;115,9;119,0;121,1;109,1;106,7;108,3;109,3;115,3;108,0;95,2;102,5;101,8;105,8;107,0;99,8;90,8;100,4;101,1;108,7
Тамбовская область;112,2;119,0;127,6;115,0;110,7;108,3;113,6;114,6;113,4;100,1;102,9;105,3;112,5;105,0;99,9;90,9;97,9;102,9;106,7
Тверская область;115,8;122,8;122,1;112,6;112,7;106,9;114,0;116,6;111,9;97,4;106,8;101,6;108,4;103,5;97,5;89,3;98,8;102,4;109,8
