Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3.10. СТРУКТУРА СОЦИАЛЬНЫХ ВЫПЛАТ1);2);3)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(в процентах);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;;;;;2001;;;;;2002;;;;;2003;;;;;2004;;;;;2005;;;;;2006;;;;;2007;;;;;2008;;;;;2009;;;;;2010;;;;;2011;;;;;2012;;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;;;2018;;
;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения;пенсии;пособия и социальная помощь;стипендии;страховые возмещения;пенсии;пособия и социальная помощь;стипендии;страховые возмещения;пенсии;пособия и социальная помощь;стипендии;страховые возмещения;пенсии;пособия и социальная помощь;стипендии;страховые возмещения;пенсии;пособия и социальная помощь;стипендии;страховые возмещения
Российская Федерация;62,5;13,9;0,9;22,2;0,5;66,0;12,2;0,8;20,5;0,5;69,4;12,3;0,6;17,5;0,2;70,2;11,2;0,6;17,8;0,2;75,3;10,0;0,7;13,9;0,1;71,5;17,9;0,6;9,9;0,1;69,0;22,4;0,5;8,0;0,1;67,4;25,8;1,0;5,7;0,1;68,5;24,9;1,1;5,2;0,3;66,5;27,5;1,0;4,8;0,2;69,2;26,4;0,7;3,6;0,1;68,6;27,2;0,8;3,3;0,1;70,2;25,6;0,8;3,3;0,1;70,6;25,1;0,9;3,4;70,2;25,3;0,9;3,6;72,2;23,7;0,8;3,3;72,2;23,9;0,8;3,1;73,8;22,5;0,8;2,9;73,9;22,8;0,8;2,5
Центральный   федеральный округ;47,9;8,6;0,4;42,6;0,5;48,0;7,5;0,4;43,6;0,5;53,9;7,9;0,3;37,6;0,3;59,1;8,1;0,4;32,2;0,2;66,1;7,4;0,4;25,9;0,2;66,4;15,8;0,4;17,3;0,1;65,9;22,1;0,5;11,4;0,1;66,7;24,5;1,0;7,7;0,1;66,3;25,1;1,0;6,7;0,9;64,4;27,7;0,9;6,4;0,6;67,9;26,3;0,7;5,0;0,1;67,2;27,4;0,8;4,4;0,2;68,7;25,8;0,8;4,6;0,1;69,0;25,4;0,8;4,8;69,2;25,0;0,8;5,0;71,0;23,8;0,7;4,5;70,9;24,6;0,7;3,8;72,2;23,5;0,7;3,6;71,8;24,2;0,8;3,2
Белгородская область;81,0;16,7;1,3;0,2;0,8;82,5;14,7;0,9;1,2;0,7;83,1;14,6;0,8;1,4;0,1;78,7;12,5;0,8;7,9;0,1;83,6;12,0;1,0;3,3;0,1;73,9;22,5;0,9;2,6;0,1;68,9;27,5;0,7;2,8;0,1;67,3;29,2;0,7;2,7;0,1;70,0;27,0;0,7;2,3;0,0;67,7;29,7;0,4;2,2;0,0;72,0;25,7;0,5;1,8;0,0;72,3;25,3;0,6;1,7;0,1;73,9;23,6;0,7;1,8;0,0;74,4;23,1;0,7;1,8;75,0;22,2;0,8;2,0;75,5;21,8;0,7;2,0;75,5;21,8;0,7;2,0;77,1;20,1;0,7;2,1;78,2;19,4;0,6;1,8
Брянская область;71,4;27,5;0,7;0,1;0,3;79,1;18,8;0,7;1,0;0,4;79,8;18,3;0,6;1,3;0,0;76,8;14,7;0,6;7,9;0,0;88,7;7,6;1,1;2,5;0,1;73,9;22,7;0,9;2,4;0,1;68,1;28,9;0,8;2,2;0,0;65,4;31,6;1,0;2,0;0,0;68,5;28,5;1,0;2,0;0,0;68,1;29,2;0,8;1,9;0,0;71,3;26,7;0,5;1,5;0,0;71,5;26,6;0,5;1,4;0,0;73,9;23,9;0,6;1,6;0,0;74,2;23,4;0,7;1,7;72,5;25,2;0,6;1,7;72,1;25,7;0,6;1,6;74,5;23,2;0,6;1,7;77,1;21,1;0,5;1,3;77,3;20,9;0,6;1,2
Владимирская область;82,8;14,1;0,7;2,0;0,4;84,0;12,2;0,6;2,5;0,7;84,3;12,4;0,5;2,7;0,1;81,3;10,5;0,5;7,7;0,0;86,3;8,9;0,6;4,1;0,1;75,7;20,0;0,6;3,6;0,1;73,0;22,5;0,7;3,7;0,1;69,0;26,6;0,9;3,5;0,0;73,2;22,3;1,0;3,5;0,0;71,6;24,3;1,0;3,1;0,0;72,9;23,7;0,9;2,4;0,1;73,4;23,6;0,7;2,2;0,1;75,1;21,9;0,8;2,2;0,0;74,7;22,3;0,5;2,5;74,3;22,5;0,6;2,6;75,9;21,2;0,5;2,4;76,3;21,0;0,5;2,2;77,3;20,1;0,5;2,1;77,7;19,7;0,4;2,2
Воронежская область;88,7;9,7;1,1;0,1;0,4;88,0;9,5;0,8;1,3;0,4;88,2;9,6;0,6;1,5;0,1;83,1;8,8;0,5;7,5;0,1;87,3;8,5;0,6;3,5;0,1;77,1;18,8;0,5;3,5;0,1;75,0;21,2;0,5;3,2;0,1;71,1;25,0;1,2;2,6;0,1;73,4;22,9;1,2;2,5;0,0;68,5;27,9;1,1;2,5;0,0;72,9;24,2;0,8;2,0;0,1;74,0;23,1;0,9;2,0;0,0;74,9;22,0;0,9;2,2;0,0;74,9;21,9;0,9;2,3;75,1;21,3;1,0;2,6;76,2;20,6;0,9;2,3;76,0;20,6;0,9;2,5;78,1;18,8;0,9;2,2;78,7;18,7;0,9;1,7
Ивановская область;80,5;10,2;1,4;7,7;0,2;82,2;8,7;1,2;7,5;0,4;84,4;10,5;1,0;4,1;0,0;86,2;10,6;1,1;2,0;0,1;86,2;9,6;1,1;3,0;0,1;80,4;15,7;0,8;3,0;0,1;76,1;20,1;0,9;2,9;0,0;74,6;21,2;1,1;3,1;0,0;77,1;18,9;1,0;3,0;0,0;70,1;26,4;0,9;2,6;0,0;75,3;22,0;0,7;2,0;0,0;73,5;23,4;1,1;2,0;0,0;74,7;22,0;1,1;2,2;0,0;76,0;20,6;1,1;2,3;77,0;19,4;1,1;2,5;77,6;18,9;1,0;2,5;77,0;19,0;0,9;3,1;78,7;17,8;0,8;2,7;79,3;17,8;0,8;2,1
Калужская область;81,1;17,4;1,0;0,2;0,3;83,9;13,7;1,0;1,0;0,4;84,5;13,5;0,8;1,2;0,0;84,2;12,6;0,7;2,3;0,2;85,1;11,4;0,8;2,5;0,2;75,9;20,3;0,7;2,9;0,2;73,1;23,4;0,7;2,7;0,1;71,5;25,3;0,5;2,6;0,1;74,3;22,4;0,4;2,8;0,1;71,3;24,7;0,8;3,2;0,0;71,9;25,1;0,6;2,4;0,0;71,5;25,4;0,6;2,4;0,1;71,7;25,3;0,5;2,4;0,1;72,7;24,3;0,5;2,5;72,5;24,4;0,5;2,6;75,0;22,4;0,4;2,2;75,2;22,4;0,5;1,9;77,3;20,6;0,4;1,7;77,1;20,7;0,5;1,7
Костромская область;85,7;12,3;1,0;0,5;0,5;85,9;11,1;1,0;1,2;0,8;85,9;11,7;0,9;1,4;0,1;86,7;10,5;0,8;1,8;0,2;87,0;8,9;1,0;3,0;0,1;77,4;18,7;0,9;2,9;0,1;72,1;23,6;1,1;3,1;0,1;69,9;26,0;1,3;2,8;0,0;72,3;23,5;1,3;2,8;0,1;70,3;26,1;1,1;2,5;0,0;71,1;26,3;0,7;1,8;0,1;69,2;28,5;0,7;1,6;0,0;71,6;26,0;0,7;1,7;0,0;73,1;24,6;0,7;1,6;73,4;24,4;0,7;1,5;74,8;23,0;0,6;1,6;75,0;23,1;0,5;1,4;76,5;21,6;0,5;1,4;77,2;21,1;0,5;1,2
