Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
3.  УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
"3.14. ПОТРЕБИТЕЛЬСКИЕ РАСХОДЫ В СРЕДНЕМ НА ДУШУ НАСЕЛЕНИЯ1);2)";;;;;;;;;;;;;;;;;;;
"(в месяц; рублей)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;1723;2284;2890;3569;4472;5627;7005;8727;11020;11795;13192;15264;17232;20758;22486;23368;23912;25228;26780
Центральный      федеральный округ;2754;3581;4390;5298;6463;7797;9406;11280;13801;15014;16907;19663;22052;26169;28647;29894;30586;32606;34902
Белгородская область;1191;1454;1745;2092;2651;3357;4514;6000;8100;9154;10488;12088;14246;17248;19230;20339;21803;23121;24596
Брянская область;926;1253;1647;2087;2691;3402;4336;5581;7341;8146;9589;11728;13242;15918;17865;19431;20117;21167;22871
Владимирская область;803;1034;1267;1602;2018;2630;3608;4998;6561;7125;8413;10027;12117;14463;15982;16980;17713;18638;19761
Воронежская область;1162;1595;1908;2333;2940;3746;4363;5450;7540;8551;10060;12228;14872;18529;20920;22544;23580;25022;26530
Ивановская область;759;944;1238;1533;1948;2419;3234;4161;5977;6321;7597;9601;11948;14508;16221;16957;17112;18254;19407
Калужская область;921;1308;1813;2453;3250;4129;5231;6747;8534;9228;10675;12886;14525;17151;19029;20144;21024;21892;23354
Костромская область;916;1149;1507;1868;2423;2954;3776;4811;6143;6623;8250;9691;10768;13618;15587;16631;17784;18490;19569
Курская область;1015;1289;1589;2048;2717;3452;4679;6051;7739;8517;9580;11276;12861;15016;16955;18725;19314;20010;21566
Липецкая область;1330;1623;1954;2376;3099;3841;4893;6251;8360;9486;10851;12820;14556;17689;19079;20898;21928;23184;24919
Московская область;1541;2014;2648;3388;4755;6077;8019;10400;13593;13870;15673;18209;20553;23007;25576;27730;29677;32159;35199
Орловская область;1098;1437;1913;2290;2790;3498;4027;5172;6881;7363;8692;10354;11663;13527;14993;17398;18076;19064;20217
Рязанская область;898;1228;1666;2133;2726;3360;4164;5467;7479;8187;9211;10772;12233;14411;16390;17129;17528;18466;19709
Смоленская область;1343;1767;2181;2630;3127;3966;4895;6134;8002;8878;10318;11695;13045;15158;16877;18314;18170;19202;20633
Тамбовская область;1135;1465;1798;2226;2776;3673;4593;5971;8163;8799;9721;11362;13089;15785;17213;18718;19832;20785;21764
Тверская область;950;1233;1620;2117;3097;4514;5523;6486;8253;8937;10018;11388;13008;15974;17914;18787;19037;19363;19992
Тульская область;919;1203;1566;1992;2633;3402;4360;5863;8042;8838;10433;12048;13551;15820;17509;19164;19808;21067;22394
Ярославская область;1102;1439;1827;2247;2843;3752;5078;6521;8082;8515;9468;11277;12787;15772;17195;18620;18546;20167;21314
г. Москва;7258;9272;10988;12833;14785;16961;19377;21846;24960;27418;30195;34585;37488;44670;47966;48277;48047;51069;54130
Северо-Западный федеральный округ;1619;2203;2826;3455;4502;5804;7156;8905;11207;12065;13680;15517;17436;21323;22963;24889;25756;27139;28861
Республика Карелия;1442;1884;2544;3080;3871;4757;5854;7075;8460;9179;10514;12264;13937;18006;18761;19843;20662;21934;23733
Республика Коми;1840;2940;3671;4613;5942;7434;9192;11150;13204;12634;13963;16099;17954;22027;22368;22006;21645;21877;23220
Архангельская область;1246;1853;2385;2941;3787;4791;5954;7489;9611;10694;11971;14108;15524;19649;21928;23698;24566;25620;27662
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;1297;2228;2590;3354;4035;5264;6872;8941;11278;13349;14291;16172;18478;22028;25016;27705;27782;29232;30516
Архангельская область без автономного округа;;;;;;;;;;10602;11889;14034;15416;19561;21812;23545;24441;25478;27549
