Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.16. СТРУКТУРА ПОТРЕБИТЕЛЬСКИХ РАСХОДОВ ДОМАШНИХ ХОЗЯЙСТВ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(по итогам выборочного обследования бюджетов домашних хозяйств; в процентах)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;;;;2001;;;;2002;;;;2003;;;;2004;;;;2005;;;;2006;;;;2007;;;;2008;;;;2009;;;;2010;;;;2011;;;;2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;;2018;;;
;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг
Российская Федерация;49,4;2,5;34,3;13,8;48,3;2,4;34,4;14,8;44,0;2,2;36,2;17,5;40,7;2,2;37,3;19,8;39,5;2,1;37,2;21,2;36,0;38,6;1,9;23,5;34,0;1,9;38,8;25,2;31,2;1,7;41,7;25,4;32,0;1,6;40,9;25,5;33,7;1,7;37,8;26,8;32,9;38,7;1,7;26,7;32,6;1,7;39,3;26,4;31,4;40,9;1,7;26,0;31,2;40,8;1,7;26,3;31,9;40,1;1,7;26,3;35,4;36,4;1,8;26,4;35,5;35,5;1,7;27,3;34,3;37,1;1,6;27,0;33,5;37,0;1,6;27,9
Центральный     федеральный округ;49,7;2,2;33,5;14,6;51,4;2,1;32,1;14,5;46,3;1,7;33,4;18,7;42,5;1,7;35,0;20,8;41,3;1,9;34,3;22,5;37,3;35,7;1,7;25,3;34,3;2,1;36,0;27,6;31,1;1,6;38,2;29,1;30,1;1,4;39,4;29,1;30,7;1,3;39,4;28,6;30,6;39,5;1,4;28,4;30,5;1,6;38,6;29,3;29,7;40,1;1,7;28,6;30,4;39,0;1,6;29,0;31,4;37,8;1,6;29,2;34,5;35,5;1,8;28,2;35,0;33,9;1,7;29,3;32,8;37,5;1,6;28,1;31,6;37,2;1,6;29,6
Белгородская область;58,0;2,3;27,2;12,5;58,0;2,9;24,9;14,2;54,4;2,3;26,3;17,0;47,5;2,1;31,6;18,7;46,6;2,0;30,8;20,6;37,6;34,4;1,4;26,6;34,5;1,4;40,1;24,1;34,2;1,7;37,6;26,4;35,2;1,6;38,5;24,7;39,0;1,5;32,6;27,0;36,4;36,4;1,6;25,5;32,4;1,4;42,4;23,8;31,9;46,2;1,5;20,4;32,3;42,6;1,5;23,6;33,9;42,0;1,7;22,5;35,3;39,5;1,5;23,7;31,8;42,0;1,2;25,0;33,7;42,0;1,3;23,0;32,3;44,0;1,3;22,4
Брянская область;58,7;2,4;28,5;10,4;55,7;1,7;30,8;11,8;50,3;1,7;33,2;14,9;47,9;1,8;32,2;18,1;48,1;2,2;32,5;17,2;47,0;32,2;1,5;19,3;42,1;1,5;32,9;23,5;34,1;1,2;45,3;19,4;37,2;1,4;38,7;22,7;42,0;1,4;33,7;22,9;41,2;33,3;1,4;24,1;38,9;1,0;35,6;24,5;39,1;38,4;1,6;20,9;41,0;33,8;1,6;23,7;42,4;30,3;1,5;25,7;43,9;30,6;1,5;24,0;47,4;30,7;1,6;20,2;43,4;31,8;1,3;23,4;38,4;38,3;1,5;21,8
Владимирская область;57,2;2,1;29,4;11,3;58,3;2,0;27,1;12,6;53,2;2,0;30,1;14,6;50,5;1,9;29,5;18,1;49,2;2,1;29,2;19,5;46,2;30,1;1,9;21,8;40,2;1,6;34,6;23,6;33,0;1,3;43,6;22,2;34,5;1,6;40,3;23,6;38,7;1,5;32,5;27,3;36,6;35,2;1,4;26,8;35,3;1,4;38,6;24,7;35,9;36,7;1,3;26,0;36,2;34,5;1,5;27,8;36,6;33,8;1,4;28,2;38,1;32,1;1,2;28,5;38,0;33,0;1,1;27,9;37,4;35,3;1,3;26,0;37,7;33,5;1,1;27,7
Воронежская область;47,0;1,8;37,4;13,8;47,4;2,0;36,1;14,6;46,5;1,7;36,1;15,7;40,8;1,9;40,2;17,1;43,1;2,2;38,2;16,5;40,9;37,6;2,1;19,4;37,3;1,8;40,1;20,8;30,5;1,9;50,9;16,7;32,3;1,1;45,9;20,6;34,6;2,0;37,3;26,1;37,2;39,8;1,4;21,6;37,8;1,6;40,9;19,7;38,6;37,6;2,2;21,5;35,2;45,5;1,5;17,9;34,9;43,5;1,8;19,8;38,4;36,3;2,1;23,2;36,4;40,2;1,7;21,7;33,1;42,4;1,3;23,2;32,7;40,2;1,1;25,9
Ивановская область;62,6;1,8;22,9;12,7;62,2;1,9;22,1;13,8;55,3;1,6;26,2;16,9;51,8;1,6;27,4;19,2;49,5;1,9;25,7;22,9;47,7;23,4;1,7;27,2;44,1;1,8;27,0;27,1;41,8;1,5;32,1;24,6;44,2;1,5;30,9;23,4;44,6;1,4;26,2;27,8;42,7;27,0;1,4;28,9;40,3;1,6;31,3;26,8;35,5;38,8;2,0;23,7;36,8;38,6;2,0;22,5;35,1;41,8;2,3;20,8;38,1;36,1;2,4;23,4;34,4;35,8;2,8;27,0;31,4;41,0;2,3;25,3;31,4;39,2;2,4;27,0
Калужская область;53,8;2,2;32,4;11,6;51,4;2,0;34,4;12,2;47,9;1,7;34,1;16,3;41,4;1,7;38,7;18,1;41,3;2,0;39,2;17,6;39,0;38,8;1,7;20,5;36,2;1,6;40,8;21,4;31,3;2,0;43,6;23,0;26,1;1,6;48,5;23,8;31,4;1,9;42,3;24,4;31,0;44,0;1,7;23,3;35,4;1,6;39,4;23,7;31,3;44,4;1,9;22,4;33,2;40,8;1,5;24,5;29,3;37,4;1,2;32,1;38,1;35,5;1,9;24,5;38,4;37,9;1,5;22,2;36,5;40,5;2,2;20,9;31,9;45,4;1,3;21,3
Костромская область;58,9;2,7;27,8;10,6;55,6;2,8;28,9;12,7;47,0;2,5;34,6;15,9;47,0;2,4;32,1;18,5;44,8;2,2;33,2;19,9;40,6;32,5;2,5;24,4;36,1;2,7;35,2;26,0;35,4;2,2;36,7;25,6;33,7;1,7;39,6;25,0;37,5;1,8;32,6;28,1;35,3;37,3;2,1;25,2;36,0;2,1;36,5;25,4;31,6;43,4;1,7;23,2;33,1;41,2;2,1;23,6;36,3;37,2;2,4;24,1;38,3;37,2;2,3;22,2;37,6;40,0;2,0;20,4;35,6;39,3;2,2;22,9;36,6;37,2;2,3;23,9
