Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
3.17. ЧИСЛО СОБСТВЕННЫХ ЛЕГКОВЫХ АВТОМОБИЛЕЙ на 1000 человек населения1);;;;;;;;;;;;;;;;;;;
"(на конец года; штук)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация ;130,5;137,2;145,8;153,0;158,9;168,4;177,0;194,4;212,3;219,4;228,4;242,0;257,5;273,1;283,3;288,8;294,0;305,0;309,1
Центральный федеральный округ;140,4;153,0;162,7;167,2;172,8;185,1;194,3;209,4;229,5;235,4;249,2;264,0;279,2;284,6;297,2;301,9;308,7;315,9;315,5
Белгородская область;136,5;147,0;157,3;145,2;152,7;160,4;169,5;184,5;203,1;208,4;213,2;226,4;245,7;288,4;304,3;308,8;317,3;328,7;322,9
Брянская область;58,3;62,1;66,9;70,8;77,3;82,4;89,7;99,2;115,5;120,4;125,1;129,4;139,3;166,6;186,8;192,6;199,3;208,4;202,3
Владимирская область;104,6;112,8;118,0;123,5;128,8;137,5;145,3;163,3;181,9;191,3;206,6;223,6;238,4;266,3;272,8;288,4;274,4;286,1;296,2
Воронежская область;166,8;172,9;175,8;174,9;181,3;181,4;180,9;199,8;218,0;222,2;232,4;249,8;280,2;283,7;289,2;326,1;328,2;334,7;346,7
Ивановская область;97,5;93,8;92,9;101,5;106,3;116,9;124,4;140,0;151,1;154,6;176,0;183,1;196,5;223,7;241,1;249,2;257,5;269,3;283,2
Калужская область;114,9;121,0;126,7;135,8;144,5;161,3;174,6;186,8;213,1;224,5;229,5;240,7;276,8;290,3;306,0;314,5;313,0;336,9;315,0
Костромская область;97,9;105,0;114,7;117,9;124,7;135,8;151,8;167,7;196,2;197,3;205,5;225,1;235,9;252,6;266,4;279,3;287,6;300,1;292,7
Курская область;110,3;114,7;121,9;126,6;133,4;141,5;151,3;167,2;184,9;193,5;203,4;254,2;237,0;250,5;299,4;304,6;311,1;322,4;314,2
