Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;
ПОТРЕБЛЕНИЕ ПРОДУКТОВ ПИТАНИЯ;;;;;;;;;;;;;;;;;;;;
"3.18. ПОТРЕБЛЕНИЕ МЯСА И МЯСОПРОДУКТОВ (включая субпродукты II категории и жир-сырец) на душу населения1);2)";;;;;;;;;;;;;;;;;;;;
"(в год; килограммов)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;45;47;50;52;54;55;58;61;66;66;69;71;74;75;74;73;74;75;75;
Центральный федеральный округ;50;52;54;56;57;59;62;65;70;71;76;77;81;83;82;81;81;83;83;
Белгородская область;57;59;62;64;66;72;80;84;88;89;92;93;97;98;97;95;95;96;95;
Брянская область;56;57;58;58;58;59;60;60;61;61;61;61;62;63;64;64;65;65;66;
Владимирская область;30;33;35;36;37;37;41;45;50;52;56;56;59;60;60;57;57;59;60;
Воронежская область;43;45;49;50;50;49;53;55;59;64;72;76;83;91;89;90;92;94;95;
Ивановская область;37;39;40;41;42;43;49;52;53;53;54;54;56;57;57;56;56;56;59;
Калужская область;43;45;48;50;53;52;53;59;65;64;66;68;71;75;76;76;78;79;81;
Костромская область;37;38;40;40;39;37;40;42;46;45;44;44;43;43;43;48;50;54;57;
Курская область;55;57;59;59;60;57;59;63;68;70;74;75;77;80;81;82;83;84;86;
Липецкая область;42;45;50;49;50;55;59;63;65;66;69;70;73;76;76;76;77;79;79;
Московская область;56;57;58;62;66;71;76;79;88;91;97;100;104;107;106;106;106;106;105;
Орловская область;69;74;78;80;79;80;77;76;80;81;80;78;79;81;80;75;75;77;79;
Рязанская область;50;52;54;55;53;53;55;55;57;57;59;59;62;64;60;59;58;57;58;
Смоленская область;41;44;47;48;48;49;49;51;53;51;54;56;59;64;64;60;61;64;65;
Тамбовская область;50;49;50;53;53;53;55;60;60;60;62;64;71;74;74;74;77;81;81;
Тверская область;36;37;40;42;45;48;50;53;58;58;62;67;71;73;72;72;73;75;75;
Тульская область;45;48;49;52;54;56;58;59;60;61;62;62;66;66;63;62;63;66;67;
Ярославская область;44;45;51;56;60;63;68;71;77;77;77;78;82;86;85;84;83;83;83;
г. Москва;56;58;59;59;59;61;64;67;73;73;81;80;83;83;81;81;79;81;82;
Северо-Западный федеральный округ;41;43;50;51;52;54;58;61;67;66;69;72;74;76;75;74;75;76;76;
Республика Карелия;43;45;53;55;57;60;65;66;70;68;68;70;71;73;73;71;71;72;72;
Республика Коми;51;55;61;62;62;65;66;71;76;74;76;80;81;80;80;80;81;81;82;
Архангельская область;27;29;37;38;40;41;44;48;51;50;53;58;62;66;64;64;64;64;64;
Вологодская область;44;47;57;57;58;55;59;62;67;63;66;71;73;74;72;72;74;72;74;
Калининградская область;53;56;60;62;62;64;69;72;79;81;83;84;95;95;92;88;88;89;87;
Ленинградская область;41;41;45;47;46;47;53;58;62;64;71;74;77;77;78;78;78;78;78;
Мурманская область;32;33;36;42;49;53;56;63;69;68;70;76;79;81;80;76;76;77;77;
Новгородская область;39;42;48;50;50;51;52;55;61;64;65;68;72;74;74;75;75;75;75;
Псковская область;48;50;54;57;59;64;65;68;72;74;77;77;81;88;87;86;90;93;94;
г. Санкт-Петербург;41;43;50;51;50;53;58;61;67;67;69;71;70;71;70;70;72;73;73;
Южный              федеральный округ;41;44;48;51;53;55;59;65;68;68;72;74;77;78;75;73;74;75;75;
Республика Адыгея;32;34;35;38;39;41;44;46;51;54;59;63;69;70;69;68;68;68;69;
Республика Калмыкия;56;61;67;76;82;85;89;98;100;104;115;117;119;118;116;118;119;115;117;
Республика Крым;;;;;;;;;;;;;;;55;51;51;53;53;
Краснодарский край;40;45;49;53;53;54;58;66;68;68;73;76;79;81;81;81;82;83;84;
Астраханская область;49;48;51;53;56;56;60;64;71;72;74;77;78;81;82;81;81;80;80;
Волгоградская область;49;51;54;58;58;61;66;68;68;69;73;74;76;76;75;73;74;75;75;
Ростовская область;36;38;42;45;49;51;55;61;65;66;68;70;72;72;72;70;72;72;73;
г. Севастополь;;;;;;;;;;;;;;;55;55;56;61;60;
Северо-Кавказский       федеральный округ;33;33;36;37;38;40;43;45;48;49;52;54;57;60;61;61;62;63;63;
Республика Дагестан;23;22;25;25;27;30;33;33;35;35;35;36;38;40;44;44;46;49;50;
Республика Ингушетия;26;25;26;28;31;32;35;41;49;51;45;49;52;54;54;53;56;58;55;
Кабардино-Балкарская Республика;34;34;37;39;40;42;43;49;48;50;52;59;61;66;70;69;71;68;67;
Карачаево-Черкесская   Республика;36;38;41;43;43;43;47;50;56;56;62;63;64;64;63;59;57;58;56;
Республика Северная Осетия - Алания;41;43;44;48;49;50;54;58;65;57;64;67;71;72;64;67;68;61;61;
Чеченская Республика;…;…;…;…;…;…;…;39;41;45;50;50;55;58;59;61;62;63;64;
Ставропольский край;39;41;43;44;47;48;51;54;59;62;66;68;74;78;78;77;78;77;80;
Приволжский федеральный округ;45;47;50;52;54;54;57;59;62;63;66;67;69;71;71;69;71;72;73;
Республика Башкортостан;55;57;58;61;62;63;66;68;73;75;78;76;76;77;77;74;76;78;78;
Республика Марий Эл;42;44;46;48;48;49;52;56;60;63;67;71;79;92;92;95;94;95;95;
Республика Мордовия;43;45;49;51;51;51;56;61;66;67;70;72;73;82;80;76;77;78;78;
Республика Татарстан;49;50;52;55;57;59;62;66;70;71;73;74;78;80;80;79;81;81;81;
Удмуртская Республика;44;43;46;49;50;50;53;56;60;62;62;64;67;70;70;69;70;70;71;
Чувашская Республика;46;47;50;53;53;53;54;54;56;57;56;60;64;68;68;68;66;68;68;
Пермский край;48;48;50;52;53;52;54;56;57;58;59;60;61;62;61;61;62;63;62;
Кировская область;53;54;56;56;56;56;57;59;60;61;63;64;66;68;68;66;67;67;68;
Нижегородская область ;34;37;44;47;48;50;54;53;59;60;66;67;71;73;72;72;76;80;80;
Оренбургская область;44;48;50;54;58;57;60;62;64;65;65;66;68;70;70;68;69;70;69;
Пензенская область;42;43;46;49;50;53;55;59;62;60;64;67;71;75;75;70;72;75;76;
Самарская область;41;42;44;48;52;53;56;58;58;57;58;59;60;64;64;65;65;66;66;
Саратовская область;47;49;52;53;54;52;54;56;60;63;65;68;68;64;61;57;57;59;62;
Ульяновская область;39;42;44;45;44;44;46;47;49;50;54;58;64;68;66;61;62;63;64;
Уральский  федеральный округ;44;46;49;50;53;54;57;60;65;65;66;67;69;71;70;69;69;70;70;
Курганская область;49;50;53;55;55;56;62;66;70;70;68;68;71;72;70;67;67;68;69;
Свердловская область ;46;47;50;53;56;58;61;66;72;71;75;76;77;79;78;78;78;79;79;
Тюменская область;37;37;39;40;42;43;43;44;49;50;50;51;56;59;58;54;54;54;56;
Челябинская область;48;52;55;57;58;60;64;66;70;70;71;71;73;73;75;74;74;74;74;
Сибирский федеральный округ;45;47;51;54;55;56;59;63;66;66;67;69;72;72;71;68;69;71;71;
Республика Алтай;59;60;64;65;65;65;66;69;73;76;77;76;82;88;86;89;91;97;101;
Республика Тыва;40;43;43;44;47;48;50;51;54;56;55;56;57;58;58;56;60;61;61;
Республика Хакасия;52;51;54;57;58;60;63;66;67;66;65;67;70;70;66;63;61;66;67;
Алтайский край;40;41;45;52;54;54;57;62;63;62;63;65;68;68;66;61;62;62;63;
Красноярский край;50;51;54;59;61;62;64;73;78;76;75;76;77;77;76;71;75;80;82;
Иркутская область;47;48;50;51;52;53;55;57;61;61;62;66;69;70;70;68;68;67;68;
Кемеровская область;39;40;44;47;47;51;55;59;62;64;64;67;72;73;71;71;71;71;70;
Новосибирская область ;42;43;48;48;51;50;51;52;59;61;62;65;67;67;68;65;66;69;71;
Омская область;54;58;67;70;70;70;72;76;77;76;78;79;83;83;84;77;75;76;76;
Томская область;38;40;52;53;53;53;57;61;65;64;64;64;68;68;68;66;67;67;67;
Дальневосточный федеральный округ;46;49;53;55;57;58;62;64;68;69;71;73;76;77;76;75;76;76;76;
Республика Бурятия;51;51;53;53;51;53;54;57;59;59;62;63;66;66;65;64;63;66;64;
Республика Саха (Якутия);72;75;82;83;83;82;83;83;85;86;88;88;89;90;88;87;87;87;88;
Забайкальский край;45;47;52;60;60;61;64;66;67;67;68;68;72;72;73;72;73;71;71;
Камчатский край;47;51;53;55;56;58;61;65;69;68;70;73;75;76;73;70;69;70;72;
Приморский край;39;40;40;43;45;47;52;57;63;64;67;70;75;79;80;82;82;83;82;
Хабаровский край ;46;51;57;60;63;64;68;71;76;77;77;79;82;81;80;76;79;77;77;
Амурская область;36;37;40;43;46;48;50;52;56;57;57;61;63;66;65;64;64;61;65;
Магаданская область;48;52;56;58;61;65;66;70;73;70;72;76;77;84;83;78;82;80;81;
Сахалинская область;49;57;67;69;70;72;79;80;88;88;87;88;91;90;86;84;83;87;88;
Еврейская автономная область;27;29;33;36;39;43;47;47;52;52;53;54;58;58;57;55;54;52;53;
Чукотский автономный округ;30;35;33;34;37;35;38;42;48;48;53;51;53;53;51;46;46;44;46;
??????;;;;;;;;;;;;;;;;;;;;
1) Данные по автономным округам, входящим в состав областей, не разрабатывались в связи с отсутствием информационной базы.;;;;;;;;;;;;;;;;;;;;
2) 2007-2017 гг.- данные пересчитаны с учетом итогов Всероссийской сельскохозяйственной переписи 2016 года.;;;;;;;;;;;;;;;;;;;;
