Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
3.  УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
ПОТРЕБЛЕНИЕ ПРОДУКТОВ ПИТАНИЯ;;;;;;;;;;;;;;;;;;;
3.21. ПОТРЕБЛЕНИЕ САХАРА на душу населения1);;;;;;;;;;;;;;;;;;;
"(в год; килограммов)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;35;35;36;36;37;38;39;39;39;37;39;40;40;40;40;39;39;39;39
Центральный федеральный округ;37;37;37;38;39;40;41;42;43;42;43;44;44;44;44;43;42;42;43
Белгородская область;51;50;49;47;46;48;49;49;49;50;49;50;49;48;47;47;47;47;46
Брянская область;31;31;33;33;34;36;36;36;35;35;33;34;34;33;34;32;33;32;34
Владимирская область;33;31;32;31;33;35;36;37;37;36;38;39;39;36;36;33;30;31;32
Воронежская область;52;51;52;53;52;52;51;51;50;48;50;50;48;47;49;50;52;52;51
Ивановская область;33;33;33;30;31;32;33;34;33;31;31;30;30;29;30;30;28;28;28
Калужская область;28;28;28;28;30;29;30;31;31;30;30;30;30;31;30;29;30;31;29
Костромская область;25;25;25;25;26;26;26;25;25;25;25;25;26;26;27;27;28;28;29
Курская область;52;51;50;50;50;48;49;49;50;51;48;49;50;50;50;50;53;55;56
Липецкая область;56;57;56;56;59;56;56;54;54;53;54;54;54;55;55;55;55;55;54
Московская область;34;33;34;35;37;40;42;44;46;47;49;53;56;56;56;55;45;44;45
Орловская область;54;34;34;35;35;37;37;38;39;38;37;38;40;40;40;39;39;40;39
Рязанская область;32;33;32;33;34;35;34;35;34;35;34;36;36;36;35;34;35;37;36
Смоленская область;43;41;43;41;41;43;42;42;44;42;45;44;45;45;44;40;39;38;39
Тамбовская область;60;59;60;59;59;60;58;58;58;57;58;57;57;57;56;56;54;54;54
Тверская область;33;33;34;34;38;41;41;42;44;42;42;44;44;42;43;43;44;42;41
Тульская область;34;32;33;34;34;33;31;30;32;32;31;33;33;32;32;34;36;34;33
Ярославская область;33;34;34;35;38;42;44;45;46;46;45;46;47;48;47;47;47;47;48
г. Москва;31;33;33;35;37;38;39;40;41;39;42;42;42;41;41;40;41;41;42
Северо-Западный    федеральный округ;34;37;37;37;38;39;39;39;39;38;38;38;39;38;38;38;38;38;38
Республика Карелия;36;36;37;37;37;40;42;44;44;43;40;42;42;42;42;42;42;43;42
Республика Коми;46;50;51;52;50;46;45;45;44;40;39;39;40;38;38;35;35;36;34
Архангельская область;33;34;35;34;37;38;38;39;40;40;39;39;40;40;40;38;40;39;39
Вологодская область;33;33;33;34;35;36;38;39;39;37;36;37;40;41;41;40;40;42;40
Калининградская область;35;36;37;39;40;41;43;43;43;42;42;42;43;43;43;44;45;45;45
Ленинградская область;36;39;40;42;43;45;45;44;44;44;41;40;41;40;38;39;40;39;39
Мурманская область;32;32;33;33;35;35;36;37;38;36;37;37;37;36;36;34;34;34;34
Новгородская область;31;31;35;34;36;40;38;40;40;41;38;40;40;40;41;40;41;39;39
Псковская область;37;36;37;37;41;45;43;41;41;39;37;37;37;36;37;36;35;36;37
г. Санкт-Петербург;33;37;37;34;34;37;35;35;35;33;35;35;36;36;37;37;37;37;37
Южный              федеральный округ;40;40;41;41;41;42;41;42;42;41;42;42;43;43;42;41;41;42;42
Республика Адыгея;59;60;59;57;56;56;54;52;52;53;52;52;49;50;48;47;48;47;47
Республика Калмыкия;31;31;28;26;28;28;28;28;28;27;28;28;28;27;26;26;27;26;26
Республика Крым;;;;;;;;;;;;;;;38;38;38;38;38
Краснодарский край;49;49;50;50;50;50;50;50;50;49;49;49;49;49;49;49;50;50;50
Астраханская область;46;46;46;44;44;45;46;45;46;42;41;40;41;42;42;40;40;42;42
Волгоградская область;26;24;25;26;27;28;27;29;29;31;32;32;34;34;34;34;34;35;35
Ростовская область;36;36;37;38;38;38;38;40;40;38;40;40;40;40;40;39;37;39;40
г. Севастополь;;;;;;;;;;;;;;;31;29;27;27;27
Северо-Кавказский       федеральный округ;39;38;39;41;43;44;45;44;44;44;44;45;44;43;43;43;42;42;42
Республика Дагестан;36;34;35;37;38;39;39;38;38;38;38;38;39;39;39;39;40;40;40
Республика Ингушетия;46;41;42;42;45;47;49;50;51;50;39;41;41;40;41;40;40;41;39
Кабардино-Балкарская         Республика;35;35;35;38;40;41;40;41;42;42;40;41;41;41;45;45;45;45;46
Карачаево-Черкесская        Республика;28;27;28;29;30;31;35;36;36;36;41;40;44;38;39;35;34;34;33
Республика Северная       Осетия - Алания;42;44;45;48;49;49;49;50;46;47;48;48;47;47;47;46;45;45;45
Чеченская Республика;…;…;…;…;…;…;…;39;39;40;39;40;40;41;41;41;41;41;42
Ставропольский край;42;42;44;47;50;51;52;53;53;53;54;55;50;50;49;48;45;45;44
Приволжский     федеральный округ;36;35;36;35;36;37;37;37;38;36;36;37;38;38;38;36;36;36;37
Республика      Башкортостан;46;43;41;41;42;42;42;42;42;38;35;39;41;41;41;38;37;37;37
Республика Марий Эл;31;29;31;30;31;32;34;37;41;38;39;40;40;40;40;37;36;35;35
Республика Мордовия;42;42;43;43;43;43;42;44;45;46;47;47;47;46;45;45;45;45;45
Республика Татарстан;43;43;44;45;45;45;45;44;45;41;41;41;42;42;42;42;42;43;43
Удмуртская Республика;28;29;29;28;28;30;31;32;32;31;31;31;32;32;32;32;32;32;32
Чувашская Республика;24;25;27;27;30;32;30;31;29;30;28;31;31;30;28;27;26;27;27
Пермский край;34;32;32;34;36;37;39;39;38;37;36;36;37;37;37;37;34;31;30
Кировская область;31;30;31;29;30;31;35;38;37;37;38;41;41;41;40;36;37;36;35
Нижегородская область ;39;39;37;34;33;35;35;36;38;37;38;39;40;39;39;37;38;37;40
Оренбургская область;27;27;28;28;30;31;31;32;32;32;31;33;34;34;34;35;35;36;35
Пензенская область;46;47;46;46;43;43;40;40;38;35;36;37;37;36;37;35;39;38;37
Самарская область;30;30;32;33;34;36;36;36;37;37;38;39;40;39;39;39;38;39;39
