Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
3.24. ЖИЛИЩНЫЙ ФОНД1);;;;;;;;;;;;;;;;;;;
3.24.2. Городской жилищный фонд;;;;;;;;;;;;;;;;;;;
"(общая площадь жилых помещений; миллионов квадратных метров)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;2020;2045;2069;2093;2115;2129;2163;2209;2250;2293;2333;2374;2426;2444;2522;2612;2669;2709;2776
Центральный        федеральный округ;588;595;605;614;623;632;644;659;671;683;695;706;725;731;757;796;811;811;839
Белгородская область;19;20;20;21;21;22;22;23;23;24;25;25;26;26;27;28;28;29;29
Брянская область;19;19;19;19;19;20;20;20;20;20;21;21;21;22;22;23;23;24;24
Владимирская область;25;25;25;25;25;25;25;25;26;26;26;26;27;27;27;28;28;28;29
Воронежская область;29;30;30;31;31;31;33;34;35;35;37;38;39;40;41;42;43;44;45
Ивановская область;20;19;19;19;19;19;19;20;20;20;20;20;20;20;20;20;21;21;21
Калужская область;15;15;16;16;16;16;16;17;17;17;17;18;18;18;19;19;20;20;20
Костромская область;10;10;11;11;11;11;11;11;11;11;11;11;11;11;12;12;12;12;12
Курская область;14;15;15;15;15;15;16;16;17;17;18;18;18;19;19;20;20;21;21
Липецкая область;15;15;16;16;16;16;16;17;18;18;18;18;19;19;19;20;20;21;21
Московская область;107;109;112;114;117;120;125;131;135;140;144;149;150;150;168;199;207;195;215
Орловская область;10;11;11;11;11;11;11;12;12;12;12;13;13;13;13;14;14;14;14
Рязанская область;16;17;17;17;17;18;18;18;19;19;19;20;20;20;21;21;22;22;23
Смоленская область;15;16;16;16;16;16;16;17;17;17;17;17;17;18;18;18;18;19;19
