Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
3.25. ОБЩАЯ ПЛОЩАДЬ ЖИЛЫХ ПОМЕЩЕНИЙ, ПРИХОДЯЩАЯСЯ В СРЕДНЕМ НА ОДНОГО ЖИТЕЛЯ1);;;;;;;;;;;;;;;;;;;
"(на конец года; квадратных метров)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;19,2;19,5;19,8;20,1;20,4;20,8;21,0;21,4;21,8;22,2;22,6;23,0;23,4;23,4;23,7;24,4;24,9;25,2;25,8
Центральный        федеральный округ;20,4;20,7;21,1;21,4;21,7;22,0;22,4;22,9;23,3;23,7;24,0;24,4;24,8;24,3;25,1;26,1;26,5;26,5;27,0
Белгородская область;21,0;21,3;21,7;22,0;22,5;23,0;23,4;23,9;24,5;25,0;25,7;26,3;27,0;27,4;28,3;29,1;29,9;30,6;31,4
Брянская область;20,7;21,1;21,6;22,0;22,3;23,1;23,5;23,9;24,3;24,7;25,2;25,6;26,1;26,6;27,5;28,1;28,7;29,4;30,0
Владимирская область;21,2;21,6;22,0;22,3;22,7;23,0;23,4;23,7;24,1;24,6;25,0;25,5;26,2;25,6;26,8;27,2;27,8;28,5;29,5
Воронежская область;21,4;21,9;22,4;22,8;23,1;23,4;23,9;24,3;24,9;25,3;25,8;26,2;26,6;27,3;27,7;28,3;28,8;29,4;30,1
Ивановская область;20,5;20,7;21,1;21,5;22,0;22,4;22,7;23,0;23,3;23,6;23,9;24,2;24,5;24,7;25,0;25,2;25,7;26,2;26,8
Калужская область;20,8;21,1;21,6;22,1;22,4;22,9;23,0;23,4;24,0;24,6;25,2;25,8;26,3;26,8;27,6;28,3;28,8;29,6;30,0
Костромская область;21,6;21,9;22,4;22,8;23,3;23,8;24,3;24,1;24,1;24,5;25,1;25,4;25,7;25,7;26,0;26,6;26,9;27,4;27,9
Курская область;20,9;21,2;21,6;22,1;22,6;23,2;23,8;24,4;25,1;25,7;26,5;27,0;27,4;27,8;28,3;28,7;29,3;30,0;30,4
Липецкая область;20,5;20,9;21,6;21,9;22,2;22,7;23,3;24,2;24,8;25,3;25,7;26,2;26,6;27,2;27,8;28,4;29,2;30,3;31,1
Московская область;21,6;22,2;22,8;23,2;23,6;24,3;25,1;26,3;27,1;28,1;28,8;29,6;29,8;26,7;29,4;33,4;33,7;31,8;32,7
Орловская область;20,3;20,7;21,0;21,3;21,8;22,2;22,5;23,1;23,6;24,1;24,6;25,3;25,8;25,8;26,5;27,0;27,6;28,1;28,7
Рязанская область;20,9;21,5;22,2;22,5;22,9;23,4;23,8;24,5;25,0;25,3;25,8;26,3;26,7;27,3;28,0;28,8;29,5;30,3;31,2
Смоленская область;21,3;21,8;22,3;22,6;23,0;23,3;23,9;24,6;24,7;25,2;25,6;25,8;26,2;26,3;26,8;27,4;27,9;28,4;28,7
Тамбовская область;20,3;20,7;21,2;21,5;22,0;22,3;22,7;23,0;23,4;23,7;24,1;24,6;25,0;25,5;26,1;26,9;27,7;28,6;29,9
Тверская область;22,8;23,3;24,1;24,5;24,9;25,4;25,9;26,3;26,7;27,2;27,8;28,2;28,6;29,0;29,3;30,0;30,8;31,3;32,0
Тульская область;21,2;21,6;22,1;22,5;22,8;23,2;23,5;23,9;24,4;24,9;25,3;25,6;26,0;26,3;26,8;27,2;27,7;28,1;28,9
Ярославская область;20,5;20,9;21,2;21,6;22,0;22,5;22,9;23,3;23,7;24,1;24,5;24,6;24,8;24,8;25,4;26,0;26,6;27,1;27,8
г. Москва;18,3;18,3;18,5;18,5;18,5;18,5;18,5;18,6;18,8;18,8;18,7;18,7;19,3;19,2;19,2;19,1;19,1;19,3;19,3
Северо-Западный    федеральный округ;20,9;21,3;21,6;22,0;22,2;22,6;23,0;23,5;23,9;24,3;24,7;24,9;25,4;24,6;24,4;25,7;26,3;27,0;27,5
Республика Карелия;20,9;21,2;21,5;22,0;22,5;23,1;23,7;24,4;24,9;25,2;25,7;25,4;25,9;25,9;26,4;25,8;26,0;26,2;26,9
Республика Коми;21,2;21,6;21,9;22,3;22,6;23,1;23,7;24,0;24,3;24,3;24,7;25,0;25,4;25,5;25,9;26,7;27,1;27,9;28,7
Архангельская область;21,5;21,9;22,2;22,6;23,1;23,5;23,8;24,1;24,6;24,9;25,3;25,4;25,9;25,6;26,1;26,6;27,0;27,5;28,0
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;18,2;19,2;18,9;18,8;19,1;19,5;20,2;21,0;21,9;22,8;24,4;22,0;21,8;22,3;23,0;23,7;24,7;25,0;25,2
Архангельская область      без автономного округа;21,6;22,0;22,3;22,7;23,2;23,6;23,9;24,2;24,7;24,9;25,3;25,5;26,0;25,8;26,2;26,7;27,1;27,6;28,2
Вологодская область;21,7;22,3;22,7;23,0;23,5;23,8;24,1;24,7;25,1;25,6;26,1;26,7;27,0;27,1;28,0;28,5;29,1;29,6;30,2
Калининградская область;18,4;18,6;18,9;19,3;19,6;20,0;20,5;21,3;22,2;23,0;23,6;24,0;24,3;24,9;25,6;26,7;27,5;28,1;28,2
Ленинградская область;21,9;22,5;22,9;23,1;23,0;23,5;23,8;24,4;24,9;25,4;25,8;26,2;26,6;22,2;24,5;25,7;27,1;28,4;29,0
Мурманская область;21,4;21,9;22,1;22,5;22,7;23,2;23,6;23,8;24,0;24,2;24,3;24,5;24,7;24,5;24,7;25,1;25,1;25,3;25,4
Новгородская область;22,3;22,8;23,3;23,7;24,2;24,7;25,2;25,7;26,3;27,0;27,6;28,0;28,7;28,7;29,4;29,9;30,6;31,2;31,9
Псковская область;23,2;23,6;24,1;24,5;25,1;25,6;26,2;26,6;27,5;27,8;28,1;28,2;28,5;28,6;28,7;29,4;29,8;30,4;31,1
г. Санкт-Петербург;19,8;20,1;20,5;20,8;21,0;21,3;21,6;22,2;22,5;22,7;23,0;23,3;23,8;23,3;21,4;23,6;24,3;24,9;25,4
Южный            федеральный округ;18,2;18,5;18,7;19,1;19,3;19,7;20,0;20,5;20,9;21,3;21,9;22,2;22,6;22,9;22,4;22,9;23,4;24,1;24,7
Республика Адыгея;21,8;22,1;22,5;22,7;23,0;23,3;23,2;23,4;24,4;24,6;24,3;24,4;24,5;24,4;25,6;25,8;26,6;26,7;27,0
Республика Калмыкия;18,3;19,0;19,6;19,7;19,8;19,9;20,1;20,5;20,9;21,2;21,5;22,0;22,2;22,8;23,3;24,0;24,3;24,2;24,7
Республика Крым;;;;;;;;;;;;;;;15,4;16,3;17,1;17,5;18,1
Краснодарский край;17,7;18,0;18,3;18,6;18,9;19,3;19,7;20,3;20,9;21,6;22,4;22,6;23,1;23,3;23,8;24,4;25,0;25,7;26,4
Астраханская область;17,5;17,7;18,0;18,5;18,8;19,2;19,5;19,7;20,1;20,6;21,0;21,4;21,8;21,9;22,3;22,8;23,4;23,7;24,1
Волгоградская область;18,6;18,8;19,1;19,4;19,7;20,0;20,4;20,7;21,1;21,0;21,3;21,6;22,0;22,3;22,8;23,3;23,7;24,0;24,4
Ростовская область;18,3;18,6;18,8;19,1;19,3;19,7;20,0;20,4;20,7;21,0;21,6;21,9;22,3;22,8;23,2;23,6;24,1;24,7;25,3
г. Севастополь;;;;;;;;;;;;;;;21,2;17,8;18,0;25,5;28,0
Северо-Кавказский    федеральный округ;14,3;14,9;17,0;17,2;17,4;18,0;16,4;16,5;17,0;17,7;18,1;18,6;19,1;19,7;20,0;20,3;20,7;21,0;21,5
Республика Дагестан;14,9;15,3;15,5;15,5;15,4;15,6;15,7;15,6;15,8;16,0;16,2;16,5;16,9;17,1;17,7;18,2;18,7;19,2;19,4
Республика Ингушетия;6,9;6,7;6,5;7,1;7,1;12,4;12,9;13,5;13,6;13,7;13,9;13,5;13,3;13,5;13,7;14,1;14,8;15,0;15,3
Кабардино-Балкарская Республика;14,8;15,1;15,0;15,5;15,9;16,8;17,1;17,3;17,6;17,8;18,0;18,2;18,4;18,7;18,8;18,9;19,1;19,4;20,5
Карачаево-Черкесская Республика;18,2;18,3;18,3;18,1;18,0;17,9;17,8;18,0;18,3;18,5;18,8;19,4;20,0;20,1;20,4;20,6;20,7;20,9;21,1
Республика Северная Осетия - Алания;19,5;24,6;24,7;24,9;25,3;25,3;25,4;25,5;25,7;25,8;26,1;26,3;26,5;26,9;27,1;27,6;28,0;28,4;28,7
Чеченская Республика;…;…;…;…;…;…;4,2;5,0;6,3;10,7;12,0;13,8;16,1;18,1;18,0;17,5;17,6;18,1;19,0
Ставропольский край;18,0;18,5;18,8;19,0;19,4;19,6;19,9;20,1;20,7;20,9;21,3;21,8;22,1;22,5;23,1;23,7;23,9;24,3;24,7
