Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
3.26. УДЕЛЬНЫЙ ВЕС АВАРИЙНОГО ЖИЛИЩНОГО ФОНДА В ОБЩЕЙ ПЛОЩАДИ ВСЕГО ЖИЛИЩНОГО ФОНДА1);;;;;;;;;;;;;;;;;;;
(в процентах);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;0,3;0,3;0,4;0,5;0,4;0,4;0,4;0,5;0,5;0,6;0,6;0,6;0,7;0,7;0,7;0,5;0,6;0,7;0,7
Центральный        федеральный округ;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,3;0,3;0,3;0,4;0,3;0,3;0,3;0,4;0,3
Белгородская область;0,0;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,5;0,5;0,3;0,4;0,4;0,4;0,3;0,1;0,1;0,2;0,1
Брянская область;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,0;0,0;0,0;0,0;0,1;0,1;0,3;0,3;0,2;0,2;0,3;0,3
Владимирская область;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,2;0,3;0,4;0,4;0,4;0,4;0,5;0,6;0,5
Воронежская область;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,3;0,3;0,2
Ивановская область;0,0;0,1;0,0;0,0;0,0;-;0,0;0,0;0,0;0,1;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,5;0,5
Калужская область;0,1;0,1;0,1;0,1;0,2;0,3;1,0;0,9;0,9;0,9;0,9;0,9;0,9;0,8;0,7;0,7;0,6;0,6;0,6
Костромская область;0,1;0,3;0,3;0,3;0,3;0,4;0,2;0,3;0,7;0,9;0,9;0,9;0,9;0,9;1,1;0,6;0,9;1,0;0,8
Курская область;0,2;0,3;0,3;0,2;0,2;0,2;0,3;0,4;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,1
Липецкая область;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,3;0,4;0,3;0,3;0,4;0,4;0,4;0,6;0,6;0,6
Московская область;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,2;0,3;0,3;0,1;0,2;0,3;0,3
