Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
3.27. ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ ЖИЛЫХ ПОМЕЩЕНИЙ ;;;;;;;;;;;;;;;;;;;
3.27.3. Число семей, получивших жилые помещения и улучшивших жилищные условия за год;;;;;;;;;;;;;;;;;;;
(тысяч);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;252,6;241,7;229,3;226,7;228,0;151,2;139,0;140,2;144,2;146,6;243,9;180,8;186,3;153,2;137,9;134,9;128,6;122,6;99,2
Центральный        федеральный округ;82,1;80,8;81,5;84,2;81,2;34,7;31,1;30,2;32,9;29,0;44,1;31,5;34,3;27,3;23,7;22,3;20,0;20,0;16,8
Белгородская область;3,5;2,2;2,2;1,7;2,0;0,9;0,8;1,0;1,2;0,9;2,8;1,5;1,8;1,4;0,9;0,8;1,0;0,7;0,8
Брянская область;2,0;1,7;1,4;0,9;1,0;0,7;0,8;1,0;0,9;0,9;2,4;2,9;3,5;2,8;2,6;2,4;2,0;1,9;1,5
Владимирская область;1,8;1,8;1,8;1,5;1,2;0,9;0,7;1,0;1,0;1,1;1,9;1,2;1,4;1,2;0,8;1,0;0,9;0,9;0,9
Воронежская область;1,6;0,9;0,9;0,9;0,6;0,3;0,4;0,7;0,9;1,3;2,9;1,5;1,9;1,6;1,5;1,2;0,6;1,0;1,3
Ивановская область;2,4;1,2;1,0;0,9;1,1;0,7;0,6;0,8;0,6;0,6;1,3;0,9;1,3;1,1;0,9;1,0;0,5;0,4;0,4
Калужская область;1,7;1,5;1,2;1,1;0,9;0,5;0,5;0,5;0,5;0,6;1,3;1,4;1,3;1,1;0,9;1,1;0,7;0,7;0,6
Костромская область;1,7;1,8;2,2;1,4;0,9;0,9;0,6;0,9;0,7;1,1;3,0;1,5;1,2;1,0;1,0;1,0;0,8;0,7;0,6
Курская область;1,3;1,1;0,8;1,2;1,2;0,6;0,3;0,4;0,4;0,6;2,2;1,6;1,9;1,3;1,2;0,8;0,8;0,8;0,7
Липецкая область;1,1;1,2;0,7;0,6;0,9;0,6;0,6;0,8;0,3;0,4;1,3;0,6;0,8;0,9;0,6;0,7;0,9;0,7;0,6
Московская область;13,1;11,4;11,0;11,1;10,2;8,0;4,9;4,6;4,9;3,8;3,8;3,2;3,4;2,9;3,5;4,1;3,4;2,8;2,3
Орловская область;1,9;1,2;1,4;2,3;1,3;0,9;0,3;0,6;0,5;0,6;1,0;0,9;0,9;0,9;0,6;0,8;0,7;0,5;0,4
Рязанская область;1,0;0,6;0,7;0,9;0,5;0,7;0,4;0,5;0,5;0,7;0,7;0,6;0,8;0,7;0,6;0,6;0,7;0,5;0,6
Смоленская область;1,0;1,2;1,1;0,7;0,8;0,5;0,3;0,5;0,5;0,6;1,7;1,2;1,3;0,8;0,7;0,6;0,7;0,7;0,6
