Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
3.  УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
3.28. УДЕЛЬНЫЙ ВЕС РАСХОДОВ ДОМАШНИХ ХОЗЯЙСТВ НА ОПЛАТУ ЖИЛИЩНО-КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;;;;;;;;;;;
3.28.2.  В процентах от общей суммы расходов на оплату услуг;;;;;;;;;;;;;;;;;;;
(по итогам выборочного обследования бюджетов домашних хозяйств);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;34,3;33,9;35,8;36,6;36,5;35,5;34,6;32,5;30,0;32,6;34,4;35,9;34,1;33,4;33,9;36,1;36,9;35,9;34,6
Центральный     федеральный округ;31,4;31,4;31,5;32,7;33,6;31,9;31,5;29,6;25,2;28,1;30,6;33,0;30,2;29,7;31,4;37,2;35,7;33,5;30,7
Белгородская область;41,3;34,9;47,2;45,0;41,8;37,2;36,3;34,8;35,4;39,7;37,4;37,7;37,0;33,8;34,9;36,3;35,1;35,6;39,4
Брянская область;44,3;37,6;38,2;42,0;47,7;49,6;44,9;39,7;35,4;38,7;44,2;43,3;44,2;42,9;37,6;43,7;46,2;39,8;42,9
Владимирская область;47,3;42,4;49,8;52,4;53,0;55,9;56,2;48,7;37,9;41,9;43,1;45,6;43,2;42,2;42,4;41,0;42,4;42,4;41,1
Воронежская область;31,4;40,6;43,2;35,1;38,0;34,7;30,1;28,7;23,3;30,9;40,0;41,7;38,7;40,6;40,6;38,9;42,0;40,3;35,8
Ивановская область;48,7;42,9;49,2;54,2;61,8;59,7;51,7;49,3;47,4;52,8;52,8;52,2;46,1;44,4;42,9;44,0;40,4;41,6;38,5
Калужская область;35,8;23,1;43,0;42,7;40,4;35,8;34,5;31,3;25,2;33,9;31,8;33,6;33,2;32,1;23,1;35,1;39,0;39,1;38,2
Костромская область;45,1;36,0;50,5;44,1;47,1;44,1;43,3;40,4;36,5;40,5;38,7;35,6;34,7;35,3;36,0;34,9;36,3;35,2;33,5
Курская область;41,8;41,8;44,2;49,2;49,2;46,9;41,6;40,6;40,0;41,3;45,2;48,7;41,9;47,1;41,8;38,4;38,5;37,7;39,1
Липецкая область;37,6;37,3;34,8;38,1;35,3;33,1;36,9;33,0;32,8;34,7;44,1;44,5;38,9;39,3;37,3;39,3;40,8;39,0;36,5
Московская область;40,0;46,5;43,4;47,3;45,0;41,9;38,3;34,0;31,0;40,1;42,2;39,4;39,3;41,1;46,5;43,4;31,1;33,5;31,2
Орловская область;34,8;42,3;40,9;42,6;39,4;37,7;35,5;36,1;35,9;38,3;38,6;43,0;42,0;42,0;42,3;42,4;44,1;44,9;43,1
Рязанская область;39,0;54,1;41,9;44,3;45,5;44,2;46,3;42,0;41,0;43,2;46,4;48,9;53,0;50,3;54,1;50,3;52,7;48,8;49,8
Смоленская область;31,5;45,4;45,5;42,9;51,5;42,7;41,3;42,9;40,8;37,3;46,4;44,1;40,3;41,1;45,4;53,5;52,0;48,9;52,0
Тамбовская область;42,3;36,7;44,4;39,7;42,2;35,0;34,3;43,9;38,7;40,5;44,9;43,3;44,4;41,2;36,7;38,2;37,2;39,9;38,6
Тверская область;40,0;44,2;47,7;47,0;46,0;42,5;42,2;43,2;36,1;40,5;42,0;39,7;40,3;45,0;44,2;44,2;43,2;45,3;45,0
Тульская область;37,1;45,4;50,6;56,1;54,3;52,9;51,4;46,2;46,2;44,9;45,0;46,0;41,0;41,2;45,4;40,3;46,8;43,8;43,4
Ярославская область;34,8;41,1;41,0;41,0;39,6;41,1;38,8;38,4;38,3;41,0;45,3;42,3;41,5;40,2;41,1;37,7;38,8;40,2;40,7
г. Москва;24,0;21,3;20,2;20,6;23,6;23,1;23,5;23,0;17,3;18,0;19,1;25,4;21,9;20,6;21,3;27,8;29,4;28,7;24,8
Северо-Западный федеральный округ;36,3;32,9;40,5;38,4;37,5;35,5;34,0;30,7;32,3;32,5;35,4;35,3;34,5;34,4;32,9;31,6;35,3;35,5;35,2
Республика Карелия;32,5;40,7;32,8;39,5;42,4;38,0;35,9;37,5;35,2;35,6;38,3;41,7;38,1;39,6;40,7;39,2;43,3;47,6;49,2
Республика Коми;34,6;41,6;30,9;32,2;41,1;34,1;36,9;39,1;36,6;38,8;39,8;44,0;41,6;42,4;41,6;43,8;48,9;44,5;45,5
Архангельская область;38,3;33,9;40,7;38,3;37,5;38,1;36,2;30,7;34,1;30,5;32,1;33,3;32,7;35,4;33,9;36,0;38,4;34,7;34,0
