Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
3.29. ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ СУБСИДИЙ НА ОПЛАТУ ЖИЛОГО ПОМЕЩЕНИЯ  И КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;;;;;;;;;;;
3.29.1. Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;;;;;;;;;;;;;;;;;;;
"(по состоянию на конец отчетного периода; тысяч)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;3212,4;3963,4;5251,3;7092,6;6801,5;6063,60;5457,7;4560,9;4086,5;4274,6;3763,1;3738,1;3759,5;3546,4;3389,0;3353,3;3338,0;3189,6;3038,7
Центральный федеральный округ;863,6;985,5;1202,2;1557,2;1536,1;1569,3;1504,2;1191,3;1185,6;1286,0;1209,9;1213,5;1177,6;1148,4;1115,9;1161,2;1199,0;1181,8;1148,5
Белгородская область;9,3;23,9;29,8;53,6;17,4;17,6;14,8;19,7;36,7;13,7;6,8;9,2;6,1;7,8;7,7;6,5;6,4;6,2;6,0
Брянская область;10,1;10,5;14,9;21,7;22,8;18,6;22,7;23,1;25,7;28,5;28,8;33,0;32,7;32,1;26,8;23,3;20,6;18,6;16,4
Владимирская область;36,2;31,7;40,4;53,6;55,4;52,2;52,4;43,0;48,1;44,0;43,0;49,2;47,0;46,0;45,9;45,0;45,3;43,8;42,4
Воронежская область;18,9;24,5;52,3;92,8;99,8;81,1;62,9;46,9;28,7;87,7;89,3;85,9;83,3;82,7;78,7;78,9;80,2;79,4;76,2
Ивановская область;13,6;50,0;76,3;169,6;90,7;63,2;51,1;33,6;27,7;41,8;37,4;38,3;36,2;33,9;34,2;34,4;33,7;32,2;32,2
Калужская область;5,5;5,0;11,2;24,7;22,0;14,7;10,3;8,9;7,3;7,9;8,1;9,3;9,3;10,0;10,0;10,2;11,2;11,2;11,4
Костромская область;7,3;11,1;15,4;18,6;21,8;20,8;14,4;9,7;6,3;8,7;13,0;10,6;10,0;9,8;9,4;9,2;9,7;9,8;12,4
Курская область;7,5;8,3;29,4;39,5;52,4;56,6;47,2;31,3;22,3;20,7;17,8;17,9;16,1;16,0;13,9;11,5;10,1;9,5;9,2
Липецкая область;34,5;37,3;34,0;44,5;48,3;50,3;95,1;65,6;60,3;49,6;36,8;26,6;23,5;21,3;20,2;18,5;17,7;16,6;16,4
Московская область;194,6;216,0;264,2;314,4;330,6;402,0;360,9;293,1;263,6;256,5;201,6;186,2;173,8;156,2;149,2;146,2;145,9;141,2;133,5
Орловская область;1,6;3,4;6,5;15,4;18,2;30,6;24,3;17,3;13,1;12,9;10,4;10,2;8,6;10,2;9,9;7,0;6,7;6,6;6,0
Рязанская область;10,6;11,2;44,1;71,7;67,4;40,7;21,5;14,6;11,5;10,9;10,4;15,0;15,3;15,7;16,4;16,6;17,5;17,7;17,9
Смоленская область;4,3;8,7;21,1;29,5;30,4;13,7;6,7;7,2;8,2;9,7;10,6;12,9;12,8;13,0;12,5;12,3;14,7;15,8;16,6
Тамбовская область;28,6;46,9;37,7;43,6;44,6;48,3;46,4;28,7;24,5;24,3;22,2;26,3;29,6;26,4;28,5;30,0;31,0;31,7;30,6
Тверская область;53,3;58,6;80,5;93,3;95,2;90,4;62,8;52,6;48,0;53,8;51,2;57,8;58,1;55,0;51,6;50,0;51,2;50,5;49,1
