Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
3.29.  ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ СУБСИДИЙ НА ОПЛАТУ ЖИЛОГО ПОМЕЩЕНИЯ  И КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;;;;;;;;;;;
3.29.2. Общая сумма начисленных субсидий на оплату жилого помещения и коммунальных услуг;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;3081,6;5920,6;14944,1;30684,2;35521,1;40035,5;44259,0;44863,6;43667,8;52877,8;55719,4;58245,8;56634,9;59110,9;59661,5;62718,2;68764,0;70321,2;68728,6
Центральный федеральный округ;729,5;1338,2;2611,4;5309,5;7481,5;10069,7;11763,6;11655,8;11507,9;15141,2;16245,2;16936,8;16357,5;17091,6;17580,6;21489,6;26557,7;28839,2;28652,0
Белгородская область;7,1;43,3;87,5;161,6;105,9;91,3;78,2;90,9;154,3;244,9;92,5;91,3;76,1;77,6;91,5;87,3;87,1;85,8;82,9
Брянская область;6,6;13,5;31,0;76,0;120,6;105,7;165,8;192,2;241,2;278,3;357,7;450,8;431,4;424,4;383,2;337,2;332,8;318,8;284,0
Владимирская область;19,0;24,3;43,9;103,6;146,3;241,2;326,5;388,5;408,0;589,6;680,7;880,7;829,9;859,2;876,3;941,2;919,8;884,5;842,1
Воронежская область;10,3;24,4;107,7;277,0;316,4;264,8;354,4;358,0;255,5;1104,4;1547,6;1276,9;1134,0;1227,9;1283,5;1403,2;1466,2;1542,7;1434,5
Ивановская область;6,4;37,6;124,9;458,6;628,5;362,8;293,4;309,9;273,2;449,7;514,4;537,0;524,7;525,7;571,9;649,0;716,1;709,8;819,8
Калужская область;4,4;6,7;23,9;105,4;125,0;104,7;89,3;84,3;84,6;94,0;111,2;116,2;108,2;119,2;131,5;166,3;177,6;190,1;186,7
Костромская область;7,0;11,8;25,6;53,0;81,4;88,7;76,8;68,9;67,0;99,0;178,3;146,5;133,9;145,2;150,3;181,6;226,3;268,5;288,1
Курская область;5,7;12,8;77,7;171,7;238,0;260,3;228,9;183,7;152,5;156,1;171,5;195,4;186,7;186,6;188,5;143,9;140,9;143,1;152,3
