Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;
3.30. ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ СОЦИАЛЬНОЙ ПОДДЕРЖКИ (ЛЬГОТ) ПО ОПЛАТЕ ЖИЛОГО ПОМЕЩЕНИЯ И КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;;;;;;;;;;;
3.30.2. Объем средств, предусмотренных на предоставление гражданам социальной поддержки по оплате жилого помещения и коммунальных услуг;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;17547,6;27414,4;40291,4;51632,9;66586,0;80489,2;102496,7;120688,2;142114,4;176457,8;214493,0;239140,7;249007,2;266839,1;275760,3;287739,1;290832,4;292515,7;298079,8
Центральный   федеральный округ;5621,4;8195,0;11586,5;13985,5;20365,3;25539,5;32065,2;37839,4;42762,3;51847,5;59164,4;64847,0;67124,3;72995,8;76053,0;80234,6;84799,1;90637,3;91804,8
Белгородская область;229,3;325,7;524,0;583,1;726,1;953,2;950,7;1075,2;1186,3;1536,8;1724,4;1936,5;2117,1;2304,9;2470,0;2554,3;2641,8;2683,2;2702,1
Брянская область;120,2;181,4;294,0;365,8;475,2;605,7;896,3;1077,4;1320,0;1558,7;1572,9;1516,4;1530,6;1720,9;1693,9;1718,4;1767,2;1743,1;1695,1
Владимирская область;159,1;269,3;378,1;532,8;672,6;818,3;1132,3;1287,4;1405,1;1700,4;2202,0;2039,4;2009,5;2112,2;2191,4;2331,2;2427,8;2482,1;2533,9
Воронежская область;187,3;278,8;400,4;489,5;648,5;796,5;1060,0;1414,6;1822,0;2352,0;2353,0;1858,1;2516,7;2778,3;2944,7;3106,7;3077,9;2895,1;2835,3
Ивановская область;102,2;132,8;253,2;403,0;596,4;697,6;874,5;920,3;1053,1;1258,4;1405,8;1562,7;1639,3;1752,6;1800,9;1909,0;1880,7;2002,2;2075,4
Калужская область;96,7;135,1;236,1;361,7;426,3;535,3;670,5;752,0;842,9;1007,4;1417,8;1469,3;1507,6;1641,2;1605,0;1759,6;1579,4;1553,3;1451,4
Костромская область;72,7;120,8;165,1;211,4;286,7;397,0;436,5;530,3;650,0;845,4;1036,1;1560,6;1611,6;1804,5;1844,4;1699,8;1705,0;1644,7;1620,4
Курская область;96,2;155,4;250,7;313,2;374,9;469,0;549,0;617,0;809,2;942,5;1445,7;1505,2;1158,9;1458,5;1577,3;1738,1;1817,4;1923,7;1980,0
Липецкая область;130,5;186,4;205,4;313,8;414,4;472,6;709,1;834,3;988,7;1194,8;1453,8;1600,1;1659,2;1817,0;1519,8;1577,9;1554,1;1569,6;1597,1
Московская область;1310,4;2189,5;3189,7;4222,8;5103,8;6292,8;7930,8;9363,4;10643,6;12718,6;14575,3;15567,7;16065,9;16858,6;18423,2;19050,3;19373,0;20187,6;20359,8
Орловская область;72,1;111,7;161,0;222,2;281,1;381,1;419,0;491,5;630,0;751,9;847,5;924,3;966,9;1019,2;1061,9;1181,2;1316,7;1402,4;1410,8
