Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;
;;;ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;
"3.4. СРЕДНЕМЕСЯЧНАЯ НАЧИСЛЕННАЯ ЗАРАБОТНАЯ ПЛАТА РАБОТНИКОВ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ1);2)";;;;;;;;;;;;;;;;;
3.4.3.  В местных администрациях (исполнительно-распорядительных органах муниципальных образований);;;;;;;;;;;;;;;;;
(рублей);;;;;;;;;;;;;;;;;
;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;4043;5522;6766;8174;9626;11980;14650;18441;19834;20868;25649;28506;30464;31485;31976;33173;36152
Центральный федеральный округ;3842;5181;6315;7298;8299;10408;13683;17484;18869;20337;26392;28912;30666;31965;32342;33642;35851
Белгородская область;2129;3763;4161;5170;6551;7461;8918;14823;14666;15513;21138;22785;24432;25296;26830;28740;33110
Брянская область;2699;3330;4127;4617;4854;7117;8650;10506;11461;11879;15052;19804;20896;21195;21604;22039;23475
Владимирская область;3253;4568;5397;7205;8417;9354;11022;15532;17594;18318;22795;25445;26880;27975;28824;30291;33141
Воронежская область;3123;4900;6447;7279;7599;9227;14455;19894;20630;21120;22962;25191;28679;29327;30743;32386;34935
Ивановская область;2395;3141;3505;4954;6890;9247;11332;13369;14194;15100;19302;22530;24070;24507;25706;26352;28697
Калужская область;3793;5032;6053;7424;7837;9120;12035;15717;15827;16264;22106;25663;26877;27637;27467;28434;34252
Костромская область;2566;3618;4066;5206;6659;8620;9959;11928;14548;15608;18670;20239;20736;21914;22839;23331;25065
Курская область;2932;3968;5456;6303;7033;8144;11334;13619;15124;15804;20122;21576;22581;24098;24727;25418;28055
Липецкая область;3582;3753;6133;7035;9947;11957;13508;17856;19600;19981;21731;23434;24136;24386;25834;29190;31496
Московская область;6252;8399;9926;11126;12416;15341;22253;26491;27051;29768;43911;46597;49111;53070;55754;56315;57474
Орловская область;3965;5071;5205;6354;7991;9785;11552;14267;14706;15903;18616;20600;21775;22890;24261;25453;27368
Рязанская область;2834;4328;6113;6613;6892;11047;13007;14982;16226;17038;19965;22255;23393;23761;24190;24868;26788
Смоленская область;3218;3351;5021;5118;5510;7521;8751;10772;12951;13201;15354;16326;16926;19264;19580;19970;21741
Тамбовская область;2570;3181;4056;4710;5254;5832;7324;10734;11792;13260;15967;17582;19104;20392;21106;21500;23119
Тверская область;3408;4154;4457;5574;6200;8878;10834;15357;18620;21978;24119;26600;26957;27814;28485;30171;31293
Тульская область;3431;4716;7722;6950;7423;9176;11573;14944;17200;17794;21827;25550;28306;29249;30233;31782;34550
Ярославская область;4459;5614;6525;8418;8915;12600;13563;18630;19601;20216;25533;26137;28811;31451;31682;32812;33854
г. Москва;7060;9330;16133;19355;24041;27705;36380;43063;45318;46343;48761;57323;69332;77626;81385;87705;91414
Северо-Западный    федеральный округ;4887;6468;8037;9489;11664;14103;16373;21356;24280;24860;28647;31309;33770;35445;37334;38773;41538
Республика Карелия;4549;6787;10170;12934;14760;16154;18557;23063;25161;26493;31328;34186;34937;35738;36567;37484;41536
Республика Коми;5254;6209;7809;8679;10828;13998;16479;20364;24678;25810;29122;32273;35111;37143;37476;37966;41302
Архангельская область;5076;6960;8274;10372;11951;14961;18155;23529;27406;28230;32233;34956;36946;37941;38757;40659;43653
в том числе:;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;14112;18551;20408;31656;32233;41945;51016;62387;80752;83802;92286;94953;100788;98833;90690;87696;90114
Архангельская область    без автономного округа;…;…;…;…;…;…;…;…;22820;23735;26853;29416;31001;33086;34856;37071;40125
Вологодская область;3683;5031;6349;7758;9757;11409;13053;17518;17839;18645;22495;23489;25056;25917;28437;29010;31481
Калининградская область;4158;6065;7749;8978;11753;14526;18794;20814;21808;23004;27614;30835;34823;37787;39115;41412;44555
Ленинградская область;5199;7114;8573;10047;14189;17466;18617;23668;26764;26973;31568;35120;38157;41239;43034;45690;48866
Мурманская область;10381;12735;15327;17470;21461;23050;26881;35836;39601;39674;44718;49332;54790;57049;59417;60801;64976
Новгородская область;2823;3564;4104;4849;6737;9384;9674;15411;20319;20534;23409;25429;26155;26641;27118;27543;29679
Псковская область;2572;3142;4639;5354;4862;6994;8728;10086;10774;11051;13527;14296;15234;15839;16055;16699;17877
г. Санкт-Петербург;7507;10835;13661;15551;18086;19492;24059;30172;35537;35626;40872;44585;47649;50871;54963;55267;55464
