Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;
3.5. МЕДИАННАЯ ЗАРАБОТНАЯ ПЛАТА РАБОТНИКОВ ОРГАНИЗАЦИЙ1);;;;;;;;
"(по данным выборочного обследования; рублей)";;;;;;;;
;2005;2007;2009;2011;2013;2015;2017;2019
Российская Федерация;5467;8879;13192;16043;21268;24868;28345;34335
Центральный федеральный округ;5736;9972;15437;18425;24272;28485;32327;39874
Белгородская область;4655;7407;11357;13815;18776;22050;25448;29766
Брянская область;3719;5968;8326;10304;14933;17675;20232;24571
Владимирская область;4548;7226;10899;13132;17361;20888;23449;28174
Воронежская область;3857;6366;10153;12470;17126;20798;23440;28187
Ивановская область;3783;5918;9332;11005;15538;17210;19001;23117
Калужская область;5383;8291;12342;15402;21722;24973;27942;33385
Костромская область;4318;6824;10066;12111;15391;18536;20307;24172
Курская область;3706;5995;9757;11405;16390;18990;22299;26521
Липецкая область;4801;7750;10919;14424;17495;20731;23164;28557
Московская область;7470;12724;18387;21375;28592;32946;38074;45201
Орловская область;3804;5911;8980;11193;15421;17818;19855;23228
Рязанская область;4260;7126;10497;13139;17904;21101;23998;28331
Смоленская область;4357;6985;10080;12632;16275;18992;20972;26720
Тамбовская область;3491;5664;8551;10854;14778;17558;20422;24417
Тверская область;4527;7119;11144;12866;17998;19894;23072;27513
Тульская область;4778;7429;11582;13792;18658;23717;26898;31694
Ярославская область;5499;8686;11583;14394;19324;22932;24940;29987
г. Москва;9861;17206;26625;31006;39380;46536;55434;66103
Северо-Западный    федеральный округ;7219;11170;16174;19788;26027;30445;35772;43087
Республика Карелия;6611;9894;14451;17692;22277;24891;28230;34922
Республика Коми;8305;12289;18382;22236;30348;33795;36244;42940
Архангельская область;6789;10981;14817;18218;24271;29132;35135;42823
в том числе:;;;;;;;;
Ненецкий автономный округ;17385;23851;34849;36657;50314;54501;60780;71303
Архангельская область    без автономного округа;6522;10478;14062;17297;22988;27763;33394;41030
Вологодская область;6411;9638;12638;15638;20624;23445;26873;32854
Калининградская область;6591;9523;13750;15687;20823;23868;26953;31681
Ленинградская область;6662;10438;15245;18902;24705;29544;34205;42076
Мурманская область;10123;14121;21296;24433;35045;35757;42143;49589
Новгородская область;5048;8140;11881;15063;19439;22284;24799;29168
Псковская область;4208;6475;9720;12208;15625;17527;19052;23895
г. Санкт-Петербург;8189;13183;19213;23576;29929;35772;43136;51248
"Южный федеральный округ 2); 3)";3832;6196;9870;12696;16842;20678;23060;27773
Республика Адыгея;3729;5960;8513;10174;14451;17722;18670;23943
Республика Калмыкия;3065;4767;7675;8569;12157;15172;16766;21984
Республика Крым;;;;;;16897;21124;25901
Краснодарский край;4363;7044;11140;13735;17745;21861;24875;29887
Астраханская область;4142;6245;10279;11601;15206;19151;20167;26001
Волгоградская область;4295;6870;10659;12093;16055;20286;22540;26518
Ростовская область;3873;6371;10589;12658;16943;20327;23019;27619
г. Севастополь;;;;;;16832;24080;29563
Северо-Кавказский     федеральный округ;…;…;…;9346;13385;16436;17807;21903
Республика Дагестан;2570;3965;6172;7245;11623;13762;15643;20015
Республика Ингушетия;3618;5522;7336;10271;14238;17153;17607;19954
Кабардино-Балкарская Республика;3161;4941;7952;9268;13008;15957;17157;19796
Карачаево-Черкесская Республика;3229;5150;7612;8795;12875;15644;17029;20788
Республика Северная Осетия - Алания;3283;5312;7891;8708;12919;16333;17384;21061
Чеченская Республика;…;…;…;9640;12742;17044;16896;22501
Ставропольский край;3666;6017;9583;11139;15158;18301;20550;24432
Приволжский    федеральный округ;4473;7149;10556;13088;17678;21112;23834;28535
Республика Башкортостан;4570;7182;11123;13351;18438;21685;24479;30176
Республика Марий Эл;3604;5855;8667;10653;14684;16623;19761;23739
Республика Мордовия;3256;5605;8374;10416;14237;17356;20332;24052
Республика Татарстан;4374;7091;10733;13520;18945;22517;26092;31341
Удмуртская Республика;4501;6952;10293;12065;16429;20595;23205;27807
Чувашская Республика;3680;5982;8913;10927;14919;17443;19676;24069
Пермский край;5505;8856;12118;15825;20679;24726;27073;31958
Кировская область;4017;6142;9518;11480;15391;18515;21617;25074
Нижегородская область;4817;7699;11230;13886;18784;22560;26176;30671
Оренбургская область;3994;6291;9638;12179;16790;19433;22154;27016
Пензенская область;3481;5620;9013;11324;15485;19465;20918;25563
Самарская область;6255;9216;12108;15262;19664;23128;25483;30428
Саратовская область;3619;6027;9807;11745;15762;18325;20297;24155
Ульяновская область;3982;6429;9571;12096;15553;18916;21755;25906
Уральский   федеральный округ;7522;11687;15931;19863;25454;29188;33619;39264
Курганская область;3945;6450;9500;11221;15132;16822;20489;24717
Свердловская область;6653;10655;14535;17824;22652;26619;29402;34818
Тюменская область;13405;20667;25666;31668;39428;44605;49783;57244
в том числе:;;;;;;;;
Ханты-Мансийский автономный    округ - Югра;16210;24263;29713;34430;43222;47957;53087;60570
Ямало-Ненецкий автономный округ;19347;28499;34878;42583;52549;62732;67315;77542
