Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.  УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3.9. СТРУКТУРА ДЕНЕЖНЫХ ДОХОДОВ НАСЕЛЕНИЯ1);2)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(в процентах от общего объема денежных доходов);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;;;;;2001;;;;;2002;;;;;2003;;;;;2004;;;;;2005;;;;;2006;;;;;2007;;;;;2008;;;;;2009;;;;;2010;;;;;2011;;;;;2012;;;;;2013;;;;;2014;;;;;2015;;;;;2016;;;;;2017;;;;;;;2018;;
;Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая «скрытые», от продажи валюты, денежные переводы и пр.);Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Прочие денежные поступления;Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Прочие денежные поступления;Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Прочие денежные поступления;Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Прочие денежные поступления;Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Прочие денежные поступления;Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Прочие денежные поступления
Российская Федерация;14,9;37,9;13,8;7,3;26,1;12,6;40,5;15,2;5,7;26,0;11,8;42,9;15,2;5,2;24,9;12,0;39,4;14,1;7,8;26,7;11,7;40,3;12,8;8,2;27,0;11,4;39,6;12,7;10,3;26,0;10,8;40,0;12,0;10,2;27,0;10,0;41,4;11,6;8,9;28,1;10,2;44,7;13,2;6,2;25,7;9,5;40,8;14,8;6,4;28,5;8,9;40,3;17,7;6,2;26,9;8,9;40,1;18,0;5,2;27,8;8,6;41,5;18,3;5,2;26,4;7,0;55,1;18,7;4,7;14,5;7,0;54,9;18,2;4,8;15,1;6,5;52,8;18,2;5,1;17,4;6,4;53,9;18,8;5,1;15,8;6,3;55,1;19,3;4,6;14,7;6,1;57,4;19,1;4,6;12,8
Центральный    федеральный округ;14,2;28,2;15,1;10,5;32,0;11,6;29,9;17,0;8,3;33,2;10,9;33,4;16,5;7,0;32,2;10,3;31,8;14,0;10,6;33,3;9,9;32,4;12,2;12,3;33,2;9,8;34,2;11,5;18,1;26,4;9,5;35,2;10,7;16,7;27,9;8,2;38,2;10,0;14,9;28,7;8,6;45,1;12,4;10,2;23,7;7,6;39,9;13,3;11,2;28,0;6,9;40,5;15,5;11,0;26,1;6,8;39,0;15,7;9,1;29,4;6,5;40,8;16,1;8,7;27,9;6,5;57,1;16,0;7,7;12,7;6,4;56,9;16,1;7,9;12,7;5,9;55,2;15,8;8,6;14,5;5,7;55,7;15,9;8,3;14,4;5,5;57,2;16,2;6,7;14,4;5,4;60,0;16,2;6,6;11,8
Белгородская область;17,5;41,9;16,6;4,4;19,6;14,4;43,7;18,0;2,7;21,2;12,4;46,3;18,7;2,5;20,1;14,2;46,0;19,8;5,0;15,0;14,5;45,0;18,3;5,6;16,6;12,8;43,7;19,6;8,0;15,9;12,2;41,2;17,6;9,5;19,5;12,8;39,3;15,5;11,2;21,2;12,0;36,7;15,2;2,9;33,2;12,6;34,2;17,4;2,7;33,1;11,9;31,5;19,2;3,4;34,0;12,0;33,3;19,3;2,6;32,8;11,2;33,5;19,0;3,5;32,8;10,7;40,5;20,0;2,8;26,0;10,7;41,3;19,7;3,7;24,6;10,1;41,4;19,3;3,3;25,9;9,8;40,7;19,6;3,6;26,3;9,7;42,1;20,1;3,3;24,8;9,9;44,6;20,5;3,8;21,2
Брянская область;15,8;35,4;25,8;2,1;20,9;15,3;36,7;24,9;1,6;21,5;15,1;39,1;24,0;2,1;19,7;15,1;35,5;23,9;3,8;21,7;16,4;38,5;20,6;2,8;21,7;16,2;36,9;22,1;1,9;22,9;15,1;34,9;21,6;2,2;26,2;14,0;35,6;20,7;2,6;27,1;14,4;34,0;20,5;2,1;29,0;13,5;30,7;21,9;2,1;31,8;11,9;28,6;25,4;3,1;31,0;11,9;28,2;24,4;1,7;33,8;11,2;30,2;23,8;2,4;32,4;7,5;44,6;25,2;2,2;20,5;7,0;44,9;24,3;2,2;21,6;7,0;40,0;24,5;2,5;26,0;7,0;40,2;24,4;2,6;25,8;7,1;40,5;24,6;2,3;25,5;7,1;42,0;23,7;2,1;25,1
Владимирская область;8,8;48,2;21,9;2,9;18,2;7,0;52,9;24,8;2,6;12,7;6,6;57,4;26,2;2,6;7,2;8,0;51,7;24,6;3,2;12,5;8,0;52,9;23,8;4,6;10,7;7,1;53,3;26,3;2,7;10,6;7,9;47,0;22,6;3,7;18,8;7,0;52,0;21,7;4,5;14,8;6,9;47,4;20,6;3,0;22,1;6,3;45,9;23,3;3,4;21,1;6,6;42,6;26,8;3,3;20,7;7,0;42,0;26,5;4,0;20,5;7,2;41,3;26,3;3,5;21,7;5,2;55,5;26,3;3,4;9,6;5,0;55,0;25,7;3,3;11,0;5,7;51,2;24,4;3,6;15,1;5,7;54,4;26,7;4,1;9,1;5,5;53,8;26,5;4,9;9,3;5,6;58,6;27,1;3,8;4,9
Воронежская область;16,8;35,8;17,8;3,4;26,2;12,6;35,5;19,1;3,1;29,7;11,7;40,1;20,3;3,7;24,2;12,6;39,0;20,0;4,4;24,0;15,0;38,7;18,7;5,2;22,4;13,0;34,8;18,2;5,2;28,8;10,9;35,1;17,4;6,6;30,0;11,1;36,7;17,2;3,5;31,5;10,1;38,0;18,1;2,7;31,1;10,1;36,3;20,6;3,0;30,0;10,6;34,4;23,6;3,3;28,1;11,2;33,3;22,2;2,5;30,8;11,0;34,5;21,3;3,1;30,1;8,1;47,9;21,0;2,8;20,2;6,5;46,6;19,0;3,0;24,9;6,1;39,6;17,5;2,9;33,9;6,2;41,2;18,6;3,1;30,9;6,2;43,1;19,6;3,1;28,0;6,0;45,3;19,4;3,0;26,3
Ивановская область;13,3;41,7;27,6;3,2;14,2;8,7;47,1;32,7;2,7;8,8;8,4;50,3;31,1;3,4;6,8;10,2;46,9;28,0;3,7;11,2;11,5;48,7;26,4;4,1;9,3;11,1;48,1;27,8;3,6;9,4;10,8;47,1;25,9;4,8;11,4;9,3;47,2;23,8;5,5;14,2;7,7;39,8;21,4;3,2;27,9;7,4;38,0;25,7;3,5;25,4;8,1;35,6;29,0;3,7;23,6;8,2;34,0;27,6;2,7;27,5;7,9;32,7;24,8;4,2;30,4;6,0;52,1;25,7;3,0;13,2;5,5;50,0;23,4;3,2;17,9;6,0;45,0;23,2;3,3;22,5;6,4;45,1;22,6;3,5;22,4;6,5;46,2;23,2;3,2;20,9;6,9;50,2;24,3;3,1;15,5
Калужская область;10,3;48,4;21,3;3,2;16,8;8,1;51,0;22,4;2,5;16,0;10,8;51,1;21,4;2,3;14,4;11,4;49,9;19,7;3,4;15,6;12,3;51,3;18,5;3,3;14,6;11,9;48,8;18,6;3,5;17,2;10,4;45,7;17,2;4,9;21,8;8,8;43,8;15,3;4,5;27,6;9,7;45,1;15,9;3,7;25,6;9,3;41,8;17,5;3,8;27,6;9,1;40,8;21,4;4,0;24,7;9,2;40,7;20,9;2,6;26,6;8,7;42,5;20,8;3,5;24,5;8,3;59,2;22,0;3,8;6,7;7,7;59,9;20,1;3,8;8,5;5,3;56,2;20,1;3,8;14,6;5,0;54,0;20,1;3,6;17,3;5,1;57,2;21,1;3,9;12,7;5,0;61,7;21,3;3,8;8,2
Костромская область;15,7;42,3;18,0;2,1;21,9;11,1;43,4;20,5;1,4;23,6;9,6;45,4;20,6;2,2;22,2;9,8;45,4;20,9;2,7;21,2;9,3;45,1;19,7;2,6;23,3;8,1;42,1;20,5;2,6;26,7;7,7;40,8;19,5;3,2;28,8;7,3;44,4;18,7;4,1;25,5;7,8;45,5;20,0;2,9;23,8;7,1;42,7;22,8;2,7;24,7;7,2;37,6;25,6;2,9;26,7;8,4;36,4;26,9;2,6;25,7;8,1;37,7;27,0;3,3;23,9;11,4;54,7;28,4;3,2;2,3;10,9;52,1;26,2;3,4;7,4;9,5;47,4;24,6;4,0;14,5;9,7;47,4;25,2;4,0;13,7;9,3;49,3;25,6;4,0;11,8;9,9;54,3;26,9;3,1;5,8
