Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.1. ОРГАНИЗАЦИИ, ОСУЩЕСТВЛЯЮЩИЕ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ, ПРИСМОТР И УХОД ЗА ДЕТЬМИ  И ЧИСЛЕННОСТЬ ВОСПИТАННИКОВ В НИХ;;;;;;;;;;;;;;;;;;;
4.1.2. Численность воспитанников1);;;;;;;;;;;;;;;;;;;
"(на конец года; тысяч человек)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;4263,0;4246,3;4267,3;4321,3;4422,6;4530,4;4713,2;4906,3;5105,4;5228,2;5388,0;5661,1;5982,9;6347,3;6813,6;7151,6;7342,9;7477,9;7582,4
Центральный    федеральный округ;984,1;975,4;977,7;988,9;1011,6;1042,1;1086,2;1132,9;1183,1;1220,3;1265,2;1347,2;1431,8;1504,1;1582,1;1648,3;1702,3;1740,9;1784,3
Белгородская область;42,1;41,8;41,7;41,6;42,3;43,9;46,9;49,4;52,2;53,0;55,1;57,9;60,7;65,4;68,2;70,4;71,9;72,4;72,7
Брянская область;38,3;38,0;38,3;38,3;39,0;39,6;40,8;42,1;43,5;44,6;45,9;48,3;50,5;52,1;54,8;56,4;57,0;57,0;56,9
Владимирская область;51,7;50,9;50,8;51,2;52,6;54,3;56,2;57,9;58,9;59,7;61,0;63,6;66,3;68,8;72,6;74,7;75,1;75,6;74,7
Воронежская область;50,4;50,4;50,1;51,0;51,8;52,2;54,2;55,3;58,3;59,9;61,9;66,1;71,1;75,5;84,4;91,7;96,1;99,4;101,0
Ивановская область;36,9;36,2;37,0;37,3;37,5;38,5;40,0;40,6;41,4;42,5;43,1;44,1;45,8;48,3;50,3;50,9;52,0;52,5;53,0
Калужская область;25,6;25,5;25,5;26,3;27,5;28,6;30,0;31,4;33,1;34,5;35,7;37,1;39,3;42,1;45,2;46,7;48,5;49,6;50,9
Костромская область;26,3;25,3;25,3;25,4;26,4;27,3;28,1;29,1;29,7;30,5;31,3;32,3;33,2;33,7;35,2;36,4;37,3;37,4;37,3
Курская область;25,8;25,9;26,1;25,8;26,1;26,3;27,2;27,9;28,4;28,8;29,9;31,5;33,5;35,3;38,3;41,5;42,3;42,5;42,8
Липецкая область;29,1;29,4;29,5;30,5;31,0;31,5;32,8;34,1;35,9;37,9;39,5;41,2;42,8;45,3;48,2;51,0;52,5;52,9;53,1
Московская область;190,3;188,8;190,7;194,3;201,5;209,6;220,1;230,2;241,5;248,2;255,0;268,6;276,2;301,8;331,9;356,6;380,6;400,6;421,0
Орловская область;23,8;23,7;23,6;23,6;24,1;24,4;25,2;26,0;26,6;27,0;27,6;28,6;30,1;31,3;32,3;32,9;33,6;33,6;33,8
Рязанская область;29,4;29,5;28,9;29,2;29,4;30,6;31,9;32,6;34,0;34,6;36,4;38,2;39,6;42,0;44,6;46,6;47,4;47,9;48,2
Смоленская область;27,9;27,8;27,3;27,3;27,6;28,1;29,3;30,9;32,1;32,3;33,3;34,4;35,8;37,3;38,7;39,9;41,0;42,2;42,2
Тамбовская область;23,3;23,5;23,6;24,1;24,5;24,6;25,6;26,1;26,9;26,9;28,5;30,4;32,9;35,2;38,3;43,3;45,2;47,0;48,2
Тверская область;43,2;42,9;43,2;43,5;44,7;45,6;47,0;48,1;49,2;50,1;50,9;53,8;56,1;58,6;60,9;63,0;63,4;63,7;62,7
Тульская область;45,9;44,9;43,9;43,5;43,3;42,9;44,0;44,9;45,4;45,3;45,9;47,7;50,3;54,2;57,4;60,5;61,2;62,8;64,2
Ярославская область;45,6;45,0;45,2;45,9;47,1;48,3;50,2;52,1;53,8;54,8;56,3;58,6;60,2;63,3;66,4;68,8;70,2;71,0;71,9
