Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;
4.12. ПРЕПОДАВАТЕЛИ И МАСТЕРА ПРОИЗВОДСТВЕННОГО ОБУЧЕНИЯ,  РЕАЛИЗУЮЩИЕ ПРОГРАММЫ ПОДГОТОВКИ КВАЛИФИЦИРОВАННЫХ РАБОЧИХ, СЛУЖАЩИХ;;;;;;;;;
4.12.2. Численность мастеров производственного обучения1);;;;;;;;;
"(на конец года; человек)";;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;35593;29128;22433;15435;11383;7473;19485;18575;16922
Центральный     федеральный округ;6839;5833;4328;2956;1705;1144;4145;4084;3797
Белгородская область;304;267;37;27;28;26;177;175;148
Брянская область;590;526;246;21;21;21;212;196;200
Владимирская область;404;314;229;59;60;57;237;238;197
Воронежская область;465;409;313;278;276;152;267;242;225
Ивановская область;345;315;292;279;20;20;143;154;124
Калужская область;142;107;88;25;26;23;62;36;26
Костромская область;185;121;102;69;27;12;99;99;91
Курская область;364;326;274;96;27;27;273;274;289
Липецкая область;406;369;341;316;271;227;222;219;205
Московская область ;1442;1225;1123;814;156;91;779;912;811
Орловская область;338;207;98;48;21;21;176;141;125
Рязанская область;176;134;33;31;28;26;113;96;79
Смоленская область;201;176;148;101;46;31;101;55;79
Тамбовская область;39;37;39;27;28;26;263;250;209
Тверская область;508;424;222;88;72;55;161;148;133
Тульская область;483;459;410;362;325;84;252;235;214
Ярославская область;447;417;333;315;273;245;342;323;289
г. Москва;-;-;-;-;-;-;266;291;353
Северо-Западный     федеральный округ;3286;2356;1744;1379;1049;753;2065;1875;1748
Республика Карелия;198;166;146;62;18;17;103;83;79
Республика Коми;408;160;139;133;109;107;258;180;130
Архангельская область;566;375;310;212;151;71;331;308;260
в том числе: ;;;;;;;;;
Ненецкий автономный округ;14;17;15;12;13;15;14;12;6
Архангельская область    без автономного округа;552;358;295;200;138;56;317;296;254
Вологодская область;252;130;73;23;22;22;156;159;124
Калининградская область;68;65;26;17;17;16;57;52;42
Ленинградская область;146;76;38;14;7;7;141;141;130
Мурманская область;279;249;26;26;26;25;93;93;74
Новгородская область;198;189;122;38;15;14;105;89;88
Псковская область;238;163;94;90;72;53;93;62;69
г. Санкт-Петербург;933;783;770;764;612;421;728;708;752
Южный             федеральный округ;3639;2966;2320;1678;2157;1368;1991;1907;1861
Республика Адыгея;202;176;142;34;97;75;36;29;47
Республика Калмыкия;122;96;85;6;7;7;60;50;35
Республика Крым;;;;;602;451;317;296;282
Краснодарский край;1178;938;732;675;450;115;641;619;586
Астраханская область;215;196;154;39;69;50;131;119;105
Волгоградская область;769;516;470;378;325;246;310;311;299
Ростовская область;1153;1044;737;546;500;424;428;415;439
г. Севастополь;;;;;107;-;68;68;68
Северо-Кавказский    федеральный округ;2298;1901;1440;1045;268;254;1089;1036;931
Республика Дагестан;551;562;563;542;21;21;160;166;185
Республика Ингушетия;142;-;-;-;-;-;64;42;81
Кабардино-Балкарская   Республика;333;197;47;45;28;23;159;153;129
Карачаево-Черкесская    Республика;202;194;190;134;-;-;18;21;29
Республика Северная       Осетия – Алания;335;316;215;180;171;162;213;181;131
Чеченская Республика ;517;476;269;10;10;8;242;216;187
Ставропольский край;218;156;156;134;38;40;233;257;189
Приволжский      федеральный округ;7485;6315;4937;2970;2132;1403;3831;3650;3188
Республика Башкортостан;1885;1778;1532;1281;800;630;582;588;462
Республика Марий Эл;125;112;102;77;35;35;116;117;91
Республика Мордовия;188;131;121;36;37;36;109;97;64
Республика Татарстан;656;591;357;104;89;80;460;452;392
Удмуртская Республика;541;410;377;323;276;35;325;302;231
Чувашская Республика;320;312;195;61;20;21;174;148;141
Пермский край;849;627;363;152;116;107;382;331;302
Кировская область;315;219;150;57;56;56;198;223;217
Нижегородская область ;432;352;275;57;48;61;453;400;414
Оренбургская область;809;710;515;45;25;31;181;151;118
Пензенская область;152;105;67;30;28;27;150;145;131
Самарская область;361;257;198;194;188;160;216;195;160
Саратовская область;559;444;461;448;369;76;324;363;340
Ульяновская область;293;267;224;105;45;48;161;138;125
Уральский        федеральный округ;2833;1991;1325;566;379;304;1868;1750;1570
Курганская область;362;266;177;41;76;76;166;144;123
Свердловская область ;904;668;454;276;190;114;575;557;453
Тюменская область;421;331;291;141;62;64;534;466;484
в том числе:;;;;;;;;;
Ханты-Мансийский     автономный округ – Югра;117;72;68;63;20;20;273;262;242
Ямало-Ненецкий     автономный округ;82;80;72;42;6;8;89;77;92
Тюменская область     без автономных округов;222;179;151;36;36;36;172;127;150
Челябинская область;1146;726;403;108;51;50;593;583;510
Сибирский      федеральный округ;6397;5312;4257;3069;2520;1383;3236;3050;2778
Республика Алтай;104;63;60;58;51;41;56;44;56
Республика Тыва;258;228;141;77;27;30;154;158;133
Республика Хакасия;306;265;188;121;123;90;183;174;166
Алтайский край;813;656;591;553;454;348;440;405;329
Красноярский край;1209;387;1068;960;856;86;649;696;677
Иркутская область;870;1118;552;437;391;227;586;556;517
Кемеровская область;1082;597;630;101;99;104;476;419;353
Новосибирская область ;637;1046;270;234;193;192;209;180;183
Омская область;597;483;440;376;270;246;350;288;237
Томская область;521;469;317;152;56;19;133;130;127
Дальневосточный     федеральный округ;2816;2400;2082;1772;1173;864;1260;1223;1049
Республика Бурятия;304;97;91;41;45;47;129;134;107
Республика Саха (Якутия);425;337;332;300;245;129;187;161;170
Забайкальский край;414;387;311;222;174;140;187;196;150
Камчатский край;106;104;91;92;81;6;64;63;49
Приморский край;441;421;354;327;171;146;188;184;158
Хабаровский край ;376;340;240;177;158;145;213;228;188
Амурская область;381;359;320;318;144;123;93;77;82
Магаданская область;77;73;69;68;67;71;62;50;48
Сахалинская область;169;169;167;131;33;23;86;79;54
Еврейская автономная      область;99;90;85;75;35;34;51;49;42
Чукотский автономный   округ;24;23;22;21;20;-;-;2;1
?????;;;;;;;;;
1)  С 2011 г. - по данным Минпросвещения России.  С 2016 г. - на начало учебного  года. До 2016/2017 учебного года данные приведены по образовательным организациям начального профессионального образования. C 2018/2019 учебного года - без профессиональных образовательных организаций ФСИН и специальных образовательных организаций.;;;;;;;;;
