Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.15. ПРИЕМ НА ОБУЧЕНИЕ ПО ПРОГРАММАМ ПОДГОТОВКИ КВАЛИФИЦИРОВАННЫХ РАБОЧИХ, СЛУЖАЩИХ1) ;;;;;;;;;;;;;;;;;;;
 (тысяч человек);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;844,9;836,9;842,4;823,1;782,5;687,8;630,3;586,1;540,7;542,5;609,4;532,5;499,2;451,3;415,6;395,6;224,4;219,8;207,1
Центральный федеральный округ;177,3;175,2;172,6;170,1;163,3;147,7;127,7;117,5;108,3;108,5;114,0;101,0;97,6;79,5;71,6;69,8;40,8;42,4;39,2
Белгородская область;9,4;9,4;9,4;9,2;9,3;8,4;7,3;6,1;5,5;4,9;4,3;3,6;8,4;3,1;2,9;3,4;2,1;2,1;1,8
Брянская область;8,1;8,1;8,2;8,1;7,8;6,9;6,2;5,8;4,9;5,6;4,9;4,5;4,1;3,2;3,2;3,2;1,7;1,7;1,5
Владимирская область;9,8;9,8;9,6;9,1;8,7;8,2;7,2;6,3;5,7;6,0;6,5;5,5;4,8;4,5;4,7;4,9;2,5;2,5;2,1
Воронежская область;10,1;9,9;9,2;9,5;8,3;6,8;6,7;5,9;6,6;6,5;7,4;6,1;6,6;5,9;5,5;4,3;3,8;3,7;3,5
Ивановская область;7,7;7,1;7,2;7,0;6,7;6,7;5,7;5,2;4,8;3,9;4,8;4,7;3,9;3,9;3,4;3,3;1,3;1,4;1,5
Калужская область;5,8;5,5;5,5;5,8;5,5;4,7;4,4;4,0;2,9;2,6;4,4;4,4;4,2;3,6;2,1;2,8;0,8;0,9;0,8
Костромская область;6,2;6,1;6,2;6,6;6,4;5,5;4,8;4,8;4,5;5,0;6,4;4,5;4,6;3,2;2,3;2,2;1,2;1,2;1,1
Курская область;7,7;7,2;7,1;6,9;7,0;7,3;6,2;6,1;5,3;4,5;5,4;4,6;5,5;4,7;4,4;4,5;2,1;2,1;1,9
Липецкая область;9,1;9,6;9,4;9,4;9,1;8,3;6,5;5,5;6,8;6,3;7,4;5,5;5,2;4,8;4,2;5,1;2,2;2,2;1,9
Московская область;20,1;19,6;19,8;19,5;17,7;16,7;14,5;13,3;12,8;12,8;12,1;11,3;11,1;8,0;8,5;7,2;5,1;6,8;5,3
Орловская область;5,9;6,1;6,3;6,2;6,0;5,1;4,9;5,4;5,4;4,6;4,7;4,5;3,1;2,8;2,7;2,3;1,3;1,1;0,9
Рязанская область;7,0;7,0;7,0;7,0;6,6;6,5;6,0;6,2;5,8;4,9;3,8;3,4;3,1;2,6;2,6;2,6;1,5;1,4;1,0
Смоленская область;6,7;6,7;6,7;6,4;6,3;6,2;5,9;5,5;5,1;4,2;4,2;3,5;3,6;2,9;3,1;2,9;1,3;1,4;1,4
Тамбовская область;5,7;5,6;6,0;6,0;5,9;4,5;5,0;4,2;4,1;3,3;4,2;3,4;2,8;3,0;2,8;2,9;2,3;2,0;1,8
Тверская область;9,7;9,3;9,5;9,3;9,2;8,1;7,2;5,9;5,2;5,3;4,9;4,3;4,4;4,0;3,6;3,4;1,7;1,6;1,6
Тульская область;9,8;9,5;8,9;9,3;9,2;8,6;7,8;7,2;6,6;6,0;5,4;4,9;5,0;4,8;4,9;4,5;2,2;2,2;1,9
Ярославская область;8,4;8,2;8,4;8,1;8,0;7,3;6,6;6,0;5,8;6,7;6,9;7,0;6,2;5,6;4,9;5,5;3,4;3,3;3,2
