Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.19. ПРИЕМ НА ОБУЧЕНИЕ ПО ПРОГРАММАМ ПОДГОТОВКИ СПЕЦИАЛИСТОВ СРЕДНЕГО ЗВЕНА1);;;;;;;;;;;;;;;;;;;
(тысяч человек);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;867,2;877,7;901,1;905,5;890,2;854,1;798,8;770,7;703,0;694,4;705,3;659,6;656,2;637,7;672,8;699,3;727,0;744,0;783,0
Центральный федеральный округ;198,5;195,2;200,8;197,6;190,8;184,9;169,7;163,9;151,6;153,0;155,4;145,6;143,4;138,2;141,3;146,4;153,0;157,2;166,5
Белгородская область;8,4;8,4;7,9;8,0;7,8;8,5;7,4;6,7;5,7;5,6;6,4;6,1;6,2;6,2;6,9;7,1;7,4;7,6;8,2
Брянская область;9,0;8,8;10,8;8,6;8,3;7,9;7,0;6,8;6,3;5,9;5,7;5,2;5,2;5,2;5,7;5,9;5,5;5,8;6,2
Владимирская область;9,8;10,4;10,4;9,2;9,2;8,6;7,7;7,4;6,4;6,4;6,6;5,8;5,4;5,3;5,7;6,0;6,0;6,4;6,8
Воронежская область;14,6;14,9;15,8;16,9;16,3;15,3;13,4;11,1;11,2;10,8;11,4;11,1;10,7;10,2;10,2;10,6;10,4;10,5;10,7
Ивановская область;6,5;6,5;6,3;6,0;6,1;5,7;5,7;5,2;4,6;4,5;4,5;4,0;3,6;3,5;4,2;4,2;4,4;4,4;4,6
Калужская область;5,8;5,8;5,9;6,1;5,6;5,1;4,6;4,9;4,0;4,2;5,0;4,5;4,1;4,1;4,0;4,4;4,9;5,1;5,3
Костромская область;4,7;4,4;4,6;4,5;4,0;3,4;3,7;3,4;3,2;3,2;3,3;3,2;3,0;3,0;3,1;3,3;3,5;3,6;3,8
Курская область;7,5;7,2;7,4;6,6;8,5;8,0;7,1;7,1;6,5;6,1;6,0;5,2;4,9;5,0;5,5;5,8;6,9;6,5;6,7
Липецкая область;7,5;7,1;7,6;7,5;7,1;6,9;6,0;6,1;5,0;5,2;4,8;4,8;4,6;5,2;5,1;5,0;5,1;5,2;5,6
Московская область;25,6;24,7;26,1;24,7;24,3;23,6;22,0;21,2;20,3;19,4;19,2;18,7;18,3;17,2;20,0;19,7;21,9;23,6;25,1
Орловская область;4,4;4,1;4,3;4,2;4,1;3,7;3,4;3,6;2,9;3,4;3,6;3,2;3,5;3,3;3,6;3,6;3,7;3,5;3,7
Рязанская область;7,5;7,3;7,2;7,3;7,3;7,1;6,1;5,6;5,1;6,4;5,6;5,7;5,3;5,3;5,5;5,8;6,4;5,9;6,0
Смоленская область;7,4;8,0;8,1;8,1;7,8;7,6;6,1;6,5;5,6;5,3;5,6;5,1;4,8;4,5;4,4;4,0;4,9;5,1;5,1
Тамбовская область;7,3;6,8;6,7;6,9;6,7;6,9;6,0;5,5;5,1;4,5;5,5;4,9;4,9;5,0;5,0;5,5;5,7;5,4;5,7
Тверская область;9,5;9,8;10,2;10,1;10,0;9,5;9,0;7,9;7,5;7,2;7,1;6,3;5,8;5,4;5,9;5,9;6,2;6,3;6,6
Тульская область;11,2;11,2;11,7;11,4;10,9;10,3;8,9;8,1;7,5;7,7;6,4;5,9;5,7;5,6;6,3;6,4;6,4;6,4;7,1
Ярославская область;9,8;9,7;9,8;10,1;9,5;9,7;8,8;7,9;7,0;6,6;6,6;6,1;6,5;6,6;6,7;6,7;6,7;7,2;7,4
г. Москва;42,0;40,2;40,0;41,1;37,3;37,1;37,0;38,9;37,8;40,7;42,0;39,9;40,8;37,5;33,5;36,4;36,9;38,7;42,0
