Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
 4.21. ЧИСЛО ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ВЫСШЕГО ОБРАЗОВАНИЯ И НАУЧНЫХ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ПРОГРАММАМ БАКАЛАВРИАТА, СПЕЦИАЛИТЕТА, МАГИСТРАТУРЫ1);;;;;;;;;;;;;;;;;;;
(на начало учебного года);;;;;;;;;;;;;;;;;;;
;2000/2001;2001/2003;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Российская Федерация;965;1008;1039;1044;1071;1068;1090;1090;1134;1114;1115;1080;1046;969;950;896;818;766;741
Центральный   федеральный округ;321;343;347;349;367;378;394;394;440;425;428;417;410;377;371;342;306;280;266
Белгородская область;8;9;9;9;9;9;9;9;9;7;7;7;7;7;6;6;5;5;5
Брянская область;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5
Владимирская область;5;5;4;4;4;4;5;5;6;7;7;6;6;4;4;3;3;3;3
Воронежская область;16;16;17;17;18;18;18;18;21;22;22;22;22;19;16;16;15;15;15
Ивановская область;9;9;9;9;8;8;9;9;9;9;9;9;9;8;7;6;6;6;6
Калужская область;6;5;5;4;6;6;6;6;5;5;4;4;4;3;3;3;3;3;3
Костромская область;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2
Курская область;8;9;11;13;13;13;14;14;14;12;11;10;10;10;10;10;10;8;8
Липецкая область;4;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;5;5;4
Московская область;31;31;29;28;29;31;35;35;33;33;32;33;35;38;35;34;29;24;21
Орловская область;7;7;8;8;8;8;8;8;8;7;7;6;6;5;5;5;4;4;4
Рязанская область;6;7;7;7;7;9;9;9;9;9;9;9;9;9;8;7;7;6;6
Смоленская область;6;6;6;6;6;7;7;7;7;7;7;9;9;8;8;7;7;7;6
Тамбовская область;5;5;5;5;5;6;6;6;6;5;6;6;5;4;4;4;4;4;4
Тверская область;8;8;8;8;7;7;7;7;8;9;8;8;8;7;7;7;7;7;7
Тульская область;2;2;2;2;2;2;2;2;6;6;8;9;9;9;8;8;6;6;6
Ярославская область;10;10;10;10;10;9;9;9;9;9;9;9;9;9;9;9;9;9;8
г. Москва;183;202;205;207;223;229;237;237;276;264;268;256;248;223;227;203;179;161;153
Северо-Западный федеральный округ;119;131;136;132;132;130;131;131;132;131;131;122;116;107;103;102;95;90;89
Республика Карелия;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2
Республика Коми;7;7;7;7;7;6;6;6;5;5;5;5;5;4;3;3;3;3;3
Архангельская область;5;5;5;5;5;5;5;5;6;6;6;4;4;4;4;4;4;4;4
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Архангельская область     без автономного округа;5;5;5;5;5;5;5;5;6;6;6;4;4;4;4;4;4;4;4
Вологодская область;6;6;5;4;4;5;5;5;6;6;6;6;6;6;4;4;3;3;3
Калининградская область;7;8;10;10;10;10;9;9;8;8;8;7;5;4;4;4;4;4;3
Ленинградская область;3;4;4;3;3;4;3;3;3;3;3;3;2;1;1;1;1;1;1
Мурманская область;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3
Новгородская область;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Псковская область;4;4;4;4;5;5;6;6;6;6;5;5;4;4;3;3;3;3;3
г. Санкт-Петербург;78;88;92;90;90;87;89;89;90;89;90;84;82;77;77;76;71;66;66
Южный               федеральный округ;84;87;88;92;93;88;89;89;87;86;85;83;82;76;87;74;64;61;61
Республика Адыгея;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2
Республика Калмыкия;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Республика Крым;;;;;;;;;;;;;;;11;6;7;7;7
Краснодарский край;28;30;30;32;33;33;33;33;35;34;34;34;33;28;27;26;21;20;20
Астраханская область;7;7;6;6;6;5;5;5;5;6;6;6;6;6;6;6;6;6;6
Волгоградская область;14;15;16;17;17;17;17;17;16;16;16;15;15;16;15;13;12;12;12
Ростовская область;31;31;32;33;33;31;31;31;28;27;26;25;25;23;21;18;14;12;12
г. Севастополь;;;;;;;;;;;;;;;4;2;1;1;1
Северо-Кавказский     федеральный округ;60;58;58;60;61;61;60;60;63;62;65;64;59;55;59;54;50;47;44
Республика Дагестан;14;13;13;15;15;15;15;15;17;17;18;16;16;17;19;18;16;14;13
Республика Ингушетия ;3;3;4;4;5;3;3;3;3;2;2;2;2;1;2;2;2;2;2
Кабардино-Балкарская      Республика;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Карачаево-Черкесская    Республика;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Республика Северная    Осетия - Алания;8;8;8;8;9;11;10;10;10;11;13;12;11;9;9;8;7;6;6
