Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;
4.22. ЧИСЛО ФИЛИАЛОВ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ВЫСШЕГО ОБРАЗОВАНИЯ;;;;;;;;;;;;;;;
 (на начало учебного года);;;;;;;;;;;;;;;
;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Российская Федерация;2201;1619;1646;1701;1663;1637;1668;1639;1603;1482;1319;1079;840;651;596
Центральный    федеральный округ;406;320;328;351;356;375;400;394;396;347;323;270;193;144;136
Белгородская область;29;19;19;16;16;14;14;14;14;12;12;9;8;5;6
Брянская область;16;13;16;17;17;20;20;19;19;16;16;14;11;9;8
Владимирская область;21;19;17;17;17;17;17;18;18;15;14;14;11;7;6
Воронежская область;24;17;17;20;18;18;20;20;19;16;16;15;11;10;9
Ивановская область;10;9;10;10;10;5;10;10;10;9;7;5;5;5;5
Калужская область;36;20;21;22;22;22;24;24;22;19;18;18;14;10;10
Костромская область;4;3;3;4;4;4;4;4;4;4;3;3;3;-;-
Курская область;17;17;16;16;15;10;13;12;13;8;7;6;4;3;3
Липецкая область;12;9;12;11;11;16;16;16;15;14;14;11;8;8;8
Московская область;92;68;72;85;96;119;127;129;133;120;104;83;53;39;37
Орловская область;6;7;6;6;6;6;6;7;7;8;8;6;6;5;5
Рязанская область;18;19;15;15;15;15;15;15;15;12;11;10;9;5;4
Смоленская область;29;26;25;25;26;25;27;27;26;24;24;20;15;11;10
Тамбовская область;12;12;11;12;10;10;11;10;10;11;10;8;5;3;3
Тверская область;35;23;27;28;29;28;28;24;24;22;21;16;7;2;3
Тульская область;18;13;13;19;16;16;17;15;15;12;13;12;8;7;6
Ярославская область;20;24;25;26;25;25;25;24;24;17;18;14;10;9;7
г. Москва;7;2;3;2;3;5;6;6;8;8;7;6;5;6;6
Северо-Западный федеральный округ;219;186;185;187;179;170;165;170;161;141;121;88;70;53;44
Республика Карелия;13;13;14;15;13;13;11;11;8;8;7;6;3;2;2
Республика Коми;28;21;19;19;19;17;13;14;14;13;11;8;4;4;3
Архангельская область;27;19;19;17;15;14;15;15;14;10;8;6;5;4;3
в том числе: ;;;;;;;;;;;;;;;
Ненецкий автономный   округ;4;2;2;2;1;-;-;-;-;-;-;-;-;-;-
Архангельская область без автономного округа;23;17;17;15;14;14;15;15;14;10;8;6;5;4;3
Вологодская область;15;14;14;14;14;14;17;15;15;13;11;9;6;5;4
Калининградская область;9;21;22;24;22;19;20;20;21;17;15;12;11;7;6
Ленинградская область;46;35;35;36;36;33;32;33;29;26;23;14;14;13;9
Мурманская область;31;28;26;25;25;24;24;24;24;19;16;10;8;5;5
Новгородская область;14;10;10;10;10;10;10;11;11;10;9;8;6;2;1
Псковская область;16;14;14;15;14;14;14;14;12;11;10;8;7;5;5
г. Санкт-Петербург;20;11;12;12;11;12;9;13;13;14;11;7;6;6;6
Южный               федеральный округ;293;213;213;229;223;213;201;199;195;174;159;132;115;92;86
Республика Адыгея;13;7;7;7;7;8;7;7;6;7;6;5;2;2;1
Республика Калмыкия;10;9;9;9;8;7;7;7;7;6;3;3;3;2;1
Республика Крым;;;;;;;;;;;2;5;5;6;6
Краснодарский край;117;93;92;101;94;83;83;77;74;66;53;43;40;30;29
