Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;
4.23. ЧИСЛЕННОСТЬ ПРОФЕССОРСКО-ПРЕПОДАВАТЕЛЬСКОГО ПЕРСОНАЛА , ОСУЩЕСТВЛЯЮЩЕГО ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ПРОГРАММАМ ВЫСШЕГО ОБРАЗОВАНИЯ1) ;;;;;;;;;;;;;
"(на начало учебного года; человек)";;;;;;;;;;;;;
;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;;;;
Российская Федерация;356827;348160;342030;319348;299750;279758;260980;245078;234142;;;;
Центральный федеральный округ;113910;111340;113309;101462;93815;88084;82995;79173;79447;;;;
Белгородская область;3226;3202;3211;3320;3000;2691;2518;2376;2313;;;;
Брянская область;2272;2030;1981;1622;1605;1438;1286;1108;1040;;;;
Владимирская область;2102;2021;1970;1947;1702;1584;1423;1252;1218;;;;
Воронежская область;7987;7759;7716;6313;5852;5425;5192;4984;4798;;;;
Ивановская область;2726;2618;2509;2570;2178;2054;1849;1759;1690;;;;
Калужская область;1787;1694;1653;1406;1356;1274;1098;983;3555;;;;
Костромская область;1232;1214;1092;1079;965;918;792;633;629;;;;
Курская область;2855;2783;2796;2733;2520;2416;2202;1908;1775;;;;
Липецкая область;1826;1788;1744;1677;1577;1425;1249;1149;1010;;;;
Московская область;6706;6464;7849;7483;5969;4917;3896;3601;3811;;;;
Орловская область;2572;2486;2372;2180;2109;1911;1781;1668;1517;;;;
Рязанская область;2912;2839;2837;2483;2077;1960;1887;1816;1671;;;;
Смоленская область;2215;2026;2262;2020;1834;1653;1525;1406;1344;;;;
Тамбовская область;2059;2010;1986;1968;1799;1567;1423;1281;1247;;;;
Тверская область;2337;2193;2210;2096;1926;1854;1670;1596;1559;;;;
Тульская область;2310;2140;2187;2030;1967;1813;1618;1490;1411;;;;
Ярославская область;2142;2621;2581;2325;2231;2123;1959;1814;1799;;;;
г. Москва;64644;63452;64353;56210;53148;51061;49627;48349;47060;;;;
Северо-Западный    федеральный округ;42040;40317;39826;38204;35074;33229;30836;29490;28290;;;;
Республика Карелия;1471;1397;1383;1255;1103;1028;921;820;785;;;;
Республика Коми;1174;1108;1017;1198;1029;870;771;709;650;;;;
Архангельская область;2096;1975;1916;1974;1829;1736;1430;1314;1209;;;;
в том числе: ;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;;;;
Архангельская область     без автономного округа;2096;1975;1916;1974;1829;1736;1430;1314;1209;;;;
Вологодская область;1887;1776;1689;1636;1332;1211;1039;926;838;;;;
Калининградская область;1989;1838;1812;1685;1567;1473;1375;1269;1215;;;;
Ленинградская область;560;527;507;554;461;351;339;302;269;;;;
Мурманская область;1312;1100;1022;940;833;712;512;447;416;;;;
Новгородская область;1078;1001;956;934;851;709;643;504;483;;;;
Псковская область;966;1003;996;1101;914;873;778;664;638;;;;
г. Санкт-Петербург;29507;28592;28528;26927;25155;24266;23028;22535;21787;;;;
Южный          федеральный округ;30482;29888;28458;27153;29444;27111;25444;23745;22422;;;;
Республика Адыгея;1184;1104;961;891;827;730;673;652;636;;;;
Республика Калмыкия;603;541;546;539;421;418;414;398;366;;;;
Республика Крым;;;;;3032;3043;3019;2865;2879;;;;
Краснодарский край;8888;8694;7969;7583;7118;6391;5886;5438;5107;;;;
Астраханская область;2317;2334;2189;2165;2066;1943;1841;1652;1608;;;;
Волгоградская область;6489;6410;6206;5556;4908;4511;4325;4016;3561;;;;
Ростовская область;11001;10805;10587;10419;9985;8991;8386;7887;7451;;;;
г. Севастополь;;;;;1087;1084;900;837;814;;;;
Северо-Кавказский     федеральный округ;18568;19634;18486;16983;15999;14436;12884;11501;11117;;;;
Республика Дагестан;5556;6049;4963;4868;4437;4007;3434;3055;2951;;;;
Республика Ингушетия ;525;587;1027;488;530;487;404;312;305;;;;
Кабардино-Балкарская   Республика;1682;1547;1549;1554;1348;1266;1140;883;869;;;;
Карачаево-Черкесская   Республика;1107;1136;990;914;851;732;610;583;586;;;;
Республика Северная   Осетия – Алания;2338;2313;2263;2090;1965;1736;1667;1538;1471;;;;
Чеченская Республика ;788;1676;1627;1361;1400;1381;1292;1064;1073;;;;
Ставропольский край;6572;6326;6067;5708;5468;4827;4337;4066;3862;;;;
Приволжский  федеральный округ;67660;65921;63227;59903;55259;51447;48082;44854;42406;;;;
Республика Башкортостан;7878;7605;7439;6872;6464;6001;5674;5240;5050;;;;
Республика Марий Эл;1474;1471;1397;1356;1091;1004;952;938;932;;;;
Республика Мордовия;2280;2181;2170;2130;1997;1929;1812;1626;1502;;;;
Республика Татарстан;10445;10382;10060;9733;9143;8711;8181;7864;7368;;;;
Удмуртская Республика;2985;3786;2687;2613;2474;2382;2209;2105;1982;;;;
Чувашская Республика;3002;2780;2608;2414;2210;1860;1659;1515;1416;;;;
Пермский край;4911;4648;4703;4529;4089;3951;3721;3448;3254;;;;
Кировская область;2204;2127;2060;1813;1633;1553;1467;1350;1276;;;;
Нижегородская область ;7862;7581;7763;7051;6289;5870;5474;5000;4753;;;;
Оренбургская область;3887;3744;3592;3285;3051;2698;2512;2351;2114;;;;
Пензенская область;2974;2691;2487;2437;2291;2070;1970;1767;1688;;;;
Самарская область;8126;7972;7575;7140;6727;6338;5944;5632;5317;;;;
Саратовская область;6667;6313;6061;6030;5574;5019;4629;4289;4095;;;;
Ульяновская область;2965;2640;2625;2500;2226;2061;1878;1729;1659;;;;
Уральский      федеральный округ;24676;23309;22755;22185;20559;19049;17630;16270;15135;;;;
Курганская область;1339;1204;1164;1224;1038;949;810;765;663;;;;
Свердловская область ;9447;9408;8943;8759;8044;7506;7129;6479;6153;;;;
Тюменская область;5899;5537;5438;5354;4968;4493;3994;3785;3470;;;;
в том числе:;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;1768;1678;1646;1562;1438;1277;1163;1148;1069;;;;
Ямало-Ненецкий    автономный округ;213;206;164;236;200;116;58;46;46;;;;
Тюменская область    без автономных округов;3918;3653;3628;3556;3330;3100;2773;2591;2355;;;;
Челябинская область;7991;7160;7210;6848;6509;6101;5697;5241;4849;;;;
Сибирский      федеральный округ;41398;39666;39214;37575;34980;32587;30376;28567;26954;;;;
Республика Алтай;343;321;312;275;271;258;250;223;168;;;;
Республика Тыва;298;307;288;314;330;327;296;275;266;;;;
Республика Хакасия;753;547;593;644;606;446;432;411;405;;;;
Алтайский край;4584;4220;4411;3959;3575;3304;2969;2683;2579;;;;
Красноярский край;7046;6857;6783;6467;5984;5707;5445;5060;4846;;;;
Иркутская область;5557;5249;5076;5121;4607;4194;3944;3651;3527;;;;
Кемеровская область;4737;4563;4419;4441;3931;3520;2979;2701;2451;;;;
Новосибирская область ;7403;7128;6988;6885;6662;6293;5916;5775;5424;;;;
Омская область;5391;5188;5037;4672;4335;4002;3747;3570;3344;;;;
Томская область;5286;5286;5307;4797;4679;4536;4398;4218;3944;;;;
Дальневосточный   федеральный округ;18093;18085;16755;15883;14620;13815;12733;11478;11018;;;;
Республика Бурятия;2184;2161;2106;2085;1814;1884;1792;1494;1447;;;;
Республика Саха (Якутия);2112;1946;1996;2011;1997;1854;1727;1616;1622;;;;
Забайкальский край;1784;1703;1587;1477;1408;1390;1303;1220;1101;;;;
Камчатский край;512;483;378;441;317;284;242;222;194;;;;
Приморский край;5131;5485;4549;4236;4059;3816;3496;3261;3199;;;;
Хабаровский край ;3810;3703;3555;3347;3165;2926;2714;2319;2239;;;;
Амурская область;1685;1632;1560;1337;1148;1000;909;841;782;;;;
Магаданская область;313;296;265;341;217;191;171;154;126;;;;
Сахалинская область;439;401;397;345;343;340;282;262;219;;;;
Еврейская автономная   область;123;272;359;259;143;123;93;86;82;;;;
Чукотский автономный округ;-;3;3;4;9;7;4;3;7;;;;
?????;;;;;;;;;;;;;
1) До 2016/2017 учебного года – образовательные организации высшего образования. ;;;;;;;;;;;;;
