Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.24. ЧИСЛЕННОСТЬ СТУДЕНТОВ, ОБУЧАЮЩИХСЯ ПО ПРОГРАММАМ БАКАЛАВРИАТА, СПЕЦИАЛИТЕТА, МАГИСТРАТУРЫ;;;;;;;;;;;;;;;;;;;
"(на начало учебного года; тысяч человек) ";;;;;;;;;;;;;;;;;;;
;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Российская Федерация;4741,4;5426,9;5947,5;6455,7;6884,2;7064,6;7309,8;7461,3;7513,1;7418,8;7049,8;6490,0;6075,4;5646,7;5209,0;4766,5;4399,5;4245,9;4161,7
Центральный федеральный округ;1489,9;1747,0;1755,0;1967,6;2191,1;2167,2;2297,1;2369,5;2380,3;2366,1;2215,9;2005,5;1852,9;1746,9;1577,9;1455,3;1359,6;1303,9;1286,6
Белгородская область;45,7;56,2;52,4;59,4;64,4;72,2;77,5;80,1;82,9;79,7;77,7;73,4;68,7;64,8;59,2;53,1;50,6;49,0;47,7
Брянская область;27,0;30,7;37,9;41,0;43,0;45,9;51,7;52,2;59,1;61,1;57,2;51,8;48,5;41,7;39,5;34,5;30,7;27,0;25,3
Владимирская область;28,7;32,1;42,6;45,5;47,4;53,7;57,3;57,3;57,3;57,6;53,6;49,4;45,3;42,4;34,9;33,5;30,8;27,2;27,6
Воронежская область;76,6;87,6;108,3;110,5;115,9;125,0;128,3;134,1;138,5;138,5;133,2;124,6;117,2;106,2;99,0;91,8;88,9;87,0;86,0
Ивановская область;39,9;45,0;51,1;52,6;52,6;51,4;56,1;54,5;53,5;52,4;49,0;45,7;42,1;39,7;33,1;31,3;28,5;26,4;25,4
Калужская область;15,8;20,4;28,9;31,1;32,1;30,8;30,6;37,2;37,8;38,7;37,6;33,8;30,2;27,7;24,8;22,0;19,1;18,6;18,7
Костромская область;16,6;17,8;18,7;20,1;20,4;21,1;21,7;21,8;22,3;22,3;21,7;20,5;19,2;18,3;16,6;13,6;11,4;10,8;10,6
Курская область;31,7;38,0;46,9;50,7;52,7;58,2;59,0;65,4;64,5;73,3;72,3;67,7;63,5;60,0;55,7;54,6;44,5;41,1;38,0
Липецкая область;21,2;22,9;27,8;29,9;31,1;33,4;35,4;36,8;37,1;43,1;41,6;38,4;35,0;31,6;28,5;24,9;22,2;21,7;21,2
Московская область;132,9;154,8;131,0;134,4;143,8;155,4;165,0;170,5;172,4;181,3;168,4;156,6;145,1;145,7;130,1;112,0;86,8;77,1;81,8
