Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.25. ЧИСЛЕННОСТЬ СТУДЕНТОВ, ОБУЧАЮЩИХСЯ ПО ПРОГРАММАМ БАКАЛАВРИАТА, СПЕЦИАЛИТЕТА, МАГИСТРАТУРЫ на 10 000 человек населения;;;;;;;;;;;;;;;;;;;
"(на начало учебного года; человек)";;;;;;;;;;;;;;;;;;;
;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Российская Федерация;324;373;410;448;480;493;514;525;529;523;497;454;424;393;356;325;300;289;284
Центральный       федеральный округ;;;;;;;;;;;;;;;;;;;
Белгородская область;303;373;347;393;426;477;512;528;544;521;508;478;446;420;382;342;326;316;308
Брянская область;192;221;276;301;320;345;392;399;455;473;443;410;387;336;320;282;252;223;211
Владимирская область;184;209;280;302;319;361;393;396;398;403;375;345;319;300;249;239;222;197;202
Воронежская область;316;365;456;470;496;529;559;588;610;612;589;535;503;456;425;393;381;373;369
Ивановская область;338;387;446;465;471;467;516;505;499;491;460;434;401;380;319;304;278;260;253
Калужская область;149;194;278;302;314;302;303;370;377;386;375;335;301;276;246;218;188;184;185
Костромская область;220;239;255;277;285;303;309;312;322;324;315;309;292;279;253;209;176;168;167
Курская область;250;304;381;418;440;494;504;563;559;638;629;603;568;536;499;488;397;368;343
Липецкая область;173;188;230;249;261;280;302;315;319;372;359;330;301;272;247;216;192;189;185
Московская область;201;234;198;203;217;229;248;256;257;269;249;218;206;204;180;153;117;103;108
Орловская область;365;420;464;488;511;544;562;565;552;552;532;525;506;485;438;420;406;414;410
Рязанская область;207;263;318;335;369;457;460;467;485;474;474;471;432;405;339;315;293;291;275
Смоленская область;168;182;275;294;314;404;430;449;472;471;499;442;424;415;348;273;254;229;228
Тамбовская область;206;220;264;285;306;366;393;387;400;393;388;357;335;323;312;278;286;276;274
Тверская область;178;202;240;251;276;283;311;324;312;323;315;297;291;277;258;224;199;195;193
Тульская область;141;152;226;256;255;271;293;351;336;339;339;318;294;272;259;232;217;218;223
Ярославская область;229;250;296;324;347;427;444;451;428;405;400;380;368;355;311;292;266;247;241
г. Москва;860;1009;922;1082;1255;1097;1225;1254;1249;1213;1106;886;786;733;660;616;595;572;560
Северо-Западный      федеральный округ;;;;;;;;;;;;;;;;;;;
Республика Карелия;235;262;329;322;312;357;364;355;362;366;345;345;306;271;262;227;192;187;187
Республика Коми;187;215;306;341;355;372;365;371;368;364;355;355;345;315;283;239;201;195;188
Архангельская область;236;282;327;347;359;372;376;372;367;369;337;312;274;243;217;193;164;164;162
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;74;72;54;49;77;82;89;42;-;-;-;-;-;-;-;-;-;-
Архангельская область     без автономного округа;;;;;;;;;;;;;;252;225;201;170;171;169
Вологодская область;245;278;317;330;343;396;412;433;422;402;365;344;320;290;238;205;176;162;159
Калининградская область;220;256;305;310;319;428;432;483;445;441;446;426;398;350;311;280;251;238;224
Ленинградская область;30;118;167;86;101;121;112;123;112;105;102;85;80;71;63;55;50;44;42
Мурманская область;197;227;317;349;373;475;443;444;440;429;386;359;327;285;266;202;129;117;106
Новгородская область;270;280;344;338;339;345;345;348;344;325;330;303;274;260;258;203;188;133;131
Псковская область;182;199;268;281;278;324;334;349;367;372;382;363;327;273;246;222;200;195;189
г. Санкт-Петербург;757;819;816;912;964;910;961;985;1001;988;935;809;759;687;611;580;556;549;550
Южный         федеральный округ;;;;;;;;;;;;;;;;;;;
Республика Адыгея;400;414;412;423;452;352;474;463;466;456;440;412;354;334;318;280;261;275;291
Республика Калмыкия;257;272;315;343;345;390;397;403;458;472;463;443;427;342;328;307;350;299;306
Республика Крым;;;;;;;;;;;;;;;220;238;227;219;208
Краснодарский край;191;208;264;308;334;348;346;381;377;370;361;330;308;283;263;237;214;210;205
Астраханская область;228;254;310;338;368;402;436;439;429;439;444;410;400;405;420;371;315;289;294
Волгоградская область;236;273;332;358;377;418;439;444;458;462;434;404;377;355;310;281;258;249;243
Ростовская область;339;387;426;454;471;493;515;519;521;515;496;473;457;428;405;352;328;319;325
г. Севастополь;;;;;;;;;;;;;;;394;364;326;326;315
Северо-Кавказский      федеральный округ;;;;;;;;;;;;;;;;;;;
Республика Дагестан;277;295;349;375;403;416;447;445;435;407;395;332;325;321;289;235;204;181;171
Республика Ингушетия ;141;154;166;202;196;245;229;202;192;219;231;271;283;234;236;187;168;157;151
Кабардино-Балкарская      Республика;220;229;263;311;317;333;329;333;338;330;314;286;266;248;242;198;175;163;169
Карачаево-Черкесская        Республика;238;239;253;336;373;358;404;402;408;412;397;324;323;314;300;281;239;230;239
Республика Северная Осетия - Алания;345;371;403;431;457;495;508;506;504;472;483;446;453;429;421;371;352;327;303
Чеченская Республика ;187;169;172;188;206;220;244;256;257;263;263;255;250;237;256;238;235;240;241
Ставропольский край;276;307;415;472;480;485;505;507;519;519;496;455;422;391;350;313;268;258;257
Приволжский        федеральный округ;;;;;;;;;;;;;;;;;;;
Республика Башкортостан;247;287;349;360;368;384;399;418;431;432;416;392;377;346;311;281;259;255;248
Республика Марий Эл;304;337;383;392;398;405;425;436;442;437;428;401;368;330;297;286;274;279;270
Республика Мордовия;333;356;416;467;495;504;513;498;490;522;500;462;442;423;395;373;353;345;331
Республика Татарстан;336;397;452;508;550;590;606;605;594;583;555;526;498;474;441;422;394;385;377
Удмуртская Республика;327;376;426;454;472;464;485;472;482;488;480;429;400;363;346;338;316;302;292
Чувашская Республика;319;348;446;468;492;559;553;565;590;574;534;477;440;387;344;310;294;288;281
Пермский край;231;258;299;314;323;350;361;372;389;394;379;364;342;309;275;252;229;216;211
Кировская область;223;277;328;359;374;425;422;422;413;425;390;366;338;320;295;279;260;256;245
Нижегородская область ;276;317;377;429;470;530;569;570;567;542;502;462;419;381;340;301;280;273;264
Оренбургская область;254;284;319;347;352;394;401;408;406;402;384;379;368;339;312;267;245;234;234
Пензенская область;236;270;315;339;362;398;419;429;455;443;430;394;371;335;317;298;278;253;253
Самарская область;340;411;474;506;533;555;558;568;568;550;512;468;441;406;371;346;321;313;304
Саратовская область;309;356;399;429;460;480;485;490;504;510;473;441;413;388;364;340;323;309;306
Ульяновская область;232;266;307;344;377;406;419;422;441;440;441;419;387;362;336;312;294;296;293
Уральский     федеральный округ;;;;;;;;;;;;;;;;;;;
Курганская область;189;220;250;274;301;349;368;390;410;411;397;378;347;312;273;246;209;207;199
Свердловская область ;339;387;403;441;472;479;480;488;503;497;465;432;408;386;338;313;280;289;278
Тюменская область;253;301;406;454;473;505;504;502;497;473;450;413;376;344;309;263;240;227;216
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;98;110;204;339;340;366;357;357;348;322;299;278;251;238;214;168;155;149;142
Ямало-Ненецкий       автономный округ;-;18;49;227;241;284;250;223;228;209;213;194;157;135;104;49;29;18;14
Тюменская область     без автономных округов;;;;;;;;;;;;;;543;494;449;411;388;368
Челябинская область;302;361;424;421;430;464;487;527;549;529;517;478;437;400;357;315;289;278;266
