Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.26. ПРИЕМ НА ОБУЧЕНИЕ ПО ПРОГРАММАМ БАКАЛАВРИАТА, СПЕЦИАЛИТЕТА, МАГИСТРАТУРЫ;;;;;;;;;;;;;;;;;;;
 (тысяч человек);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;1292,5;1461,6;1503,9;1643,4;1659,1;1640,5;1657,6;1681,6;1641,7;1544,2;1399,5;1207,4;1298,2;1246,5;1191,7;1221,8;1157,8;1142,0;1147,9
Центральный федеральный округ;388,3;463,5;436,7;544,0;527,0;499,8;502,2;509,6;491,2;454,5;416,3;350,4;380,8;380,5;360,8;380,1;358,0;352,7;368,7
Белгородская область;12,8;16,2;13,4;14,7;15,9;18,0;17,7;16,8;18,3;15,4;15,1;13,3;14,2;13,6;12,5;12,6;13,3;12,5;13,1
Брянская область;7,9;8,5;9,7;10,2;10,9;10,6;12,4;12,2;14,6;12,1;10,6;8,7;9,1;8,3;7,7;7,3;6,6;6,4;6,1
Владимирская область;8,6;9,1;10,8;11,3;11,8;13,3;13,2;13,5;12,6;12,8;11,0;9,7;9,8;11,5;7,8;8,7;8,1;7,4;9,0
Воронежская область;19,9;23,3;28,5;27,1;28,2;28,1;28,9;29,6;29,9;27,0;26,0;24,8;25,0;22,6;23,9;23,4;23,3;22,2;23,4
Ивановская область;11,2;12,3;12,9;12,3;13,1;11,2;13,0;11,9;11,7;11,1;10,6;8,3;8,8;8,4;6,8;7,5;7,0;6,9;6,7
Калужская область;3,9;5,8;7,6;8,4;8,0;6,5;6,8;8,4;8,0;8,7;7,0;5,7;6,5;6,0;5,7;5,2;5,1;5,1;5,3
Костромская область;4,2;4,2;4,2;4,5;4,6;4,8;4,7;5,1;5,3;4,8;4,6;3,8;4,0;3,2;3,3;3,2;2,8;2,7;2,7
Курская область;8,8;10,3;12,5;13,7;12,5;13,5;12,1;14,1;13,7;13,4;15,6;10,3;12,0;12,8;12,0;13,8;10,6;9,9;9,5
Липецкая область;5,7;5,6;6,7;7,5;7,9;8,3;8,5;8,7;7,9;8,6;7,6;7,1;6,9;6,0;5,6;6,0;6,3;6,2;5,6
Московская область;34,7;42,3;29,1;29,2;33,6;33,8;35,4;35,2;34,5;34,7;28,4;23,3;26,2;30,2;26,8;25,0;20,7;19,3;20,5
Орловская область;9,1;10,2;9,9;9,9;10,6;10,5;10,2;10,3;9,5;9,1;8,5;8,2;8,6;7,3;7,7;8,9;8,2;8,4;8,5
Рязанская область;6,7;8,3;9,8;9,6;10,4;11,3;11,2;11,7;11,8;10,6;10,5;10,3;9,2;9,9;8,4;8,5;8,2;8,5;7,6
Смоленская область;4,7;4,8;7,8;7,9;8,0;9,7;10,0;10,5;10,8;10,3;9,1;7,2;8,1;7,1;6,4;6,1;5,8;5,9;5,7
Тамбовская область;5,5;5,9;7,5;8,4;8,4;9,0;8,9;8,0;9,2;7,7;8,1;6,8;8,0;7,5;7,3;7,1;7,7;7,4;7,8
Тверская область;7,1;7,8;9,2;8,9;9,8;9,2;10,3;10,5;10,4;11,9;9,7;9,0;9,4;8,3;7,4;7,1;6,7;6,3;6,4
Тульская область;5,1;5,7;9,2;9,2;9,8;9,9;10,0;12,0;11,3;11,5;10,9;9,6;8,6;8,7;8,5;8,7;8,3;9,3;9,4
Ярославская область;8,8;9,0;10,4;11,5;11,5;13,6;14,0;14,0;12,3;11,3;11,0;10,0;10,6;10,5;8,8;9,1;8,3;8,4;8,0
г. Москва;223,6;274,2;237,4;339,7;312,1;278,3;274,9;276,9;259,5;233,5;212,0;174,2;195,8;198,5;194,2;212,0;201,0;199,7;213,2
Северо-Западный федеральный округ;144,6;160,6;159,2;165,9;175,4;174,1;171,6;172,3;170,7;163,8;148,0;127,8;134,1;124,4;116,0;123,6;119,4;121,1;122,8
Республика Карелия;4,6;4,7;6,5;6,3;5,7;5,9;6,1;6,1;6,1;6,4;4,9;4,4;4,1;2,9;3,4;3,2;2,7;2,8;2,7
Республика Коми;6,2;6,4;8,5;8,7;8,9;8,4;8,8;8,7;8,2;8,2;8,1;6,6;6,7;5,2;4,6;4,8;4,5;4,2;3,7
Архангельская область;10,3;11,6;10,9;11,4;11,6;11,4;10,8;10,8;10,7;9,7;8,2;6,4;6,5;5,3;4,9;6,0;4,8;5,2;5,4
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;0,1;0,1;0,1;0,1;0,2;0,1;0,2;-;-;-;-;-;-;-;-;-;-;-
Архангельская область без автономного округа;10,3;11,5;10,8;11,3;11,5;11,2;10,7;10,6;10,7;9,7;8,2;6,4;6,5;5,3;4,9;6,0;4,8;5,2;5,4
Вологодская область;9,0;9,7;10,6;10,8;10,6;11,9;12,0;12,7;10,9;9,7;9,1;7,8;8,4;7,4;6,3;5,5;4,8;4,9;4,8
Калининградская область;5,3;6,1;7,8;8,4;7,5;10,2;9,8;11,3;9,7;8,8;7,8;7,4;7,5;7,5;6,6;7,1;6,6;6,3;5,9
Ленинградская область;2,0;7,6;6,4;4,1;5,0;5,6;4,6;5,2;4,3;3,8;3,1;2,4;2,7;2,2;2,0;2,0;1,8;1,8;1,4
Мурманская область;5,3;5,9;7,7;8,3;9,2;8,8;8,2;8,2;8,0;8,2;6,2;4,8;4,7;4,0;3,6;3,2;2,1;2,1;1,8
Новгородская область;5,1;5,0;6,0;5,6;5,7;5,8;5,4;5,6;5,4;4,9;4,1;3,9;3,6;3,4;2,6;2,5;2,3;2,1;2,1
Псковская область;3,5;3,7;4,9;5,5;5,0;5,6;5,8;6,3;7,2;6,3;5,9;4,3;3,2;3,8;3,7;3,3;3,4;2,9;3,1
г. Санкт-Петербург;93,2;99,9;89,7;96,7;106,3;100,6;100,2;97,3;100,2;97,8;90,5;79,7;86,7;82,8;78,3;86,0;86,2;88,6;91,8
Южный          федеральный округ;95,7;102,1;116,8;125,4;127,0;130,2;129,8;134,4;132,7;125,3;117,0;109,0;111,3;104,9;123,2;120,6;114,6;110,3;111,2
Республика Адыгея;4,8;4,2;4,2;4,3;4,4;3,4;4,4;4,1;4,5;4,0;3,8;3,3;3,0;3,3;3,1;3,0;3,3;3,6;3,7
