Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.28. ОРГАНИЗАЦИИ, ВЕДУЩИЕ ПОДГОТОВКУ АСПИРАНТОВ;;;;;;;;;;;;;;;;;;;
4.28.1. Число организаций;;;;;;;;;;;;;;;;;;;
(на конец года);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;1362;1393;1416;1441;1452;1473;1493;1490;1529;1547;1568;1570;1575;1557;1519;1446;1359;1284;1223
Центральный    федеральный округ;609;627;631;637;639;649;648;645;655;666;668;654;657;649;616;587;552;527;505
Белгородская область;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;6
Брянская область;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Владимирская область;5;5;5;5;5;6;6;6;6;6;6;6;5;5;5;5;4;4;5
Воронежская область;15;15;16;16;16;19;19;19;24;24;24;24;25;25;22;22;18;17;17
Ивановская область;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;9;9
Калужская область;6;7;7;7;7;9;10;10;10;10;10;10;10;10;10;10;10;8;7
Костромская область;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2
Курская область;6;6;6;6;6;6;6;8;8;8;8;8;8;8;8;6;5;5;5
Липецкая область;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3
Московская область;66;68;68;70;70;70;74;74;73;81;83;81;85;83;78;77;73;70;70
Орловская область;7;8;8;8;8;9;9;9;9;9;9;9;8;8;7;7;6;7;7
Рязанская область;6;6;6;6;6;6;6;6;6;6;6;6;7;7;6;6;6;6;5
Смоленская область;5;5;5;5;5;5;6;7;7;7;7;7;7;7;7;7;7;6;5
Тамбовская область;6;6;6;6;7;7;7;7;9;8;8;8;7;7;7;7;7;6;6
Тверская область;6;6;6;6;6;6;5;5;5;5;5;5;6;6;6;6;6;6;4
Тульская область;3;4;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2
Ярославская область;10;10;10;10;10;10;10;12;13;13;12;11;11;12;12;11;11;11;11
г. Москва;444;457;460;464;465;468;462;454;457;461;462;451;450;445;422;398;374;357;337
Северо-Западный    федеральный округ;187;186;186;197;196;193;196;195;196;197;198;198;201;193;192;184;175;162;143
Республика Карелия;4;4;4;4;4;4;4;4;4;4;4;4;10;9;9;9;9;3;3
Республика Коми;5;5;5;5;5;4;5;5;5;5;6;6;12;12;11;11;10;9;3
Архангельская область;5;5;5;5;5;5;6;6;6;6;6;5;5;5;5;6;5;4;4
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;?;?;?;-
Архангельская область  без автономного округа;5;5;5;5;5;5;6;6;6;6;6;5;5;5;5;6;5;4;4
Вологодская область;5;5;5;5;6;6;6;6;7;7;7;8;8;8;5;5;4;4;4
Калининградская область;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;2;2;2;2
Ленинградская область;3;3;3;5;5;4;4;4;4;4;4;4;3;3;2;2;2;2;2
Мурманская область;3;3;3;3;3;3;4;4;5;5;5;5;5;5;14;13;11;11;5
Новгородская область;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Псковская область;3;3;3;3;3;3;4;4;5;5;5;5;4;3;3;3;3;3;3
г. Санкт-Петербург;154;153;153;162;160;159;158;157;155;156;156;156;150;144;140;132;128;123;116
Южный             федеральный округ;65;67;68;71;71;71;74;71;78;75;87;89;91;90;100;87;82;78;76
Республика Адыгея;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Республика Калмыкия;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2
Республика Крым;;;;;;;;;;;;;;;9;5;4;4;6
Краснодарский край;19;20;21;22;22;22;22;21;21;21;29;30;30;29;32;28;26;24;24
Астраханская область;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6
Волгоградская область;10;11;11;12;12;12;12;12;14;14;15;16;16;16;15;13;14;14;12
Ростовская область;28;28;28;29;29;29;32;30;35;32;35;34;36;36;32;29;26;23;21
г. Севастополь;;;;;;;;;;;;;;;3;3;3;3;3
