Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.29. ОРГАНИЗАЦИИ, ВЕДУЩИЕ ПОДГОТОВКУ ДОКТОРАНТОВ ;;;;;;;;;;;;;;;;;;;
4.29.1. Число организаций;;;;;;;;;;;;;;;;;;;
(на конец года);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;492;510;531;543;533;535;548;579;593;598;602;608;597;585;478;437;385;223;213
Центральный  федеральный округ;235;236;244;251;240;247;243;249;252;261;254;248;245;238;179;164;142;86;80
Белгородская область;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;3;3;1;2
Брянская область;3;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3;2;1;2
Владимирская область;2;2;2;2;2;2;2;2;2;3;4;4;3;3;2;1;1;1;1
Воронежская область;6;6;7;8;8;10;10;10;10;10;9;9;9;10;8;8;6;4;4
Ивановская область;6;7;7;7;7;7;7;8;8;7;7;7;7;7;5;6;5;1;2
Калужская область;-;-;1;1;1;1;1;1;1;1;1;1;-;-;1;2;2;2;2
Костромская область;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;-;-
Курская область;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1
Липецкая область;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2
Московская область;11;11;11;15;11;11;12;10;12;13;10;11;13;12;9;9;9;3;5
Орловская область;2;2;3;2;2;2;3;4;4;4;5;5;5;5;5;5;4;2;1
Рязанская область;3;3;3;3;4;4;5;5;5;5;5;5;5;6;4;3;2;1;1
Смоленская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Тамбовская область;2;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;2;2
Тверская область;3;3;3;3;3;3;3;2;1;3;3;3;3;2;2;2;1;1;1
Тульская область;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1
Ярославская область;6;6;5;5;5;5;4;5;6;7;6;6;5;5;5;4;4;2;2
г. Москва;180;177;183;187;178;182;176;182;182;188;184;177;175;169;119;106;93;61;51
Северо-Западный        федеральный округ;61;65;68;71;69;64;65;70;68;65;71;70;68;66;53;48;44;23;23
Республика Карелия;1;1;1;1;1;1;1;1;1;-;1;1;1;1;1;1;1;-;-
Республика Коми;1;1;1;1;1;1;1;1;1;1;1;1;3;3;2;2;-;-;-
Архангельская область;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;1;1
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;?;?;?;-
Архангельская область  без автономного округа;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;1;1
Вологодская область;1;1;3;3;4;4;4;3;3;4;4;4;4;4;2;2;1;-;-
Калининградская область;1;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;1;1
Мурманская область;-;-;-;-;-;-;;1;1;1;2;2;2;3;3;1;1;1;1
Новгородская область;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-
Псковская область;?;?;?;?;?;?;?;-;1;1;?;-;?;-;?;-;?;-;-
г. Санкт-Петербург;54;57;58;61;58;53;54;59;54;52;57;57;53;50;40;37;36;19;20
Южный          федеральный округ;29;27;29;31;32;31;33;33;37;37;39;41;43;42;43;34;33;19;16
Республика Адыгея;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-;-
Республика Калмыкия ;?;?;?;?;?;-;?;1;1;1;1;1;1;1;1;1;1;-;-
Республика Крым;;;;;;;;;;;;;;;5;1;1;1;1
Краснодарский край;8;6;6;7;8;7;7;7;8;9;9;12;12;12;9;8;8;4;2
Астраханская область;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1
Волгоградская область;6;6;7;7;6;6;6;7;8;8;9;8;9;8;7;7;6;4;4
Ростовская область;10;10;11;12;13;13;15;13;15;14;15;15;16;16;13;12;12;9;8
г. Севастополь;;;;;;;;;;;;;;;3;-;-;-;-
Северо-Кавказский    федеральный округ ;12;14;14;15;16;16;16;17;18;18;17;18;20;20;17;19;13;7;6
Республика Дагестан;2;3;3;4;4;4;4;3;3;4;4;4;5;5;4;4;1;2;-
Республика Ингушетия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Кабардино-Балкарская    Республика;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;3;1;1
Карачаево-Черкесская    Республика;?;?;?;?;?;-;-;?;-;-;1;2;2;2;2;2;2;-;-
Республика Северная   Осетия – Алания;2;3;3;2;3;3;2;3;4;4;3;3;3;3;3;3;3;1;2
Чеченская Республика;…;…;…;…;…;…;…;…;…;…;…;…;…;…;-;-;-;-;-
Ставропольский край;4;4;5;6;6;6;6;7;7;6;5;5;6;6;4;6;4;3;3
Приволжский    федеральный округ;55;63;65;64;65;64;66;70;72;74;75;83;79;81;74;68;60;32;32
Республика Башкортостан;6;7;7;7;7;8;7;7;9;8;9;12;11;13;9;8;6;4;4
Республика Марий Эл;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2
Республика Мордовия;2;2;2;2;2;3;3;3;3;2;2;2;2;2;2;2;2;2;2
Республика Татарстан;8;9;10;9;9;8;8;8;9;10;11;13;11;10;10;10;7;3;3
Удмуртская Республика;2;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;-;-
Чувашская Республика;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;-;-
Пермский край;2;2;2;2;2;4;4;4;4;6;5;5;5;5;5;2;3;2;2
Кировская область;5;5;5;5;5;2;2;2;2;2;2;2;2;2;2;2;1;-;-
Нижегородская область;1;4;4;5;4;5;6;7;8;8;9;8;8;10;9;9;9;5;5
Оренбургская область;2;2;2;2;2;3;4;5;4;5;4;6;6;6;4;3;3;2;1
Пензенская область;4;5;5;5;5;2;2;2;2;2;2;2;3;3;3;3;2;1;1
Самарская область;8;9;10;10;11;11;12;12;12;12;12;13;13;12;12;11;9;3;4
Саратовская область;9;9;9;9;9;9;9;10;9;9;9;9;8;8;8;8;8;6;5
Ульяновская область;2;2;2;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Уральский        федеральный округ;28;30;32;32;32;32;34;34;35;35;38;36;34;32;29;27;25;17;20
Курганская область;?;?;?;?;?;-;1;1;1;1;1;1;-;-;-;-;-;1;1
Свердловская область;16;18;20;20;20;20;21;20;21;20;22;20;18;19;17;15;15;8;10
Тюменская область;4;4;4;4;4;4;4;4;5;4;4;4;5;4;4;4;3;1;3
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ямало-Ненецкий   автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Тюменская область     без автономных округов;4;4;4;4;4;4;4;4;5;4;4;4;5;4;4;4;3;1;3
Челябинская область;8;8;8;8;8;8;8;9;8;10;11;11;11;9;8;8;7;7;6
Сибирский     федеральный округ;52;55;55;55;56;58;67;80;83;81;80;83;81;80;62;57;52;34;31
Республика Алтай;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Тыва;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Хакасия;-;-;-;-;-;-;1;1;1;1;1;1;1;1;1;1;1;-;-
Алтайский край;3;3;4;4;5;5;5;5;6;5;5;6;7;6;5;4;4;3;3
Красноярский край;6;7;8;7;7;6;6;7;10;9;7;7;7;6;6;6;6;4;3
Иркутская область;9;10;8;8;7;8;9;9;10;10;13;12;12;13;7;7;7;4;4
Кемеровская область;4;4;4;4;4;4;4;5;4;5;5;4;5;4;5;6;5;5;4
Новосибирская область;18;18;17;18;18;20;26;38;34;34;31;35;33;34;23;19;16;10;7
Омская область;6;6;7;7;8;8;9;8;9;9;9;9;9;9;8;8;7;4;6
Томская область;6;7;7;7;7;7;7;7;9;8;9;9;7;7;7;6;6;4;4
Дальневосточный федеральный округ;20;20;24;24;23;23;24;26;28;27;28;29;27;26;21;20;16;5;5
Республика Бурятия;1;1;2;3;3;3;2;2;2;4;5;5;5;5;4;4;3;1;1
Республика Саха (Якутия);1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1
Забайкальский край;1;1;1;2;2;2;2;3;4;4;4;4;4;2;2;2;1;-;-
Камчатский край;-;-;-;-;-;-;?;-;-;-;1;1;1;1;1;1;1;-;-
Приморский край;7;9;10;8;7;8;9;9;9;8;8;9;7;6;5;5;5;1;1
Хабаровский край;8;7;8;8;7;7;8;9;9;8;8;8;7;9;5;6;5;2;2
Амурская область;2;1;2;2;2;1;1;1;2;2;1;1;1;1;3;1;-;-;-
Магаданская область;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-
Сахалинская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Еврейская автономная   область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Чукотский автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;
