Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.29. ОРГАНИЗАЦИИ, ВЕДУЩИЕ ПОДГОТОВКУ ДОКТОРАНТОВ;;;;;;;;;;;;;;;;;;;
4.29.2. Численность докторантов;;;;;;;;;;;;;;;;;;;
"(на конец года; человек)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;4213;4462;4546;4567;4466;4282;4189;4109;4242;4294;4418;4562;4554;4572;3204;2007;921;1059;1048
Центральный  федеральный округ;1504;1583;1659;1655;1608;1543;1464;1407;1486;1550;1545;1616;1601;1604;1149;750;335;404;405
Белгородская область;13;21;30;37;34;36;37;36;37;44;48;49;36;32;22;15;12;16;18
Брянская область;13;15;15;17;20;20;17;17;15;13;15;14;12;9;#ЗНАЧ!;3;2;3;3
Владимирская область;9;11;14;14;16;16;16;18;21;21;19;15;11;11;8;4;-;1;1
Воронежская область;54;52;57;55;61;65;54;50;59;62;64;71;71;74;48;31;19;13;11
Ивановская область;51;59;59;54;46;44;42;47;46;49;50;47;56;59;38;18;-;1;2
Калужская область;-;-;1;1;2;1;1;1;1;-;1;-;-;-;2;3;4;5;5
Костромская область;39;43;46;43;36;32;37;31;26;28;32;32;35;32;21;9;-;-;-
Курская область;10;19;21;25;23;18;18;16;13;17;22;24;22;23;20;11;4;-;1
Липецкая область;4;8;13;16;17;18;19;18;16;16;18;19;20;8;14;11;4;3;3
Московская область;43;47;37;48;63;63;40;38;46;43;52;52;52;59;38;24;7;8;12
Орловская область;14;16;21;21;32;34;42;52;65;79;95;108;113;110;77;46;34;38;41
Рязанская область;20;18;20;17;13;9;14;11;14;11;16;19;23;21;10;4;-;2;1
Смоленская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Тамбовская область;23;31;37;41;34;32;33;38;49;43;37;35;37;34;24;20;11;10;7
Тверская область;31;30;20;18;13;14;13;12;10;16;18;16;14;13;8;4;1;1;1
Тульская область;44;39;34;26;19;10;10;19;21;19;16;20;19;20;13;11;9;11;10
Ярославская область;37;39;44;49;50;49;48;53;51;54;56;60;54;46;29;16;7;11;10
г. Москва;1099;1135;1190;1173;1129;1082;1023;950;996;1035;986;1035;1026;1053;772;520;221;281;279
Северо-Западный        федеральный округ;907;875;812;780;759;683;668;678;669;657;672;678;652;676;443;249;97;127;132
Республика Карелия;7;6;1;2;1;3;2;2;-;-;1;2;4;4;3;1;-;-;-
Республика Коми;17;13;12;10;8;11;13;12;11;10;8;9;8;5;2;-;-;-;-
Архангельская область;18;18;17;17;16;14;14;12;12;11;16;18;20;18;12;6;-;2;5
в том числе:;;;;;;;;;;;;;;;;;;;
 Ненецкий автономный округ;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
  Архангельская область  без автономного округа;18;18;17;17;16;14;14;12;12;11;16;18;20;18;12;6;-;2;5
Вологодская область;3;2;4;5;6;7;8;10;10;11;12;10;8;6;3;1;1;-;-
Калининградская область;3;6;4;6;6;6;5;9;15;17;21;21;22;23;13;7;1;1;2
Мурманская область;-;-;-;-;-;-;-;2;4;-;2;2;3;5;2;8;3;3;-
Новгородская область;4;12;13;20;23;29;28;26;22;4;20;17;15;17;11;5;2;1;-
Псковская область;-;-;-;-;-;-;?;?;-;21;?;-;-;-;-;?;?;-;-
г. Санкт-Петербург;855;818;761;720;699;613;598;605;595;583;592;599;572;598;397;221;90;120;125
Южный          федеральный округ;271;325;335;357;354;367;368;354;355;365;400;397;404;428;297;197;105;123;125
Республика Адыгея;17;25;17;20;20;17;18;19;22;31;37;33;25;19;14;7;-;-;-
Республика Калмыкия ;?;?;?;?;?;-;?;1;2;3;3;10;13;24;13;9;-;-;-
Республика Крым;;;;;;;;;;;;;;;14;6;1;3;4
Краснодарский край;52;59;66;77;62;52;49;49;49;46;56;62;67;81;53;36;8;14;14
Астраханская область;13;17;19;17;15;16;18;19;22;25;29;25;23;26;18;10;2;3;3
Волгоградская область;60;75;87;98;96;97;83;75;78;80;102;110;105;86;57;40;26;26;35
Ростовская область;129;149;146;145;161;185;200;191;182;180;173;157;171;192;127;89;68;77;69
г. Севастополь;;;;;;;;;;;;;;;1;-;-;-;-
Северо-Кавказский    федеральный округ ;117;147;164;178;186;174;147;153;151;145;138;134;139;138;89;42;13;15;14
Республика Дагестан;38;40;44;47;49;54;53;51;50;55;49;44;36;35;20;8;2;3;-
Республика Ингушетия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Кабардино-Балкарская    Республика;40;41;36;35;38;34;31;33;30;27;29;26;31;31;20;10;2;2;1
Карачаево-Черкесская    Республика;?;?;?;?;?;-;?;?;?;?;2;5;7;7;4;2;-;-;-
Республика Северная   Осетия – Алания;7;17;15;13;15;19;13;27;30;28;25;29;33;40;32;12;3;1;5
Чеченская Республика;…;…;…;…;…;…;…;…;…;…;…;…;…;…;-;-;-;-;-
Ставропольский край;32;49;69;83;84;67;50;42;41;35;33;30;32;25;13;10;6;9;8
Приволжский    федеральный округ;602;636;632;644;624;623;641;647;666;683;735;789;795;797;574;354;131;134;137
Республика Башкортостан;94;89;82;87;83;80;68;62;59;59;61;66;77;75;52;26;6;10;13
Республика Марий Эл;19;27;29;25;21;19;21;24;27;27;22;17;13;9;6;5;3;6;8
Республика Мордовия;32;39;52;59;67;62;56;51;55;52;62;72;77;82;65;47;23;21;18
Республика Татарстан;76;76;81;93;87;82;91;97;98;106;116;141;153;152;105;60;15;14;12
Удмуртская Республика;22;18;17;16;16;23;23;30;30;30;31;29;26;25;17;9;-;-;-
Чувашская Республика;21;24;20;20;15;14;17;15;16;21;28;32;27;20;11;5;-;-;-
Пермский край;8;7;9;9;7;54;62;57;59;57;65;65;46;39;26;10;3;7;9
Кировская область;38;50;65;69;63;8;7;13;15;17;17;18;19;19;11;6;-;-;-
Нижегородская область;7;14;10;15;15;56;58;58;60;61;79;97;103;108;75;51;12;12;11
Оренбургская область;29;30;27;24;26;19;20;22;23;24;16;11;7;10;7;3;7;12;8
Пензенская область;50;57;54;50;45;22;22;24;26;31;27;26;28;36;31;19;2;5;5
Самарская область;67;62;59;59;61;70;73;78;80;86;99;110;110;111;68;35;10;11;14
Саратовская область;127;135;122;113;111;101;105;95;94;86;81;78;85;91;86;67;43;30;31
Ульяновская область;12;8;5;5;7;13;18;21;24;26;31;27;24;20;14;11;7;6;8
Уральский        федеральный округ;160;178;203;211;217;211;217;191;199;166;178;198;215;207;148;101;86;102;93
Курганская область;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1
Свердловская область;120;131;145;144;148;144;145;120;120;90;93;109;109;100;75;58;53;67;59
Тюменская область;14;19;20;29;30;35;33;26;26;26;29;24;21;19;10;5;4;5;7
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ямало-Ненецкий   автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Тюменская область     без автономных округов;14;19;20;29;30;35;33;26;26;26;29;24;21;19;10;5;4;5;7
Челябинская область;26;28;38;38;39;32;38;45;53;50;56;65;85;88;63;38;29;29;26
Сибирский     федеральный округ;558;605;624;613;602;567;580;567;586;590;601;603;608;590;423;247;96;92;75
Республика Алтай;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Тыва;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Хакасия;-;-;-;-;-;-;2;4;6;7;6;6;5;4;2;1;-;-;-
Алтайский край;87;99;91;83;83;81;81;90;91;91;82;77;78;74;48;26;9;7;9
Красноярский край;42;58;65;64;58;62;70;84;86;86;80;77;79;83;58;32;7;7;8
Иркутская область;62;72;80;86;86;67;68;49;54;60;68;77;70;69;44;31;14;15;7
Кемеровская область;42;52;55;51;44;43;42;36;39;41;46;48;43;41;29;18;11;12;7
Новосибирская область;96;101;104;119;114;103;99;91;96;93;97;106;120;112;90;51;25;19;19
