Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.3. ОБЕСПЕЧЕННОСТЬ ДЕТЕЙ ДОШКОЛЬНОГО ВОЗРАСТА МЕСТАМИ В ОРГАНИЗАЦИЯХ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ, ПРИСМОТР И УХОД ЗА ДЕТЬМИ1);;;;;;;;;;;;;;;;;;;
"(на конец года; приходится мест на 1000 детей)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;674;675;670;649;621;597;582;562;565;554;553;570;592;600;612;626;635;633;639
Центральный федеральный округ;752;747;739;715;676;651;618;578;593;587;583;614;636;643;648;651;649;641;649
Белгородская область;738;751;738;718;712;674;643;625;611;588;581;612;632;625;637;648;662;662;668
Брянская область;644;652;664;659;638;628;625;583;583;564;548;552;593;595;618;653;660;662;670
Владимирская область;830;824;821;874;817;789;784;752;783;743;736;755;801;800;810;822;828;833;871
Воронежская область;521;536;536;539;529;497;491;474;488;471;463;477;504;535;572;628;629;651;675
Ивановская область;968;944;886;866;824;810;800;736;732;730;713;726;736;770;771;792;797;798;813
Калужская область;695;681;690;666;661;637;612;556;566;581;558;610;625;639;654;660;662;660;671
Костромская область;975;955;922;878;848;827;819;734;725;716;706;687;691;675;677;683;687;711;727
Курская область;482;458;448;437;424;425;430;440;440;436;439;439;435;440;447;475;492;495;510
Липецкая область;570;562;570;564;509;491;476;461;447;464;473;490;582;578;605;611;623;616;612
Московская область;878;868;842;818;751;707;680;635;653;636;626;637;652;672;684;682;680;670;661
Орловская область;716;744;755;748;739;717;704;657;661;646;639;619;656;642;640;643;647;654;664
Рязанская область;718;742;744;741;705;677;667;558;545;534;541;559;556;570;610;630;631;633;634
Смоленская область;765;807;820;751;701;674;661;608;621;605;604;614;606;658;674;687;725;728;748
Тамбовская область;572;593;607;610;593;587;540;528;530;516;530;539;606;641;681;752;756;777;798
Тверская область;882;921;926;830;784;770;734;708;687;678;718;727;727;725;726;746;748;745;752
Тульская область;829;815;815;801;763;743;730;651;658;636;622;662;699;749;747;760;761;777;803
Ярославская область;969;971;952;907;814;776;740;725;730;721;725;732;725;731;763;758;754;745;755
г. Москва;728;694;689;650;614;597;527;484;525;535;532;609;633;617;597;572;561;535;546
Северо-Западный федеральный округ;845;843;833;803;779;751;736;720;724;708;713;733;741;755;753;757;750;737;740
Республика Карелия;891;906;901;932;907;892;884;795;807;802;779;790;807;822;810;808;807;810;813
Республика Коми;941;947;933;931;900;865;849;804;836;827;843;867;892;897;897;924;924;930;941
Архангельская область;904;803;789;786;775;750;765;729;718;707;727;746;758;777;788;819;843;852;879
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;1005;1009;990;968;913;869;852;818;873;934;914;864;844;835;843;826;858;906;897
Архангельская область без автономного округа;899;793;779;777;768;744;760;725;711;696;718;740;754;774;785;819;843;849;878
Вологодская область;1032;1042;1035;950;949;937;824;774;767;756;741;774;791;790;778;796;790;787;805
Калининградская область;550;543;529;527;511;500;493;495;511;519;529;540;575;639;655;706;703;694;703
Ленинградская область;978;980;947;868;828;784;751;753;738;726;687;694;705;711;730;757;774;788;766
Мурманская область;1008;1003;1073;1063;1060;1031;1031;1025;1020;810;796;799;794;789;826;841;843;841;860
Новгородская область;911;935;939;916;898;874;876;812;794;804;801;829;875;861;867;866;875;876;890
Псковская область;657;673;689;691;669;648;636;598;611;605;608;625;621;621;641;665;692;701;708
г. Санкт-Петербург;715;733;701;669;636;608;615;637;652;660;691;719;710;732;711;683;653;622;621
Южный              федеральный округ;550;559;571;563;545;509;497;481;487;480;488;495;504;514;534;558;582;583;584
Республика Адыгея;475;463;466;471;477;463;450;447;391;375;383;386;408;434;482;501;500;503;495
Республика Калмыкия;540;590;614;608;578;567;550;509;504;474;455;434;450;456;494;513;643;670;683
Республика Крым;;;;;;;;;;;;;;;481;473;501;508;522
Краснодарский край;561;564;557;533;508;488;473;475;478;470;475;483;490;498;504;549;593;583;582
Астраханская область;592;605;619;610;605;565;564;527;537;520;529;534;524;565;622;617;620;628;644
Волгоградская область;611;615;672;668;648;548;544;491;521;518;512;511;540;554;595;613;632;639;636
Ростовская область;496;515;520;529;516;497;481;469;473;469;495;511;511;511;547;576;576;583;581
г. Севастополь;;;;;;;;;;;;;;;525;500;500;519;517
Северо-Кавказский федеральный округ;287;290;291;301;287;280;284;288;282;280;280;283;307;315;341;373;392;404;398
Республика Дагестан;193;200;209;210;211;211;204;202;203;205;213;200;205;209;224;247;259;258;253
Республика Ингушетия ;36;32;32;34;41;57;63;82;61;59;55;55;72;82;109;153;197;289;296
Кабардино-Балкарская Республика;472;468;488;523;544;514;508;525;500;494;454;459;482;507;545;595;624;662;653
Карачаево-Черкесская Республика;359;385;411;388;381;359;350;364;352;331;319;337;359;392;415;474;517;548;532
Республика Северная Осетия – Алания;459;470;494;619;474;450;448;457;447;429;434;495;494;444;449;499;508;485;476
Чеченская Республика;…;…;…;…;…;…;58;66;81;97;110;111;122;141;200;238;274;307;311
