Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;
"4.5. ЧИСЛЕННОСТЬ УЧИТЕЛЕЙ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ НАЧАЛЬНОГО, ОСНОВНОГО И СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ1); 2)";;;;;;;;;;;;;;;;
"(на 20 сентября; тысяч человек)";;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация ;1605,4;1554,8;1516,6;1460,6;1412,2;1355,9;1086,5;1053,0;1034,5;1029,4;1031,7;1052,2;1054,6;1074,1;1079,9;1082,8
Центральный     федеральный округ;367,0;359,1;347,9;339,8;329,2;318,6;253,7;245,5;241,5;238,1;238,3;238,4;240,2;247,7;249,7;251,4
Белгородская область;19,7;18,8;17,9;15,7;14,4;14,2;12,2;11,9;11,8;11,7;11,7;11,8;11,4;11,9;11,8;11,8
Брянская область;18,2;18,0;17,2;16,9;16,4;15,3;12,3;11,5;11,1;11,0;10,7;10,4;10,3;9,9;9,8;9,8
Владимирская область;13,9;13,5;12,8;12,5;12,2;11,8;9,4;9,2;9,1;8,8;8,6;8,5;8,2;8,3;8,3;8,3
Воронежская область;28,5;27,9;26,1;24,9;23,1;21,5;17,5;17,0;16,4;16,2;16,2;15,9;15,9;16,1;15,9;15,9
Ивановская область;10,5;10,0;9,7;9,3;8,6;8,0;6,2;5,9;5,9;5,8;5,7;5,7;5,7;5,8;5,8;5,7
Калужская область;11,3;11,0;10,8;10,7;10,0;9,2;7,4;7,2;7,1;7,2;7,0;7,0;7,0;7,1;7,2;7,2
Костромская область;8,8;7,9;7,9;7,8;7,7;7,5;5,7;5,4;5,1;5,0;5,0;5,1;5,2;5,1;5,0;5,0
Курская область;17,6;17,5;16,6;16,5;15,7;15,4;12,5;11,9;11,8;11,6;10,8;11,3;11,3;11,3;11,4;11,5
Липецкая область;16,7;16,4;15,8;15,3;14,6;13,3;9,6;9,2;8,6;8,4;8,3;8,4;8,3;8,5;8,5;8,4
Московская область  ;52,5;52,0;52,4;52,7;50,6;49,9;39,0;38,2;38,4;37,5;38,3;39,9;42,2;45,0;47,0;48,4
Орловская область;11,6;11,2;11,0;10,7;10,5;9,9;7,9;7,5;7,5;7,1;7,0;7,0;7,0;7,0;7,0;6,9
Рязанская область;14,0;13,5;13,0;12,6;12,6;12,2;9,1;8,6;8,0;8,0;8,0;8,0;7,9;7,9;7,8;7,9
Смоленская область;13,2;12,5;12,1;11,6;11,5;10,9;8,8;8,5;8,4;8,3;8,0;8,1;7,7;7,5;7,4;7,2
Тамбовская область;15,6;15,1;14,1;13,7;12,8;11,6;9,3;9,0;8,6;8,6;8,5;8,4;8,3;8,0;8,1;8,0
Тверская область;16,2;15,7;14,9;13,9;13,1;13,0;10,1;9,6;9,4;9,4;9,5;9,5;9,4;9,5;9,5;9,4
Тульская область;16,1;15,7;15,1;14,6;14,0;13,8;10,5;10,3;10,1;9,9;9,7;9,7;9,9;10,1;10,2;10,2
Ярославская область;12,9;12,6;12,0;11,6;11,2;10,9;8,4;8,3;8,3;8,2;8,1;8,4;8,6;8,9;8,8;8,8
г. Москва  ;69,8;69,9;68,6;68,9;70,3;70,1;57,7;56,1;55,9;55,4;57,0;55,4;55,8;59,9;60,3;61,0
Северо-Западный     федеральный округ;134,9;129,4;124,5;121,9;115,9;112,0;88,8;85,5;87,2;87,6;87,6;88,3;88,7;91,0;92,1;92,9
Республика Карелия;8,4;7,8;7,8;7,4;7,4;6,9;5,7;5,6;5,4;5,5;5,5;5,5;5,5;5,4;5,3;5,2
Республика Коми;12,4;12,1;11,3;10,9;10,8;10,3;8,3;8,0;7,9;7,7;7,7;7,6;7,5;7,8;7,7;7,5
Архангельская область;15,1;14,2;14,0;13,5;13,0;12,6;10,3;9,9;9,8;9,8;9,7;9,7;9,6;9,6;9,5;9,4
в том числе: ;;;;;;;;;;;;;;;;
Ненецкий автономный округ;0,7;0,7;0,7;0,7;0,7;0,7;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
Архангельская область     без автономного округа;14,4;13,5;13,3;12,8;12,3;11,9;9,8;9,4;9,3;9,3;9,2;9,2;9,1;9,0;9,0;8,9
Вологодская область;14,5;14,0;13,8;13,4;12,8;12,6;9,3;9,1;9,0;9,1;9,2;9,2;8,9;8,9;8,7;8,7
Калининградская область;9,4;8,8;7,9;7,9;7,6;6,6;5,8;5,6;5,7;5,8;5,7;5,7;5,8;5,9;6,0;6,0
Ленинградская область;14,2;13,3;12,9;12,3;11,9;11,6;9,4;9,2;9,1;9,0;9,0;9,1;9,3;9,8;10,0;10,3
Мурманская область;9,2;8,5;7,9;7,5;7,2;6,9;5,5;5,2;5,1;5,0;5,1;5,1;5,0;5,1;5,1;5,1
Новгородская область;7,5;6,9;6,5;6,4;6,2;5,6;4,3;4,2;4,0;4,0;3,9;3,9;3,9;4,0;4,1;4,1
Псковская область;9,6;8,8;8,4;8,2;7,2;7,2;5,3;5,3;5,2;5,1;5,1;5,2;5,1;5,0;4,9;4,8
г. Санкт-Петербург;34,6;34,9;33,9;34,3;32,0;31,7;25,1;23,4;25,9;26,5;26,8;27,4;27,9;29,6;30,7;31,8
Южный               федеральный округ;138,3;133,3;129,0;123,2;118,6;113,1;92,8;91,0;90,1;90,0;90,4;109,1;109,3;111,2;111,9;112,5
Республика Адыгея;5,3;5,3;5,1;4,9;4,8;4,7;3,8;3,7;3,7;3,5;3,7;3,6;3,3;3,6;3,6;3,7
Республика Калмыкия;5,8;5,6;5,5;5,3;5,1;4,8;3,7;3,6;3,4;3,4;3,4;3,4;3,3;3,4;3,4;3,5
Республика Крым;;;;;;;;;;;;14,7;14,7;14,6;14,4;14,6
Краснодарский край;47,7;46,5;45,0;41,8;39,7;37,3;32,3;31,7;30,9;31,3;31,2;32,0;32,9;34,4;34,9;35,4
Астраханская область;11,8;11,4;10,9;10,2;10,3;9,3;7,5;7,4;7,2;6,9;7,0;7,1;7,1;7,0;7,0;7,0
Волгоградская область;27,1;25,9;25,2;24,4;23,4;22,3;18,1;17,7;17,7;17,9;17,9;17,8;17,5;17,6;17,7;17,5
Ростовская область;40,6;38,7;37,3;36,6;35,4;34,7;27,5;26,9;27,2;27,0;27,3;27,9;28,1;28,2;28,4;28,3
г. Севастополь;;;;;;;;;;;;2,4;2,3;2,3;2,4;2,5
Северо-Кавказский    федеральный округ;123,3;122,8;123,8;121,8;121,9;121,5;100,6;98,3;94,4;96,5;99,2;99,9;99,4;101,6;102,3;102,7
Республика Дагестан;49,8;50,6;51,4;49,7;51,2;50,9;42,3;42,0;41,6;40,8;40,3;40,5;40,2;40,2;40,2;39,9
Республика Ингушетия ;4,8;5,0;5,1;5,4;5,4;6,4;6,2;6,0;5,8;5,6;5,1;5,5;5,2;5,2;5,9;6,2
Кабардино-Балкарская Республика;12,5;11,6;12,2;12,2;11,7;11,0;8,7;8,4;5,1;7,9;7,4;7,5;7,4;7,4;7,4;7,4
Карачаево-Черкесская Республика;6,5;6,5;6,5;6,3;6,1;5,8;5,0;4,6;4,6;4,4;4,1;4,5;4,5;4,6;4,5;4,6
Республика Северная Осетия – Алания;9,1;8,8;9,1;8,9;8,6;8,6;7,0;6,5;6,3;6,3;6,3;6,3;6,3;6,1;6,1;6,1
Чеченская Республика;14,1;14,5;14,7;15,3;15,5;15,7;13,4;13,1;13,4;14,2;18,7;18,4;18,4;20,6;20,6;21,1
Ставропольский край;26,6;25,7;24,7;24,0;23,5;23,1;18,0;17,8;17,5;17,3;17,2;17,3;17,3;17,5;17,5;17,4
Приволжский      федеральный округ;383,0;367,2;352,9;340,9;327,3;313,6;250,3;240,3;232,1;227,5;225,0;224,2;223,4;224,5;224,4;222,7
Республика Башкортостан;62,9;60,5;59,6;60,3;58,7;56,3;44,4;42,9;41,1;38,4;36,1;35,7;34,9;34,9;34,8;34,6
Республика Марий Эл;10,3;9,7;9,3;8,5;8,2;7,4;5,8;5,6;5,5;5,5;5,4;5,4;5,4;5,2;5,2;5,1
Республика Мордовия;13,3;12,9;11,9;11,1;10,1;9,2;8,5;7,3;6,9;7,0;6,9;6,9;6,9;6,8;6,7;6,5
Республика Татарстан;52,8;51,3;50,1;47,2;44,7;43,1;36,1;34,9;32,5;32,4;33,2;33,0;32,6;32,7;32,7;32,1
Удмуртская Республика;20,3;19,4;18,5;18,2;18,3;17,6;13,7;13,0;12,8;12,7;12,7;12,8;12,9;13,0;13,0;13,0
Чувашская Республика;17,3;16,6;15,6;14,6;13,0;12,0;9,7;9,4;9,4;9,4;9,4;9,5;9,6;9,5;9,5;9,5
Пермский край;31,1;29,3;27,7;26,6;25,7;25,7;19,2;18,7;18,5;18,6;18,9;19,1;19,3;19,5;19,4;19,3
Кировская область;18,0;17,3;16,6;15,5;14,8;14,3;11,1;10,8;10,6;10,3;10,1;10,1;10,0;9,9;9,7;9,5
Нижегородская область;34,2;32,6;32,3;32,2;31,1;30,2;22,5;21,1;20,5;20,2;20,1;20,1;20,2;20,8;20,9;21,0
