Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.7. УДЕЛЬНЫЙ ВЕС ОБУЧАЮЩИХСЯ ВО ВТОРУЮ И ТРЕТЬЮ СМЕНЫ В ОРГАНИЗАЦИЯХ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ НАЧАЛЬНОГО, ОСНОВНОГО И СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ1);;;;;;;;;;;;;;;;;;;
"(на начало учебного года; в процентах от общей численности обучающихся)";;;;;;;;;;;;;;;;;;;
;2000/2001;2001/02;2002/03;2003/04;2004/05;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Российская Федерация;20,8;20,0;18,8;17,5;16,1;15,0;14,0;13,5;13,1;12,9;13,1;13,8;14,0;14,1;13,6;13,4;12,8;12,6;12,8
Центральный        федеральный округ;15,9;14,4;13,1;12,0;10,7;9,6;8,8;8,3;7,8;7,4;7,6;8,0;8,1;7,9;7,3;6,8;6,0;5,5;5,4
Белгородская область;13,6;12,4;11,2;11,0;8,9;7,6;6,6;6,3;5,3;5,4;5,9;5,9;6,3;6,6;5,7;4,7;3,0;2,6;2,7
Брянская область;21,3;20,8;20,1;18,8;16,9;15,5;14,1;14,1;12,3;10,8;10,3;11,0;11,7;11,8;11,7;12,7;9,8;8,3;8,4
Владимирская область;22,0;21,0;18,7;17,6;16,0;13,9;13,9;12,9;12,6;12,2;12,7;12,8;12,7;11,2;11,3;11,4;10,6;10,9;11,3
Воронежская область;20,6;19,7;19,3;17,9;16,2;14,4;13,7;12,6;11,8;11,7;11,7;12,0;12,2;12,7;11,3;10,5;11,0;8,8;8,7
Ивановская область;22,9;20,7;18,3;16,9;15,7;13,3;12,7;12,4;11,2;10,7;10,6;11,2;11,6;10,8;9,8;9,6;9,1;9,4;9,8
Калужская область;17,0;15,1;13,8;12,3;10,6;9,1;7,9;7,5;6,9;7,1;7,3;8,1;7,6;8,1;8,2;8,2;7,4;7,3;7,1
Костромская область;19,8;18,0;16,6;15,2;13,2;12,3;10,6;9,9;9,7;9,9;10,2;11,7;12,7;12,7;12,4;12,3;11,4;11,9;13,4
Курская область;17,9;17,3;16,4;16,2;14,7;12,7;11,6;10,8;10,7;10,9;11,3;11,4;11,4;11,4;11,6;10,7;9,2;8,8;8,4
Липецкая область;23,6;23,2;21,6;21,6;19,6;20,0;18,2;18,1;16,9;15,7;14,9;14,9;14,8;13,8;13,3;12,3;11,3;10,8;10,5
Московская область;17,5;15,8;14,5;13,4;12,6;11,9;11,2;10,5;9,7;9,4;10,0;10,8;11,1;11,0;9,2;8,4;7,6;6,7;6,1
Орловская область;18,3;17,3;16,3;15,6;13,7;12,8;11,9;11,3;11,5;11,2;13,0;13,6;13,7;14,7;14,7;14,3;13,9;14,3;14,6
Рязанская область;16,1;15,8;13,7;12,1;10,6;9,7;8,1;7,6;6,9;6,7;6,3;6,9;7,1;7,4;5,7;4,5;4,0;3,9;4,3
Смоленская область;20,9;19,6;18,0;17,2;15,0;14,0;13,2;12,9;11,8;11,7;11,5;12,1;11,8;12,0;12,4;12,3;11,4;10,1;10,1
Тамбовская область;14,6;13,8;12,8;11,5;10,5;9,2;8,9;8,0;7,9;7,0;7,4;7,9;6,9;5,7;5,0;5,0;4,0;3,8;3,6
Тверская область;18,1;16,5;14,4;12,9;11,7;10,3;8,6;8,7;9,0;8,8;9,3;10,3;9,8;9,7;9,4;8,3;7,9;8,0;8,6
Тульская область;13,7;12,2;11,4;9,7;8,8;7,9;6,6;6,6;6,3;5,7;6,0;5,9;5,9;5,4;2,8;1,5;1,5;1,5;1,3
Ярославская область;18,8;16,8;15,9;14,1;13,8;11,7;11,1;10,3;11,4;10,8;12,0;12,7;12,8;12,0;11,9;11,3;10,9;10,6;10,7
г. Москва;6,7;4,9;3,7;2,8;2,0;1,5;1,1;1,0;0,7;0,6;0,6;0,7;0,8;0,7;0,9;0,7;0,2;0,0;0,0
Северо-Западный    федеральный округ;12,2;10,9;9,5;8,4;7,2;6,3;5,7;5,1;4,8;4,5;4,8;5,2;5,3;5,2;4,9;5,2;5,0;5,1;5,3
Республика Карелия;13,1;12,9;11,2;9,1;6,8;5,2;4,2;3,3;3,0;2,7;3,0;3,4;3,6;3,3;3,3;3,2;3,1;3,5;3,7
Республика Коми;16,1;15,4;13,2;12,5;10,8;10,8;9,1;8,4;8,3;8,7;8,8;9,1;9,7;9,3;9,2;9,9;10,4;10,5;10,2
Архангельская область;12,2;11,4;9,2;7,9;7,2;6,4;6,0;5,4;5,4;5,7;6,3;7,1;6,6;7,3;7,1;7,5;8,0;8,1;7,9
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;6,8;6,7;9,3;7,7;8,6;7,6;9,2;10,1;9,0;8,8;6,2;6,1;9,5;8,2;10,2;11,0;11,0;9,3;9,3
Архангельская область    без автономного округа;;;;;;;;;;;;;;7,3;7,0;7,3;7,8;8,0;7,9
