Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.8. ВЫПУСК ОБУЧАЮЩИХСЯ ОРГАНИЗАЦИЯМИ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ НАЧАЛЬНОГО, ОСНОВНОГО И СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ ;;;;;;;;;;;;;;;;;;;
4.8.1. Выпуск обучающихся с аттестатом об основном общем образовании 1);;;;;;;;;;;;;;;;;;;
(тысяч человек);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;2128,0;2190,9;2267,2;2204,1;2058,1;1868,5;1597,4;1412,1;1282,2;1178,5;1302,8;1270,4;1200,5;1174,2;1188,9;1163,3;1239,8;1283,0;1364,6
Центральный        федеральный округ;499,9;513,3;534,7;514,9;476,6;435,5;365,9;311,3;282,6;276,6;301,1;297,4;280,8;272,9;274,2;272,7;293,1;303,2;321,4
Белгородская область;23,1;24,5;25,2;24,9;22,7;21,0;18,4;15,5;14,2;13,5;15,4;14,4;13,3;12,7;12,7;12,5;13,0;13,0;14,0
Брянская область;21,0;22,0;22,4;21,4;20,1;18,4;16,4;14,9;13,4;11,4;12,4;12,5;10,8;10,4;10,0;9,8;10,0;10,7;11,2
Владимирская область;22,2;22,7;23,6;22,2;20,8;19,3;15,0;13,0;11,1;12,0;12,6;11,7;11,0;10,5;10,7;10,6;11,4;11,9;12,5
Воронежская область;35,0;35,7;38,1;36,1;33,5;30,5;25,2;16,7;19,3;21,5;21,3;20,0;18,7;17,8;17,8;17,5;18,6;18,5;19,4
Ивановская область;16,2;16,0;16,6;15,7;14,7;13,6;11,8;9,5;9,4;8,0;8,5;8,1;7,6;7,1;7,4;7,3;7,8;8,2;8,6
Калужская область;14,6;15,3;15,8;15,3;14,1;12,8;10,2;9,6;6,9;7,5;8,7;8,2;7,6;7,5;7,5;7,5;7,9;8,7;9,0
Костромская область;11,3;11,2;11,9;11,4;10,5;9,0;7,6;6,9;6,7;6,1;4,8;5,8;5,3;5,2;5,3;5,3;5,6;5,9;6,2
Курская область;17,6;17,9;18,6;17,0;16,5;15,7;14,0;12,5;11,3;11,1;11,0;10,4;9,9;9,7;9,8;9,5;9,9;10,1;10,1
Липецкая область;17,7;18,4;19,0;18,5;17,3;15,8;12,1;12,3;9,5;11,2;11,0;10,4;9,7;9,5;9,5;9,1;9,9;9,9;10,8
Московская область;87,5;90,5;94,5;91,1;84,1;77,8;64,9;54,7;50,9;44,2;57,7;57,5;53,3;52,8;54,1;55,3;62,0;65,4;70,2
Орловская область;12,4;12,7;13,2;13,0;11,9;10,8;8,5;8,0;6,3;8,1;7,8;7,0;6,6;6,3;6,4;6,1;6,4;7,0;7,0
Рязанская область;16,7;17,1;18,1;17,4;16,5;15,0;12,1;11,7;10,9;10,4;7,2;10,2;9,3;9,0;8,7;8,6;8,7;9,4;9,4
Смоленская область;15,3;15,6;16,7;15,7;14,1;12,6;8,2;9,4;8,5;7,5;8,5;8,0;7,6;7,0;6,9;6,4;7,3;7,5;7,8
