Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;
"4.9. ЧИСЛО ПРОФЕССИОНАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ПОДГОТОВКУ КВАЛИФИЦИРОВАННЫХ РАБОЧИХ, СЛУЖАЩИХ в 2000-2015 гг. 1);2)";;;;;;;;;;;;;;;;
(на конец года);;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Российская Федерация;3893;3872;3843;3798;3686;3392;3207;3194;2860;2658;2356;2040;1719;1271;1007;676
Центральный  федеральный округ;929;927;920;912;894;712;683;672;622;586;501;450;357;261;158;104
Белгородская область;34;34;34;34;34;34;34;33;33;30;24;18;4;4;4;4
Брянская область;40;40;40;40;40;40;39;39;38;40;33;31;17;2;2;2
Владимирская область;51;51;51;51;51;50;43;41;41;35;31;27;21;7;7;7
Воронежская область;55;55;52;51;48;44;39;39;37;36;34;33;28;24;24;15
Ивановская область;38;38;38;38;36;32;32;29;29;27;27;26;23;21;3;3
Калужская область;39;40;40;40;40;40;37;34;30;28;15;13;12;1;1;1
Костромская область;33;32;32;32;32;32;33;38;30;26;21;14;14;11;6;3
Курская область;39;37;36;34;34;33;30;35;31;29;25;25;19;8;3;3
Липецкая область;34;34;34;32;32;31;31;29;27;25;23;22;22;21;18;15
Московская область ;118;118;118;117;109;105;105;103;103;100;94;82;77;61;11;1
Орловская область;29;29;29;29;29;26;27;26;25;24;20;19;15;9;3;3
Рязанская область;39;39;39;39;39;38;37;36;22;22;15;13;5;5;5;5
Смоленская область;36;36;36;36;36;36;34;33;30;26;18;14;14;13;5;3
Тамбовская область;31;31;31;31;31;26;27;26;19;12;6;6;6;5;5;5
Тверская область;59;59;59;59;59;51;51;49;48;48;47;46;25;14;14;11
Тульская область;52;52;52;51;51;50;44;45;42;41;31;27;28;28;23;2
Ярославская область;46;45;44;44;44;43;39;37;37;37;37;34;27;27;24;21
г. Москва;156;157;155;154;149;1;1;-;-;-;-;-;-;-;-;-
Северо-Западный      федеральный округ;430;425;422;412;391;354;329;319;276;246;207;166;135;108;76;59
Республика Карелия;23;23;23;20;20;18;16;16;13;15;12;12;10;6;2;2
