Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
5. ЗДРАВООХРАНЕНИЕ;;;;;;;;;;;;;;;;
"5.2. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ НА ОДНУ БОЛЬНИЧНУЮ КОЙКУ1);2)";;;;;;;;;;;;;;;;
"(на конец года; человек)";;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;90,4;89,8;90,2;92,0;93,8;102,1;104,0;106,7;106,2;107,6;110,3;115,5;119,9;122,6;124,2;125,2
Центральный      федеральный округ;87,8;87,6;89,0;90,5;93,4;101,7;104,6;108,4;108,1;110,4;114,2;119,4;127,4;130,9;134,3;135,5
Белгородская область;84,7;85,0;89,7;90,9;116,3;121,0;122,1;122,9;124,6;123,6;124,6;124,3;129,7;137,6;137,0;138,5
Брянская область;79,1;78,7;78,5;78,7;79,7;96,3;104,1;108,5;109,5;106,6;111,5;119,4;130,3;133,6;133,0;132,0
Владимирская область;87,5;90,2;96,0;102,0;107,7;126,3;129,1;129,4;119,2;118,5;117,2;117,9;116,3;119,1;119,9;119,9
Воронежская область;89,8;92,6;93,4;95,5;96,2;108,4;110,9;109,7;106,4;107,3;108,8;108,8;116,7;118,9;121,7;121,9
Ивановская область;72,4;71,6;79,5;88,0;91,1;94,2;96,3;96,1;98,6;96,2;99,6;104,1;112,4;121,9;124,1;122,0
Калужская область;87,3;85,5;86,8;89,0;91,5;100,2;99,5;100,2;97,5;100,7;103,3;109,7;119,3;126,1;133,0;131,9
Костромская область;66,5;64,2;63,3;64,4;65,2;75,6;90,5;103,5;100,5;101,7;105,1;104,3;104,9;104,6;103,6;104,4
Курская область;86,3;87,3;87,6;87,1;97,6;102,2;105,5;106,4;109,8;111,1;113,8;115,1;117,1;117,5;118,5;117,7
Липецкая область;76,8;74,2;75,6;76,5;77,9;86,3;96,6;100,1;106,2;116,1;126,0;119,7;120,4;120,5;122,0;122,6
Московская область;96,6;94,6;90,5;90,4;98,7;114,5;113,7;133,0;121,4;124,0;126,6;130,2;132,2;135,2;139,0;145,0
Орловская область;86,2;83,8;84,1;82,7;83,9;88,0;97,4;98,0;98,1;98,4;99,1;101,3;104,5;108,0;110,1;110,2
Рязанская область;77,5;76,7;84,2;83,9;83,8;91,7;93,7;100,8;101,7;103,3;112,5;123,7;126,4;126,1;127,0;128,1
Смоленская область;74,1;75,5;79,8;81,9;83,3;89,5;89,2;90,6;91,6;92,0;92,6;100,6;101,6;102,9;105,1;104,6
Тамбовская область;79,6;78,3;81,7;82,6;90,5;100,1;99,8;99,7;107,8;108,2;114,5;121,4;122,5;124,1;130,4;130,7
Тверская область;78,4;78,0;80,1;79,4;80,4;96,1;97,4;92,2;93,7;94,7;99,5;102,3;104,9;106,5;107,1;108,3
Тульская область;71,9;71,9;72,2;79,1;79,5;84,5;91,3;94,2;104,8;111,2;114,9;114,6;114,7;116,6;115,8;114,1
Ярославская область;79,3;76,5;76,2;75,9;75,9;82,6;87,1;86,8;91,4;93,0;94,5;99,2;106,1;108,0;108,9;110,1
