Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
5. ЗДРАВООХРАНЕНИЕ;;;;;;;;;;;;;;;;
5.3. МОЩНОСТЬ АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКИХ ОРГАНИЗАЦИЙ1);;;;;;;;;;;;;;;;
5.3.1 . Всего;;;;;;;;;;;;;;;;
"(на конец года; тысяч посещений в смену)";;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;3557,8;3577,5;3637,9;3646,2;3673,9;3651,0;3657,2;3685,1;3727,7;3780,4;3799,4;3858,5;3861,0;3914,2;3966,7;3997,8
Центральный федеральный округ;1016,4;1025,9;1024,9;1038,2;1032,6;1024,0;1027,6;1033,5;1046,1;1043,0;1051,2;1053,6;1060,7;1064,0;1072,0;1082,3
Белгородская область;34,0;32,9;33,9;33,9;35,0;34,1;35,6;35,6;36,8;39,7;40,0;37,6;37,5;37,5;37,7;40,9
Брянская область;29,5;29,8;29,8;30,6;30,5;30,8;30,8;31,0;31,7;33,0;35,3;33,6;34,3;34,7;34,5;34,8
Владимирская область;45,4;46,9;44,6;47,1;46,9;46,5;45,6;45,4;46,5;45,6;45,8;46,2;47,7;48,1;48,5;48,3
Воронежская область;48,0;49,0;49,2;49,3;51,3;49,2;50,2;56,3;59,1;56,2;55,8;56,0;56,3;57,9;59,3;59,7
Ивановская область;22,5;22,8;22,9;23,2;23,4;23,1;23,0;29,3;22,6;24,5;23,8;23,9;24,8;24,9;24,9;25,2
Калужская область;26,1;26,2;25,9;25,9;25,8;25,8;26,0;26,0;26,4;26,5;26,2;26,1;25,9;26,4;28,5;27,5
Костромская область;14,7;15,0;15,0;15,3;15,5;16,0;15,3;15,6;16,4;16,8;17,0;16,9;17,5;17,7;17,8;17,8
Курская область;26,5;25,4;26,7;27,8;28,1;28,0;28,2;27,2;27,5;27,5;28,0;27,7;28,2;28,5;28,8;29,3
Липецкая область;36,0;35,9;36,1;36,1;36,7;36,5;36,7;37,6;37,9;38,2;38,6;39,1;39,4;39,3;39,4;39,4
Московская область;169,9;175,4;175,8;176,7;166,7;160,2;165,5;156,2;162,9;154,1;154,4;155,1;156,9;156,1;157,2;158,4
Орловская область;18,3;18,7;18,9;19,3;20,4;20,1;19,8;20,0;20,1;19,9;20,1;20,2;20,9;20,5;20,6;20,9
Рязанская область;27,6;28,1;27,2;26,9;26,8;27,5;27,4;27,2;25,8;28,4;28,3;28,7;28,7;29,7;28,9;28,9
Смоленская область;26,7;26,4;25,7;26,6;26,7;25,4;25,7;25,8;26,5;26,9;27,4;27,0;27,0;27,4;28,1;28,3
Тамбовская область;28,1;27,9;27,6;27,3;27,2;27,3;27,9;27,3;27,9;27,9;28,0;28,0;28,2;28,4;28,6;29,1
Тверская область;28,4;28,6;28,6;29,5;29,0;28,1;27,6;28,3;29,3;29,4;29,6;29,7;28,6;28,8;29,3;30,1
Тульская область;37,9;37,6;37,0;37,0;37,8;38,4;37,7;37,9;38,1;38,0;37,7;37,7;38,0;38,7;39,0;38,8
Ярославская область;35,7;33,6;33,7;34,1;34,6;34,4;34,3;34,7;34,9;34,0;34,0;34,1;34,0;34,3;34,3;34,5
г. Москва;361,0;365,8;366,2;371,8;370,2;372,6;370,5;372,1;375,8;376,4;381,3;386,0;386,8;385,1;386,8;390,3
