Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;;;;;;;;;;;;
6.1. ЧИСЛЕННОСТЬ ЗРИТЕЛЕЙ ТЕАТРОВ И ЧИСЛО ПОСЕЩЕНИЙ МУЗЕЕВ на 1000 человек населения ;;;;;;;;;;;;;;;;;;;
6.1.2. Число посещений музеев1);;;;;;;;;;;;;;;;;;;
(человек)  ;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;499;509;517;511;516;527;554;552;566;553;567;601;629;668;703;813;842;800;775
Центральный  федеральный округ;605;618;609;592;603;617;635;621;668;637;647;727;760;823;883;1111;1140;977;925
Белгородская область;270;358;401;308;327;376;356;359;393;415;436;465;483;549;579;603;655;688;704
Брянская область;435;468;481;604;518;551;540;566;589;654;786;721;707;740;780;796;778;786;669
Владимирская область;785;874;1051;1064;1150;1105;1221;1316;1441;1361;1376;1292;1103;1178;1232;1487;1104;1112;1134
Воронежская область;282;259;213;293;197;208;173;170;218;229;220;231;236;246;273;269;280;285;291
Ивановская область;401;379;411;405;399;456;424;408;384;377;409;411;406;423;421;420;391;424;416
Калужская область;441;434;439;424;425;424;417;434;435;428;464;521;531;560;601;664;884;781;836
Костромская область;472;414;454;826;523;421;386;407;424;451;573;640;611;647;710;729;679;678;725
Курская область;240;252;277;253;243;278;286;276;299;302;309;295;305;329;371;414;436;437;416
Липецкая область;137;119;307;118;119;149;138;147;159;174;186;200;216;257;278;296;271;274;256
Московская область;377;357;381;337;393;383;369;366;387;383;378;371;422;413;473;517;534;572;565
Орловская область;411;339;370;346;300;346;321;309;291;267;314;315;324;347;391;391;368;408;370
Рязанская область;426;444;467;509;522;543;534;553;560;503;494;518;540;593;664;727;700;699;773
Смоленская область;328;314;312;301;340;351;394;380;441;414;441;511;519;494;509;572;590;587;551
Тамбовская область;178;152;200;174;219;214;226;242;252;266;290;331;350;403;554;632;612;637;567
Тверская область;335;332;354;342;355;357;425;417;414;362;334;361;302;342;377;387;390;428;368
Тульская область;382;520;562;580;583;574;574;636;664;630;608;624;661;742;868;980;1074;1101;1122
Ярославская область;799;840;1054;1157;1246;1287;1313;1408;1535;1340;1402;1461;1487;1608;1712;1681;1737;1798;1860
г. Москва;1212;1221;1053;976;994;1020;1073;982;1066;998;993;1240;1309;1440;1509;2131;2217;1656;1496
Северо-Западный    федеральный округ;1550;1575;1612;1729;1686;1616;1743;1780;1797;1708;1779;1881;2026;2140;2235;2382;2433;2450;2413
Республика Карелия;394;430;458;501;568;587;677;668;712;657;683;645;649;695;669;695;725;702;637
Республика Коми;222;261;285;279;258;290;324;349;389;349;388;346;355;396;371;425;364;354;318
Архангельская область;375;413;454;431;407;469;475;508;553;546;550;588;612;719;816;818;881;850;799
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;336;867;392;266;313;520;482;595;516;345;522;388;279;310;345;631;435;359;401
Архангельская область без автономного округа;376;399;456;436;411;467;474;505;554;553;551;595;625;734;833;825;898;869;815
Вологодская область;654;738;805;826;846;840;825;906;916;853;895;958;976;988;1012;1040;1048;1072;1039
Калининградская область;762;795;834;685;730;781;793;852;1040;1037;981;981;1028;1013;1122;1269;1176;1145;1080
Ленинградская область;355;408;412;425;501;508;502;561;639;644;731;620;638;645;729;429;606;480;553
Мурманская область;377;356;378;311;269;317;346;354;377;384;389;401;443;352;450;482;585;500;502
Новгородская область;926;914;1095;1137;1156;1035;1102;1220;1293;1150;1095;1224;1296;1223;1743;1981;2111;1914;1546
Псковская область;548;686;671;750;752;763;846;883;929;915;954;1000;1134;1294;1472;1677;1803;1814;1758
г. Санкт-Петербург;3691;3665;3689;4037;3843;3573;3862;3850;3763;3540;3669;3920;4227;4452;4495;4860;4871;4969;4915
Южный                  федеральный округ;401;408;410;389;389;482;499;492;489;510;519;494;507;519;519;704;742;730;761
Республика Адыгея;133;158;149;134;136;119;131;136;137;148;141;127;141;173;174;178;198;266;231
Республика Калмыкия;85;81;90;100;118;118;119;97;113;115;126;95;95;96;102;159;162;159;132
Республика Крым;;;;;;;;;;;;;;;…;1383;1507;1596;1847
Краснодарский край;379;379;387;349;327;302;319;347;358;395;397;395;400;408;415;403;366;372;343
Астраханская область;681;704;431;478;436;490;362;421;238;390;359;382;434;342;517;302;302;325;238
Волгоградская область;555;569;633;558;594;1110;1189;1136;1168;1158;1205;1073;1092;1157;1213;1235;1225;1226;1223
Ростовская область;317;325;342;358;371;370;386;354;353;348;351;356;367;377;388;391;378;377;360
г. Севастополь;;;;;;;;;;;;;;;2061;3468;4980;3868;4736
Северо-Кавказский      федеральный округ;129;152;146;140;131;132;162;136;141;160;174;140;146;154;187;216;209;235;224
Республика Дагестан;84;136;141;125;122;123;135;130;134;130;171;138;144;150;148;175;171;175;149
Республика Ингушетия ;136;97;100;112;68;104;633;90;207;632;654;136;179;107;221;522;320;342;281
Кабардино-Балкарская Республика;55;56;48;47;51;58;42;50;47;63;101;86;105;188;228;244;251;310;313
Карачаево-Черкесская Республика;198;193;167;176;60;48;56;50;43;49;47;41;59;51;61;56;56;58;51
Республика Северная  Осетия – Алания;70;104;74;80;67;79;55;55;57;68;54;28;56;70;77;77;78;95;92
Чеченская Республика ;?;8;5;5;4;16;20;10;10;15;13;21;23;26;175;184;197;199;203
Ставропольский край;247;267;264;253;257;244;261;264;263;256;253;258;252;257;264;277;282;343;340
Приволжский        федеральный округ;266;268;279;265;272;281;303;303;310;315;332;357;374;400;436;484;558;544;511
Республика Башкортостан;109;106;119;95;108;118;118;119;117;125;136;161;168;167;190;204;208;214;217
Республика Марий Эл;356;289;466;296;291;410;436;470;607;564;553;619;662;681;756;768;834;803;585
Республика Мордовия;157;219;249;218;205;248;180;223;229;274;266;251;234;197;239;275;244;264;241
Республика Татарстан;219;179;199;180;219;245;335;402;432;401;455;584;628;779;920;1151;1507;1518;1370
Удмуртская Республика;336;412;417;431;430;446;475;431;447;469;472;439;459;463;449;480;491;458;441
Чувашская Республика;179;201;251;189;180;186;221;202;221;226;229;273;284;274;295;326;332;368;254
Пермский край;249;266;236;257;267;268;333;299;284;319;403;349;363;364;365;401;415;387;422
Кировская область;482;534;527;528;503;489;569;583;593;517;530;564;565;594;651;671;717;580;574
Нижегородская область;250;237;239;253;284;283;320;299;274;323;348;388;432;446;472;534;611;661;636
Оренбургская область;148;165;169;130;133;153;156;149;125;95;100;113;123;161;177;178;176;189;134
Пензенская область;426;441;465;488;489;389;383;368;401;447;376;403;384;359;442;454;757;480;460
Самарская область;266;257;278;247;259;294;234;240;242;253;260;274;269;280;315;306;307;330;367
Саратовская область;381;376;390;389;372;354;360;345;344;330;325;321;335;339;314;321;328;330;334
Ульяновская область;510;486;439;435;413;435;470;469;527;531;567;550;606;638;623;625;612;488;414
Уральский      федеральный округ;261;266;265;255;263;285;304;324;285;279;287;303;310;324;322;354;356;366;350
Курганская область;197;195;215;193;228;227;264;248;257;301;307;304;334;365;361;363;388;395;267
Свердловская область;329;347;352;343;339;369;345;374;366;384;377;390;407;419;415;454;465;476;380
Тюменская область;323;313;282;263;295;320;402;450;303;246;279;299;301;326;325;375;381;404;518
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;154;220;196;220;202;286;308;311;268;265;291;287;303;308;296;297;282;278;273
Ямало-Ненецкий автономный округ;272;283;241;196;317;229;232;266;257;238;281;333;312;337;335;395;415;382;385
Тюменская область без автономных округов;513;421;391;335;390;394;573;682;360;228;263;299;294;342;354;457;480;552;835
Челябинская область;139;145;153;157;149;163;172;162;175;174;178;199;192;194;196;206;185;183;155
Сибирский    федеральный округ;365;375;384;363;376;376;389;374;394;391;381;382;378;385;398;406;402;411;393
Республика Алтай;124;99;151;114;102;131;140;131;125;73;25;38;117;243;209;227;207;229;536
Республика Тыва;643;457;612;606;676;532;477;451;1213;834;148;161;140;148;147;160;127;169;156
Республика Хакасия;564;598;643;669;680;671;601;350;377;389;439;508;627;644;653;651;625;669;527
Алтайский край;262;209;221;221;235;228;235;249;254;256;244;233;217;208;204;198;180;187;191
Красноярский край;546;650;699;636;612;594;628;623;612;607;610;612;607;631;647;622;609;613;600
Иркутская область;383;451;478;375;430;412;445;394;408;395;403;410;386;390;413;410;408;424;431
Кемеровская область;399;357;375;357;369;399;388;372;439;463;465;455;448;471;486;506;484;485;417
Новосибирская область;202;180;124;173;179;186;186;189;192;206;207;200;199;172;196;216;254;246;245
Омская область;416;420;409;423;432;457;513;492;430;432;423;434;439;448;454;469;449;505;454
Томская область;150;201;158;127;147;156;168;220;247;251;285;274;266;288;312;378;425;391;390
Дальневосточный   федеральный округ;315;323;386;323;380;395;366;385;371;381;377;377;381;397;412;409;374;356;343
Республика Бурятия;249;361;414;347;372;391;386;455;403;479;436;419;415;419;459;416;412;349;374
Республика Саха (Якутия);337;302;309;303;540;649;406;394;405;411;433;426;468;535;508;533;576;485;502
Забайкальский край;153;141;207;152;130;128;171;165;188;175;195;205;236;214;222;216;199;220;214
Камчатский край;191;179;233;255;243;253;290;240;230;241;250;266;276;282;344;289;329;334;370
Приморский край;322;333;482;399;483;433;416;482;428;461;484;481;483;484;401;364;211;217;212
Хабаровский край;382;388;399;347;357;375;370;370;369;337;332;340;337;350;362;365;352;356;291
Амурская область;530;480;539;390;466;551;529;505;498;506;407;359;341;393;610;612;647;577;494
Магаданская область;142;164;209;116;114;107;107;112;122;129;124;138;129;133;148;164;191;185;168
Сахалинская область;344;381;440;353;363;355;360;379;404;397;403;478;431;457;522;568;591;619;673
Еврейская автономная область;202;217;100;175;203;270;200;223;247;214;209;218;214;241;342;622;286;285;228
Чукотский автономный округ;426;487;559;602;742;816;718;736;652;627;601;671;670;811;819;930;888;980;842
??????;;;;;;;;;;;;;;;;;;;
1) Расчет осуществлен на основе данных Минкультуры России. ;;;;;;;;;;;;;;;;;;;
