Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;;;;;;;;;;;;
6.2. ЧИСЛО СПОРТИВНЫХ СООРУЖЕНИЙ;;;;;;;;;;;;;;;;;;;
6.2.2. Плоскостные спортивные сооружения (площадки и поля);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;96755;98712;103824;108365;112125;113127;115388;119928;123195;126383;129637;133602;138259;140650;145570;148194;154553;147472;147798
Центральный    федеральный округ;23738;24721;25865;26898;27865;27942;28062;29359;29870;31072;32516;33744;36589;37743;38935;40280;44786;41032;41349
Белгородская область;2095;2310;2560;2677;2764;2786;2849;2961;2985;3009;3088;3152;3208;3253;3266;3300;3348;3219;3201
Брянская область;1540;1544;1548;1482;1488;1458;1460;1475;1475;1444;1571;1596;1570;1557;1550;1517;1506;1472;1459
Владимирская область;1125;1132;1193;1243;1275;1286;1303;1334;1362;1370;1381;1426;1439;1511;1539;1554;1709;1754;1804
Воронежская область;2373;2355;2809;3058;3149;3127;3082;3194;3226;3281;3471;3542;3739;3983;4117;4171;4395;4366;4392
Ивановская область;555;546;555;586;590;602;602;610;586;617;667;796;931;972;1005;1030;1036;1044;1040
Калужская область;987;981;1019;1021;1028;1021;1034;1036;1048;1020;1032;1032;1047;1048;1056;1066;1112;996;958
Костромская область;590;578;562;644;650;660;660;16;675;681;684;700;681;640;641;653;655;660;666
Курская область;1063;1065;1099;1125;1142;1156;1159;1168;1170;1178;1189;1197;1146;1181;1187;1159;1159;1142;1139
Липецкая область;1613;1604;1675;1681;1785;1687;1702;1721;1728;1726;1734;1777;1797;1865;1908;1941;1972;1988;2002
Московская область;1658;1713;1776;1898;2107;2185;2315;2407;2503;2744;3079;3487;3635;3841;4212;4901;5542;1971;2066
Орловская область;912;894;873;897;885;927;878;899;954;959;1026;1030;1052;1050;1067;1071;1087;1061;548
Рязанская область;1213;1208;1301;1321;1362;1367;1364;1388;1389;1386;1333;1349;1296;1304;1334;1359;1346;1318;1291
Смоленская область;1363;1359;1337;1245;1121;1093;1070;1084;1076;1173;1173;1186;1180;1187;1209;1207;1217;1217;1259
Тамбовская область;1072;1094;1115;1146;1107;1120;1098;1260;1250;1781;2223;2429;2601;2687;2764;2803;2823;2844;2845
Тверская область;1219;1185;1219;1228;1265;1243;1240;1246;1418;1573;1669;1823;1808;1827;1880;1947;2024;2037;2135
Тульская область;998;999;1006;1012;1021;1017;1021;1028;1058;1064;1064;1068;1085;1186;1208;1234;1260;1288;1296
Ярославская область;846;866;886;930;964;963;962;988;1024;1033;1048;1039;1042;1067;1096;1128;1184;1221;1231
г. Москва;2516;3288;3332;3704;4162;4244;4263;4890;4943;5033;5084;5115;7332;7584;7896;8239;11411;11434;12017
Северо-Западный    федеральный округ;6330;6535;6661;6931;7024;7360;7556;7938;8130;8377;8318;8498;8640;8882;9149;9622;10353;10644;10815
Республика Карелия;494;545;550;539;501;514;533;524;528;527;547;549;541;573;597;624;632;604;607
Республика Коми;393;424;445;473;542;585;597;714;720;733;755;765;765;774;785;800;853;869;877
Архангельская область;753;729;726;757;746;726;682;718;682;689;696;720;732;762;832;880;1037;1108;1118
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;13;13;13;16;16;20;15;17;-;-;-;-;-;31;31;35;35;36;31
