Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;;;;;;;;;;;;
6.4. ВЫПУСК ГАЗЕТ на 1000 человек населения1);;;;;;;;;;;;;;;;;;;
"(разовый тираж; экземпляров)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;742;686;887;1480;1231;1234;1344;1428;1485;1470;1446;1621;1665;1804;1692;1387;1481;1196;1073
Центральный федеральный округ;1756;1736;2213;3452;2266;2248;2432;2737;2770;2504;2414;2587;2595;2878;2748;2039;2240;1950;1672
Белгородская область;289;253;277;572;586;673;679;499;435;1183;1005;1419;1907;2025;3113;4410;4114;2858;1849
Брянская область;393;4950;601;860;550;809;761;532;559;358;388;425;393;491;722;549;660;558;564
Владимирская область;215;144;203;342;213;199;224;229;280;236;249;618;659;702;819;799;986;764;1151
Воронежская область;254;160;207;197;346;257;368;412;1255;1365;1217;1102;1281;1143;1137;1070;1115;858;711
Ивановская область;486;304;408;809;748;727;897;788;715;591;420;755;819;694;770;606;547;1336;447
Калужская область;292;268;394;692;496;631;569;476;602;755;769;752;876;808;911;1045;1308;971;938
Костромская область;329;478;303;521;506;500;524;493;620;774;5252;790;1437;1324;1098;728;764;530;503
Курская область;416;407;633;1020;985;964;995;1063;984;1281;1368;1428;1189;1258;1415;1408;1390;1441;1151
Липецкая область;738;389;524;510;366;951;867;528;541;440;508;749;748;885;949;799;972;587;506
Московская область;241;161;206;683;444;530;694;665;642;630;745;765;843;869;690;842;683;1142;592
Орловская область;186;142;176;230;188;181;219;232;310;590;564;733;839;763;813;707;780;491;462
Рязанская область;152;81;123;466;299;317;399;528;505;674;517;514;583;599;565;554;491;539;724
Смоленская область;314;334;468;1925;1966;1775;2422;4551;4476;3891;3523;4924;6116;6675;6224;5522;4856;4575;4377
Тамбовская область;417;246;290;369;330;360;339;386;388;437;362;275;338;365;372;784;433;418;313
Тверская область;561;322;320;724;311;252;570;437;389;502;504;799;764;506;581;601;638;463;452
Тульская область;185;148;203;730;445;269;440;628;466;948;597;594;815;898;1295;584;681;623;451
Ярославская область;345;327;321;320;374;363;733;702;898;743;617;880;985;1978;1411;1041;1141;748;683
г. Москва;5797;5213;7338;10867;6813;6547;6788;7659;7563;6445;5929;6387;5945;6675;6176;3864;4606;3748;3442
Северо-Западный    федеральный округ;515;422;686;910;1198;1629;1687;1682;2211;2774;2651;2967;3068;3367;3134;2334;2368;1920;1717
Республика Карелия;225;205;1466;379;424;618;605;696;624;851;1011;1288;2269;2440;2728;2285;2296;2191;1909
Республика Коми;211;293;336;581;619;668;765;915;1190;951;827;903;1036;1265;1156;1277;1082;1172;1097
Архангельская область;582;485;980;1807;1986;1670;1778;2000;2774;2328;2159;2352;2173;2718;2423;2222;2174;2208;2366
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;24;549;…;239;170;365;388;349;308;493;468;674;518;807;762;797
Архангельская область      без автономного округа;;;;;;1726;1831;2062;2857;2396;2223;2425;2235;2802;2489;2287;2227;2265;2428
Вологодская область;542;476;589;994;987;1416;1091;813;892;1140;1074;1236;1477;1418;1219;1178;1508;1060;1093
Калинингpадская область;1039;436;528;1290;1201;1837;1990;2629;2152;1513;987;602;923;1455;1810;1743;1532;1118;772
Ленинградская область;160;155;160;176;172;274;271;274;305;298;351;428;467;394;470;455;425;405;312
Мурманская область;80;129;115;511;602;782;673;712;788;665;819;784;1223;1062;1518;756;766;598;540
Новгородская область;475;244;418;547;492;207;443;431;658;1146;1485;1608;2069;2226;1888;1883;1949;1630;1845
Псковская область;513;242;291;368;764;388;470;336;466;883;1126;1065;907;1193;1104;1063;1371;1060;1287
г. Санкт-Петербург;714;657;1020;1185;1920;3012;3139;2963;4209;5865;5519;6260;6148;6619;5930;4000;4043;3123;2645
Южный              федеральный округ;328;229;347;570;557;505;697;768;776;895;1050;1146;971;1031;754;791;750;651;549
Республика Адыгея;205;227;327;393;347;274;346;340;331;348;363;597;603;538;528;491;369;378;326
Республика Калмыкия;318;348;451;466;441;624;1071;232;500;517;380;393;327;679;505;304;442;280;270
Республика Крым;;;;;;;;;;;;;;;4;685;666;554;465
Краснодарский край;336;249;365;695;543;547;686;865;758;734;756;795;723;757;703;718;624;707;474
Астраханская область;198;216;214;307;622;472;399;354;517;614;387;555;740;587;663;518;698;274;223
Волгоградская область;479;361;444;664;677;457;603;506;698;892;850;912;916;1005;1109;766;956;793;734
Ростовская область;269;225;292;450;513;510;845;987;970;1241;1803;1969;1449;1573;1069;913;781;626;614
г. Севастополь;;;;;;;;;;;;;;;…;2500;1970;1177;1362
Северо-Кавказский        федеральный округ;197;177;221;357;640;636;410;389;344;319;289;320;336;327;337;282;285;228;189
Республика Дагестан;67;59;108;237;1345;1339;182;175;178;115;109;130;97;107;137;142;142;140;120
Республика Ингушетия ;23;16;-;-;-;5;7;19;40;33;46;48;49;46;32;32;38;31;22
Кабардино-Балкарская Республика;197;143;187;199;197;110;181;116;250;265;242;216;211;223;201;129;120;104;88
Карачаево-Черкесская Республика;293;214;203;455;340;296;266;251;316;268;231;207;251;209;202;177;180;143;138
Республика Северная Осетия – Алания;247;238;483;428;197;175;205;349;315;317;314;302;509;414;319;262;245;255;167
Чеченская Республика ;-;53;93;178;71;64;74;61;60;56;50;50;67;64;49;51;51;46;43
Ставропольский край;386;348;360;621;605;630;988;918;724;714;638;741;770;759;808;659;678;498;416
Приволжский     федеральный округ;479;391;511;1170;1022;1105;1185;1277;1240;1156;1196;1447;1535;1668;1598;1519;1558;1121;1081
Республика Башкортостан;532;393;536;1318;1046;1292;1200;1329;1417;1423;1163;1389;1419;1468;1308;1183;889;826;720
Республика Марий Эл;672;316;623;1420;1871;1228;1647;1789;1693;1523;2277;3584;3512;3673;3291;2839;3624;3662;2258
