Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;;;;;;;;;;;;;;;
6.5. ДЕТСКИЙ ОТДЫХ;;;;;;;;;;;;;;;;;;;;;;
"6.5.1. Число организаций отдыха и оздоровления детей 1);2)";;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;
Российская Федерация;49211;52148;52219;51759;52134;52834;52014;51698;52197;51021;50237;49244;47880;46868;46228;45196;44467;43652;42168;;;
Центральный   федеральный округ;11573;11873;11917;11422;11230;11541;11057;11146;11050;10613;10664;10409;10161;9697;9426;9190;9134;9157;8638;;;
Белгородская область;822;876;998;1008;1045;996;980;986;984;771;867;836;830;832;835;819;832;824;798;;;
Брянская область;648;634;634;703;626;641;564;626;646;624;637;606;578;572;534;529;457;456;443;;;
Владимирская область;601;639;644;610;600;587;567;552;542;528;490;475;453;455;439;436;394;392;368;;;
Воронежская область;925;909;920;934;947;1024;904;915;849;809;1023;915;926;990;1048;1023;1083;1022;893;;;
Ивановская область;813;902;690;619;655;642;495;421;458;385;378;426;511;511;503;533;501;348;366;;;
Калужская область;325;351;349;350;323;326;332;336;325;424;438;448;416;410;406;400;378;374;355;;;
Костромская область;592;589;480;476;448;454;393;391;405;381;343;320;310;306;278;268;256;243;243;;;
Курская область;457;460;378;221;264;505;432;480;482;456;345;318;312;309;308;320;323;325;328;;;
Липецкая область;437;483;522;550;544;547;543;532;519;490;417;451;451;459;468;492;513;527;545;;;
Московская область;675;700;726;666;708;707;705;762;760;797;825;889;875;868;892;935;917;1204;1091;;;
Орловская область;482;487;489;485;474;473;467;447;454;430;410;425;401;378;367;356;350;361;318;;;
Рязанская область;251;248;265;227;211;317;337;402;416;405;376;334;321;336;321;364;384;387;394;;;
Смоленская область;626;653;628;588;578;564;532;540;530;515;486;492;457;425;313;305;315;305;279;;;
Тамбовская область;764;775;830;835;863;832;883;883;887;857;716;663;600;583;568;578;592;576;578;;;
Тверская область;871;911;932;950;901;856;823;797;751;695;672;688;656;667;677;670;674;659;634;;;
Тульская область;713;720;695;688;689;709;748;777;755;708;696;714;674;664;651;572;561;550;498;;;
Ярославская область;619;593;596;587;604;597;597;593;579;599;592;614;601;595;559;546;489;497;480;;;
г. Москва;952;943;1141;925;750;764;755;706;708;739;953;795;789;337;259;44;115;107;27;;;
Северо-Западный  федеральный округ;4231;4416;4368;4306;4402;4246;4234;4176;4137;3841;3826;3963;3783;3740;3596;3504;3479;3247;3071;;;
Республика Карелия;463;455;406;366;315;296;309;293;250;216;256;302;300;296;282;227;244;223;127;;;
Республика Коми;523;588;564;603;688;626;669;634;610;547;508;482;499;525;469;460;459;409;427;;;
Архангельская область;808;803;785;699;685;580;562;554;551;503;503;480;492;500;482;499;496;477;446;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;44;30;45;32;29;34;34;39;42;30;29;24;23;23;20;22;25;26;26;;;
Архангельская область без автономного округа;764;773;740;667;656;546;528;515;509;473;474;456;469;477;462;477;471;451;420;;;
Вологодская область;753;787;800;830;813;781;746;708;718;629;680;617;548;530;524;529;507;503;536;;;
Калининградская область;279;258;256;298;316;354;402;475;491;462;465;484;421;392;355;345;333;323;279;;;
