Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;;;;;;;;;;
6.7. ТУРИСТСКИЕ ФИРМЫ;;;;;;;;;;;;;;;;;
6.7.1. Число туристских фирм1);;;;;;;;;;;;;;;;;
;2002;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;3345;4010;5079;5842;6639;6477;6897;9133;10266;10773;11324;11614;11893;12395;13579;13674;
Центральный федеральный округ;1093;1130;1557;1786;2008;1733;1997;2547;2725;2626;2777;2741;2897;2646;3139;3055;
Белгородская область;20;31;44;57;69;74;63;70;71;79;86;97;97;98;100;100;
Брянская область;17;30;38;39;46;47;53;62;63;57;60;60;92;75;84;92;
Владимирская область;34;41;78;88;100;103;105;142;186;200;200;191;180;168;197;180;
Воронежская область;17;19;28;39;32;37;43;67;71;74;76;79;129;82;119;121;
Ивановская область;25;38;53;68;80;93;97;121;129;127;115;121;119;120;135;144;
Калужская область;26;32;40;64;83;97;109;121;122;127;140;141;147;133;137;139;
Костромская область;9;20;34;33;40;39;58;79;84;83;68;68;75;70;82;76;
Курская область;12;15;21;29;30;28;37;66;69;68;72;77;79;83;77;75;
Липецкая область;22;23;28;31;41;48;77;81;93;103;109;120;115;99;103;102;
Московская область;99;90;176;197;264;281;334;461;492;463;533;603;600;604;704;626;
Орловская область;5;11;22;25;25;39;42;57;51;55;60;73;80;69;78;79;
Рязанская область;11;25;22;34;38;45;49;75;87;79;73;74;80;86;90;89;
Смоленская область;24;25;28;34;43;33;35;65;78;78;88;97;89;90;87;90;
Тамбовская область;4;6;18;20;27;27;30;44;40;46;53;55;59;51;54;62;
Тверская область;28;39;59;76;86;77;96;126;120;105;127;131;111;131;130;139;
Тульская область;29;46;78;74;83;68;96;107;167;159;175;189;169;191;190;197;
Ярославская область;21;24;88;91;109;74;74;87;105;109;109;100;99;175;165;174;
г. Москва;690;615;702;787;812;523;599;716;697;614;633;465;577;321;607;570;
Северо-Западный федеральный округ;452;522;519;598;642;591;691;1116;1042;1238;1228;1194;1233;1623;1847;1833;
Республика Карелия;30;62;62;56;65;55;45;43;56;76;85;102;104;171;140;176;
Республика Коми;22;30;41;52;57;66;82;97;126;116;127;135;115;110;114;108;
Архангельская область;23;29;43;48;60;86;93;123;130;136;127;136;132;132;157;179;
в том числе:;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;1;1;1;3;4;4;3;4;3;4;5;7;5;3;4;2;
Архангельская область без автономного округа;22;28;42;45;56;82;90;119;127;132;122;129;127;129;153;177;
Вологодская область;33;37;50;51;68;94;131;159;141;147;132;145;90;103;116;141;
Калининградская область;40;41;35;47;45;67;44;87;81;90;92;111;90;98;88;111;
Ленинградская область;26;32;39;45;53;39;53;75;80;96;77;87;119;101;105;118;
Мурманская область;34;45;55;53;58;38;48;71;61;75;65;81;58;71;87;85;
Новгородская область;21;22;20;23;32;41;40;66;82;96;98;100;100;103;83;73;
Псковская область;20;21;22;21;24;21;21;49;47;49;41;50;44;49;53;55;
г. Санкт-Петербург;203;203;152;202;180;84;134;346;238;357;384;247;381;685;904;787;
Южный федеральный округ;344;426;487;608;669;776;768;896;1134;1041;1109;1245;1259;1579;1446;1554;
Республика Адыгея;11;16;8;10;14;27;28;33;37;37;39;41;26;32;21;21;
Республика Калмыкия;2;2;3;5;2;8;5;5;10;10;12;14;12;8;13;14;
Республика Крым;;;;;;;;;;;;71;48;346;214;204;
Краснодарский край;170;222;231;331;368;390;370;413;459;395;400;408;386;518;537;595;
Астраханская область;21;29;37;46;59;71;78;94;118;123;137;153;149;125;139;133;
Волгоградская область;46;41;59;50;58;59;57;65;151;148;173;207;255;189;174;186;
Ростовская область;94;116;149;166;168;221;230;286;359;328;348;328;320;268;267;322;
г. Севастополь;;;;;;;;;;;;23;63;93;81;79;
Северо-Кавказский федеральный округ;52;61;75;98;125;136;146;164;236;256;270;306;337;341;340;331;
Республика Дагестан;6;4;7;7;7;7;7;6;5;6;8;11;22;12;20;19;
Республика Ингушетия;-;-;-;-;-;-;-;1;-;1;2;4;3;3;5;2;
Кабардино-Балкарская Республика;11;7;5;7;8;6;9;8;8;12;20;22;28;35;24;27;
Карачаево-Черкесская Республика;1;2;5;5;9;12;12;19;15;12;14;14;13;15;15;15;
Республика Северная Осетия - Алания;2;3;3;5;7;11;11;19;20;24;26;35;29;25;28;29;
Чеченская Республика;-;-;-;-;-;-;-;2;4;5;8;8;7;8;12;26;
Ставропольский край;32;45;55;74;94;100;107;109;184;196;192;212;235;243;236;213;
Приволжский федеральный округ;478;679;966;1095;1345;1331;1423;1845;2167;2446;2574;2582;2708;2565;2779;2890;
Республика Башкортостан;64;90;127;121;189;206;212;273;315;311;314;302;297;263;284;285;
