Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
8. ЗЕМЕЛЬНЫЕ РЕСУРСЫ И ОХРАНА ОКРУЖАЮЩЕЙ ПРИРОДНОЙ СРЕДЫ;;;;;;;;;;;;
"8.3. ВЫБРОСЫ ЗАГРЯЗНЯЮЩИХ АТМОСФЕРУ ВЕЩЕСТВ, ОТХОДЯЩИХ ОТ СТАЦИОНАРНЫХ ИСТОЧНИКОВ, ПО ОТНОШЕНИЮ К ПОКАЗАТЕЛЯМ 2007 года1); 2);3)";;;;;;;;;;;;
(процентов);;;;;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;
Российская Федерация4);92,6;92,9;95,1;89,4;84,5;83,7;83,9;84,5;82,6;;;
Центральный     федеральный округ;101,9;100,6;100,1;98,9;97,8;96,4;98,2;97,3;96,3;;;
Белгородская область;106,8;108,5;108,1;95,0;102,8;95,5;91,1;94,0;140,8;;;
Брянская область;73,3;77,4;81,9;77,1;75,9;78,4;81,3;99,0;84,7;;;
Владимирская область;112,3;112,1;101,0;102,4;97,2;95,2;105,9;117,1;132,0;;;
Воронежская область;108,4;101,3;110,5;106,3;95,2;97,1;102,0;107,2;145,2;;;
Ивановская область;84,0;83,9;67,4;69,5;75,9;76,6;61,7;51,5;51,2;;;
Калужская область;96,1;100,2;103,3;121,6;155,0;203,7;186,6;213,3;229,3;;;
Костромская область;85,7;80,5;83,6;80,3;78,0;73,9;80,7;87,1;50,9;;;
Курская область;151,0;153,1;151,4;138,4;131,2;114,3;141,6;145,2;187,7;;;
Липецкая область;96,1;90,2;88,6;90,7;86,3;85,7;83,8;85,4;82,5;;;
Московская область;125,9;118,3;116,2;122,4;120,9;136,1;155,8;139,3;137,1;;;
Орловская область;188,2;192,5;91,7;196,6;126,8;111,2;171,1;175,8;234,2;;;
Рязанская область;99,0;89,8;91,3;76,3;79,8;72,8;73,5;71,0;61,6;;;
Смоленская область;131,0;131,3;124,8;159,1;142,9;161,0;158,0;167,2;154,6;;;
Тамбовская область;92,8;95,8;103,5;108,2;89,8;113,4;112,6;126,3;112,3;;;
Тверская область;87,6;97,3;92,0;87,9;100,8;86,8;91,9;108,4;40,4;;;
Тульская область;102,6;118,3;121,4;110,9;111,3;91,4;87,0;73,5;67,1;;;
Ярославская область;103,6;100,4;99,1;104,5;113,2;116,5;110,4;97,7;93,4;;;
г. Москва;79,7;77,6;90,7;83,5;85,7;80,0;79,8;76,4;77,7;;;
Северо-Западный    федеральный округ;103,0;98,9;94,6;99,9;97,6;92,4;87,3;82,6;78,8;;;
Республика Карелия;89,9;80,0;88,8;98,8;79,1;79,9;96,7;94,7;103,6;;;
Республика Коми;90,8;108,8;105,1;118,3;108,0;93,5;86,9;68,9;74,6;;;
Архангельская область;135,4;92,6;67,2;60,9;65,0;64,5;60,8;62,3;50,7;;;
в том числе:;;;;;;;;;;;;
Ненецкий автономный округ;195,0;109,3;47,9;50,2;59,3;70,2;60,1;69,1;50,6;;;
Архангельская область      без автономного округа;102,0;83,3;78,0;66,9;68,3;61,2;61,3;58,5;50,8;;;
Вологодская область;102,3;101,3;102,2;107,8;106,0;99,6;95,1;92,6;81,2;;;
Калининградская область;82,9;69,2;70,6;57,7;53,2;56,5;57,9;74,2;67,4;;;
Ленинградская область ;95,4;91,2;96,8;103,4;114,8;104,4;102,9;95,5;92,1;;;
Мурманская область;97,4;89,1;87,7;91,3;93,6;93,4;78,5;82,3;72,8;;;
Новгородская область;93,6;87,3;93,2;92,9;87,5;143,9;93,9;108,9;115,7;;;
Псковская область;135,3;169,2;167,6;164,1;175,7;163,6;202,7;213,4;226,8;;;
г. Санкт-Петербург;123,3;150,6;150,0;157,4;153,6;159,4;170,5;190,1;182,7;;;
Южный                федеральный округ4);96,7;94,4;109,1;106,9;99,8;96,7;106,3;130,6;159,8;;;
Республика Адыгея;127,2;149,4;221,4;302,5;356,5;375,1;384,8;361,6;267,1;;;
Республика Калмыкия;63,0;64,4;66,0;120,9;81,7;61,6;39,4;51,4;66,0;;;
Республика Крым5);;;;;-;-;-;-;-;;;
Краснодарский край;97,2;112,8;150,9;143,5;132,1;133,5;169,4;298,5;577,1;;;
Астраханская область;97,0;102,1;104,3;101,3;91,7;92,1;98,4;79,8;25,5;;;
Волгоградская область;88,7;78,6;75,3;76,2;67,7;70,5;71,2;60,8;63,8;;;
Ростовская область;107,7;94,3;122,6;118,0;118,9;101,0;103,6;119,4;34,9;;;
г. Севастополь5);;;;;-;-;-;-;-;;;
Северо-Кавказский       федеральный округ;67,4;66,9;66,3;68,9;70,8;68,4;73,0;72,3;74,8;;;
Республика Дагестан;110,0;102,7;111,5;96,7;78,8;65,2;84,4;83,2;86,0;;;
Республика Ингушетия ;40,6;10,2;15,2;48,2;33,0;33,1;87,7;87,6;118,1;;;
Кабардино-Балкарская Республика;109,3;94,5;102,2;85,7;90,5;117,9;153,8;118,4;111,8;;;
Карачаево-Черкесская Республика;100,9;127,7;111,2;105,5;78,8;73,6;86,1;83,8;73,7;;;
Республика Северная Осетия – Алания;108,0;75,0;81,5;93,3;64,6;98,0;84,3;71,0;212,0;;;
Чеченская Республика ;27,8;22,4;21,0;23,8;34,8;22,9;23,4;16,8;15,5;;;
Ставропольский край;94,9;98,1;100,0;108,3;113,9;123,4;126,9;136,6;136,7;;;
Приволжский     федеральный округ;87,4;91,5;96,9;88,6;84,9;84,3;88,9;85,3;87,8;;;
Республика Башкортостан;95,3;100,0;99,1;110,4;113,0;107,0;113,3;102,7;112,0;;;
Республика Марий Эл;118,0;103,6;124,5;97,1;89,0;80,8;131,7;126,4;136,8;;;
Республика Мордовия;106,6;107,0;156,3;113,6;109,5;99,4;126,9;168,6;118,5;;;
Республика Татарстан;98,7;104,4;108,2;112,0;110,3;110,3;127,1;107,4;147,9;;;
Удмуртская Республика;84,3;86,6;143,8;143,4;146,6;123,4;122,5;116,1;149,4;;;
Чувашская Республика;109,8;96,4;114,4;102,9;125,4;93,9;88,6;149,7;146,2;;;
Пермский край;82,1;94,9;86,9;93,1;79,1;75,5;78,1;78,6;74,1;;;
Кировская область;109,3;105,7;108,6;110,8;123,2;103,0;105,7;105,1;101,1;;;
Нижегородская область;105,0;95,8;98,2;84,7;84,6;89,3;100,7;101,3;61,6;;;
Оренбургская область;76,7;81,8;94,2;63,8;51,0;60,9;63,7;59,1;63,1;;;
Пензенская область;88,0;144,1;85,2;111,1;131,0;152,0;174,1;146,3;106,5;;;
Самарская область;95,0;90,0;84,8;80,4;82,0;80,4;78,0;77,4;67,1;;;
Саратовская область;58,6;67,4;79,1;61,2;74,2;73,2;68,1;75,9;73,0;;;
Ульяновская область;91,6;99,3;80,9;89,6;80,4;78,0;76,7;80,0;73,0;;;
Уральский   федеральный округ;80,7;81,0;84,9;72,2;61,6;60,2;60,7;60,7;58,4;;;
Курганская область;111,4;95,2;82,9;110,3;87,5;104,3;84,1;88,2;78,2;;;
Свердловская область;95,8;89,4;92,5;89,9;83,7;80,6;74,3;76,0;70,2;;;
Тюменская область;76,6;80,6;86,1;67,3;53,4;52,5;56,1;57,2;56,5;;;
в том числе:;;;;;;;;;;;;
Ханты-Мансийский   автономный округ – Югра;73,2;80,9;83,6;64,2;50,5;47,7;49,1;48,6;47,4;;;
Ямало-Ненецкий автономный округ;80,9;76,2;89,5;68,6;53,0;57,7;68,4;71,8;67,8;;;
"Тюменская область     
без автономных округов";139,1;126,9;131,9;159,9;160,8;150,1;136,8;164,5;227,0;;;
Челябинская область;77,2;71,5;69,9;68,7;67,3;64,6;61,6;54,9;50,3;;;
Сибирский          федеральный округ;101,1;102,2;103,9;100,0;95,8;98,0;96,7;98,9;93,6;;;
Республика Алтай;53,4;76,3;79,3;80,1;70,3;71,6;62,1;63,4;30,8;;;
Республика Тыва;105,2;89,4;91,3;88,2;87,7;92,0;91,0;95,0;17,7;;;
Республика Хакасия;102,8;95,9;100,4;96,7;89,5;95,2;98,3;123,2;114,0;;;
Алтайский край;96,4;94,7;100,7;93,6;94,5;95,1;99,2;95,0;89,3;;;
Красноярский край;99,6;100,7;103,3;99,9;94,2;99,0;94,5;94,8;92,8;;;
Иркутская область;107,9;112,2;130,1;123,9;115,1;115,4;115,9;119,2;115,7;;;
Кемеровская область;97,0;95,6;93,6;93,3;91,6;92,5;92,8;102,3;95,2;;;
Новосибирская область;110,1;112,8;108,2;94,4;100,2;89,0;96,9;94,1;60,9;;;
Омская область;116,3;119,3;121,5;108,1;103,2;102,0;101,2;97,5;102,3;;;
Томская область;108,0;118,5;100,9;95,7;90,6;91,7;94,3;82,3;74,5;;;
Дальневосточный   федеральный округ;99,3;96,9;96,0;93,8;103,7;103,5;100,6;106,5;95,3;;;
Республика Бурятия;104,9;99,3;109,9;125,7;116,8;119,6;104,0;124,9;102,2;;;
Республика Саха (Якутия);99,2;96,4;99,0;101,7;189,3;176,4;158,0;150,0;157,8;;;
Забайкальский край;100,9;95,7;92,9;92,8;91,0;87,1;88,9;98,0;75,9;;;
Камчатский край;100,7;84,3;94,0;89,4;63,8;67,8;78,2;104,1;110,9;;;
Приморский край;102,3;98,9;91,8;79,5;83,3;84,8;81,9;81,9;79,4;;;
