Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
8. ЗЕМЕЛЬНЫЕ РЕСУРСЫ И ОХРАНА ОКРУЖАЮЩЕЙ ПРИРОДНОЙ СРЕДЫ;;;;;;;;;;;;;;;;;;;
"8.4. УЛАВЛИВАНИЕ ЗАГРЯЗНЯЮЩИХ АТМОСФЕРУ ВЕЩЕСТВ, ОТХОДЯЩИХ ОТ СТАЦИОНАРНЫХ ИСТОЧНИКОВ1);2)";;;;;;;;;;;;;;;;;;;
(тысяч тонн);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация, млн т;66,5;61,1;57,0;57,5;56,3;58,8;61,1;61,3;60,2;53,3;59,5;59,2;56,8;54,4;54,1;52,0;49,2;50,7;46,7
Центральный федеральный округ;5536;5226;5259;5897;5656;5565;5093;5224;4718;4302;5061;5041;5333;5419;5440;5618;4938;5320;4167
Белгородская область;598;623;723;763;865;911;787;818;650;647;764;785;850;848;702;639;551;623;616
Брянская область;416;535;491;743;735;737;761;759;365;345;560;477;523;587;481;435;425;440;103
Владимирская область;14;18;17;21;9;9;10;11;10;13;14;14;13;14;14;6;7;6;8
Воронежская область;61;59;44;40;60;42;135;53;43;53;51;52;49;53;84;89;88;107;142
Ивановская область;70;34;36;31;30;30;50;49;67;67;26;24;21;25;53;17;10;6;4
Калужская область;96;98;95;95;107;106;107;106;108;131;134;135;135;148;135;148;136;129;210
Костромская область;47;43;87;74;86;173;53;31;37;53;45;34;29;25;26;18;23;24;16
Курская область;34;42;33;33;29;26;47;35;29;28;40;46;41;41;37;37;50;39;34
Липецкая область;1331;1125;1217;1522;1221;1291;1075;1076;980;1012;1134;1200;1418;1353;1492;1496;1438;1462;1447
Московская область;1224;1150;1169;1099;1047;1032;1028;1175;1202;940;873;860;944;1024;990;1227;728;1194;549
Орловская область;8;7;46;10;5;5;4;7;6;6;6;7;5;5;5;4;6;7;5
Рязанская область;409;322;274;237;269;454;316;374;419;305;538;506;464;493;638;765;570;572;458
Смоленская область;110;92;97;121;138;146;169;116;143;84;112;91;89;102;107;107;112;113;103
Тамбовская область;19;17;14;14;11;10;11;12;11;10;10;11;12;12;15;18;18;15;17
Тверская область;40;25;25;20;19;19;18;26;33;29;30;23;24;19;28;28;25;67;1
Тульская область;757;707;606;872;876;425;377;425;466;441;597;667;622;568;525;494;654;403;398
Ярославская область;158;177;153;81;69;60;59;61;60;52;53;44;46;51;49;51;51;62;17
г. Москва;142;150;132;121;79;87;85;90;89;86;74;67;47;52;58;42;43;52;42
Северо-Западный    федеральный округ;8296;7964;7553;5696;5850;5774;6178;6618;6236;5022;6386;5690;5503;4912;4926;5138;5158;5777;6033
Республика Карелия;168;166;165;164;149;154;154;158;165;104;140;108;93;71;80;72;92;105;81
Республика Коми;451;461;433;384;371;323;322;298;283;268;363;336;413;383;379;364;355;664;227
Архангельская область;764;909;746;747;959;942;711;749;1055;608;688;656;648;570;452;441;436;417;416
    в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;0,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Архангельская область  без автономного округа;764;909;746;747;959;942;711;749;1055;608;688;656;648;570;452;441;436;417;416
Вологодская область;1685;1615;1594;1140;1465;1636;1976;2238;2049;1578;1773;1609;1562;1247;1111;1326;1330;2137;2197
Калининградская область;18;26;7;6;6;5;7;7;20;6;13;13;10;9;11;26;20;24;11
Ленинградская область ;2846;2787;2806;1426;871;740;873;982;825;689;978;943;931;740;825;880;873;789;1093
Мурманская область;2121;1755;1597;1698;1865;1818;1964;2044;1684;1622;2225;1792;1605;1634;1804;1789;1832;1356;535
Новгородская область;67;57;56;54;89;88;125;93;91;90;89;99;111;112;127;129;103;155;1385
Псковская область;4;4;5;7;7;5;4;3;4;9;8;11;16;39;27;16;20;47;19
г. Санкт-Петербург;170;182;144;70;68;63;42;45;60;47;109;123;114;105;109;94;97;82;69
Южный                  федеральный округ;2188;1946;1594;1537;1462;1676;1937;2090;2003;1889;1817;1750;2741;2678;2760;2487;2480;2625;1001
Республика Адыгея;4;4;7;7;8;6;12;5;6;4;5;4;5;8;6;6;3;5;6
Республика Калмыкия;3;3;2;1;1;0,4;0,3;0,3;0,3;0,2;0,2;0,1;0,2;0,3;0,4;0,3;0,5;0,4;0,3
Республика Крым;;;;;;;;;;;;;;;148;53;56;60;29
Краснодарский край;551;486;463;434;494;550;647;985;840;735;697;649;1411;1330;1204;1 229;1271;1238;773
Астраханская область;230;193;12;13;17;22;16;17;20;15;15;13;13;11;6;6;8;6;11
Волгоградская область;396;427;399;410;327;378;430;328;237;276;232;201;211;228;163;213;162;149;124
Ростовская область;1004;833;711;672;615;720;832;755;900;859;869;882;1101;1101;1232;978;978;1165;58
г. Севастополь;;;;;;;;;;;;;;;0,5;1;2;2;0,2
Северо-Кавказский     федеральный округ;452;470;491;542;577;531;598;625;581;541;590;608;577;505;367;416;512;480;405
Республика Дагестан;5;4;6;5;4;2;1;2;2;3;2;1;2;3;1;1;0,0;6;15
Республика Ингушетия ;-;0,5;0,5;0,2;0,2;0,2;0,1;0,3;0,1;0,1;0,0;0,0;0,0;0,0;0,0;-;-;-;-
Кабардино-Балкарская Республика;3;2;2;2;1;2;2;3;2;2;2;1;1;2;1;1;0,5;0,3;0,1
Карачаево-Черкесская Республика;169;172;201;260;262;219;301;326;274;264;303;337;303;307;151;201;267;233;146
Республика Северная Осетия – Алания;181;191;180;169;207;235;223;225;221;203;215;209;210;126;147;151;180;179;149
Чеченская Республика ;-;-;-;-;-;0,0;0,0;0,0;-;-;0,0;0,0;-;1;1;1;1;1;1
Ставропольский край;94;100;101;106;103;72;70;69;83;71;68;59;61;66;65;61;64;61;94
Приволжский        федеральный округ;4778;5146;4805;5377;5182;5975;5690;5931;5536;4570;4724;4775;4135;5097;6034;4889;4299;4590;4069
Республика Башкортостан;628;674;753;666;566;836;766;474;500;685;495;520;483;928;936;945;535;369;343
Республика Марий Эл;7;11;8;8;5;7;7;7;6;11;10;9;10;7;9;10;8;8;10
Республика Мордовия;327;339;334;492;451;485;495;486;537;463;450;476;585;707;737;381;361;506;367
Республика Татарстан;217;221;253;289;231;311;360;391;381;358;329;322;310;521;427;437;495;463;392
Удмуртская Республика;58;55;43;50;36;35;33;27;30;31;18;20;11;41;89;75;173;144;43
Чувашская Республика;46;50;44;31;27;44;34;26;19;17;14;11;10;9;13;12;9;9;7
Пермский край;1551;1785;1428;1752;1635;2036;1793;2335;1897;803;1196;1284;915;1068;1726;977;1041;1239;919
Кировская область;231;138;129;90;115;97;134;113;84;173;131;101;121;148;243;194;177;93;82
Нижегородская область;122;177;187;272;227;241;243;250;246;220;256;215;105;110;95;169;112;122;73
Оренбургская область;562;635;609;631;774;796;679;756;914;825;764;683;619;532;548;632;644;824;1254
Пензенская область;14;28;36;33;40;38;42;45;34;41;22;23;26;31;218;322;39;41;47
Самарская область;551;588;515;555;499;487;570;457;294;306;367;455;449;434;502;400;302;303;253
Саратовская область;280;258;259;293;365;380;354;388;408;463;501;457;422;483;405;253;317;389;257
Ульяновская область;182;187;208;213;210;182;180;176;185;175;172;199;71;79;86;82;86;79;22
Уральский      федеральный округ;13470;13384;11149;11888;11877;12786;15414;14749;13442;12135;14381;13398;13619;12897;11899;11444;10915;10511;9275
Курганская область;159;132;98;71;15;16;54;52;153;57;151;115;90;62;78;71;70;54;51
Свердловская область;9403;9209;7488;7997;7467;8361;9932;9551;10597;7932;9492;9354;9603;8975;8301;8078;7402;7292;6848
Тюменская область;35;27;30;37;42;45;37;36;36;27;43;41;53;65;78;159;159;189;144
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;6;8;8;8;12;13;13;9;9;6;6;6;3;2;1;1;7;10;16
Ямало-Ненецкий автономный округ;1;1;1;0,1;0,0;0,1;0,1;2;5;0,0;1;0,1;0,0;0,1;1;0,4;0,3;0,3;0,1
"Тюменская область     
без автономных округов";28;18;21;29;29;32;25;25;31;22;36;35;50;63;76;157;152;179;128
Челябинская область;3873;4016;3534;3782;4353;4363;5391;5109;2656;4119;4695;3888;3873;3794;3442;3136;3284;2977;2230
Сибирский        федеральный округ;25515;19800;20145;20429;19970;20864;20864;20853;21894;19253;20838;22296;19701;18164;18194;17243;16329;16849;17111
Республика Алтай;1;2;2;3;3;2;4;4;5;1;2;11;15;2;2;2;2;2;1
Республика Тыва;36;34;27;44;57;41;33;23;29;27;32;20;22;15;19;13;13;15;15
Республика Хакасия;198;185;169;183;165;229;196;214;197;191;169;144;188;184;189;172;177;174;142
Алтайский край;810;809;666;819;769;787;715;694;746;681;776;712;822;558;548;549;576;614;599
Красноярский край;14070;8628;8902;9201;9129;9600;9303;9546;9388;8579;9012;9067;6770;6443;6375;6241;6290;6431;6386
Иркутская область;2779;2654;2759;2886;2674;2589;2695;2678;3260;2578;2821;3003;3251;3544;3314;2488;2098;2320;2459
Кемеровская область;4519;4457;4679;4256;4289;4829;5122;4881;5040;4366;4823;6321;5334;4512;4636;4683;4234;4422;3674
Новосибирская область;1006;806;816;893;868;963;934;968;1048;885;1009;907;1062;959;1047;1034;1006;1048;860
Омская область;1814;1953;1881;1863;1716;1577;1628;1633;1920;1633;1787;1759;1913;1662;1754;1838;1736;1738;2771
Томская область;282;272;244;281;300;247;234;213;261;310;406;352;325;285;310;224;197;85;202
Дальневосточный   федеральный округ;6232;7180;5963;6103;5704;5581;5308;5256;5822;5561;5722;5620;5224;4713;4479;4757;4607;4589;4689
Республика Бурятия;465;373;528;474;524;384;463;537;1091;670;669;646;698;766;736;727;543;609;560
Республика Саха (Якутия);293;316;315;374;421;328;308;307;360;357;403;417;433;450;430;478;479;410;378
Забайкальский край;693;650;518;542;419;389;466;489;459;525;491;478;496;529;540;527;530;554;523
Камчатский край;7;7;8;6;7;5;6;7;6;5;6;4;4;8;6;8;12;17;15
Приморский край;2980;4117;2768;2824;2485;2698;2501;2353;2552;2398;2587;2551;2129;1867;1856;2022;1917;1948;2087
Хабаровский край;979;840;971;1014;996;957;736;633;545;706;646;580;640;487;428;485;556;489;520
Амурская область;259;249;277;255;252;229;251;246;251;301;284;322;321;320;330;350;385;331;359
