Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
8. ЗЕМЕЛЬНЫЕ РЕСУРСЫ И ОХРАНА ОКРУЖАЮЩЕЙ ПРИРОДНОЙ СРЕДЫ;;;;;;;;;;;;;;;;;;;
8.6. ИСПОЛЬЗОВАНИЕ СВЕЖЕЙ ВОДЫ;;;;;;;;;;;;;;;;;;;
(миллионов кубических метров);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;66924;66756;64864;64091;61537;61335;62153;62506;62921;57677;59455;59544;56864;53551;55973;54538;54636;53471;52965
Центральный федеральный округ;11583;11263;11474;11164;10898;10547;10623;10466;10144;9073;10062;10369;10002;9835;10012;9068;9160;8604;8259
Белгородская область;354;346;368;394;361;314;290;257;253;234;237;236;244;241;239;244;250;233;234
Брянская область;150;147;144;135;133;130;126;123;115;110;117;111;106;104;98;96;95;94;90
Владимирская область;222;211;221;205;197;189;182;180;171;165;156;161;153;145;143;134;130;123;122
Воронежская область;695;686;651;617;582;556;535;519;498;457;460;451;442;378;390;393;398;379;372
Ивановская область;264;256;255;254;237;216;212;207;185;171;168;156;137;128;155;136;132;124;123
Калужская область;164;157;160;152;147;145;141;141;135;136;129;126;122;118;113;109;103;110;102
Костромская область;1515;1480;1470;1622;1635;1574;1632;1742;1671;1508;1800;1905;1907;1982;2076;1781;1988;1865;1811
Курская область;320;308;311;314;303;323;263;265;250;244;248;240;233;229;230;219;202;209;206
Липецкая область;294;292;285;264;258;251;245;230;224;177;175;169;165;164;156;156;153;157;163
Московская область;1900;1847;1787;1710;1609;1486;1595;1512;1618;1635;2482;2747;2363;2262;2183;2030;1890;1806;1719
Орловская область;139;132;130;130;135;122;121;118;110;99;84;83;80;78;84;77;77;76;76
Рязанская область;219;229;249;240;237;223;210;204;197;188;186;181;174;167;163;159;159;153;156
Смоленская область;228;219;216;222;214;214;198;185;187;178;169;167;160;151;153;148;146;152;133
Тамбовская область;217;202;185;183;181;187;160;149;124;108;100;99;97;95;95;93;96;99;101
Тверская область;1516;1490;1523;1283;1265;1288;1525;1614;1553;1304;1494;1501;1368;1399;1561;1328;1369;1224;1106
Тульская область;375;378;387;386;385;359;365;332;307;285;283;271;264;269;253;235;253;215;222
Ярославская область;358;358;357;342;333;334;305;325;307;279;278;240;225;224;210;190;198;190;194
г. Москва;2655;2526;2777;2712;2685;2634;2518;2363;2239;1794;1496;1524;1762;1700;1709;1541;1521;1396;1328
Северо-Западный федеральный округ;11342;12321;11479;11503;11381;11366;11641;11774;12338;11362;11671;11507;10304;9340;10042;9911;9981;9589;9571
Республика Карелия;199;218;214;222;225;237;236;226;221;213;203;196;188;191;193;168;162;169;181
Республика Коми;663;642;617;587;588;568;568;543;542;519;506;495;486;456;463;486;491;485;474
Архангельская область;837;833;762;720;688;684;682;693;671;637;662;670;651;634;607;584;576;572;567
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;4,7;5;6;7;7;11;12;11;18;28;30;30;29;33;9;14;14;15;15
Архангельская область без автономного округа;832;828;755;713;681;673;670;682;654;609;633;639;622;601;598;570;562;557;552
Вологодская область;711;642;655;579;636;630;710;728;712;583;602;537;467;481;481;393;355;227;252
Калининградская область;188;186;187;189;185;174;164;146;135;116;112;115;117;112;109;104;109;108;105
Ленинградская область ;5329;6294;5681;5930;5775;5879;5937;6255;6849;6149;6623;6630;5529;4522;5474;5706;5851;5527;5569
Мурманская область;1720;1722;1663;1666;1739;1627;1732;1605;1622;1610;1502;1586;1472;1593;1559;1373;1393;1418;1447
Новгородская область;109;114;113;112;114;109;108;107;106;105;108;102;95;122;89;88;91;91;95
Псковская область;430;487;425;332;294;292;338;292;334;317;335;266;254;263;174;136;85;141;67
г. Санкт-Петербург;1156;1182;1161;1165;1138;1168;1167;1179;1146;1113;1017;912;1044;964;893;873;867;852;814
Южный                  федеральный округ;9496;8974;8630;8565;7697;7602;8025;8038;7732;7482;7465;7687;7271;7108;7464;7341;7417;7524;7551
Республика Адыгея;150;88;65;63;74;76;97;87;94;100;119;124;134;174;145;172;173;164;192
Республика Калмыкия;433;389;363;402;396;371;380;399;368;408;371;358;325;290;394;397;281;331;291
Республика Крым;;;;;;;;;;;;;;;217;194;202;191;187
Краснодарский край;3572;3483;3485;3397;3231;3105;3413;3420;3253;3107;3142;3278;3236;3014;3005;3056;3156;3168;3157
Астраханская область;1322;1252;1111;1190;971;937;938;891;873;853;772;1085;850;800;758;731;794;693;696
Волгоградская область;1103;990;960;886;887;833;804;827;823;788;731;710;609;583;582;594;520;526;552
Ростовская область;2917;2772;2646;2627;2137;2279;2393;2415;2320;2226;2330;2132;2118;2247;2310;2142;2212;2374;2404
г. Севастополь;;;;;;;;;;;;;;;55;54;79;75;72
Северо-Кавказский федеральный округ;7570;7881;7368;7419;7259;7235;7354;7502;7425;6807;7635;7287;6789;6207;7022;6781;7029;7170;7138
Республика Дагестан;3223;3427;3158;3186;3141;3322;3370;3234;3109;2912;3030;2592;2253;2212;2864;2407;2449;2559;2418
Республика Ингушетия ;68;137;99;80;86;65;90;89;100;105;119;125;125;109;110;106;106;106;105
Кабардино-Балкарская Республика;480;436;418;488;476;463;460;457;454;448;443;441;447;448;374;375;379;348;348
Карачаево-Черкесская Республика;73;77;60;65;56;53;50;44;44;43;43;41;114;46;38;123;73;78;85
Республика Северная Осетия – Алания;258;275;234;225;241;218;246;230;230;234;264;206;187;179;172;149;138;143;156
Чеченская Республика ;298;361;324;429;420;331;350;376;397;390;362;383;361;383;387;368;409;434;489
Ставропольский край;3170;3169;3075;2947;2839;2783;2790;3072;3091;2675;3373;3499;3303;2831;3078;3253;3474;3503;3537
Приволжский федеральный округ;10539;10505;10506;10364;10203;10051;10125;10359;10108;9358;9254;9305;8885;8508;8279;7802;7235;6870;6766
Республика Башкортостан;880;863;842;823;805;778;799;796;768;719;745;784;800;784;766;756;784;750;753
Республика Марий Эл;120;110;112;112;110;104;98;96;95;92;91;87;83;79;75;76;76;75;71
Республика Мордовия;87;83;79;79;76;73;74;73;72;70;70;66;63;60;58;53;54;48;50
Республика Татарстан;916;913;875;866;782;739;703;677;680;638;639;622;693;747;724;720;744;691;663
Удмуртская Республика;317;317;298;284;294;289;292;299;293;272;301;305;291;281;282;294;292;274;271
Чувашская Республика;160;157;154;157;148;131;126;115;119;107;122;112;108;104;101;97;98;92;94
Пермский край;2341;2663;2513;2630;2674;2741;2699;2895;2834;2557;2472;2393;1959;2154;2142;1936;1593;1603;1470
Кировская область;247;254;256;258;266;256;261;259;268;245;237;229;220;214;193;184;184;178;181
Нижегородская область;1295;1268;1235;1202;1188;1197;1174;1193;1150;1121;1112;1064;1041;997;880;858;789;747;758
Оренбургская область;1826;1686;1734;1775;1771;1598;1826;1850;1813;1625;1653;1920;1973;1495;1487;1315;1194;980;1011
Пензенская область;281;291;329;293;294;276;280;257;267;258;235;241;214;196;194;175;177;202;183
Самарская область;1079;1024;1083;1086;1027;1026;1001;1033;978;944;863;817;763;761;748;720;688;661;684
Саратовская область;808;688;789;605;588;661;617;642;604;555;532;510;512;479;471;489;438;449;459
Ульяновская область;185;189;208;195;179;181;175;174;166;154;182;157;166;157;160;128;125;120;118
Уральский          федеральный округ;4055;3980;3777;3569;3678;3866;3964;3882;4080;3563;3745;3744;3579;3549;4464;4907;5378;5191;5419
Курганская область;84;82;74;68;71;70;67;63;61;62;62;63;64;59;53;54;49;52;50
