Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
8. ЗЕМЕЛЬНЫЕ РЕСУРСЫ И ОХРАНА ОКРУЖАЮЩЕЙ ПРИРОДНОЙ СРЕДЫ;;;;;;;;;;;;;;;;;;;
8.8. СБРОС ЗАГРЯЗНЕННЫХ СТОЧНЫХ ВОД В ПОВЕРХНОСТНЫЕ ВОДНЫЕ ОБЪЕКТЫ;;;;;;;;;;;;;;;;;;;
(миллионов кубических метров);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;20291;19773;19767;18961;18534;17727;17489;17176;17119;15854;16516;15966;15678;15189;14768;14418;14719;13589;13135
Центральный федеральный округ;4742;4692;5176;4478;4470;4341;4186;3870;3798;3596;3761;3613;3651;3570;3328;3203;3187;3143;3033
Белгородская область;45;13;6;10;11;11;11;8;11;49;77;72;71;71;67;61;74;71;70
Брянская область;100;99;96;94;92;89;96;94;85;83;78;75;71;68;62;58;58;55;54
Владимирская область;182;182;185;174;169;155;147;141;140;129;129;126;124;120;110;109;109;105;99
Воронежская область;190;174;174;173;168;169;159;152;144;134;134;135;131;129;122;117;122;119;119
Ивановская область;168;169;160;158;152;144;140;136;127;114;102;99;97;88;82;70;69;69;60
Калужская область;109;113;112;108;105;99;99;98;96;95;92;88;84;93;90;86;84;72;71
Костромская область;64;63;57;64;65;64;66;64;65;61;47;46;47;41;37;36;36;35;34
Курская область;39;38;38;35;35;34;33;34;35;33;37;50;45;16;14;11;12;13;12
Липецкая область;149;146;137;126;125;127;124;114;140;101;87;82;87;80;79;76;83;77;69
Московская область;638;618;630;626;643;635;617;597;588;565;1309;1220;1219;1190;1122;1078;1067;1036;956
Орловская область;85;86;80;79;78;68;70;63;61;60;50;54;53;54;54;51;52;52;57
Рязанская область;26;24;19;19;19;20;15;14;18;18;89;84;86;85;81;82;80;76;75
Смоленская область;109;99;93;91;94;90;90;85;82;79;73;68;67;62;58;58;59;59;54
Тамбовская область;67;61;59;55;61;59;53;19;17;13;13;9;42;39;38;41;41;45;45
Тверская область;102;95;88;86;77;79;91;101;99;92;99;93;90;90;86;84;78;78;74
Тульская область;249;257;263;259;261;252;236;216;201;192;196;187;185;187;171;164;161;160;156
Ярославская область;306;312;316;306;303;287;284;208;204;184;240;218;229;211;193;201;179;178;174
г. Москва;2115;2145;2661;2015;2012;1959;1857;1726;1684;1595;909;908;925;946;863;818;825;845;855
Северо-Западный    федеральный округ;3579;3468;3354;3251;3231;3192;3092;3101;3024;2830;3088;2866;2877;2796;2674;2637;2719;2772;2584
Республика Карелия;205;201;198;194;209;205;207;204;197;190;190;175;177;220;222;205;221;221;180
Республика Коми;146;146;145;141;136;133;126;121;116;107;117;129;120;106;108;117;110;262;267
Архангельская область;541;538;514;478;455;465;465;476;477;415;416;375;364;341;336;330;329;325;323
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;1,1;1,0;1,1;1,2;1,2;1,2;1,4;1,6;1,6;1,6;0,3;0,2;0,1;0,1;0,0;0,0;0,4;0,3;0,4
Архангельская область без автономного округа;540;537;513;477;454;464;464;475;475;413;415;375;364;341;336;330;329;325;323
Вологодская область;241;240;231;205;195;172;167;156;146;132;152;157;154;148;137;145;147;157;129
Калинингpадская область;152;150;151;150;147;139;131;116;103;87;88;91;103;102;103;107;111;111;100
Ленинградская область;424;410;398;387;383;356;355;324;324;313;291;231;241;277;271;269;272;279;275
Мурманская область;429;370;366;339;374;394;329;383;356;352;339;334;376;334;331;328;320;318;298
Новгородская область;97;95;93;81;81;78;78;75;73;74;97;92;87;73;75;76;78;28;26
Псковская область;73;73;74;73;69;61;60;57;57;54;52;45;40;39;37;35;37;37;34
г. Санкт-Петербург;1271;1245;1183;1203;1182;1188;1174;1187;1174;1106;1346;1239;1215;1157;1054;1023;1093;1033;951
Южный федеральный округ;1752;1691;1760;1929;1884;1409;1532;1521;1474;1409;1446;1436;1394;1321;1377;1304;1378;1264;1219
Республика Адыгея;50;35;35;24;24;24;23;21;21;29;29;28;28;26;24;26;26;23;25
Республика Калмыкия;28;35;37;43;37;36;41;38;39;35;29;33;20;26;14;12;15;15;14
Республика Крым;;;;;;;;;;;;;;;52;7;7;83;106
Краснодарский край;1076;1039;986;1252;1226;795;907;887;858;820;863;920;892;839;833;858;901;766;718
Астраханская область;84;83;78;71;71;68;73;72;73;71;69;71;56;52;50;41;51;49;49
Волгоградская область;217;212;206;201;208;204;217;203;218;200;186;150;144;141;123;104;105;89;84
Ростовская область;298;287;418;337;318;282;271;300;265;255;270;235;253;236;262;238;253;216;198
г. Севастополь;;;;;;;;;;;;;;;19;18;22;23;25
Северо-Кавказский    федеральный округ;637;580;508;510;505;496;474;460;449;445;390;397;395;374;368;362;364;358;415
Республика Дагестан;280;220;77;80;79;78;75;75;75;76;77;78;79;77;78;79;77;72;71
Республика Ингушетия ;1,4;0,9;1,1;1,4;1,4;1,6;1,9;1,9;1,3;3,1;2,7;4,3;4,2;4,1;3,8;2,2;2,6;2,7;2,8
Кабардино-Балкарская Республика;49;50;54;52;50;47;42;39;38;35;33;32;30;29;29;28;29;29;31
Карачаево-Черкесская Республика;61;62;55;57;59;53;55;53;54;53;51;47;45;45;41;42;42;42;45
Республика Северная Осетия – Алания;24;18;98;97;93;96;90;88;87;88;82;97;107;87;84;88;88;86;92
Чеченская Республика ;0,2;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ставропольский край;221;228;223;222;224;220;211;203;194;189;144;138;131;133;132;123;125;125;173
Приволжский  федеральный округ;3858;3644;3474;3390;3292;3162;3140;3062;3047;2674;2883;2857;2854;2849;2562;2516;2402;2251;2219
Республика Башкортостан;457;447;426;408;392;388;383;383;381;359;341;321;311;305;298;277;283;260;243
Республика Марий Эл;70;60;64;66;66;64;60;60;59;62;60;57;51;55;50;49;48;45;48
Республика Мордовия;60;58;56;56;54;53;51;50;49;47;46;42;39;35;34;30;30;26;27
Республика Татарстан;572;547;534;534;543;529;512;493;477;439;490;498;480;467;439;382;325;320;296
Удмуртская Республика;27;27;25;26;28;28;30;27;25;23;105;127;117;112;116;133;109;86;93
Чувашская Республика;132;130;123;126;134;121;121;118;115;91;86;10;11;10;9;37;37;33;84
Пермский край;401;390;378;380;340;317;302;279;367;314;313;397;407;410;398;383;358;317;212
Кировская область;179;176;171;171;167;132;159;147;147;139;205;176;171;169;146;132;127;86;79
Нижегородская область;580;545;468;461;421;425;420;410;410;379;472;461;451;525;397;390;377;370;363
Оренбургская область;153;154;154;152;150;149;144;142;137;136;122;132;127;120;116;109;108;105;102
Пензенская область;144;149;148;143;147;139;137;128;124;116;111;108;105;100;95;92;94;93;92
Самарская область;645;536;500;489;482;465;465;454;445;406;397;395;362;351;346;366;368;399;389
Саратовская область;289;294;299;270;262;237;242;251;197;56;24;18;112;84;17;13;13;10;95
Ульяновская область;149;130;127;109;105;115;115;118;113;106;111;115;110;105;100;122;125;101;94
Уральский        федеральный округ;1773;1754;1772;1789;1690;1681;1726;1769;1867;1702;1860;1834;1665;1624;2041;1996;2356;1515;1435
Курганская область;62;18;62;57;57;59;57;56;54;52;50;46;43;40;39;38;38;36;33
Свердловская область;826;818;816;869;828;814;821;868;873;780;763;770;712;687;667;660;617;586;559
Тюменская область;143;145;144;142;138;148;192;187;190;179;202;183;167;184;656;573;1009;202;196
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский     автономный округ – Югра;33;33;35;38;31;31;33;38;42;46;55;39;41;78;545;463;891;86;84
Ямало-Ненецкий автономный округ;28;33;33;32;33;31;59;49;48;33;44;39;34;25;22;23;32;31;29
Тюменская область   без автономных округов;83;79;76;72;75;86;100;100;100;100;103;104;92;82;89;87;86;84;83
Челябинская область;741;774;749;721;666;660;655;657;750;691;845;836;744;713;679;725;693;691;647
Сибирский    федеральный округ;2714;2709;2611;2542;2431;2431;2366;2401;2459;2206;2099;2039;1957;1873;1681;1621;1582;1560;1488
Республика Алтай;0,6;0,6;0,4;0,7;0,4;0,5;0,4;0,4;0,5;0,3;0,3;0,3;0,3;0,2;0,4;0,4;0,4;0,3;0,3
Республика Тыва;13;9;9;9;9;8;8;8;8;10;9;9;8;7;7;9;12;6;7
Республика Хакасия;56;55;54;57;50;50;44;45;44;40;38;36;34;30;30;29;24;24;33
Алтайский край;31;34;36;36;36;34;27;26;22;17;15;12;8;8;11;16;18;17;17
Красноярский край;617;620;611;578;531;531;462;449;481;453;444;448;426;391;367;327;313;308;305
Иркутская область;893;890;820;823;785;814;807;789;814;640;594;583;614;538;500;507;514;524;527
Кемеровская область;787;778;759;718;708;695;733;767;782;746;700;661;572;598;478;462;444;433;355
Новосибирская область;78;74;76;79;74;72;73;101;105;98;107;94;113;115;109;107;97;94;89
Омская область;221;229;226;223;219;214;203;207;194;193;177;170;158;159;152;139;136;130;130
Томская область;18;19;19;18;17;12;9;9;8;9;14;26;24;27;26;24;23;23;24
Дальневосточный федеральный округ;1235;1235;1112;1072;1031;1015;973;991;1001;991;989;924;885;781;738;780;731;726;743
Республика Бурятия;120;121;70;67;66;61;52;50;46;45;41;8;35;32;38;39;38;35;35
Республика Саха (Якутия);85;87;83;87;79;79;79;97;93;91;86;87;81;76;79;85;50;48;57
Забайкальский край;80;94;77;75;84;83;79;85;97;98;78;95;86;35;31;35;34;45;52
Камчатский край;34;36;35;35;29;29;32;41;47;46;46;38;32;29;26;25;23;27;27
Приморский край;459;436;418;389;346;348;337;339;340;337;371;336;318;285;290;291;276;268;266
Хабаровский край;231;236;220;221;222;217;209;203;196;193;191;188;176;178;167;171;172;171;190
Амурская область;94;103;95;91;99;100;90;84;86;83;82;79;78;77;45;73;74;67;67
Магаданская область;47;49;42;40;34;28;28;29;30;29;27;26;17;16;14;13;14;15;11
Сахалинская область;69;57;54;52;53;52;48;45;48;49;46;46;44;33;30;29;34;33;25
Еврейская автономная область;11;12;12;12;14;14;14;14;13;14;15;16;15;14;13;14;14;14;11
Чукотский автономный округ;5;5;6;4,4;4,9;4,3;4,6;4,6;6;6;5;5;5;4,9;4,9;4,1;3,2;3,1;3,0
