Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;
9.4. ФАКТИЧЕСКОЕ КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ НА ТЕРРИТОРИИ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ;;;;;;;;;;;;;;;;;;
9.4.1. Всего;;;;;;;;;;;;;;;;;;
"(в текущих рыночных ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Фактическое конечное потребление домашних хозяйств на территории субъектов Российской Федерации - всего;3633486,2;4793764,4;6104065,2;7349458,8;9101821,9;11473418,2;14300531,7;17828681,5;22290784,3;23537833,9;26179444,7;30622055,5;34286933,0;37728780,6;41010890,2;43549602,8;45107962,3;47412851,8
Центральный    федеральный округ;1428687,4;1858168,2;2282084,6;2732719,9;3298196,5;4055629,9;4951423,1;6088580,1;7502135,2;7936090,9;8895815,5;10505907,6;11710468,5;12748332,1;14043061,5;14695794,7;15375032,8;16268163,9
Белгородская область;29214,8;34371,9;39843,6;47283,5;59637,2;72561,7;96854,1;127015,3;168435,9;186441,6;211548,1;249922,1;288443,4;327458,5;363368,3;391156,5;418548,8;439845,6
Брянская область;18960,7;25800,8;35300,7;42515,0;54561,3;66675,2;82739,5;105507,3;135494,9;148438,1;170891,2;199920,1;219872,9;244761,2;271132,2;296739,4;301363,9;320503,5
Владимирская область;20422,5;26123,9;32532,7;40990,4;50811,3;62447,7;81968,1;109794,3;139541,3;148606,7;170765,2;202930,3;239287,1;264359,0;290569,9;310163,5;323184,8;337247,8
Воронежская область;41711,7;57459,4;70719,8;82062,7;104063,2;131809,9;157642,6;193836,4;241076,7;272295,9;329501,1;429335,7;506414,7;574969,5;642635,6;703464,7;741668,3;782707,9
Ивановская область;14049,5;18606,7;22039,9;27387,3;34732,3;43124,5;55620,2;72035,7;95876,1;101455,3;117888,1;143056,2;172434,7;187905,2;210795,8;218957,1;218292,7;225231,7
Калужская область;16093,9;22228,5;30156,3;37978,8;49728,2;62187,7;78727,0;100650,7;125075,5;134503,1;155002,5;184434,4;209164,6;225898,8;246784,5;258896,5;269960,4;282346,2
Костромская область;12745,5;16002,8;20589,1;23023,5;29068,2;34026,4;43030,6;54087,5;65260,3;69507,4;83076,0;95352,1;103012,5;113767,4;123544,2;137106,4;145125,7;149348,8
Курская область;19990,7;26363,0;32757,5;39111,6;49946,6;63027,2;81878,6;101896,4;128334,1;138731,1;153949,6;183329,4;206050,1;226342,8;248698,6;272250,5;283264,6;297148,1
Липецкая область;24154,8;29720,5;36064,2;42602,9;55055,5;69217,3;86877,3;107583,3;139479,1;152988,3;173204,8;211493,3;236364,1;263848,8;293146,1;321325,6;336351,5;352732,3
Московская область;134644,8;184857,1;238913,9;304543,7;423301,1;558816,7;748780,6;1000506,6;1304500,1;1330771,9;1520009,3;1800867,9;1999009,3;2088209,8;2372098,0;2549966,0;2794200,9;3042301,9
Орловская область;14634,4;19258,5;25635,5;29076,6;35604,8;44709,3;50750,9;63223,9;81582,0;86813,6;98537,4;115228,7;127514,9;142065,3;153891,8;171828,8;176418,0;184419,1
Рязанская область;19158,1;24883,7;34052,6;39484,8;49638,4;61501,1;74344,3;96509,2;127037,1;137632,5;152393,4;174196,5;197168,1;218037,2;239251,2;255133,7;258806,8;274925,2
Смоленская область;22112,0;28386,6;34398,1;41107,0;48690,4;60608,2;73930,1;88698,9;112122,2;123859,0;142221,6;160545,8;176754,8;193809,1;211423,5;226456,8;225309,9;231427,7
Тамбовская область;21301,1;26188,5;32001,3;37034,1;47771,6;60665,7;74815,9;95238,5;124092,0;133081,1;145344,7;170189,0;190168,8;213816,8;240066,8;258828,8;271134,7;279885,6
Тверская область;23569,1;31268,7;39507,9;47754,3;66775,0;91698,7;111430,1;129716,3;161550,0;173973,2;191082,4;218434,5;245309,3;267707,8;292715,6;308937,5;315416,4;320995,0
Тульская область;25202,5;32952,4;42469,2;51369,7;65906,6;83269,0;103645,1;136125,9;178013,1;195193,8;224102,0;255303,8;282567,9;309323,8;341200,3;370989,6;387105,3;411065,5
Ярославская область;24379,6;31777,4;42238,2;47384,2;56892,1;74029,2;99350,9;126132,2;151016,1;156966,1;172642,5;207433,8;233431,5;260592,1;291811,3;312915,9;320898,0;346465,1
г. Москва;946341,7;1221917,8;1472864,1;1752009,8;2016012,7;2415254,4;2849037,2;3380021,7;4023648,7;4244832,2;4683655,6;5503934,0;6077499,8;6625459,0;7209927,8;7330677,4;7587982,1;7989566,9
Северо-Западный    федеральный округ;340705,3;453137,2;582816,0;696990,6;896483,4;1162009,8;1435309,6;1776363,8;2216400,3;2361096,9;2644646,4;3042530,3;3393650,2;3704242,0;4028516,6;4361680,5;4632397,8;4914327,1
Республика Карелия;15931,5;20344,2;27632,9;32030,1;39694,2;47626,0;60077,1;69038,7;84407,6;90548,3;101399,6;120011,9;134191,6;147473,8;159583,4;170138,8;175810,8;182743,3
Республика Коми;28946,2;44359,9;55065,5;66583,4;83437,7;100510,8;122074,2;145095,6;169094,9;174526,5;176324,3;203934,8;224542,8;242042,1;256960,9;253030,9;248152,1;253523,2
Архангельская область;28474,7;40250,9;50545,0;60910,7;76095,3;94334,2;113947,0;141902,9;178651,5;194977,8;213399,4;255464,0;276402,2;309049,9;343879,4;374024,4;387679,3;406441,5
в том числе: ;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;1197,2;1810,4;2359,2;2936,7;3568,5;4460,2;5865,7;7613,3;8828,4;9921,3;10980,1;12854,6;15086,5;16767,4;18793,0;20270,9;20812,1;20892,4
Архангельская область без     автономного округа;;;;;;;;;;;;242609,4;261315,7;292282,5;325086,4;353753,5;366867,2;385549,1
Вологодская область;26342,0;33886,4;41732,8;48631,1;59597,0;72527,3;90341,4;109462,2;132592,8;132028,0;153418,9;173434,4;203806,9;217250,8;236338,8;249738,0;253040,5;266037,5
Калининградская область;20494,9;23461,3;31425,1;36443,0;44265,7;57260,6;75678,9;97597,1;122596,7;136642,9;147545,4;166368,1;180555,7;193176,8;215454,9;233895,9;249020,0;261668,9
Ленинградская область;26652,0;36607,0;46236,2;54662,3;77186,9;105319,6;130650,0;160601,8;193687,0;220321,6;258934,8;322392,9;356313,0;385930,1;421099,4;470620,1;522531,6;555868,8
Мурманская область;29473,5;37330,5;48027,8;57290,5;67931,1;84392,2;100420,5;120867,3;150962,6;165618,2;177717,9;197937,5;219849,9;242741,6;261312,8;268873,2;275106,7;288148,4
Новгородская область;14334,1;17652,3;22287,1;25638,9;31290,1;38113,3;47966,9;59423,5;78430,4;87274,1;96443,9;117338,6;129246,8;143265,9;157188,1;169804,6;174144,4;177140,7
Псковская область;12839,2;16662,9;24404,3;29436,1;37755,6;44729,9;55346,3;60986,6;77460,1;81929,9;88888,5;104558,5;114718,1;124813,0;136698,8;144788,0;144129,8;151703,6
г. Санкт-Петербург;137217,2;182581,8;235459,3;285364,5;379229,8;517195,9;638807,3;811388,1;1028516,7;1077229,6;1230573,7;1381089,6;1554023,2;1698498,0;1840000,1;2026766,6;2202782,6;2371051,2
Южный         федеральный округ;254913,3;349593,1;455319,4;549492,0;697450,6;882605,1;1103711,8;1448695,1;1843658,1;1959803,0;2243101,4;2605421,0;2963953,6;3263262,2;3620921,3;4344068,5;4544213,6;4744513,5
Республика Адыгея;6893,2;8314,8;9965,1;11399,0;14730,9;18567,5;22021,4;27428,5;39175,0;47704,8;53922,3;65525,1;80292,5;93769,9;102146,9;103382,0;111249,7;120333,9
Республика Калмыкия;2863,2;3931,5;4973,5;4934,8;7567,2;9646,5;13789,9;15660,7;18683,3;20528,5;22750,0;29335,4;33325,2;36005,8;38699,6;40051,5;39243,2;41208,6
Республика Крым;;;;;;;;;;;;;;;…;353411,3;363453,9;379507,0
Краснодарский край;100672,7;134316,2;173933,8;212288,6;272047,5;343880,1;435884,2;587813,4;744380,8;819567,9;956815,1;1105920,8;1283172,5;1413194,4;1603377,4;1750872,3;1869013,2;1955921,5
Астраханская область;17227,6;23167,5;29956,0;35601,5;43399,2;55523,8;70561,9;89340,5;116861,0;130624,7;151570,4;173948,2;197586,3;218674,6;239794,4;252157,0;242061,4;245144,1
Волгоградская область;41628,3;65856,3;86150,6;103809,5;127539,6;160748,3;196155,2;254583,2;313480,4;343650,1;378828,3;423494,0;459369,7;494151,5;528701,4;565046,4;572325,6;595502,7
Ростовская область;85628,3;114006,8;150340,4;181458,6;232166,2;294238,9;365299,2;473868,8;611077,6;597727,0;679215,3;807197,5;910207,4;1007466,0;1108201,6;1210244,3;1242245,6;1297608,4
г. Севастополь;;;;;;;;;;;;;;;…;68903,7;104621,0;109287,3
