Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;
9.4. ФАКТИЧЕСКОЕ КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ НА ТЕРРИТОРИИ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ ;;;;;;;;;;;;;;;;;;
9.4.2. Расходы домашних хозяйств;;;;;;;;;;;;;;;;;;
"(в текущих рыночных ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Фактическое конечное потребление домашних хозяйств на территории субъектов Российской Федерации - всего;3166855,9;4164395,4;5207172,9;6310644,2;7810479,3;9776227,7;12180962,3;15071814,7;18900079,7;19803295,2;22294231,5;25975398,2;29072515,0;31902605,3;34787361,6;37053286,8;38399345,8;40366684,1
Центральный    федеральный округ;1304547,7;1688891,8;2046916,2;2450647,2;2943236,4;3559457,9;4319700,4;5205704,1;6379533,5;6667979,3;7578542,1;8935931,4;9982921,9;10838508,0;11994586,0;12593373,1;13195741,6;13974792,6
Белгородская область;25314,1;29085,2;32168,3;38722,7;49209,3;60383,8;80444,7;107199,7;142219,5;156969,0;181504,4;212893,8;246120,7;281550,1;314467,2;341428,0;366309,1;386112,7
Брянская область;16559,4;21882,6;29678,7;36083,3;46511,8;56477,6;69629,2;89339,0;116365,4;128533,3;150465,7;175693,5;191429,3;213583,4;239250,5;264377,2;267752,9;285385,0
Владимирская область;17365,2;21571,6;25912,2;33167,8;41059,5;50559,1;66715,3;91085,5;116304,6;122260,4;142994,5;171306,2;203392,5;226271,8;249594,5;266640,8;276007,9;288079,3
Воронежская область;37192,4;50997,1;60378,3;70251,0;89870,2;113466,8;135168,0;165155,4;207158,4;233108,1;287264,2;378948,4;448874,6;510219,1;569941,9;628005,3;665908,1;703424,0
Ивановская область;11536,3;14870,5;16745,7;21195,3;26790,5;33146,1;42951,7;55177,8;77601,0;80335,9;96325,1;118857,1;146193,7;159640,7;180680,0;188250,6;186203,4;192486,8
Калужская область;13669,9;18791,6;25007,6;31713,5;41472,8;51993,2;66011,2;84681,4;105838,3;113735,2;132448,5;157603,7;176879,8;192033,7;210520,1;222265,0;232275,6;243718,0
Костромская область;10946,6;13597,0;16908,5;18850,4;23944,6;27603,1;35507,4;44470,0;54288,3;57069,8;69497,0;79462,8;85934,6;93687,1;101947,9;115384,4;122963,8;126943,3
Курская область;17659,4;23193,8;27738,1;33708,5;42534,3;53178,9;70514,6;87671,2;109759,4;119107,2;133129,9;157177,5;176612,8;193989,2;214679,3;236956,2;246682,3;258416,6
Липецкая область;20422,9;24766,1;30038,9;34981,8;45420,1;56033,2;70726,5;89161,1;118350,8;131526,9;151274,7;185351,1;207578,0;232399,9;258503,6;285686,5;299152,0;314073,7
Московская область;117927,2;157919,8;201209,3;257496,4;361593,7;470040,3;634954,5;848186,4;1111775,3;1130314,5;1308247,8;1554992,3;1726656,1;1794173,7;2041362,4;2206988,2;2432497,1;2645299,5
Орловская область;12636,9;16210,0;21541,0;24142,1;29627,3;36569,8;41249,0;51335,3;66420,7;70340,2;82313,6;96798,8;105220,6;116544,8;127223,5;145297,2;148501,9;154707,0
Рязанская область;16687,9;21422,5;28799,4;33243,3;42121,0;50656,6;61959,6;80784,2;107999,0;116275,1;130317,6;148150,9;166251,7;182700,5;202339,0;217433,1;219732,8;233072,7
Смоленская область;19420,8;24675,0;29271,4;35399,4;41494,1;52128,6;63323,6;75879,4;94790,6;104738,5;122394,5;136644,0;149324,1;164122,8;180574,5;195235,6;192955,0;197285,3
Тамбовская область;18973,7;22927,0;26986,1;31367,1;40609,8;51501,1;63665,3;81249,8;107722,6;115337,3;127563,0;148161,4;166347,1;187862,0;210475,2;227715,1;238942,8;246333,5
Тверская область;20315,9;26517,2;32846,4;40040,1;56324,4;78835,9;95483,3;109784,1;137562,6;146090,5;162472,4;183334,7;206548,9;225520,8;250723,4;264498,2;269454,8;273336,7
Тульская область;21649,4;27623,7;34711,4;42519,7;55041,2;67773,5;85670,5;113451,1;150908,5;164699,5;192493,2;221296,4;243381,5;266979,7;293894,1;321232,7;336311,3;356299,6
Ярославская область;20588,7;26387,6;34143,9;38385,6;45677,9;58715,8;81794,4;103989,4;125869,3;128514,4;142516,2;171602,0;192277,6;215344,1;240643,8;261759,5;268636,2;290503,6
г. Москва;885681,0;1146453,5;1372831,0;1629379,2;1863933,9;2190394,5;2553931,6;2927103,3;3428599,2;3549023,5;3965319,8;4637656,8;5143898,3;5581884,6;6107765,1;6204219,5;6425454,6;6779315,3
Северо-Западный    федеральный округ;288551,3;382170,3;483403,5;579615,4;745409,5;951511,7;1173923,8;1444542,9;1805119,0;1917213,6;2172220,0;2483130,7;2765384,5;2998771,8;3278218,9;3571874,5;3789271,3;4015648,3
Республика Карелия;12936,8;16552,9;21877,9;25643,8;31513,3;37791,6;47307,2;55036,9;65740,3;70127,9;79656,8;94313,1;105338,5;115618,8;127322,0;136392,1;140820,1;147326,2
Республика Коми;23814,6;37244,2;44721,5;55171,4;69002,9;84803,7;102504,9;122504,7;142675,9;143370,3;145950,6;164217,2;179547,9;190373,7;203351,8;197689,6;192723,1;198293,4
Архангельская область;23267,6;32964,2;40079,7;48412,0;60694,9;74080,1;90615,9;113017,3;143118,3;156904,9;172953,2;206537,1;221370,8;248104,1;279282,0;307081,1;319523,6;335723,4
в том числе: ;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;682,9;1021,4;1323,0;1723,7;2030,1;2632,7;3392,3;4362,3;5394,4;6226,1;6759,4;8066,1;9330,7;10327,6;11637,8;12395,6;13348,3;13431,9
Архангельская область без     автономного округа;;;;;;;;;;;;198471,0;212040,1;237776,5;267644,2;294685,5;306175,3;322291,5
Вологодская область;20972,3;27338,6;33315,0;38737,9;46499,5;55020,6;69576,8;83976,5;101650,5;102559,9;123366,6;140698,1;167530,3;179131,7;196737,5;209039,4;214098,9;223883,6
Калининградская область;18154,7;20140,3;26874,1;31157,9;37671,6;47374,2;62961,6;80497,5;102580,4;116007,8;126463,3;141629,0;152699,9;163738,4;183553,8;200190,3;213529,5;225908,6
Ленинградская область;22343,8;30433,7;38247,3;44659,9;63347,7;86815,8;107710,9;133161,2;159024,5;182790,7;220445,3;276571,4;305568,0;333096,6;362665,8;405370,0;452524,3;479892,1
Мурманская область;24736,5;31193,0;38449,0;46051,6;54078,4;67620,2;80312,8;96237,7;120251,7;131952,4;143489,5;157746,2;174432,8;191398,7;207998,8;215365,2;218906,2;229560,6
Новгородская область;12325,5;15226,1;18866,3;21506,9;26142,2;31018,0;39384,3;49161,4;65347,4;74070,3;81607,7;98394,2;108336,9;119869,2;134093,2;146841,8;150117,0;152887,2
Псковская область;10986,4;14218,4;20683,8;25223,0;32526,8;38406,7;47405,2;51202,9;64599,9;67762,5;74283,8;86817,1;95476,6;103824,5;115351,8;125145,5;124814,3;132019,0
г. Санкт-Петербург;119013,1;156858,9;200288,9;243051,0;323932,2;428580,8;526144,2;659746,8;840130,1;871666,9;1004003,2;1116207,3;1255082,8;1353616,1;1467862,2;1628759,5;1762214,3;1890154,2
Южный         федеральный округ;226209,7;309370,8;397478,1;482260,0;612946,3;771021,8;963463,6;1266263,6;1618805,3;1700157,7;1973404,1;2294609,4;2598565,3;2859670,7;3186830,0;3830821,6;4010256,4;4195665,7
Республика Адыгея;5953,4;7011,2;7747,2;9152,4;11874,5;14950,8;17533,5;21858,3;32542,1;40046,8;45817,8;56103,5;69853,7;81781,2;89203,1;89937,3;97629,5;105977,6
Республика Калмыкия;2040,5;2820,0;3219,9;2945,1;4986,8;7082,5;10736,6;11533,2;13805,5;15314,9;17408,3;23201,2;26292,3;28312,6;30274,7;31428,3;30510,6;31444,0
Республика Крым;;;;;;;;;;;;;;;…;301743,3;307572,4;320601,8
Краснодарский край;89773,3;118923,4;152563,1;187768,2;239959,0;301336,9;383834,7;518705,6;655989,9;718858,1;849035,9;983687,4;1125893,1;1237914,0;1422716,6;1555891,2;1661784,4;1743431,6
Астраханская область;14798,1;20097,2;24763,8;29864,8;36814,3;46878,2;59648,4;76638,4;100607,2;111062,5;130862,3;151295,8;171310,6;189513,4;208086,1;220223,0;210807,7;213909,0
Волгоградская область;35970,1;58231,6;76063,2;91794,4;113098,8;140861,6;170831,4;221646,9;274127,8;298421,8;331877,4;367734,7;399097,4;430133,7;454996,8;491782,4;497979,3;520910,7
Ростовская область;77674,3;102287,4;133120,9;160735,1;206212,9;259911,8;320879,0;415881,2;541732,8;516453,6;598402,4;712586,8;806118,2;892015,8;981552,7;1080352,9;1113898,1;1160965,6
г. Севастополь;;;;;;;;;;;;;;;…;59463,2;90074,4;98425,4
Северо-Кавказский     федеральный округ;87051,6;113433,6;145298,3;188552,5;253258,0;356678,3;448693,1;579420,2;766018,8;907352,1;1059489,8;1241885,1;1433007,3;1588838,9;1736874,7;1960631,3;1969839,7;2081981,0
Республика Дагестан;16451,5;22269,7;31548,4;49178,4;74955,7;113544,1;152796,9;201124,0;289602,5;355037,6;410112,7;457678,3;517850,2;581236,1;635403,8;781869,8;794991,7;842436,2
Республика Ингушетия ;1704,9;3200,9;3218,7;3255,6;4076,6;5002,6;8232,6;10776,0;13206,2;15139,8;15770,4;22017,3;25145,1;28233,4;30136,1;31739,0;31688,5;34498,0
Кабардино-Балкарская     Республика;11191,8;14321,0;18104,9;22769,0;27681,4;37144,1;42167,2;51579,3;64934,3;74080,0;82552,4;96458,9;105565,5;115627,2;126974,0;142743,9;143594,6;152387,0
Карачаево-Черкесская     Республика;5218,0;6231,7;8195,9;10267,2;12849,4;17151,8;22791,0;25655,7;30581,3;35120,6;38866,9;42838,3;45125,5;47391,3;50061,7;51298,3;51586,5;52002,8
Республика Северная    Осетия - Алания;9514,5;12519,4;14536,5;16868,6;21692,8;27843,8;36300,3;44444,6;59165,8;67356,1;78922,3;95478,0;105517,9;113700,0;120767,6;130788,9;137604,9;142718,6
Чеченская Республика ;…;…;…;…;…;10939,1;10382,8;25313,4;37079,9;58099,5;74878,7;97341,4;117209,3;144179,0;173841,1;206212,9;213215,0;226816,2
Ставропольский край;42970,9;54890,9;69693,9;86213,7;112002,1;145052,8;176022,3;220527,2;271448,8;302518,5;358386,4;430072,9;516593,8;558471,9;599690,4;615978,5;597158,5;631122,2
Приволжский федеральный округ;532233,0;691565,4;874852,8;1049012,3;1320913,3;1677562,0;2128244,3;2693330,1;3454330,4;3627761,1;4051803,9;4700002,1;5231619,1;5823790,6;6329486,4;6451605,7;6591547,8;6885801,4
Республика Башкортостан;69506,4;94653,0;123267,6;151846,3;196785,6;256119,7;339507,2;436116,4;572882,3;604981,9;660294,9;759184,1;831156,1;932190,9;998928,4;1024972,0;1038998,3;1086526,2
Республика Марий Эл;8527,9;11208,7;12815,8;15436,1;19752,2;23907,7;31955,2;41266,3;53015,0;58687,1;65024,2;73482,9;80478,3;90827,6;100921,4;107772,1;108067,9;111273,7
Республика Мордовия;11014,5;12775,4;14773,5;17200,8;22453,5;27998,3;34548,0;42348,6;56975,0;64563,1;71487,2;76370,3;79905,6;88642,2;96050,5;103559,4;110155,5;116049,3
Республика Татарстан;60946,9;86407,5;110032,0;138813,1;176892,6;236519,7;309452,7;402771,7;522484,3;562107,8;644337,7;770879,6;894062,4;978251,7;1042870,2;1049662,6;1094971,8;1152626,3
Удмуртская Республика;22535,6;29238,3;35124,1;40310,8;48237,6;59613,7;76240,6;95794,7;130444,0;141779,7;164452,2;193015,5;216684,0;240508,9;264644,1;276072,2;281919,3;293954,0
