;Социально-экономические показатели по субъектам Российской Федерации 
;4. ОБРАЗОВАНИЕ
4.1.;Организации, осуществляющие образовательную деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми  и численность воспитанников в них
4.1.1.;Число организаций
4.1.2.;Численность воспитанников
4.2.;Валовой коэффициент охвата дошкольным образованием
4.3.;Обеспеченность детей дошкольного возраста местами в организациях, осуществляющих образовательную деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми
4.4.;Число организаций, осуществляющих образовательную деятельность по образовательным программам начального, основного и среднего общего образования
4.5.;Численность учителей организаций, осуществляющих образовательную деятельность по образовательным программам начального, основного и среднего общего образования
4.6.;Численность обучающихся в организациях, осуществляющих образовательную деятельность по образовательным программам начального, основного и среднего общего образования
4.7.;Удельный вес обучающихся во вторую и третью смены в организациях, осуществляющих образовательную деятельность по образовательным программам начального, основного и среднего общего образования
4.8.;Выпуск обучающихся организациями, осуществляющих образовательную деятельность по образовательным программам начального, основного и среднего общего образования
4.8.1.;Выпуск обучающихся с аттестатом об основном общем образовании
4.8.2.;Выпуск обучающихся с аттестатом о среднем общем образовании
4.9.;Число профессиональных образовательных организаций, осуществляющих подготовку квалифицированных рабочих, служащих в 2000-2015 гг.
4.10.;Число образовательных организаций, осуществляющих образовательную деятельность по образовательным программам среднего профессионального образования 
4.11.;Число филиалов образовательных организаций, осуществляющих образовательную деятельность по образовательным программам среднего профессионального образования
4.12.;Преподаватели и мастера производственного обучения,  реализующие программы подготовки квалифицированных рабочих, служащих
4.12.1.;Численность преподавателей
4.12.2.;Численность мастеров производственного обучения
4.13.;Преподаватели и мастера производственного обучения, реализующие программы подготовки специалистов среднего звена
4.13.1.;Численность преподавателей
4.13.2.;Численность мастеров производственного обучения
4.14.;Численность студентов, обучающихся по программам подготовки квалифицированных рабочих, служащих
4.15.;Прием на обучение по программам подготовки квалифицированных рабочих, служащих
4.16.;Выпуск квалифицированных рабочих и служащих
4.17.;Численность студентов, обучающихся по программам подготовки специалистов среднего звена
4.18.;Численность студентов государственных и муниципальных профессиональных образовательных организаций, обучающихся по программам подготовки специалистов среднего звена на 10 000 человек населения
4.19.;Прием на обучение по программам подготовки специалистов среднего звена
4.20.;Выпуск специалистов   среднего звена
4.21.;Число образовательных организаций высшего образования и научных организаций, осуществляющих образовательную деятельность по программам бакалавриата, специалитета, магистратуры
4.22.;Число филиалов образовательных организаций высшего образования
4.23.;Численность профессорско-преподавательского персонала , осуществляющего образовательную деятельность по программам высшего образования
4.24.;Численность студентов, обучающихся по программам бакалавриата, специалитета, магистратуры
4.25.;Численность студентов, обучающихся по программам бакалавриата, специалитета, магистратуры на 10 000 человек населения
4.26.;Прием на обучение по программам бакалавриата, специалитета, магистратуры
4.27.;Выпуск бакалавров, специалистов, магистров
4.28.;Организации, ведущие подготовку аспирантов
4.28.1.;Число организаций
4.28.2.;Численность аспирантов
4.29.;Организации, ведущие подготовку докторантов
4.29.1.;Число организаций
4.29.2.;Численность докторантов
