RU-AMU;Амурская область;
RU-ARK;Архангельская область;
RU-AST;Астраханская область;
RU-BEL;Белгородская область;
RU-BRY;Брянская область;
RU-VLA;Владимирская область;
RU-VGG;Волгоградская область;
RU-VLG;Вологодская область;
RU-VOR;Воронежская область;
RU-IVA;Ивановская область;
RU-IRK;Иркутская область;
RU-KGD;Калининградская область;
RU-KLU;Калужская область;
RU-KEM;Кемеровская область;
RU-KIR;Кировская область;
RU-KOS;Костромская область;
RU-KGN;Курганская область;
RU-KRS;Курская область;
RU-LEN;Ленинградская область;
RU-LIP;Липецкая область;
RU-MAG;Магаданская область;
RU-MOS;Московская область;
RU-MUR;Мурманская область;
RU-NIZ;Нижегородская область;
RU-NGR;Новгородская область;
RU-NVS;Новосибирская область;
RU-OMS;Омская область;
RU-ORE;Оренбургская область;
RU-ORL;Орловская область;
RU-PNZ;Пензенская область;
RU-PSK;Псковская область;
RU-ROS;Ростовская область;
RU-RYA;Рязанская область;
RU-SAM;Самарская область;
RU-SAR;Саратовская область;
RU-SAK;Сахалинская область;
RU-SVE;Свердловская область;
RU-SMO;Смоленская область;
RU-TAM;Тамбовская область;
RU-TVE;Тверская область;
RU-TOM;Томская область;
RU-TUL;Тульская область;
RU-TYU;Тюменская область;
RU-ULY;Ульяновская область;
RU-CHE;Челябинская область;
RU-YAR;Ярославская область;
RU-AD;Республика Адыгея;
RU-BA;Республика Башкортостан;
RU-BU;Республика Бурятия;
RU-DA;Республика Дагестан;
RU-IN;Республика Ингушетия;
RU-KB;Кабардино-Балкарская Республика;
RU-KL;Республика Калмыкия;
RU-KC;Карачаево-Черкесская Республика;
RU-KR;Республика Карелия;
RU-ME;Республика Марий Эл;
RU-MO;Республика Мордовия;
RU-AL;Республика Алтай;
RU-KO;Республика Коми;
RU-SA;Республика Саха (Якутия);
RU-SE;Республика Северная Осетия - Алания;
RU-TA;Республика Татарстан;
RU-TY;Республика Тыва;
RU-UD;Удмуртская Республика;
RU-KK;Республика Хакасия;
RU-CE;Чеченская Республика;
RU-CU;Чувашская Республика;
RU-ALT;Алтайский край;
RU-ZAB;Забайкальский край;
RU-KAM;Камчатский край;
RU-KDA;Краснодарский край;
RU-KYA;Красноярский край;
RU-PER;Пермский край;
RU-PRI;Приморский край;
RU-STA;Ставропольский край;
RU-KHA;Хабаровский край;
RU-NEN;Ненецкий автономный округ;
RU-KHM;Ханты-Мансийский автономный округ - Югра;
RU-CHU;Чукотский автономный округ;
RU-YAN;Ямало-Ненецкий автономный округ;
RU-SPE;г. Санкт-Петербург;
RU-MOW;г. Москва;
RU-YEV;Еврейская автономная область;
RU-FOCE;Центральный федеральный округ;
RU-FOYU;Южный федеральный округ;
RU-FOSZ;Северо-Западный федеральный округ;
RU-FODV;Дальневосточный федеральный округ;
RU-FOSI;Сибирский федеральный округ;
RU-FOUR;Уральский федеральный округ;
RU-FOPV;Приволжский федеральный округ;
RU-FOSK;Северо-Кавказский федеральный округ;
AU;Австралия;
AT;Австрия;
AZ;Азербайджан;
AX;Аландские острова;
AL;Албания;
DZ;Алжир;
VI;Американские Виргинские острова;
AS;Американское Самоа;
AI;Ангилья;
AO;Ангола;
AD;Андорра;
AQ;Антарктида;
AG;Антигуа и Барбуда;
AR;Аргентина;
AM;Армения;
AW;Аруба;
AF;Афганистан;
BS;Багамы;
BD;Бангладеш;
BB;Барбадос;
BH;Бахрейн;
BZ;Белиз;
BY;Белоруссия;
BE;Бельгия;
BJ;Бенин;
BM;Бермуды;
BG;Болгария;
BO;Боливия;
BQ;Бонэйр, Синт-Эстатиус и Саба;
BA;Босния и Герцеговина;
BW;Ботсвана;
BR;Бразилия;
IO;Британская территория в Индийском океане;
VG;Британские Виргинские острова;
BN;Бруней;
BF;Буркина-Фасо;
BI;Бурунди;
BT;Бутан;
VU;Вануату;
VA;Ватикан;
GB;Великобритания;
HU;Венгрия;
VE;Венесуэла;
UM;Внешние малые острова (США);
TL;Восточный Тимор;
VN;Вьетнам;
GA;Габон;
HT;Гаити;
GY;Гайана;
GM;Гамбия;
GH;Гана;
GP;Гваделупа;
GT;Гватемала;
GF;Гвиана;
GN;Гвинея;
GW;Гвинея-Бисау;
DE;Германия;
GG;Гернси;
GI;Гибралтар;
HN;Гондурас;
HK;Гонконг;
GD;Гренада;
GL;Гренландия;
GR;Греция;
GE;Грузия;
GU;Гуам;
DK;Дания;
