;2000;2005;2006;2007;2008;2009;2010;2011;2012
RU;43,5;44,1;44,4;43,8;43,6;44,3;45,7;46,3;45,9
RU-FOCE;42,5;35,8;36,3;35;35,8;38;38,1;39,3;39
RU-BEL;41,3;39,3;39,2;35,4;32;33,5;36,6;39,9;41,9
RU-BRY;47,3;42,8;40,6;43,9;40,8;46,3;46,7;44,6;46
RU-VLA;43,7;40,6;40,7;39,8;40,5;41,5;41,7;42,4;43,2
RU-VOR;49;47;48,1;46,8;45,6;44,9;45,4;44,5;44,7
RU-IVA;43,3;44,9;44,2;44,6;45,2;46;46;39,1;39,3
RU-KLU;40,4;40,5;41,8;43,2;41,2;38,4;34;36,7;39,1
RU-KOS;49,5;41,8;29,5;31,5;30,2;35;37,9;41,5;45,3
RU-KRS;49,9;48,9;48,6;48,7;47,8;46,9;48,8;49,1;49,1
RU-LIP;47;43;44,1;44,2;43,2;46;48,6;50,3;51,2
RU-MOS;36,9;39,6;40,1;37,1;36,6;38,6;37,7;39,2;39,7
RU-ORL;41,3;41;41,4;43,6;40,3;42,5;43,9;46,2;46,1
RU-RYA;47,7;47,5;43,3;43,4;44,2;46,7;49,4;50,4;51,9
RU-SMO;45;39,2;40,3;41;40,7;43,1;45,4;42,5;44,6
RU-TAM;47,6;55,6;55,4;53,6;54,6;54,9;56,7;57,5;55,9
RU-TVE;47,6;38;36,1;37,5;37,3;38,4;41,4;44,2;38,7
RU-TUL;47,2;49,1;47,1;47;46,9;46,8;45,8;45,9;44,5
RU-YAR;53,9;46,1;45,1;45,3;45;46,9;48,3;46;47,8
RU-MOW;40,9;28,5;30;28,1;30,3;33,2;33;35;33,7
RU-FOSZ;43;41,5;40,1;39,8;38,4;39,5;41,7;40,8;38,7
RU-KR;40,7;26;26;28,7;29,3;32,4;35,2;37,9;41,5
RU-KO;37,6;49,4;49,4;48,1;48,7;49,6;54,6;55,3;44,2
RU-ARK;51,1;44;41,9;39,6;30,4;31,6;36,1;38,4;38,4
RU-NEN;39,8;38,3;27,2;27,5;13,5;17,1;26,1;31,1;33
RU-VLG;42,2;50,1;46,1;42,7;42;43,8;46,1;47,1;40,9
RU-KGD;44,5;31,5;32,6;33,6;31,1;31,8;33,1;30,3;31,5
RU-LEN;40,9;36,3;34,4;35,9;36;36,1;36,5;33,7;32,6
RU-MUR;41,8;42,9;41,2;42,4;38,7;39,6;42,7;42,8;37
RU-NGR;49;40,2;38,6;39,3;39,2;40,9;43,3;45,3;42,4
RU-PSK;42,1;37,9;40;40,9;37,1;38,7;41;39,2;39,9
RU-SPE;44,3;39,8;37,3;38,3;38,1;39,4;40;37,6;39,2
RU-FOYU;46,7;40,6;41,7;41,8;40,6;41,7;42;43;42,6
RU-AD;49,8;50;56,1;56,1;47,5;46,5;45,6;46,5;43,6
RU-KL;36,9;35,3;38,6;38,1;37,9;38,6;42,3;44,9;48,2
RU-KDA;44,5;33,7;34,6;36;37,3;39,1;40,2;40;38
RU-AST;43,7;44,5;51;51,5;52,5;51,3;46,3;47,5;47,5
RU-VGG;49,7;52,6;50,1;49,6;44,8;46,4;49,6;51,1;51,3
RU-ROS;48,4;40,8;40,3;39,2;36;37,3;36,6;38,4;40,6
RU-FOSK;42,1;45,3;45,2;44,9;43,1;45,4;46,1;46,2;47,6
RU-DA;38,8;39,1;42,1;41,2;32,1;34,3;37,2;36,9;39,7
RU-IN;51,2;50,6;53,5;52,5;56,1;59,9;59,5;61,4;54,2
RU-KB;34,7;36,3;32,4;36,4;36,6;38,6;31,7;34,3;35,1
RU-KC;41,9;42,5;38,6;30,6;27,8;29,4;35,1;33,5;35,6
RU-SE;41,6;46,1;43,5;44,3;47,7;41,2;40;40,6;42,4
RU-CE;-;-;47,6;51,9;50,6;63,2;60,4;56,2;53,1
RU-STA;45,2;49;47,9;46,4;46,5;47,7;49,7;49,8;51,7
RU-FOPV;46,6;49,4;50,2;49,5;49,5;50,5;52,1;52,7;53,1
RU-BA;44,4;46,2;43,7;43,5;43,9;45,9;48,7;51;52,1
RU-ME;38,7;58,1;58,5;58,4;59,7;60;60,4;60,3;60,6
RU-MO;44,9;54,4;55,7;54;54,8;60;59,7;57,2;57,3
RU-TA;40,7;42,6;45;43,8;42,6;43,1;44,5;42,3;43,7
RU-UD;47;52,9;54,4;53;54,8;55,8;58,4;60,8;61
RU-CU;42,8;47,9;46,6;47;47,8;48,6;51,7;54,4;54,6
RU-PER;50,2;51,4;52;53,1;54,1;55,8;58,1;59,2;59,6
RU-KIR;50,4;44,9;44,3;43,1;42,2;45,1;48,2;51,1;51,3
RU-NIZ;44;47,6;48,2;48,6;49,5;48,9;49,2;50,1;50,2
RU-ORE;48,3;59,2;59,4;58;57,5;56,2;57,7;58,2;56,9
RU-PNZ;50,6;52,7;54,8;53,1;50,8;52,6;55,1;55,1;53,2
RU-SAM;56,3;52,8;53,7;51,2;50,7;51,7;52;52,8;53,7
RU-SAR;46,1;47;48,9;47,3;46,9;48,8;50,6;52,8;54
RU-ULY;39,1;46;45,9;45,8;44,9;45,6;45,4;46,2;46,6
RU-FOUR;42,4;52,4;53,5;53,7;54,1;55,3;57,1;57,7;57,5
RU-KGN;46,9;50,5;47,5;50;52,4;55,5;60,5;62,8;63,2
RU-SVE;47,6;51,7;52,9;53,1;53,3;53,3;54,6;54,8;55,2
RU-TYU;38;53;54,3;54,5;55;56,4;58,4;59;58,7
RU-KHM;38,5;55,2;57,5;57,3;56,8;58,5;60,6;61,9;62,8
RU-YAN;33,7;50,7;51,9;52,4;54,1;55,4;57;56,9;55,2
RU-CHE;46,4;46,4;45,6;45,9;44,7;44,4;44,3;44,8;45,5
RU-FOSI;43,2;38,9;37,3;36,7;33,6;33,7;35,9;37,1;38,3
RU-AL;35,8;48,6;45,7;47;29,3;31,1;30,5;23,8;25,3
RU-BU;37,1;19,8;17,5;19,3;19;21,9;23,4;26,2;27,8
RU-TY;43,4;46,1;47,1;49,2;45,5;51,2;42,7;42,7;37,5
RU-KK;37,1;29,1;27,7;25,7;16,6;21,3;25,3;27,3;29,4
RU-ALT;45,2;44,8;45,2;41,2;32,8;33,9;36,3;37,2;38,2
RU-ZAB;45,3;25,5;25,8;26,9;26,2;29,5;31,9;32,8;30,6
RU-KYA;37,3;37,6;36,7;37,6;35,4;33,6;36,2;38,4;38,1
RU-IRK;43,1;42,9;38,9;37,7;31,4;26,3;28,4;30,5;33,6
RU-KEM;41,8;42,9;38,6;39,8;39,9;42,1;43,9;43,7;43,6
RU-NVS;53,4;38,5;39,7;39;38,6;39,9;41,3;41,3;42,8
RU-OMS;48,4;42,7;41,2;35,7;34,9;37,5;38,7;39,6;40,7
RU-TOM;46,9;43,8;44,9;43,2;38,7;42,1;45,2;46,4;48,6
RU-FODV;40;35,1;31,4;31,8;28,3;25,3;28,9;29,1;29,2
RU-SA;38,9;42,3;42,2;43,2;32,6;34,7;37,6;40,1;32,6
RU-KAM;31,4;45;39,3;36,2;41,7;42,7;42;29,3;30,3
RU-PRI;43,2;39,8;37,1;31;32,4;27,6;31,6;27;24,9
RU-KHA;42,5;34;27,5;30,5;31,1;32,3;33,5;28,7;29,4
RU-AMU;39,6;19,2;16,5;18,3;19,5;22,5;24,5;25,1;25,9
RU-MAG;40;48,9;50,4;52,5;52,1;51,1;52,3;51,9;47,6
RU-SAK;35,4;29,1;26,5;29,7;20,4;15;20,6;23,5;29
RU-YEV;41,9;21,4;16,1;17,5;22,3;24,4;30,8;34,3;22,6
RU-CHU;31,7;53,5;37,2;36,9;33,7;29,3;35,2;40,8;44,4
