;1990;2000;2005;2006;2007;2008;2009;2010;2011;2012
RU;1925;17464172;41493568;47489498;60391454;74441095;82302969;93185612;108001247;121268908
RU-FOCE;431;4358855;11481926;13199939;18409503;25151424;26832797;30674303;34970822;38981428
RU-BEL;18;154391;295272;332176;425857;507024;586006;671563;797428;921456
RU-BRY;14;123603;218523;234250;311385;327029;350832;384939;431052;468273
RU-VLA;18;135800;219803;254161;290393;328569;369170;421136;506112;550984
RU-VOR;26;235504;428766;469878;562523;674657;738634;788059;1019463;1078383
RU-IVA;13;84587;146922;160051;207383;260005;300365;350925;564135;468173
RU-KLU;12;110400;202519;219137;281488;323872;383147;449711;513811;559089
RU-KOS;9;90668;189028;209665;242020;263477;279921;295091;312406;323157
RU-KRS;16;137988;259718;290680;327734;360692;399626;435966;494722;541986
RU-LIP;17;139471;330185;364208;453206;524693;579269;635096;717970;770538
RU-MOS;63;685595;1762773;2143837;2932730;3459831;3939219;4442527;5012245;5109551
RU-ORL;11;71243;135776;154206;187520;218125;237728;258382;298079;319948
RU-RYA;15;122622;289479;346379;402878;477383;525645;577233;673713;609793
RU-SMO;16;138150;276228;309351;373569;418597;440985;477280;543205;598129
RU-TAM;14;127462;243714;269738;340731;391686;418694;467691;521673;560953
RU-TVE;19;188672;368001;429239;537076;589581;663770;729864;825225;960495
RU-TUL;23;168150;287642;335199;377757;431106;492051;562328;635993;699627
RU-YAR;19;199812;480593;535264;648365;717989;770917;821370;934472;994998
RU-MOW;108;1444737;5346984;6142520;9506888;14877108;15356818;17905142;20169118;23445895
RU-FOSZ;221;1789585;4134214;4976071;6244131;7196426;8041564;9107642;10905713;12675792
RU-KR;13;103488;214925;243546;296563;323513;347961;393841;408974;443696
RU-KO;24;227521;578010;727893;843245;994739;1084970;1245540;1365693;1717183
RU-ARK;21;222595;452384;541730;684202;846044;968119;1068113;1161604;1259415
RU-NEN;…;17761;56407;76978;103611;214738;271344;317535;347152;409702
RU-VLG;21;162550;400094;478439;674525;723043;757254;828642;1018443;1144210
RU-KGD;11;80300;178685;195805;251225;303919;346298;398091;447257;506873
RU-LEN;26;238689;546302;611268;803905;917978;1046094;1210457;1506817;1919269
RU-MUR;22;154603;344444;406705;538057;623548;684809;799454;1163343;1298653
RU-NGR;10;71251;162501;186183;223291;247086;263359;284453;316982;364604
RU-PSK;10;80780;144880;164095;188943;211020;228645;243124;272812;294598
RU-SPE;63;447808;1111989;1420407;1740175;2005536;2314055;2635927;3243788;3727291
RU-FOYU;203;1256163;2752590;3001054;3813016;4526183;5062626;5706003;6548818;7222089
RU-AD;...;49258;51313;58091;74408;93766;101212;109480;118216;136241
RU-KL;4;24220;58485;61232;98472;106663;114144;119600;113426;113022
RU-KDA;46;516894;1079840;1114617;1385585;1645865;1870428;2139060;2471453;2821779
RU-AST;12;110982;275408;315059;367910;466376;529737;623538;747640;808160
RU-VGG;35;227818;540678;621663;879288;1047580;1115884;1200283;1346669;1462441
RU-ROS;46;326991;746866;830392;1007353;1165933;1331221;1514042;1751414;1880446
RU-FOSK;;538669;1053567;1139523;1573198;1824682;2058011;2317317;2637978;2933644
RU-DA;10;176853;312331;339844;431688;525036;610455;702603;821966;877939
RU-IN;9;5739;24538;25310;40475;38864;40638;45758;40918;49517
RU-KB;6;51765;85088;90672;105499;120959;135976;158744;185443;202099
RU-KC;...;33788;64592;68159;91481;101153;112083;116719;126319;142438
RU-SE;5;46347;96529;98675;113037;119133;151730;171315;182119;187258
RU-CE;9;…;…;…;185769;189968;207814;231128;300776;330596
RU-STA;30;224177;470489;516863;605249;729569;799315;891050;980437;1143797
RU-FOPV;402;3570321;7462180;8456510;10204265;11863782;13202934;14792989;17166375;17906759
RU-BA;50;432691;868425;974675;1153973;1326927;1485177;1604725;1703359;1799031
RU-ME;8;102150;133723;141867;170447;193250;204323;225000;264186;286499
RU-MO;10;82806;183836;204886;261867;335090;341899;353809;390900;406047
RU-TA;52;503844;1090879;1236737;1586177;1802843;2132421;2526863;3461464;3110418
RU-UD;19;184560;368307;394881;484365;553399;592068;650857;753970;817042
RU-CU;15;122892;253775;285864;372611;422064;456144;493286;561249;589437
