;2005;2006;2007;2008;2009;2010;2011;2012
RU;2999900;3797300;4828500;6198800;5926600;6537300;7644200;8064500
RU-BEL;24730,7;29485;41516,5;56852,7;55738,2;63512,8;81394,9;78056,2
RU-BRY;13453,8;17588,2;22268,2;26563,3;31385,3;32749,9;38525,2;42543,2
RU-VLA;15822,6;21514,1;29537,9;36919,2;40718,2;43195,6;47862,5;48173,8
RU-VOR;25090,4;30439,5;41297,2;55545,5;59451,3;71235,3;77324,1;87607,5
RU-IVA;13207,7;17604,5;22018,6;24786,7;28425,3;29173,4;31900;34860,4
RU-KLU;14605,3;17427,7;25679,1;32085;31142;38596,5;45348,3;50155,4
RU-KOS;8270,6;10231,7;13677,3;18139,5;18416;20767,3;22265,1;24778
RU-KRS;15163,4;16700,1;22296,2;30600;30979,8;36842,5;41966,4;45233
RU-LIP;21953,1;27933,8;30634,7;40023,9;36493,8;38557,6;42544,3;44277,5
RU-MOS;139118,3;175120;234430,4;299475,3;314274,2;333556,5;371180,2;453527,6
RU-ORL;9687,6;11181,6;14191;19373,4;19852,3;22689,9;26217,1;28419,4
RU-RYA;14180,2;17728;22393,7;29154,9;31841,1;37191,6;41130,4;45333
RU-SMO;11283,6;13620,5;17494,5;22203,3;24785,7;28446,6;33941,1;38924,5
RU-TAM;12699;15202,4;19860,6;25125,3;30799,2;32223,9;38511,7;42636,9
RU-TVE;18588,3;24273,4;32336,2;40021;45786,9;46721,8;50978,6;52665,3
RU-TUL;20735,1;23781,3;32770;42102;40517;48245;49722,8;56504,8
RU-YAR;23107,4;26447,2;34708,7;42198;52085,9;51493,4;52906,5;59287,6
RU-MOW;523277,8;757936,7;957876;1291479,1;1010681,5;1127684,1;1481778,2;1494480,1
RU-KR;13816,8;15601,9;18741,5;27036,9;25759,6;31850,9;35935,4;33150,9
RU-KO;24480,2;30067,4;34201,3;43924,6;45363,7;49551;58075,9;67085,4
RU-ARK;22450,9;27462,1;39185,7;51489,3;49264,4;60969,3;62807,3;65786,8
RU-VLG;26376,8;32671,2;39398,5;50823,5;40127,3;46174,5;50693,3;54573,9
RU-KGD;15145,1;20745,9;27634,5;37177,4;42059,2;38550,9;48581,5;49445,9
RU-LEN;28147,4;37107;48567,2;63401,1;62356,7;71342,6;82312,4;89334,9
RU-MUR;17217,5;29138,7;40636,1;47090,6;46315,2;52048,1;56599,9;53068,3
RU-NGR;11132,9;12056,5;14851,4;21741,8;23657,9;23091,2;28148,6;34580,2
RU-PSK;9164,6;11104,3;14381,7;18093,1;19824,3;22504,6;27844,5;27062,8
RU-SPE;142718,5;218098,7;281266,2;343118,5;319796,5;351609,1;405626,5;379892,1
RU-NEN;4737;7650,1;10097,3;9251,2;9463,7;11340,5;14186,7;15568,4
RU-AD;4698,7;5707,6;8048,6;10756,4;12278,2;12525,3;13398;15639,3
RU-KL;3790,8;4580,3;6526,3;8475,8;9466,5;9236,7;9451,7;11961
RU-KDA;61558,4;81017,8;106475,7;140021,4;152407,3;168647,3;216446,8;244931,3
RU-AST;11792,4;15647,6;27613,4;34546,6;28601,7;27377,6;33177,7;35829,3
RU-VGG;29562,7;39882,9;55421,2;69575,1;69188,1;75590,8;78703,6;84489,9
RU-ROS;47087,7;59596,1;81566,3;105678,8;112416,2;123192,9;134346,4;152526,7
RU-DA;22579,9;27123,9;38782,4;52614,4;64437;62407,3;71409,1;79988,5
RU-IN;5539,9;6439;9245,3;12709,1;14528,5;15690,5;17699,2;20589,3
RU-KB;8627,7;11088,7;15001,4;18937,8;22532,4;22488,2;24869,9;24589,2
RU-KC;5233,3;6248,3;8508,9;10625,4;12330,7;13803,6;15072,9;20865,1
RU-SE;9831,9;11416,8;14217,6;20202;17103,8;17787,4;19860,6;22601
RU-CE;16753,3;31625,1;63565,5;64684;65259,4;64832,8;78917,1;78303,4
RU-STA;28998,2;35720,4;47466,6;62675,5;65431,6;74299,3;83133,1;84901,7
RU-BA;60323,5;83566,2;92579,6;116538,2;114095,7;119726,3;135357,7;145155,5
RU-ME;8188;10463,8;13127,9;16018;17100,7;19156,4;21560,7;22704,2
RU-MO;19406;14339,4;20478,2;24897,3;28438,9;30858,8;33849,3;40863,4
RU-TA;87257,9;88326,7;106132,5;139269;140637;176158,5;191505,4;210724,7
RU-UD;21505,4;25330,5;34451,6;42758,5;41325,6;42511;53045,5;57547,8
RU-CU;15001;19171,7;28244,8;33898,3;33717,7;33193,4;37264,9;40116
RU-PER;46977,9;56519,1;78661,3;110095,3;94754,3;96533;108394,5;116644,4
RU-KIR;17269,3;21644;29596,8;36077,5;38790,9;46303,5;47928,4;47739,2
RU-NIZ;40637,4;58522,3;79410,8;106921,3;97391;110336,4;124995,2;130196,7
RU-ORE;29394,7;35797,5;49905,3;66098;64427,6;68380,1;77665,1;79986,9
RU-PNZ;14200,8;19758;27879,6;33706,1;36635,6;41415,9;47671;49327,9
RU-SAM;55591,4;67692,3;82217,3;109884;100869,8;119428,1;131547;147500,8
RU-SAR;26759,1;32904,1;42816,7;61592;66219,9;66395,6;75708,7;79177,7
RU-ULY;14017,7;20418,4;27924,5;33854,7;35935,3;36123,4;39858;41874,5
RU-KGN;11334,8;13442,6;19031,6;23848,5;26610;30142,4;32396,8;33582,1
RU-SVE;67585;97862,3;128353,3;156924,5;139547,4;161263,9;184087,4;203597,2
RU-TYU;134745,7;159321,8;116758,7;162576,4;125986;145566,6;184712,3;178210,3
RU-CHE;46249,3;66867,9;87362,4;105480,3;88251,6;109408,8;119398,9;130364,1
RU-KHM;142732;121069,2;142483,1;180992,4;152434,2;167413,7;204480,5;208097,8
RU-YAN;58886,8;64617,5;70970,6;88967,2;88833,4;106812,7;136859,1;142424,7
RU-AL;5799,1;7343,1;8990,4;9893,7;13455,2;13316,8;15114,6;13956,7
RU-BU;15557,6;21333,2;28167;34563,6;40589,6;39198,1;44754,3;47272,4
RU-TY;6867,9;7539,8;10022,9;12997,1;15311,9;15246,6;16706,6;21225,6
RU-KK;7292;8906,4;12056,3;15065;17330,3;18347,9;21221,6;22845,3
RU-ALT;29397,8;35889,8;47086,7;59901,3;65513,4;72375,8;81204;82275
RU-ZAB;16485,8;21786;24833,6;33085,5;40806,9;43739,9;46358,5;47619,1
RU-KYA;67536,8;99688,6;139598,6;157729,1;155429,7;178352,6;188773,6;176562,7
RU-IRK;41640,1;50128,5;65743,4;83232,6;88586,6;98500,7;113112;124250,9
RU-KEM;57207,8;63416,4;84258,5;118324,2;100371,8;113379,2;128335,8;120925,7
