;;2005;2006;2007;2008;2009;2010;2011;2012
VS;всего;8579,6;10625,8;13368,3;16003,9;13599,7;16031,9;20855,4;23435,1
NPO;налог на прибыль организаций;1332,9;1670,6;2172;2513,2;1264,6;1774,6;2270,5;2355,7
NDFL;налог на доходы физических лиц;707,1;930,4;1266,6;1666,3;1665,8;1790,5;1995,8;2261,5
NSO;налоги и взносы на социальные нужды;1178,1;1441,3;1980,8;2113,2;2300,5;0;0;0
STR;страховые взносы на обязательное социальное страхование;0;0;0;0;0;2477,1;3528,3;4103,7
NDSR;НДС на товары (работы, услуги), реализуемые на территории Российской Федерации;1025,8;924,4;1390,6;998,7;1176,9;1329,1;1753,6;1886,4
NDSI;НДС на товары, ввозимые на территорию Российской Федерации;446,5;586,7;871,1;1133,8;873,4;1169,5;1497,2;1659,7
AKR;акцизы по подакцизным товарам, производимым на территории Российской Федерации;236,1;253,3;288,2;314,7;327,4;441,4;603,9;783,6
AKI;акцизы по подакцизным товарам, ввозимым на территорию Российской Федерации;17,6;17,3;26,2;35,3;19,8;30,1;46,6;53,4
NSD;налоги на совокупный доход;77,5;110;141,9;185,1;175,5;207,7;234,3;271,3
NI;налоги на имущество;253,1;310,9;411,2;493,4;569,7;628,2;678;785,5
NPR;налоги, сборы и регулярные платежи за пользование природными ресурсами;928,6;1187,3;1235,1;1742,6;1080,9;1440,8;2085;2484,5
ZAD;задолженность и перерасчеты по отмененным налогам, сборам и иным обязательным платежам;53,9;28,8;22,9;6,2;5,2;56,1;5,7;4,2
DVD;доходы от внешнеэкономической деятельности;1680,9;2306,3;2408,3;3584,9;2683,3;3227,7;4664,7;4962,7
DII;доходы от использования имущества, находящегося в государственной и муниципальной собственности;255,8;352,5;526,6;439,5;653,9;679,7;674,3;836,6
PPR;платежи при пользовании природными ресурсами;73;94,4;82,4;136,9;85,2;77,6;111,8;132,9
BZV;безвозмездные поступления;22,1;21,6;18,2;74,3;132,4;114,1;153,2;92,1
DPD;доходы от приносящей доход деятельности;59,1;79,5;98;80,2;64,2;46,1;48,9;0
PR;прочее;231,5;310,5;428,2;485,6;521;541,6;503,6;761,3
