;1990;2000;2005;2006;2007;2008;2009;2010;2011;2012
RU;148274;146304;143236;142863;142748;142737;142833;142865;143056;143347
RU-FOCE;38155;38175;38109;38183;38210;38263;38335;38445;38538;38679
RU-BEL;1398;1507;1512;1514;1520;1526;1532;1532;1536;1541
RU-BRY;1458;1408;1327;1313;1303;1294;1287;1275;1264;1254
RU-VLA;1655;1558;1486;1476;1467;1458;1450;1441;1432;1422
RU-VOR;2469;2422;2361;2354;2345;2339;2335;2335;2332;2330
RU-IVA;1293;1179;1102;1090;1081;1074;1068;1060;1054;1049
RU-KLU;1074;1060;1023;1020;1018;1015;1015;1009;1008;1006
RU-KOS;804;754;700;690;683;678;673;666;662;659
RU-KRS;1329;1267;1178;1162;1152;1143;1135;1126;1122;1119
RU-LIP;1234;1228;1194;1190;1187;1182;1177;1172;1166;1162
RU-MOS;6720;6614;6784;6847;6895;6958;7024;7106;7199;7048
RU-ORL;898;877;822;811;805;799;793;786;781;776
RU-RYA;1350;1259;1189;1181;1175;1168;1162;1152;1148;1144
RU-SMO;1158;1082;1025;1018;1009;1001;993;983;981;975
RU-TAM;1312;1213;1139;1127;1116;1108;1100;1090;1082;1076
RU-TVE;1663;1520;1415;1399;1387;1376;1365;1350;1342;1334
RU-TUL;1849;1719;1615;1600;1588;1576;1564;1550;1545;1532
RU-YAR;1474;1394;1313;1300;1292;1286;1280;1271;1271;1272
RU-MOW;9017;10114;10924;11091;11187;11282;11382;11541;11613;11980
RU-FOSZ;15311;14199;13716;13665;13631;13612;13604;13626;13660;13717
RU-KR;791;729;676;665;659;654;649;643;640;637
RU-KO;1240;1043;963;945;935;922;912;899;890;880
RU-ARK;1569;1369;1282;1267;1257;1246;1237;1225;1213;1202
RU-NEN;52;41;42;42;42;42;42;42;42;43
RU-VLG;1354;1290;1235;1226;1220;1214;1208;1201;1198;1196
RU-KGD;891;958;936;934;935;937;938;942;947;955
RU-LEN;1675;1680;1685;1691;1693;1699;1705;1719;1734;1751
RU-MUR;1189;923;839;824;815;806;800;794;788;780
RU-NGR;752;710;666;657;652;645;640;633;630;626
RU-PSK;843;782;721;708;700;690;682;671;667;662
RU-SPE;5007;4715;4713;4748;4765;4799;4833;4899;4953;5028
RU-FOYU;13443;14060;13837;13820;13827;13845;13854;13851;13884;13910
RU-AD;437;447;441;438;438;440;440;440;443;445
RU-KL;327;307;294;293;292;290;290;289;287;284
RU-KDA;4691;5133;5127;5143;5170;5195;5214;5230;5284;5330
RU-AST;1001;1009;1003;1001;1006;1010;1011;1010;1015;1014
RU-VGG;2642;2725;2640;2630;2623;2618;2614;2607;2595;2583
RU-ROS;4345;4439;4332;4315;4298;4292;4285;4275;4260;4254
RU-FOSK;7575;8702;9037;9091;9187;9267;9353;9439;9493;9541
RU-DA;1875;2486;2693;2736;2788;2827;2869;2914;2931;2946
RU-IN;192;446;417;407;407;409;412;415;430;442
RU-KB;781;887;866;858;857;858;859;860;859;859
RU-KC;425;441;455;462;466;470;474;477;475;472
RU-SE;652;704;707;709;712;712;712;712;709;706
