;2005;2010;2013
RU;65,37;68,94;70,76
RU-FOCE;66,5;69,93;71,93
RU-BEL;68,43;71,31;72,16
RU-BRY;63,4;67,92;69,75
RU-VLA;63,51;67,12;69,13
RU-VOR;66,5;69,45;70,89
RU-IVA;62,17;67,09;69,84
RU-KLU;64,38;68,1;70,02
RU-KOS;62,59;67,5;69,86
RU-KRS;65,01;68,53;70,14
RU-LIP;66,16;68,59;70,66
RU-MOS;66,03;69,13;70,78
RU-ORL;64,97;68,4;70,22
RU-RYA;64,11;67,81;70,74
RU-SMO;62,24;66,59;68,9
RU-TAM;65,61;69,22;70,93
RU-TVE;61,55;65,9;68,13
RU-TUL;62,97;67,11;69,41
RU-YAR;63,93;68,39;70,45
RU-MOW;71,59;74,15;76,37
RU-FOSZ;64,17;68,9;71,25
RU-KR;61,84;66,42;69,19
RU-KO;62,12;66,87;69,27
RU-ARK;62,98;67,89;70,16
RU-NEN;62,97;64,92;65,76
RU-VLG;63,18;67,08;69,35
RU-KGD;61,48;68,75;70,51
RU-LEN;62,43;68,09;70,36
RU-MUR;63,83;68,43;70,46
RU-NGR;61,76;65,04;67,67
RU-PSK;60,2;64,59;67,82
RU-SPE;68,03;72,06;74,22
RU-FOYU;67,14;70,12;71,76
RU-AD;68,07;69,95;71,8
RU-KL;67,24;69,35;71,35
RU-KDA;67,55;70,95;72,29
RU-AST;65,36;69,08;71,34
RU-VGG;67,02;69,66;71,42
RU-ROS;66,99;69,72;71,39
RU-FOSK;69,93;72,19;73,95
RU-DA;73,13;73,87;75,63
RU-IN;73,45;74,71;78,84
RU-KB;68,9;72,11;73,71
RU-KC;69,61;72,44;73,94
RU-SE;69,6;72,65;73,94
RU-CE;72,07;71,55;73,2
RU-STA;67,76;71,01;72,75
RU-FOPV;65,29;68,38;70,06
RU-BA;66,59;68,89;69,63
RU-ME;63,53;67,34;69,3
RU-MO;66,66;69,25;70,56
RU-TA;67,93;70,42;72,12
RU-UD;64,43;68,1;69,92
RU-CU;66,34;68,54;70,79
RU-PER;62,28;66,57;68,75
RU-KIR;64,12;68,24;70,26
RU-NIZ;63,42;67,01;69,42
RU-ORE;64,86;67,95;68,9
RU-PNZ;65,61;69,28;71,54
RU-SAM;66,05;68,13;69,4
RU-SAR;65,87;68,89;70,67
RU-ULY;65,38;68,54;70,5
RU-FOUR;65,15;68,82;70,06
RU-KGN;64,09;67,66;68,27
RU-SVE;64,47;68,81;69,81
RU-TYU;66,66;69,46;71,35
RU-KHM;67,82;70,3;72,23
RU-YAN;67,58;70,05;71,23
RU-CHE;64,76;68,41;69,52
RU-FOSI;62,7;67,1;68,63
RU-AL;60,38;65,68;67,34
RU-BU;60,96;66,05;67,67
RU-TY;55,84;60,45;61,79
RU-KK;61,11;67,1;68,57
RU-ALT;64,62;68,36;69,77
RU-ZAB;59,33;64,82;67,11
RU-KYA;63,02;67,57;69,06
RU-IRK;60,32;65,26;66,72
RU-KEM;61,43;65,42;67,72
RU-NVS;65,11;69,28;70,19
RU-OMS;65,15;68,78;69,74
RU-TOM;65,11;68,83;70,33
RU-FODV;62,18;65,76;67,81
RU-SA;64,68;66,75;69,13
RU-KAM;63,24;65,82;67,98
RU-PRI;62,84;66,63;68,19
RU-KHA;61,72;65,68;67,92
RU-AMU;60,22;64,36;66,38
RU-MAG;62,53;65,07;67,12
RU-SAK;60,57;64,9;67,7
RU-YEV;59,2;63,67;64,94
RU-CHU;58,48;57,49;62,11
