;2013
RU;1895822
RU-FOCE;438654
RU-BEL;17885
RU-BRY;13824
RU-VLA;15740
RU-VOR;24934
RU-IVA;11732
RU-KLU;11805
RU-KOS;8370
RU-KRS;13030
RU-LIP;13146
RU-MOS;85480
RU-ORL;8524
RU-RYA;12345
RU-SMO;10344
RU-TAM;10237
RU-TVE;15029
RU-TUL;15051
RU-YAR;15325
RU-MOW;135853
RU-FOSZ;167311
RU-KR;7553
RU-KO;12436
RU-ARK;14600
RU-NEN;705
RU-VLG;16472
RU-KGD;11924
RU-LEN;15550
RU-MUR;9210
RU-NGR;7391
RU-PSK;7237
RU-SPE;64233
RU-FOYU;174135
RU-AD;5568
RU-KL;4126
RU-KDA;70298
RU-AST;15015
RU-VGG;29559
RU-ROS;49569
RU-FOSK;164063
RU-DA;55641
RU-IN;9498
RU-KB;13365
RU-KC;6547
RU-SE;10760
RU-CE;32963
RU-STA;35289
RU-FOPV;395309
RU-BA;59260
RU-ME;10088
RU-MO;8256
RU-TA;56458
RU-UD;22138
RU-CU;17351
RU-PER;38637
RU-KIR;17037
RU-NIZ;38808
RU-ORE;29797
RU-PNZ;14516
RU-SAM;39626
RU-SAR;28598
RU-ULY;14739
RU-FOUR;183536
RU-KGN;12368
RU-SVE;62229
RU-TYU;23156
RU-KHM;27770
RU-YAN;8955
RU-CHE;49058
RU-FOSI;285935
RU-AL;4442
RU-BU;17108
RU-TY;8111
RU-KK;8362
RU-ALT;32193
RU-ZAB;17392
RU-KYA;41106
RU-IRK;37908
RU-KEM;37245
RU-NVS;38295
RU-OMS;29072
RU-TOM;14701
RU-FODV;86879
RU-SA;16704
RU-KAM;4160
RU-PRI;24614
RU-KHA;18676
RU-AMU;11453
RU-MAG;1905
RU-SAK;6354
RU-YEV;2351
RU-CHU;662
