;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008
RU;1135;1133;1141;1144;1148;1151;1154;1158;1160;1161;1162
RU-FOCE;1194;1177;1165;1165;1166;1169;1171;1175;1177;1178;1179
RU-BEL;1193;1172;1171;1176;1180;1181;1181;1183;1184;1183;1183
RU-BRY;1185;1170;1180;1185;1191;1194;1198;1203;1206;1208;1210
RU-VLA;1189;1183;1197;1203;1210;1215;1221;1225;1228;1230;1232
RU-VOR;1190;1177;1179;1183;1186;1189;1193;1196;1199;1201;1203
RU-IVA;1224;1208;1218;1225;1231;1236;1241;1247;1249;1249;1247
RU-KLU;1172;1164;1177;1184;1189;1193;1197;1202;1203;1203;1204
RU-KOS;1172;1164;1174;1181;1186;1191;1196;1201;1202;1203;1204
RU-KRS;1186;1173;1180;1184;1189;1193;1196;1201;1204;1208;1209
RU-LIP;1170;1163;1172;1178;1182;1186;1190;1194;1198;1200;1202
RU-MOS;1178;1174;1172;1175;1177;1178;1180;1183;1185;1186;1188
RU-ORL;1178;1171;1183;1188;1194;1198;1201;1206;1208;1210;1212
RU-RYA;1184;1175;1182;1186;1190;1195;1200;1206;1208;1211;1213
RU-SMO;1175;1169;1184;1191;1200;1206;1212;1218;1223;1226;1227
RU-TAM;1189;1172;1179;1182;1186;1190;1193;1198;1202;1203;1205
RU-TVE;1212;1203;1210;1217;1223;1227;1231;1236;1238;1237;1236
RU-TUL;1200;1197;1209;1214;1221;1226;1231;1236;1240;1243;1244
RU-YAR;1190;1187;1199;1206;1214;1219;1225;1231;1233;1235;1235
RU-MOW;1216;1174;1113;1104;1096;1099;1100;1102;1104;1105;1105
RU-FOSZ;1127;1139;1156;1161;1165;1170;1174;1178;1180;1182;1183
RU-KR;1110;1129;1150;1156;1162;1167;1173;1178;1182;1184;1186
RU-KO;993;1038;1075;1081;1087;1092;1097;1102;1106;1107;1110
RU-ARK;1055;1079;1108;1115;1123;1128;1134;1139;1142;1143;1145
RU-NEN;1040;1037;1026;1029;1021;1029;1033;1042;1046;1053;1059
RU-VLG;1133;1135;1147;1152;1158;1163;1169;1174;1178;1180;1181
RU-KGD;1075;1069;1085;1090;1096;1102;1108;1114;1118;1121;1123
RU-LEN;1148;1156;1159;1163;1168;1170;1174;1178;1179;1180;1179
RU-MUR;979;1009;1039;1045;1052;1057;1062;1065;1067;1068;1068
RU-NGR;1186;1186;1206;1215;1223;1229;1235;1240;1244;1245;1247
RU-PSK;1183;1170;1176;1181;1186;1191;1195;1202;1205;1206;1209
RU-SPE;1214;1214;1221;1223;1225;1227;1229;1231;1233;1234;1234
RU-FOYU;1136;1123;1128;1130;1133;1135;1136;1138;1139;1140;1140
RU-AD;1171;1153;1149;1150;1149;1149;1151;1152;1152;1153;1153
RU-DA;1118;1084;1074;1074;1074;1074;1074;1074;1074;1075;1075
RU-IN;1095;1095;1109;1125;1142;1140;1140;1140;1139;1139;1139
RU-KB;1127;1124;1129;1131;1133;1135;1137;1138;1139;1140;1141
RU-KL;1041;1058;1076;1081;1088;1092;1094;1097;1100;1102;1103
RU-KC;1125;1125;1131;1135;1140;1145;1148;1151;1153;1154;1153
RU-SE;1116;1102;1109;1111;1114;1116;1119;1122;1124;1125;1128
RU-CE;1115;1063;1078;1073;1072;1072;1072;1071;1070;1068;1066
RU-KDA;1156;1142;1147;1149;1151;1152;1154;1156;1157;1158;1158
RU-STA;1141;1132;1135;1136;1138;1139;1141;1144;1146;1147;1148
RU-AST;1094;1096;1115;1121;1127;1130;1132;1135;1134;1132;1132
RU-VGG;1132;1128;1142;1146;1151;1153;1156;1159;1161;1163;1164
RU-ROS;1150;1141;1148;1151;1154;1157;1160;1163;1165;1167;1168
RU-FOPV;1151;1146;1155;1159;1163;1166;1169;1173;1175;1176;1177
RU-BA;1134;1125;1130;1133;1134;1137;1139;1142;1144;1144;1145
RU-ME;1142;1136;1142;1146;1152;1153;1157;1160;1161;1162;1162
RU-MO;1183;1172;1171;1174;1176;1177;1178;1180;1181;1181;1181
RU-TA;1155;1146;1153;1157;1161;1163;1166;1169;1171;1172;1172
RU-UD;1151;1150;1155;1157;1160;1164;1167;1171;1173;1175;1176
RU-CU;1176;1164;1157;1158;1158;1159;1161;1163;1164;1164;1164
RU-PER;1129;1136;1152;1155;1160;1164;1168;1172;1175;1176;1178
RU-KIR;1143;1142;1152;1157;1162;1165;1170;1174;1176;1177;1179
RU-NIZ;1195;1191;1195;1198;1203;1207;1211;1215;1219;1221;1221
RU-ORE;1118;1111;1124;1129;1133;1136;1139;1143;1144;1145;1146
RU-PNZ;1170;1165;1177;1183;1187;1191;1194;1199;1201;1202;1203
RU-SAM;1152;1145;1158;1162;1166;1169;1173;1176;1179;1181;1182
RU-SAR;1136;1132;1154;1163;1172;1176;1180;1183;1186;1188;1190
RU-ULY;1139;1138;1155;1162;1169;1173;1177;1182;1185;1186;1186
RU-FOUR;1103;1105;1124;1129;1135;1138;1142;1145;1147;1148;1150
RU-KGN;1142;1141;1157;1163;1167;1172;1176;1180;1183;1184;1185
RU-SVE;1142;1143;1156;1162;1166;1170;1173;1176;1177;1178;1179
RU-TYU;1001;1009;1041;1048;1055;1059;1063;1067;1071;1074;1077
RU-KHM;961;979;1003;1005;1012;1017;1022;1027;1032;1037;1041
RU-YAN;932;947;979;985;990;994;997;1000;1005;1009;1014
RU-CHE;1134;1135;1151;1157;1163;1167;1170;1174;1176;1177;1178
RU-FOSI;1090;1102;1123;1129;1135;1140;1144;1148;1151;1153;1154
RU-AL;1107;1097;1099;1101;1101;1102;1105;1109;1108;1109;1108
RU-BU;1053;1069;1087;1092;1098;1102;1107;1112;1115;1116;1117
RU-TY;1042;1064;1094;1100;1108;1111;1114;1116;1117;1117;1115
RU-KK;1059;1093;1126;1135;1143;1147;1148;1151;1151;1150;1150
RU-ALT;1119;1122;1137;1142;1146;1149;1153;1156;1159;1160;1161
RU-ZAB;1036;1051;1061;1065;1069;1074;1079;1085;1089;1091;1093
RU-KYA;1063;1086;1112;1120;1126;1131;1135;1140;1143;1145;1146
RU-IRK;1065;1093;1122;1129;1136;1142;1148;1154;1158;1159;1160
RU-KEM;1105;1114;1138;1144;1152;1157;1162;1167;1170;1169;1170
RU-NVS;1138;1136;1147;1152;1156;1160;1163;1167;1170;1173;1174
RU-OMS;1123;1120;1140;1147;1153;1156;1160;1163;1166;1169;1170
RU-TOM;1067;1082;1108;1114;1121;1125;1129;1133;1137;1138;1140
RU-FODV;994;1019;1045;1051;1057;1062;1067;1072;1076;1078;1081
RU-SA;987;1014;1037;1042;1046;1049;1053;1057;1060;1062;1065
RU-KAM;920;944;959;961;964;968;972;976;979;980;984
RU-PRI;1004;1024;1053;1060;1066;1071;1077;1081;1086;1089;1092
RU-KHA;1004;1027;1056;1064;1071;1076;1082;1087;1092;1092;1093
RU-AMU;1015;1036;1062;1068;1074;1079;1085;1090;1093;1096;1099
RU-MAG;954;983;1022;1029;1038;1046;1053;1059;1064;1070;1075
RU-SAK;996;1031;1054;1059;1065;1070;1076;1082;1087;1089;1091
RU-YEV;1034;1041;1053;1057;1061;1065;1068;1072;1073;1074;1075
RU-CHU;916;916;908;911;901;903;906;913;920;931;941
