;1990;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
RU;1243;2014;2033;1739;1906;2009;2477;2695;2509;2249;2097;1840;1682
RU-FOCE;882;1562;1580;1496;1694;1734;2048;2119;2001;1811;1747;1566;1465
RU-BEL;882;1323;1350;1198;1264;1280;1670;1594;1396;1256;1307;1099;1036
RU-BRY;1067;2107;1981;1510;1809;1856;2321;2191;2148;2049;1982;1833;1533
RU-VLA;954;2031;2131;1749;1913;2140;2471;2497;2296;1956;1898;1775;1659
RU-VOR;903;1606;1701;1433;1626;1593;1854;1737;1716;1483;1337;1177;1158
RU-IVA;1033;2367;2376;1911;2266;2170;2377;2462;2302;1939;1827;1771;1628
RU-KLU;853;1996;1918;1521;1766;2026;2541;2541;2263;2095;1938;1776;1496
RU-KOS;962;2446;2744;1969;2197;2214;2466;2345;2007;1640;1587;1480;1394
RU-KRS;743;1962;1858;1580;1659;1808;2208;2680;2474;1974;1798;1620;1504
RU-LIP;821;1516;1455;1318;1265;1155;1554;1642;1684;1658;1510;1385;1315
RU-MOS;789;1302;1250;1132;1269;1327;1722;1891;1859;1750;1731;1620;1592
RU-ORL;842;1756;1615;1920;1901;1941;2282;2512;2478;2106;1897;1730;1610
RU-RYA;993;1229;1243;952;1023;963;1450;1373;1175;1155;951;916;845
RU-SMO;1099;2196;2093;1900;2070;2312;2779;2738;2423;2297;2291;2116;1856
RU-TAM;991;1634;1646;1333;1326;1395;2002;2046;1811;1585;1452;1260;1247
RU-TVE;1190;1965;1946;1842;1967;2037;2850;2964;2795;2585;2473;2202;2150
RU-TUL;1052;1619;1646;1178;1116;1170;1261;1306;1229;1150;1145;1023;949
RU-YAR;1398;2562;2355;2258;2380;2754;3420;3097;2681;2288;2077;1673;1454
RU-MOW;673;1092;1236;1582;1976;1933;2014;2157;2070;1886;1871;1622;1500
RU-FOSZ;1305;2276;2255;1806;1820;1983;2371;2528;2369;2072;1958;1713;1607
RU-KR;1490;2550;2620;1861;2296;2225;2257;2634;2190;2393;2421;2129;2224
RU-KO;1381;2271;2447;2284;2726;2695;3191;3728;3017;2648;2576;2176;1928
RU-ARK;1386;2051;2041;1672;1762;2146;2425;2937;2860;2443;2152;2022;2033
RU-NEN;…;1866;1902;1857;1981;2067;2131;1994;1920;2304;2313;2038;1826
RU-VLG;1138;2677;2603;2158;2415;2710;2997;2851;2805;2446;2275;2027;2108
RU-KGD;1382;2304;2579;2123;2368;2560;2407;2505;2319;2039;2108;1792;1609
RU-LEN;1620;2587;2639;1885;1774;1906;2144;2163;2117;1896;1895;1658;1429
RU-MUR;1042;1817;1975;1728;1685;1628;2152;2612;2540;2349;2048;2113;2019
RU-NGR;1381;2517;2411;1966;1901;1835;2298;2485;2340;2269;2190;1841;1773
RU-PSK;1654;2640;2347;1724;2074;2176;2546;2613;2358;2117;1918;1820;1689
RU-SPE;1151;2066;1935;1546;1285;1522;2135;2191;2098;1712;1602;1323;1204
RU-FOYU;1258;1790;1730;1435;1486;1491;1715;1995;1972;1819;1643;1480;1397
RU-AD;…;2071;1437;1103;1174;1270;1363;1422;1179;1077;1107;1063;1035
RU-KL;1323;1743;1698;1494;1730;1582;1861;2007;1859;1880;1594;1401;1320
RU-KDA;1336;1571;1516;1205;1139;1104;1239;1638;1597;1375;1307;1260;1262
RU-AST;1305;2114;2174;2135;2320;2700;2828;2965;3159;3125;2982;2574;2241
RU-VGG;1191;1929;1987;1750;1738;1701;2046;2418;2111;1971;1908;1731;1538
RU-ROS;1325;1859;1752;1379;1559;1555;1844;1993;2148;2027;1631;1386;1319
RU-FOSK;838;1055;1080;909;910;910;1028;1030;1022;901;895;798;764
RU-DA;689;637;608;553;469;426;511;608;533;436;437;403;429
RU-IN;…;445;386;354;335;336;391;464;517;558;560;466;458
RU-KB;1032;871;1004;835;812;875;1065;1139;1258;1025;1029;1084;964
RU-KC;…;1350;1364;1188;1236;1236;1394;1227;1207;1145;1006;916;832
RU-SE;1166;1072;1116;1005;962;812;968;1117;1192;1147;1190;987;931
RU-CE;…;457;666;577;647;498;595;540;481;378;380;363;330
RU-STA;1398;1756;1754;1423;1498;1620;1752;1652;1670;1510;1508;1299;1246
RU-FOPV;1113;1847;1920;1565;1773;1953;2654;2974;2627;2306;2126;1850;1643
RU-BA;702;1169;1441;1335;1446;1513;2182;2309;2198;1921;1857;1776;1683
RU-ME;1191;2497;2382;1748;1965;2379;3077;3148;3248;3120;2539;1782;1562
RU-MO;1124;1687;1592;1317;1512;1499;1965;1843;1661;1252;1124;1019;937
RU-TA;1235;1854;1883;1525;1559;1685;2450;2794;2158;2153;1869;1552;1458
RU-UD;1134;1893;1927;1555;2109;2374;3494;4232;3453;2936;2543;2149;1841
RU-CU;934;1730;1755;1305;1616;1808;2643;2728;2188;1882;1723;1454;1441
RU-PER;1407;2971;3087;2595;3118;3511;4531;5004;4369;3661;3324;2780;2218
RU-KIR;1011;1923;2065;1455;1876;2205;2741;2569;2108;1902;1735;1599;1521
RU-NIZ;1472;2075;2066;1521;1785;2116;2838;3198;3142;2613;2690;2431;1987
RU-ORE;947;1874;2043;1681;1730;1749;2425;2697;2417;2083;1951;1692;1530
RU-PNZ;749;1062;1176;805;1156;1445;1887;2460;2014;1590;1456;1223;1084
RU-SAM;1111;1856;1915;1775;1878;1890;2549;3241;3030;2790;2473;2106;1942
RU-SAR;1249;1714;1688;1357;1443;1640;2072;2180;1915;1766;1657;1516;1302
RU-ULY;970;1696;1684;1333;1398;1491;2099;2537;2099;1709;1613;1368;1288
